(INTRIGO)
(DEAR AGNES)



NARRATOR	The people of the world are more or less the same. Though we may come in different shapes and colors, we all share the same inheritance. And we all have our backstories and our secrets. And so has Agnes, walking her dogs on the beach. Soon her life will change, and the past will become the present, again. Even though evolution might seem to mature us, there are still parts of our brain that belong to our reptile ancestors. Although we've convinced ourselves that hate, revenge, and nemesis belong to the past, our ancient ancestors' blood still runs in our veins, whether we like it or not.
AGNES	Huh?

HENNY	And also... I was curious how far you're prepared to go.

AGNES	But what if I had done it? What if I had shot him?

HENNY	I took a chance. And I was right, wasn't I? Because of what happened in the stupid theater. You just can't move on, can you? Okay. You hated me then. I can understand that. But that was over 10 fucking years ago, and you still want to kill me.

AGNES	And you, me, apparently.

HENNY	It took a bit of money but it was worth it.

AGNES	You're sick.

HENNY	When things calm down out there, we'll go for a drive. So when... the funeral and all of that crap was out of the way, Peter would just... move into your perfect little home, with a room each for the girls, of course? You know, why not convert the loft? Did you really think he'd want that? That you mean so... much to him?

AGNES	The truth is that he doesn't mean anything to me. It's not my fault that he doesn't love you. You're smart, you're beautiful, and I even think you're funny. So I never understood why Peter doesn't love you? And... he doesn't offer me any clues. I mean, I've asked him, all right. But you know how he is. He just zones out. I actually feel sorry for him.

HENNY	We have two children... together. What... fucking right do you have to destroy that?

AGNES	He's the one who came crawling to me for consolation, and you're... the one who wants me to kill him. You should be grateful, Henny. If I hadn't been there, he would have left you long ago.

PETER	Hello? Yeah. What now? What, what time is it? Why? What's happened? No, no, no. That's okay. It's okay. It's--what? The boat? What, what boat? Oh, yeah, yeah, yeah. I remember, yeah. Half an hour? Yeah. Yeah, I can be there. But, but what's going on? What the hell's happened?

AGNES	Benji?

BENJI	It's been a while. Can I come in?

AGNES	Please.

BENJI	It's been difficult on the girls, but possibly hardest for Henny.

AGNES	Yes, I can understand.

BENJI	But you know what she's like, sort of, proud, strong. The police even suspected her at one point. That she was involved somehow or even done it herself. And then on top of that, all the hearsay and gossip. So many of her friends have turned their backs on her, if you want to call them friends. She must have felt very alone in all this.

AGNES	I can imagine, yes.

BENJI	I'd like to ask a favor of you. I know it was a long time ago, but for Henny's sake...

HENNY	It's over.

AGNES	Glass of wine?

HENNY	Champagne?

AGNES	Or maybe...

DORIS	Two tequilas for the two ladies outside. 




