NARRATION #1	Atlanta, the dirty south. A city where the underdog Is only one move away from making it big. The hustle is meanest here in the A Especially, For the ladies. In this town You got to fight to get what you want. Then fight even harder to keep it. For some the battle’s about trust in the face of betrayal. 
MIMI	You got to explain to me what you are talking about. She said that’s my man.

ARIANE	She said this is my man. 

KARLIE	I seen it. I, you don’t have to tell me. I seen it. 

MIMI	I’m confused. 

ARIANE	I’m not, I don’t…

MIMI	Tonight was supposed to be about me and my girlfriends kicking it, but once again Stevie’s got me all BLEEP up. 

KARLIE	Did you not know that they were together? Or they were seeing each other, or you just know that that was the artist.

MIMI	I know they work together because he’s her manager. But the whole intertwine it’s like BLEEP me up. 

K. MICHELLE	Girl, I’ma go out of here. Honey I am…

BACKGROUND	(LAUGHING)

STEVIE J	Let me slide, yeah, yeah let me get in here a little bit. 

K. MICHELLE	I just know when they throw drinks, drinks don’t have no name on it. And I just got my hair done and I didn’t want to be around it. I immediately got out of harm’s way. 

STEVIE J	You look amazing tonight. 

MIMI	Are you serious?

STEVIE J	Did you meet, did you see…

MIMI	What?

STEVIE J	Did you meet, you seen, you said hi to shorty? 

MIMI	No. 

STEVIE J	Should I?

MIMI	Should you? 

STEVIE J	Come on. 

STEVIE J	Mimi started looking at me with those eyes you can know, when, when, when, when you done BLEEP up. You know what I mean? You can feel it. I just felt that it was a problem. Code red. So the night began to be interesting. 

JOSELINE	We kissed?

STEVIE J	We kissed?

JOSELINE	We kissed? 

KARLIE	I’ve seen it.

STEVIE J	Wow. 

MIMI	Oh word?

STEVIE	I’m, I was looking for you.

MIMI	For real? You wasn’t looking for BLEEP in the car with her. 

STEVIE J	(Indiscernable)

MIMI	Are you BLEEP serious right now?

STEVIE J	Hold on. Wait a minute. Man, hold up.

JENNY BAPST	“Party Life” Feeling like a super hero. 

MIMI	You got to understand. 

STEVIE	Her manger. 

MIMI	I have been through so much BLEEP and my trust factor is real low. So I know how that studio life is, late nights and BLEEP liquor. This, that and the third. I already know what the BLEEP it is. 

JOSELINE	Okay, but do you not trust him? You don’t trust him?

MIMI	Is that a trick question? 

JOSELINE	I mean Mimi you ain’t got to get out of line. The thing is a man is going to be a man amd you just going to have to get that through your head. That don’t mean I’m BLEEP him, but I’ma work with him. 

ARIANE	Where does Stevie find these trash bags? Seriously she looks like a BLEEP clown. 

JOSELINE	And I ain’t going to stop working with him. Until you catch us you can’t really blame me for nothing. 

JOSELINE	Until you see us kissing, until you see us sexing don’t come at me with that. I can’t help that I’m beautiful and that he beautiful and yeah when we step in the building we, we look real good together. But Stevie and I have great chemistry so I can’t help that.

KARLIE	I’m so worried about you right now.

MIMI	I’m cool.

KARLIE	Look at me. Look at me. Do I have to make a choice? 

MIMI	I would never put you in that position. 

KARLIE	You sure?

MIMI	Never.

KARLIE	If you weren’t BLEEP, why you calling him daddy? Why are you telling him that you are going to take care of him when he gets home, daddy?

ARIANE	Can we ask Karlie how she got the fact that they were together? 

JOSELINE	They ask you questions that’s going to BLEEP you up at the end. And they going to be chilling, but you going to be looking stupid. You got to be smarter than that. 

ARIANE	I’m leaving. 

STEVIE J	Yo Ariane come here. 

KARLIE	You ask me a question have you seen them together kissing, face or whatever? I’m going to keep it real, yes I have.

JOSELINE	We kissed?

STEVIE J	We kissed?

JOSELINE	We kissed?

KARLIE	I’ve seen it. 

JOSELINE	We kissed in the lip?

STEVIE J	Wow.

STEVIE J	I don’t think Karlie should have came at Mimi like that. Without, without the full scope of everything. It’s just like, it’s messy. Karlie is a rat.

STEVIE J	You looking like you ready to kill me. MIMI	Yeah you right. 

STEVIE J	You not listening to me. Just give me two, just give me…

MIMI	I want to knock your BLEEP head off your shoulders right now. BLEEP.

STEVIE J	Alright, alright. We’re not going to be violent. 

MIMI	She saw ya’ll kissing? 

STEVIE J	I ain’t kiss her. 

MIMI	What did you do? 

STEVIE J	I didn’t kiss her. 

JOSELINE	You getting a kick out this BLEEP ain’t you?

KARLIE	No I’m trippin’.

STEVIE J	She getting a kick out of it. Out of seeing this right here. 

JOSELINE	She getting a real kick out of seeing this BLEEP.

ARIANE	What happened?

MIMI	She saw them kissing. 

ARIANE	Yeah, last night.

MIMI	I, I don’t.

STEVIE J	That’s what she said. 

ARIANE	Oh yeah, let’s go. 

STEVIE J	Hold on.

ARIANE	Please Stevie let me go. 

MIMI	I’m going to go. 

ARIANE	Come on, come on Mimi. 

STEVIE J	You not going nowhere. 

MIMI	I’m going home. 

STEVIE J	Let me, let me just talk to her for a second. 

ARIANE	She got to go for a second. 

MIMI	I’m going home.

STEVIE J	Let me holla at you for a minute. 

ARIANE	Mimi get up! Come on. 

STEVIE J	Yo, can you. Yo, come on. Wait a minute. 

ARIANE	Give me this purse and let’s go. 

ARIANE	Mimi is definitely an enable when it comes to situations like that. She should have punched him in his BLEEP face. I would have. I want to see her do better. 

STEVIE J	Mimi!

JOSELINE	You, you better act like you BLEEP know. 

STEVIE J	Act like I know what?

JOSELINE	Act like you BLEEP know. 

STEVIE J	Act like I know what?

STEVIE	She’s calling.

MIMI	Who’s calling? I don’t give a BLEEP. 

STEVIE J	Hello.

MIMI	Are you BLEEP serious right now? 

STEVIE J	You got to, you got to give me a second.
MIMI	Are you BLEEP serious right now?

K. MICHELLE	Watch bonus content and past full episodes right now at love hip hop Atlanta dot vh1 dot com. 

STEVIE J	Yo.

JOSELINE	You following her, right? Go follow her. 


STEVIE J	What, what, or what?

JOSELINE	Don’t…

JOSELINE	He threw a drink at me and messed up my fur that I got from Neiman’s. I could’ve killed him. Oh but don’t worry he’s going to buy me a new one.  

JOSELINE	BLEEP him he left. I’m done with this BLEEP. Can’t be dealing with this bitch and her fucking emotions. 

STEVIE J	What’s up ma? Hold up ma. Hold on man. 

MIMI	Oh word? Really? Oh word? For real?

STEVIE J	I was looking for you.

MIMI	You wasn’t looking for BLEEP in the car with her. 

STEVIE J	No I wasn’t. 

MIMI	Are you BLEEP serious right now? 

STEVIE J	Chill. Wait a minute. Man hold up. 

JOSELINE	Go home, deal with your emotions. Let him go to the studio with his artist that going to make him a billion BLEEP dollars and let is get to work. 

MIMI	I’m not with this limbo BLEEP. I’m tired of you just telling me…

STEVIE J	Hold on this is not, this is not no limbo BLEEP. You’re talking about my life, you’re not talking about some regular…

MIMI	This is my, no you talking about my BLEEP life. I’m not the one playing BLEEP games. You are, you having a good BLEEP time around this bitch.

STEVIE J	I ain’t really having a good time.

MIMI	Well I can’t BLEEP tell. 

STEVIE J	I don’t give a BLEEP what you think. It ain’t that. 

MIMI	I ain’t chasing this mother BLEEP. What he’s trying to do is play me and play her, and have it all and do it all and you can’t. It’s just life doesn’t work like that. 

STEVIE J	It’s all about working. That’s it, period, point blank. 

MIMI	But you kissing bitches. 

STEVIE J	That bitch ain’t seen nothing. 

MIMI	Okay.

STEVIE J	Just making BLEEP up. 

MIMI	Why would she make some BLEEP up? Why would she make that up?

STEVIE J	She’s calling.

MIMI	Who’s calling? I don’t give a BLEEP.

STEVIE J	Hello?

MIMI	Are you BLEEP serious right now?

STEVIE J	You got to give me, you got to give me a second. 

MIMI	Are you BLEEP serious right now? Go!

STEVIE J	I want you to come too. 

MIMI	I’m not going no BLEEP nowhere. Go. If it’s that BLEEP important to you. Get the BLEEP out of here. 

STEVIE J	Can we just go for…

JOSELINE	Grow up, let him go to work. We got money to make. If I don’t get in the studio I can’t make no money, he can’t make no money, you won’t have no money. So what are you doing?

MIMI	That’s what we doing?

JOSELINE	It’s one o’clock. Yeah that’s what he’s doing. 

STEVIE J	We all could go. 

MIMI	No, no the BLEEP we all can’t go no BLEEP nowhere. 

STEVIE J	I want you to see. 

JOSELINE	She sure can’t, not with that attitude. She ain’t feeling to BLEEP in up my vibe. 

MIMI	You damn right. 

JOSELINE	You ain’t BLEEP up my vibe tonight. 

MIMI	You mother BLEEP right. 

JOSELINE	Let’s go to the BLEEP studio. 

MIMI	We ain’t go no BLEEP where. If you walk the BLEEP out of here and get in that car with that bitch and go to the studio you showing me what the BLEEP you’re doing. 

MIMI	I have no idea why Joseline is so angry. If anybody should be BLEEP angry it should be me. The bitch just needs to go ahead with her life. Her, Stevie can go BLEEP themselves. Honestly. 

JOSELINE	What the BLEEP you getting in here for? Aren’t you going to ride with her?

STEVIE	You c’mon man don’t.

ARIANE	Wow. Is this really happening right now?

NARRATION #2	This season on Love and Hip Hop Atlanta. 

JOSELINE	Have you ever really loved me Stevie?

JOSELINE	Are you serious? 

MIMI	I want you to look me in my face and tell me are you BLEEP this girl?

STEVIE J	No I’m not. 

STEVIE J	At the end of the day I want to make Mimi happy too. 

BENZINO	You have to be monogamous my brother. Say it together monogamous.

STEVIE J	Monogamous. 

BENZINO	(LAUGHS)

DIRECTOR	Action. 

KIRK	You’re two hours late. 

RASHEEDA	I’m here, but I’m really not here. And me and you ain’t here. Do what the BLEEP a mother BLEEP label is supposed to do. How about that?

ERICA	I just want to make sure your intentions are still good as far as our relationship. 

LIL SCRAPPY	I rather kick it with a million chicks and get that from a million chicks than not get that from one. 

STEVIE J	Gimme a kiss. 

MIMI	I’ll call you when I am done. 

MIMI	Gimme a kiss.

ERICA	You going to give me a kiss.

ARIANE/MIMI	(LAUGHING)

STEVIE J	What happened? 

ERICA	I said exactly what you just said. 

STEVIE J	You know what you up against?

ERICA	Boo don’t do it. 

STEVIE J	I’m not you’re boo. 

ERICA	You ain’t that BLEEP. 

STEVIE J	I’m not a BLEEP bitch for real. 

ERICA	(LAUGHS) Okay. 

ERICA	He was like no bitch what the BLEEP did you say?

LIL SCRAPPY	Bitch?

ERICA	Yes!

MOMMA DEE	Check him.

STEVIE J	You’re focused.

JOSELINE	I’m focused. 

STEVIE J	You’re ready for war?

LIL SCRAPPY	If I cussed you’re bitch out right now. If I cussed you’re bitch…

JOSELINE	Wait, wait, wait a minute, 

ERICA	Who are you? Bitch.

LIL SCRAPPY	Bitch, you sucker bitch.

BACKGROUND	You alright? You alright?

LIL SCRAPPY	Ain’t nobody getting a check in the am. BLEEP that BLEEP.

ERICA	C’mon. 

RASHEEDA	It’s just all about me and you having dinner, dessert and some more dessert. 

JOSELINE	You would never send me back to the strip club because I’m not going back. 

LIL SCRAPPY	I got to get my own spot. (CHUCKLES) You feel me?

MIMI	You always want to bleep bitches, but you never want to handle the BLEEP after the fact.  

STEVIE J	I’m not trying to argue with you. Yeah.

MIMI	Because you don’t have no BLEEP argument. 

MIMI	Go with your stank ass whore.

MIMI	And have a good BLEEP life. 

STEVIE J	Make me. 

MIMI	Can you BLEEP leave. 
STEVIE J	You leave.
GENTLEMAN	Step out. 

MIMI	Can you BLEEP leave. 

GENTELMAN	Step out. 

K. MICHELLE	She walks up to my producer and say “you messing with the wrong artist”. 

KARLIE	Well try it. 

K. MICHELLE	Don’t shake unless you ready to get shook. 

K. MICHELLE	Bitch shut the BLEEP up. 

STEVIE J	Whose baby is it?

LIL SCRAPPY	Swag it out Imani.

LIL SCRAPPY	Pow, pow, pow. 

IMANI	Stop daddy that’s cheating. 

LIL SCRAPPY	Whoa I can’t do that one. 
