(PARADISE HILLS 1)


MALE ANNOUNCER	May I have your attention, please? Ladies and gentlemen...thank you all for making this such a memorable celebration. Now, to top off our night... Mr. Hingston's exquisite bride will serenade him... with a very special love song.
GUEST MAN 2	And here she is. He was heartbroken... when you were the only one who went missing after that disaster. Only a man in love can suffer like that.

GUEST WOMAN 3	You should feel fortunate.

UMA	I do. Very much so. I just can't imagine how difficult it must've been for him. I mean, he's invested so much in me.

GUEST MAN 2	Smile, kid. You're giving it all back to him now.

SON'S ASSISTANT	Mr. Hingston is expecting you upstairs.  A husband shouldn't be kept waiting any longer.

SON	That place works miracles. You could be so difficult before. But now... it's as if that girl never existed.

UMA	Please, don't worry. I'll go.

ELOISE	Uma! Uma! Baby, what happened?




