Voice Over	All units, all units, this is Sierra Whiskey 4.5 Stand by unless urgent. Any patrols able to assist with back up at Kenning Farm. Attempting to clear private property, experiencing resistance. Repeat, requesting back up at Kenning Farm. Over.
Brad	No one made it. (Panting) Only that prick Richard Kenning.

Caitlin	So where is he?

Brad	He ran off with some woman we found.

Caitlin	Some woman?

Brad	She works with Kenning’s dad. She said that apparently they made all of these monsters out of the homeless people.

Caitlin	Jesus.

Brad	(Heavy breathing)

Caitlin	We need to get out of here,

Brad. Brad	I don’t want to leave him.

Caitlin	We need to prioritise our safety, we’re going to have to come back for him.

Brad	Yes, ma’am.

Kenning	What’s going on?

Maya	They’re questioning your presence.

Kenning	I’ve already proved my worth. (Loud growling)

Kenning	You lied to me. I know you did. You bitch. (Gasping) What have you done to me?

Maya	I’ve turned you into something your father would be proud of.

Kenning	Why? (Heavy breathing)

Maya	Because you’re just like your father.

Kenning	Bullshit. (Heavy breathing)

Maya	Remember what you said about making worthless lives useful? You're eager to continue his work.

Kenning	Bitch (heavy breathing). It wasn’t one of his creations that killed him. It was you. Ahhh.

Maya	Don’t strain yourself. It’ll just make the pain worse. 

Kenning	Get back here, bitch. 

Brad	Jesus Caitlin. You paid attention in basic training.

Caitlin	Huh, that should do it.

Brad	So, they draw first blood. (Footsteps)

Brad	(Grunting)

Brad	Who are you? Mary Poppins? Where’d you get all that stuff?

Caitlin	Found an old storage room. These things must have raided that disused mine we drove past.

Brad	Yeah, I reckon all these tunnels they’re all connected somehow. (Gasps) (Shouts)

Caitlin	Seriously?

Brad	Mmm. And to think, Kenning’s dad was experimenting on all these poor souls and everyone thought he was helping them.

Caitlin	Whoever they were, their personalities have long been erased. Whatever he did to them, I don’t even think you can call them human any more. They’re just like animals, mindless, just running on instinct. OK, I think we’re good until we get you to a doctor.

Brad	Mmm. I hate you.

Caitlin	Don’t be a big baby. (Growling and footsteps)

Brad	I swear to God Caitlin, if we get out of this, we’re getting different jobs.

Caitlin	We?

Brad	Yeah, we. (Breathing heavily) (Growling)

Brad	(Breathing heavily)

Caitlin	We need to go.

Brad	Yep.

Maya	Please, I’m not looking for a fight.

Caitlin	Who’s this?

Brad	This is the evil bitch who was helping Old Man Kenning with his experiments.

Maya	I didn’t help Kenning, I stopped him.

Brad	And we’re meant to believe you why?

Maya	I literally just saved your lives.

Brad	I’m not buying it. You ran off the very second that Rebecca was attacked.

Maya	I had to get away for my own safety. I didn’t know who you guys were or if I could trust you. Rich was the one that followed me.

Caitlin	So what do you want now?

Maya	I want to burn this place down to the ground. Anyone who has a similar goal is an ally of mine.

Brad	And what about your new found friend, Rich?

Maya	I told you, he followed me. He’s obsessed with his dad. He thought I had all the answers. I didn’t help Kenning. I was abducted. I’d lost everything. I didn’t know anyone in this country. I came to the farm because there was a generous man who offered to help people down on their luck. When Kenning first brought me down here, he was going to experiment on me, but I managed to get out of it.

Brad	So why didn’t you escape?

Maya	When Dr Kenning died, I thought that escaping this place would be easy. But his creatures go wild without their leader. They didn’t kill me but they didn’t want me to leave.

Caitlin	So where’s Rich now?

Maya	I forced him to drink the medicine before he could force it on anyone else.

Caitlin	What does the medicine do?

Maya	It turns you into these monsters. One of his father’s tribe.

Caitlin	So Rich is one of them now?

Maya	He’s still turning, but he will be.

Brad	Brilliant. So now he’s going to be twice and fast, twice as strong, and twice as stupid?

Caitlin	You wanna destroy this place, we need to find somewhere to plant these.

Maya	Follow me. 

Kenning	(Heavy breathing) (Grinding noise)

Kenning	(Heavy breathing) That stupid bitch. (Heavy breathing) I do feel stronger. That vial hasn’t done me any harm. (Heavy breathing). My Kenning blood has kept me strong. (Heavy breathing) Give me another vial.

Krun	(Growling)

Kenning	I’ll be even stronger.

Krun	(Growling then roaring) (Kenning falls to the ground)

Kenning	Don’t you know? All this is mine. My dad made you. You’re mine.

Bima	(Growling and grunting)

Kenning	Where are you going? 

Kenning	Is it that bitch?

Bima	(Grunting) (Fighting and biting noises)

Maya	This is a part of the old mining pit. It’s directly under the cave system where Kenning’s creations live.

Brad	And what’s with the explosives?

Maya	Left over from the mine.

Brad	So if we blow this place up 

Caitlin	Their whole world’ll collapse.

Maya	And it’ll finally be over. 

Brad	Let’s see what’s in those barrels. 

Maya	Can I help? (Wire drops)

Brad	Whoa, whoa, whoa, whoa. Be careful, this stuff is really volatile. The chemical compounds in dynamite haven’t changed for years.

Kenning	Very knowledgeable for a man with muscles where his brain should be.

Brad	You’re looking a little under the weather there, Rich.

Kenning	Did you really think I was going to let you destroy my dad’s legacy?

Caitlin	You’re just another sick, twisted prick. Just like your father.

Kenning	Well, they say the apple doesn’t fall far from the tree. (Growling)

Kenning	This guy will kill all three of you with his bare hands. (Roaring)

Kenning	Go get her. 

Brad	He looks like he’s taken his juice.

Caitlin	Let’s go daddy’s boy.

Brad	(Screams)

Krun	(Gurgling) (Body hitting the floor)

Brad	(Grunting)

Brad	(Panting) Twice as fast, twice as strong. 

Brad	Stop. Your mum.

Krun	(Grunts)

Brad	Twice as stupid. (Punching noises)

Brad	(Grunting) 

Kenning	(Laughs)

Caitlin	(Moaning)

Kenning	(Laughs)

Caitlin	(Moaning)

Kenning	(Laughs) 

Caitlin	(Grunting)

Caitlin	(Grunts) (Body hits floor) (Footsteps)

Brad	Caitlin. Help me.

Caitlin	Brad (crying).

Brad	Whoa. Hey. Scared you’d lost me? That’s good.

Caitlin	Maya.

Brad	(Groaning)

Maya	(Shallow breathing) I’m sorry.

Caitlin	Sorry for what?

Maya	I didn’t attach the last explosive on time.

Brad	No worries, we can do it.

Caitlin	Hold this, apply pressure.

Maya	You don’t understand. They’re attracted to the noise. This place is going to be filled with creatures. You guys won’t be able to fight them.

Brad	Fight them? We need to get you out of here.

Maya	I’m not going anywhere.

Brad	And I’m not leaving you behind.

Caitlin	We can get you help.

Maya	I’m losing too much blood. I’ll die either in here or out there. I’d rather die knowing that I took this place to hell with me.

Caitlin	What are you saying?

Maya	Even if you could save me, I don’t want to live in a world where this place still exists.

Caitlin	We can’t let you do that.

Maya	You have no choice. I’m going to blow this place up whether you’re here or not.

Brad	Come on. (Grunts) Come on, Caitlin. (Grunts)

Maya	Go. Run.

Caitlin	(Coughs)

Brad	(Panting) That’s it. I’m done. I’m serving cocktails on a beach.

Caitlin	(Panting) What, with shit pay and lousy tourists.

Brad	(Panting) No responsibilities, good weather.

Caitlin	(Panting) Yeah, the easy life.

Brad	(Laughs) (Grunts).

Caitlin	(Grunts) 

The child	(Screams and growls) 




