Voice Over	Previously on Agent.
Blaze	Yeah. I mean, you know better than anyone that his form has not dipped, and like a pro he still goes and wins every game for the reserves.

Santiago	It’s a bonus man…

Blaze	Yeah come on. Do you believe that?

Santiago	Doesn't matter what I believe. 

Santiago	I keep asking man, okay?

Blaze	Yeah, thanks Santiago. Hey Santiago. They don't call you the engineer for nothing.
