

(BORN A CHAMPION)


DIRECTOR	And roll sound please.
TAREQ	No Blain's punches are fucking dangerous man.

AMIN	Whatever. He's a cheater anyways.

TAREQ	Oh. So, he's a cheater now huh?

AMIN	I'll show you.

TAREQ	Wait what? Your dad has tapes of his tournaments?

AMIN	Yeah I found them a few months ago. He used to keep them...in the safe but now they're just...

TAREQ	Who's this...big guy? He looks bad ass. White dude's gonna get his ass rapped.

AMIN	Oh yeah? He was my instructor when I was a kid.

TAREQ	Oh shit.

AMIN	You think that guy could beat Blaine?

TAREQ	(Speaking in foreign language) (SUBTITLES) Shoot…probably, yeah.

AMIN	Okay watch.



ARAB REF	…we have Mickey Kelley from... (Cheering) the United States. And Marco Blaine from Brazil.

TAREQ	No way. When was this?

ARAB REF	Gentlemen...begin!

TAREQ	What a minute. Was he still bowing?

AMIN	Yep.

TAREQ	Dude we gotta show my brother. He thinks Marco's a God.

AMIN	When's he back from London?

TAREQ	I'll just upload it to my site.

PHILIP	He wasn't even looking!

MAKMOUD	It's bullshit.

PHILIP	Back it up.

MAKMOUD	Bloody hell.

PHILIP	We should post on the forum. I bet it will get like a thousand views. Watch this!!! Www.fighttalkforumsusa.com Beefcake180- Posted just now!!!

SINGER	Squash it.

BURCHMAN	The whole point is it's been uploaded and ripped a dozen times over.

MASON	Oh get out of here. You can hardly see either of them from...the distance of this video. This thing could be a work.

BURCHMAN	Wasn't a work. This guy's good. And that is clearly your boy.

MASON	Let me tell you something. There is always some backyard theoretical fighter who thinks he can take on the pros. They never succeed, they never will. So bring me somebody else besides some fucking journeyman.

BURCHMAN	Your number one contender is on a six month damage suspension. You asked me who I thought would be the biggest draw. And you log onto any…one of these forums and you'll see that there's a ton...of buzz around this video.

MASON	So you want to give some...nobody a title shot. Because he got sucker punched by Blaine, what 6 years ago? Jesus the clown's lucky that...Blaine ended him so quickly.

BURCHMAN	You should watch the whole video, cause this guy's no journeyman...he is the real deal.

MASON	Oh says who?

BURCHMAN	People. People that know. And they're saying that Marco's claim to being undefeated is hollow…because of this fight. And as soon as this hits the magazines...it's inevitable. Everybody's gonna wanna see a rematch. Right? This is a story…this is the kinda story that dream fights are made of.

MASON	I don't finance people's dreams. I finance their do's.

BURCHMAN	Okay. This isn't his dream. He doesn't even know about it. I don't even know if he would accept the fight. Dude...just knda disappeared one day.

MASON	Who is he?

BURCHMAN	(Chuckles) His name's Mickey Kelley. Pitt knows him.

PITT	Personally I felt...sorry for him man. I mean…hell he had to be like forty something when I caught back up with him and you can't just go that many years without high level training and expect to be competitive. You know I mean at least not against anybody that's good so uh...you know Jiu- jitsu constantly evolves. And that’s exactly what I told Mason but you know...he insisted. Hello. Mick.

MICKEY	Is that Pitt?

PITT	Yeah.

MICKEY	How you doing?

PITT	What's good, brother. How you doing, man?

MICKEY	Good. It's good to see you.

PITT	You too, man. What the fuck are you doing here, man?

MICKEY	You know. Payin' some bills.

PITT	Yeah. Okay.

MICKEY	I heard about the new gym. I'm uh, I'm proud of you, man.

PITT	Thank you. Thank you.

MICKEY	I knew you'd do something with wrestling.

PITT	No shit, man.

MICKEY	So what's uh, what's...going on?


PITT	Travis, this is Mick. Mick meet Travis.

MICKEY	How are you, man?

TRAVIS	What's up, man? Nice to meet you.

MICKEY	It's very nice to meet you.

PITT	He's training with me for a little bit, you know. Looking to get him some fights. I want to get him some...more different styles, you know and uh… I was telling him that you was a slippery motherfucker back...in the day, so…

MICKEY	Well, I appreciate that, man.

PITT	I was just wondering if um…you mind rolling with him a little bit to see how he does?

MICKEY	Yeah.

TRAVIS	Yeah?

MICKEY	Right-right now?

TRAVIS	Yeah, I got my gear with me.

PITT	If it's okay.

MICKEY	Yeah. We could uh...

PITT	You want me to grab the broom or...

MICKEY	No. That's, that's...

PITT	Alright. Let's go.

LATER TRAVIS	You good?

MICKEY	Uh, yeah.

PITT	Alright, let's get it. Let's get it. Hey, watch your neck. Watch your neck. Watch your neck! Neck, neck, neck!

MICKEY	You alright?

TRAVIS	Yeah. I'm good. I'm good.

PITT	That's a good-that's a good warmup.

TRAVIS	You're good, right?

MICKEY	Yeah.

PITT	Hey. Close the elbow. Hey. Close the-close the elbow right there. Watch your neck, neck, neck! He's looking for--neck! Okay, man. Watch the fake. Nothin' there. Nothin' there. Little handplay right here. Uh-huh. Uh-huh. Beautiful shot, Travis! Widen your base. There you go. Uh-huh. Yeah. Oh, he's reaching under. He's reaching under. Mother--Turn the corner. Watch the arm. Turn into him. Turn into him. Turn into him. No. Breathe. No, no. You're good. He's going for the...arm.

TRAVIS	Stop!

PITT	You alright?

TRAVIS	Yeah. I'm good, man.

PITT	Alright, man. Give it to him straight.

MICKEY	You know, I think you know you leave your neck dangling...on that shot. On the single uh...run the pipe quick. Uh, keep your elbows tucked just so I can't get the Kimura grip for your fore. This ain't nothing that Pitt kick away and fix, you know. It's uh…I mean, you clean those up, and you'll be, you'll be dangerous buddy, I promise you.

TRAVIS	Yeah, maybe I’ll do that. Thanks, man. I appreciate it.

MICKEY	Of course.

TRAVIS	Pitt, I'll see you outside.

PITT	Alright, T.P.

TRAVIS	(inaudible)

MICKEY	Is he alright?

PITT	You really don't know what the fuck is going on out in the world, do you?

MICKEY	What are you talking about?

PITT	Bro…that’s Travis Prince, man. He just won Brazilian Nationals. Look, I asked you before. What the fuck are you doing here? Oh, trust me. He's still got it. If he's injured, I can't tell.

MASON	Don't say anything to him just yet.

PITT	No. I won't mention it to him. I'm actually thinking about offering him a job, so I don't want his head to get too big if I do.

MASON	What do you mean? I mean, you think the guy's that good?

PITT	Well, I tell you what, if you do end up putting this fight together, my money is not gonna be on your boy.

MASON	What? Are you joking?

PITT	Yeah. Let me put it this way. If the fight goes to the ground, your man is fucked.

MICKEY	You know I would, man. Yeah.

LAYLA	Hey. What's going on?

MICKEY	So…you know, let me uh...let me talk to Layla about it, and I'll call you tomorrow. Alright? Okay. Talk soon.

LAYLA	Who was that?

MICKEY	You remember, you remember Pitt...right?

LAYLA	Terry? Yeah.

MICKEY	Well, he started an MMA training facility awhile back and...he'd like me to teach grappling. Baby, I wouldn't have to bounce any--

LAYLA	I am so sorry.

MICKEY	So am I.

LAYLA	Just promise me you're gonna be careful.

MICKEY	I will.

LAYLA	Okay.

MICKEY	Hey, Pitt.

PITT	On tight, on tight!

MICKEY	Pitt!

PITT	There he is. What's up, brother?

MICKEY	Wow.

PITT	Welcome home, baby.

MICKEY	Yeah.

PITT	Welcome home.

MICKEY	When your opponent switches base, head side, case on top, there's two options. One side's gonna be high, so if you…can turn into me. Now when I'm ready, I'm gonna hip escape out, and I'm gonna straighten that table. The table disappears...and I come to the top position. Yes. Yes, yes, yes. Beautiful. Where do his hands go? To his face. This hand is solely there to prevent me from closing the distance to you. Stop, stop, stop, stop. Not for your face. You guys leverage and efficiency.

PITT	He's right over there. Hey, Mick.

MICKEY	You guys, excuse me for one second.

KYD	Daddy!

MICKEY	You! Ho ho ho! I didn't expect visitors on my first day at work. What is happening right now? Oh! Choke. I tap out. Daddy taps out.

LAYLA	Okay. Okay. Well, we... wanted to come and see daddy's new office.

MICKEY	Thank you.

KYD	This is amazing.

MICKEY	Daddy thinks so too. I'm very excited about this...place.

KYD	Dad, when will I...get to fight?

MICKEY	Well, if everything goes according to plan...never.

KYD	Why?

MICKEY	Hey. Daddy's already taught you the self...defense aspects of jiu-jitsu...and that’ll get you out of just about any problem that comes up to you. But you’re not getting in a ring or a cage. Daddy wants you to have other options in life. All I learned is fighting. And I wish I had those options. But I…want you to be different.

KYD	Mr. Pitt...says kids my age can fight.

MICKEY	Oh, is that what Mr. Pitt says.

PITT	I don't really recall having that conversation with you...whatsoever.

MICKEY	'Cause I…think I recall having a conversation with Mister...Pitt and telling him, not my kid. The kid would never.

PITT	Never. Yeah, so when we were…talking…that--you weren't supposed to mention that, man.

KYD	I just had to.

MICKEY	I'll tell you what I do. Pitt, throw me the gloves. Yeah. Give me your hand. Put it in here. Right there. Look at that. When that fits, we'll talk about it. You understand?

KYD	Yes, sir.

ROSCO	And for a brief moment, every...thing seemed okay. But eventually…that video caught up with him.

MASON	Pssh… It’s me. Alright, call his manager... If the guy's even got one.

GROUP	Ooh! Oh!

PITT	Now he's gonna take him down.

GROUP	Ooh!

PITT	(inaudible)

REFEREE	The winner...by submission, Mickey Kelley!

ROSCO	That same day…I got a call from Brian Burchman. Some bigshot match maker. He gave me a a bunch of forums to check out. Sure enough, all... the talk was of Mickey being the only fighter that could possibly beat Blaine. The public was demanding a rematch. But Mickey was 46 years old and out of training. While Blaine…was 31 and at the top of his game, not to mention the other problem.

BURCHMAN	Your boy's becoming a legend. He'd be stupid not to cash in on this.

ROSCO	Yeah but he might have an issue with the physical. He’s got a bad eye.

BURCHMAN	Don’t worry. If he wants to fight, I got a doctor for him.

ROSCO	Look, it doesn’t matter what I say, I know he’ll want the fight. He's not the problem.

MICKEY	It's 75 thousand...dollars just to walk in the ring. That's more than I make in a year!

LAYLA	I don't care if it's a million dollars, I can't let you do it.

MICKEY	Okay, just let me finish--

LAYLA	No. For five years I have felt guilty for letting you do something so stupid.

MICKEY	Baby, I was young. I thought I could win. I'm older now. I know I can't win. I'll go there, I'll roll around, at the first sign of trouble I'll tap. And we'll go home with some money.

LAYLA	Do you really expect me to believe that when you get there, you can get in that ring with that fucking prick...and you’re gonna be able to resist the urge to give him...the ass kicking that he deserves? Really? Really. Okay. Go ahead. Look me in the eye and tell me that.


MICKEY	I can't. When you met me, I was great at something, I was confident and I was proud, and I had this thing that I carried with me everywhere. You take that away from me, and I'm…not the same. I'm not even…I'm not even a man anymore. I had somebody like that...for a dad. And I just don’t want that around Kyd. I need to face him.

LAYLA	Let me go. No. (sniffs) I was barely okay with him teaching privates, but this is just…

ROSCO	Crazy? I know.

LAYLA	Privates, no one is trying to hurt him, but in a cage, it's literally all they're trying to do.

ROSCO	(sighs) Maybe I can just--

LAYLA	But I love him. And it's a question he needs answered. So... if I don't let him do it, it's gonna eat away at him forever. He's gonna end up resenting me, and I will lose him anyway.

ROSCO	Now I know why you two are married. You’re just as nuts as he is.

LAYLA	Promise me on your…godson's head...that if I tell you to stop the fight that you will stop the fight. Thank you. Hey. Okay.

MICKEY	Okay?  I love you. A lot.

LAYLA	I know. Me too.

ROSCO	Before he even had a contract, Mickey started training his ass off.

PITT	What's this? Let's go, man.

ROSCO	You got it, baby.

PITT	Come on now, work, baby. Put in that work. Uh-huh. Keep working. Uh, here’s the reality of the situation. If you’re standing, you've got a life expectancy of 60 seconds okay? The longer you’re up, the more chances you got of getting hit. Alright, brother?

ROSCO	Building strength. Building speed.

TRAVIS	Come on. Push it!

PITT	Come on! You’re gonna need to close the distance and take him to the ground faster than…ever. And once he’s down, you don’t have unlimited time like you did in the old days, man. You got…five-minute rounds, so you're gonna have to submit him before the bell. On top of that, Marco’s been working on his ground game, so he’s not the same Jiu-jitsu newbie. We’re gonna give you the clinch strength of a goddamn silverback, boy. You hear me? So that when you’re on the ground, you're gonna manipulate him like a Gumby doll.

ROSCO	Working on techniques that would help his left side get protected as much as possible.

PITT	Forget the hell drop, okay? Don't worry about taking this back or nothing like that. Blaine knows you're a grappler, okay? He's expecting that. Take him over the top. Suplex.

ROSCO	While trying new strategies to keep Blaine on his toes. It was all pointless. Mason had fought so hard to bring the sport to the mainstream…that he couldn't risk having a fighter get…massacred on TV. So before officially announcing...fight, he brought in a real doctor for Mickey’s physical. Mickey passed everything with flying colors up until the vision test. There was no way Mick was getting cleared. That was March 8th of 2001. His car was at… my shop with a bad carb, so I’d dropped him off at the Doctor's. Layla was gonna pick him up. Me and Kyd were coming back from Hobby Shack.

KYD	Granny! Look what Uncle got me.

REPORTER	Ran a stop sign…

ROSCO	6pm...

REPORTER	…crashing into a Volkswagen Beetle.

ROSCO	I actually saw it on the news.

REPORTER	First responders are on the scene.

ROSCO	Yeah. Layla's death changed Mick in a way that…I'll never be able to describe. Never said it but...he felt responsible. It was all over his face. If only he hadn't...

IRATE DRIVER	Hey, dumbass! I'm talking to you! Hey, man, you alright?

MICKEY	No, I'm good.

IRATE DRIVER	You alright, bro?

MICKEY	I'm going.

IRATE DRIVER	Everything okay?

ROSCO	I think Kyd was the only thing keeping him alive.

MICKEY	Remember to tell your mom about the honor roll, alright?

KYD	Okay.

MICKEY	She's gonna be very proud of you. And tell her I had you try sushi, okay?

KYD	Okay.

MICKEY	You don't have to tell her if you thought it sucked. Keep that to yourself. Hey.

KYD	Oh. Thanks. Aren’t you coming?

MICKEY	No, you know... Uh, I came earlier today.

KYD	Oh.

MICKEY	So this is uh…just your time. You go, okay?

KYD	Okay.

MICKEY	And tell her you're gonna learn how to surf this summer! Huh? And that you love her! That we--(softly) that we love her, buddy. (exhales) Night-night, dude.

KYD	Good night. What about our prayers?

MICKEY	Yeah. Yeah, we can.

KYD	Angel of God, my guardian dear to whom God's love commits me here. Watch over me throughout the night. And keep me safe within your sight. Amen.

MICKEY	You know, I really appreciate how much you and your mom have helped out with Kyd.

ROSCO	Come on, bro. You're family. How you holding up?

MICKEY	Feels like a fridge fell on my chest, man. Feel like my lungs just aren't filling up properly when I breathe. And I don’t want Kyd to see me like this, you know?

ROSCO	You're being really hard on yourself. It's a tough thing you’re going through.

MICKEY	You remember what I told you about uh, about my dad?

ROSCO	Yeah, he walked out on you.

MICKEY	He killed himself. Right after he killed my mom. Life gave him a couple of hard knocks and he...took it out on us. I guess he couldn't provide for us, you know? So, he just, he just…fucking gave up. And he took my mom with him. And I'm…I'm fucking ashamed of that, man. When I got out of the military, you know, I took my mom’s maiden name. Legally. I wanted to throw away everything about that fucking O’Sullivan name. I wanted nothing to do with anything that he was.

ROSCO	Why are you telling me this now?

MICKEY	Because I need you to know who I am. And I don't want Kyd to see that...same defeat in my eyes, you know? I want him to know that Kelley’s keep fighting. We don't stop. You know…a good dad is not supposed to tell his son how to live his life. You know, he's just supposed to live it correctly and let him watch. And I know he's watching, man. I just never…planned on doing this without her. You know?

ROSCO	Listen. You're gonna get through this. I promise. God doesn’t give you more than...you can--

MICKEY	Don’t, man. Just don't. Don’t bring up God. I got some fucking words for him.

ROSCO	That's what Layla would say if she was here. Remember that time…she showed up at my place crying? 'Cause you told her you were gonna take the fight? You know what she said to me?

MICKEY	No. What?

ROSCO	Was that the moment that you got into that ring, that you look that son of a bitch in the eyes...

LAYLA	He's gonna know he can win, and he's not gonna stop until he does.

MICKEY	Guys. Gi's on, belts on. Class starts in…five minutes.

JIMMY	Hey, Mick. Hey, uh…hey, listen, I uh…I heard about your wife. Sorry, man. I'm really sorry. Look, if you ever need anything…I mean it.

MICKEY	I…I appreciate that.

JIMMY	Yeah. Okay.

MICKEY	Jimmy. What are you doing here?

JIMMY	Well, I've been going over what you did to me on the mat for the past…few years, and I uh, well, I just can't wrap my head around it. So I signed up for your evening class. So I'll…be seeing you.

PITT	Yo, Mick. Phone call.

MICKEY	Hey, Pitt. Can you take a message?

PITT	Well, he says it’s important. Some dude...from Dubai.

ROSCO	Sometime in late...July, Mick got a call from his old friend in Dubai. Turns out Dimitris...found out about the rematch that never happened and offered to put it up himself with the same purse. Seventy-five grand just to show up, and another hundred and fifty grand to the winner.

MICKEY	We got a fight. Hey…who’s the man of the house while daddy’s gone?

KYD	I am.

MICKEY	That’s right. So, anything Granny Taco needs...you make sure she’s okay.

KYD	Yes, sir.

MICKEY	And you be a gentleman, and pay attention to her, okay?

KYD	Okay.

MICKEY	It's only 5 days. I'll be back before you know it. And you know what? Daddy's flying again. So maybe I'll talk to the pilot and see...if I can bring you back some wings. I love you, dude.

KYD	I love you, too.

ROSCO	Needless to say...after thirty days of hard training, we were on a plane headed right back to Dubai.

PITT	I couldn't believe Mason even agreed to let Blaine fight, but I guess, at his core, he's just a fan like the rest of us, and you know, he wanted to see who'd win.

ROSCO	So, to keep it quiet, he set 100 lucky winners max, and that all attendees have their lips permanently sealed.

DIMITRIS	Ah! Welcome back to Dubai.

MICKEY	Appreciate the opportunity, Mr. Kostopoulos.

SHIEKH BIN KHALID	Nice to see you again, my friend.

MICKEY	Wonderful to see you, too, sir. Again, thank you for the hospitality...with my friends.

SHIEKH BIN KHALID	Think nothing of it, Mickey. I would have thrown the fight myself...if I would've known you'd still be interested.

DIMITRIS	Are you joking? He is stubborn. I saw it seven years ago. Doesn’t know when he is beaten. Now he comes here to risk his health...for only $75,000. Is that the worth of a man’s health in America? You care for a dollar like I care for a million. At least Marco, he bargained with me a little bit. I got him for 100,000, and when he wins the extra 150,000, he's going to buy a Ferrari Maranello. This is what you are to him. A new car. Ah! He is also ready.

ROSCO	Mick, you good?

MICKEY	Yeah, I'm good.

ARAB REF	Weighing in at...168 pounds. Mickey...Kelley!

PITT	Yeah, baby.

ARAB REF	And…his opponent. Weighing in at 170.9 pounds...Marco...Blaine!

MARCO	Your jiu-jitsu no work here, pig!

ARAB REF	Okay.

ROSCO	No.

ARAB REF	These are the...terms, as agreed to by both camps. First...there will be no biting. No head butts.

STELIOS	Mr. Kostopoulos is taking wagers. If you are so inclined to.

BURCHMAN	I am so inclined. You?

MASON	Yeah.

ARAB REF	…if the opponent has a hand on the mat.

ROSCO	Anything else you need, princess? Maybe some knee pads. What's up? You can suck it.

ARAB REF	Okay…gentleman. We will see you tonight.

DIMITRIS	Bin Khalid...thinks you are brave. But I know the truth. You are not brave. You are stupid. What really makes you think you can win?

MICKEY	I’m gonna make him quit. You see, God…or “Allah” or whatever you want to call him. He's got a message for all athletes that get pushed far enough. And he delivers it through lactic acid. It's a by-product of muscle use. Hell, it makes standing even almost unbearable. It’s his way saying that your organs are gonna completely shut down if you keep pushing yourself. Well, your boy, when God talks to him...I’m bettin’ he’s gonna listen.

DIMITRIS	And what about you?

MICKEY	I quit listening to God six months ago. You ready?

PITT	Yeah. Let's get out of here.

BURCHMAN	What is it?

MASON	Kelley. That’s not his name.

RING ANNOUNCER	And now...hailing from the United States. In only his fourth professional fight...Marine Corps veteran and jiu- jitsu intructor, Mickey...Kelley!






MASON	How you...doing, son? Sit down. Sit down, here. You’re about to go to work. I'm Dick...Mason. I'm the guy that uh, tried to put this fight together the first time. The right way. Apologies. Medical exam...was out of my hands. Marine, huh? I was Commanding officer myself during the Gulf War. I only lost one marine under my eye the whole time. That low number didn’t make it any better though. His Abrams rolled over a pissant IED near Kirkut and the c-track de-wheeled. He was an engineer, just like myself when I enlisted. He did his job to perfection. He...got out of that tank. He almost fixed that shit... ‘til a sniper found him. Ear to ear. Dropped him on the spot. His best friend since he was in boot...was in the tank with him, a guy named O’Sullivan. The crew was ordered to evac and the whole battalion was re-routed. When they came under gun and mortar fire, everyone obeyed. Except for O’Sullivan. You know, it turns out...you never know what a man’s capable of until you look him in the eye. But he waited there for two days, guarding his best friend’s body until it could be extracted. Did it all with a sidearm. A pistol, mind you. (chuckles) A damn pistol. When they asked him why he did it after the fact…he stood in front of this debrief panel under threat of a...DD and he told them...because the job wasn’t done yet. Really wish I coulda’ looked that fella in the eye…before I called that pull. Now, once the story got out...all the big-wigs back in Washington, they wanted to throw a medal at him. And I wanted to meet him myself for my own reasons. But we couldn't find him. Apparently, he changed his name. You ever hear that story before, son? I always wanted to meet the man that carried my son...off that field. Semper Fidelis…Sergeant O’Sullivan. Godspeed.

ROSCO	Here we go. CAlright? We good? You alright?

BURCHMAN	Whoo! He looks good. He looks good! [laughs] We're gonna win so much money betting against these idiots! [laughs] Vegas is gonna die for these odds.

MICKEY	Taco, look. He's wearing a sherpa.

TAREQ	This is amazing, bro. The rematch of the century.

RING ANNOUNCER	Ladies and Gentlemen...welcome to the fight that...everyone asked for, only made...possible by the pope of Al Nasser.

PITT	Fingers over here.

RING ANNOUNCER	...square, Mr. Dimitris Kostopoulos. Now, without...further ado, a man that needs no introduction. From...Brazil, the undefeated VTC welterweight champion... Marco Blaine!

PITT	It's time, baby.

ROSCO	Okay, use your head.

PITT	Time to...execute.

ROSCO	Come on.

RING ANNOUNCER	His opponent, hailing from the United...States, unknown to most, but celebrated...by many, a jiu-jitsu fighter and...US Marine corps combatives instructor with...only 3 known fights and a record of two…wins, one loss. Mickey…Kelley!

MICKEY	Let's go!

PITT	Let's go to work, baby.

ROSCO	Alright. Listen, Mick. You’re better than this guy. I know that, and you know that. You have nothing to prove. If something doesn't feel right, let's get out of there safe, okay?

MICKEY	Yeah.

ROSCO	So watch that thick skull of yours.

RENZO	I'm gonna go say hi to him.

PITT	Mick, Mick, Mick.

RENZO	Oha, Mickey. I wouldn't miss this. Good luck, man. Good to be here.

MICKEY	Professor Renzo? I'm good.

ROSCO	Get it on, Mickey. Let's go.

MICKEY	Alright.

ARAB REF	Gentlemen. You know the rules. Obey me at all times. Protect yourself at all times. I want a clean fight. Understood? If you want to shake hands...do it now! To your corners!

TAREQ	Thirty seconds, bro. If he doesn’t get Marco down in thirty seconds, it’s no good.

PITT	Let's go, man.

MICKEY	Alright.

PITT	Go to work.

BURCHMAN	He looks good.

ARAB REF	Ready? Begin.

RENZO	Yes!

PITT	Come on, baby! Yes, sir!

ROSCO	Put him down!

PITT	Protect, baby! Protect! There you go!

AMIN	12 seconds! He got him down in 12...seconds!

ROSCO	Make him turn!

RENZO	Nice!

PITT	There you go!

ROSCO	Here we go! Here we go! There you go, Mick!

PITT	Give it to him!

TAREQ	Go, Mickey!

ROSCO	Give it to him! Come on! Give it to him. Yes!

PITT	Yes! That's his ego right there. Yes. On the ground. That's his ego.

ROSCO	Squeeze! Squeeze!

CORNER MEN	Go! Go! Go! Go! Go!

ROSCO	You got him!

ARAB REF	He can't move! Break! Break!

ROSCO	What are you doing? He…had him!

MICKEY	What are you doing?

ARAB REF	No head butts.

PITT	Dammit! The fight was over!

ARAB REF	To your corners. What is this?

PITT	This is bullshit!

ARAB REF	Go see your corner...man.

ROSCO	Come here! Fucking pussy. No wonder they didn't want cameras. Let me see your face.

ARAB REF	Hey. One warning only.

PITT	He's good.

ROSCO	He's good.

PITT	You're good.

ROSCO	You're good, man.

ARAB REF	Next violation, you'll be disqualified. Fighters, ready?

MICKEY	No! Start him on the ground!

TAREQ AND AMIN	Boo!!

ARAB REF	Fighters, begin.

ROSCO	No! Dammit.

ARAB REF	Take a pass, guys.

ROSCO	Get up, baby! Get up! Get up!

ARAB REF	Get up! Get up!

PITT	Really?

ARAB REF	On your feet.

ROSCO	Cover up, Mick! Cover up, Mick! Cover up, Mick! Mick, chin down! Chin down, Mick!

PITT	Come on, baby! Guard! Here it comes, baby!

RENZO	Oh!

ROSCO AND PITT	Yes!!

PITT	That's it, baby! He's hurt, baby! He's hurt!

RENZO	Yes! Yes!

PITT	Here you go!

ROSCO	Now he wants to take it to the ground!

PITT	His legs buckled. He rocked him! Yes, you're well! Give it! Hold your guard right there. That's right. Keep up your guard. Control his posture. Control his posture, Mick! Defense. Defense!

ROSCO	There you go!

RENZO	Go! Go! Go!

ROSCO	Stay heavy!

BURCHMAN	Come on.

PITT	Triangle! Triangle. There you go. Grab him! There it is!

ROSCO	Let's go!

PITT	There it is!

ROSCO	Come on, Mickey! Let's go!

PITT	Mickey, let's go!

ROSCO	Let's go!

ARAB REF	Break!

PITT	He looks really bad.

ROSCO	Shit.

PITT	What's wrong?

ROSCO	He can't see. At all.

MICKEY	It's just...white…streaks.

ROSCO	Mick, we're gonna have to throw in the towel.

MICKEY	We can't.

PITT	What do you mean we can't?

MICKEY	Mr. Kotsopoulos. You know, I thought about what you said. You know, Marco wants a car. Well, I want something, too. I want a house. And an education for my kid.

DIMITRIS	That's nice. But you cannot win.

MICKEY	You know, you say a dollar to me is like a million to you. I can't argue with that. So I got a proposition for you. Why don’t you keep your 75 grand. I’ll show up tomorrow for free. But, if I happen to win, you give me that million. I trust your word’s good?

DIMITRIS	Bin Khalid…thinks you are brave, but I know the truth. You’re not brave, you are stupid. What really makes you think you can win?

MICKEY	It's all or nothing.

ROSCO	You stupid fucking...hick. Mick!

MICKEY	I may…have to eat a few punches to get to him. But if you can guide me to him…I can submit him.

ROSCO	Mick…

MICKEY	Listen to me. I had my head on his chest. It's all tweeter. It's no bass. He's gonna quit. I swear to God, he' s gonna quit.

PITT	Alright, one to...ten, you guys. Stool out.

ROSCO	I'm gonna guide you through this thing. But you're gonna have to listen for my voice, okay? Layla's gonna be for left. Kyd's gonna be for right. Alright? He's not straight up.

ARAB REF	Ready? Begin.

ROSCO	Hands up, baby. Hands up. Let's go.

PITT	Hands up, hands up, hands up.

ROSCO	Hands up, baby. Layla. Layla. Layla. Layla. Layla. Layla. Layla. Layla.

PITT	You got space, baby. There you go.

ROSCO	Shit. Here comes another one. Stay. Stay. Stay.

DIMITRIS	Ah.

ROSCO	Layla. Space. Space. Attack. Attack.

PITT	Put those hands up, baby. Put 'em up.

ROSCO	Kyd!

PITT	Watch it!

ROSCO	Hands up, Mick!

PITT	Hang tight. Put your hands up, Mick.

ROSCO	Watch out, Mick! Hands up! Hands up!

PITT	He's coming!

BURCHMAN	Stop him! Stop him! Stop him!

ROSCO	It's okay. Kyd. Kyd. Kyd. Kyd.

PITT	Come on. Come on. Up, up, up! Let's go! 6 feet away!

ROSCO	Layla! Layla, Mick. Layla! Layla! Layla!

RENZO	Come on, Mickey!

ROSCO	Get up, Mick. Mick, I'm gonna have to throw in the towel if you don't get up. Get up!

PITT	You gotta...get up, Mick!

KYD	I love you, Daddy!

MICKEY	You love me.

KYD	What about our prayers? Angel of God, my guardian dear to whom God's love commits me here. Watch over me throughout the night And keep me safe...within your sight.

ROSCO	I need to stop this, Mick.

PITT	Hey, God bless you, Mick!

MICKEY	Come on!

ROSCO	Go, Mickey, go!

MICKEY	Come on!

PITT	Yes!!

ROSCO	Take him back! Why is he not taking him back?

PITT	He's taking him over the top!

ROSCO	Come on, Mick! Take him! Finish him, Mick! Why is he not taking him?

PITT	He's hiding his hands so he can't...tap out.

ROSCO	That's fucking outrageous!

PITT	Hold him! Yes!!

ARAB REF	Get off!

PITT	It's over!!

RING ANNOUNCER	The winner is…Mickey…Kelley!!

BURCHMAN	What are you so happy about? Did you change your bet?

MASON	I looked in his eyes. I haven't seen that kind of conviction since...

ARAB REF	Get in there! Get your man!

ROSCO	Marco went back to Brazil and never fought again. Mickey…Mickey was rushed to the hospital. Doctors found cerebral swelling due to the hits he took. They had to induce a coma.

KYD	Where's my daddy?

ROSCO	Getting out of that cab alone was one of the most difficult things I'd ever done in my life.

INTERVIEWER	If this all really happened, why did we never hear about it?

ROSCO	The fight happened on September 1st of 2001. Ten days after that, nothing really mattered.

INTERVIEWER	You know, we went down to Carvell cemetery, and we saw Layla's grave, but…we didn't see Mickey's.

PITT	Hey, yo, Mick! You got company. Go ahead, man.

KYD	This it?

MICKEY	Okay. But we never start 'em. We just finish 'em.

