FEMALE REPORTER	[ speaking Turkish ]
PAM	Alright. Thank you.
PAM	We have to divide up into teams.
PAM	We got recruits coming from the the boat.
PAM	I want a team commandeering supplies for more sand bags, as well as scaffolding.
PAM	This wall has to be reinforced to a height of at least 60 feet.
PAM	Will that do it?
JOSH	Uh, Yeah. 60 feet should get you over the melt line,
JOSH	provided there's no tectonic disturbance near here.
JOSH	Brookhaven's not on the Ramapo fault. At least it didn't used to be...
JOSH	But I don't want to leave you. Not like this.
PAM	If this works,
PAM	I'll ask you out again.
PAM	[ laughing ]
PAM	Since we don't work together anymore.
JOSH	Take care of her for me. Please.
ROB	Come on, fellas.
ROB	No time like the present to do something with your life.
EARL	We're going to need scaffolds on everyone of these.
EARL	Hey! Make sure they're strong enough to keep the building up.
PAM	The ion cannons here have been designed to run in parallel.
PAM	And that's perfect for what we need, but...
PAM	Normally, you'd just take 2 particles running in opposite directions and
PAM	crash them into each other at a pre-determined point and time in space.
PAM	We need to recalibrate the cannons to fire multiple bursts of particles at ever
PAM 	accelerating rates. Each particle faster than the last.
PAM	So instead of merely colliding two particles into each other at once,
PAM	we collide thousands. Millions.
BROOKHAVEN SCIENTIST	So, to overcome the second law of thermodynamics...
BROOKHAVEN SCIENTIST	We'd create an enduring singularity? 
PAM	Yes.
PAM	And then we kill the power to it. Can we do it?
BROOKHAVEN SCIENTIS	Come on.	
PAM	Whoa.	
PAM	That kid has a future in quantum physics if he keeps up at this rate.
MARJORIE	Yeah. If we live.
PAM	Hey.
PAM	You can't give up hope.
PAM	I don't know if it's God or karma or physical probabilities that result in miracles,
PAM	I don't know if I believe in God or karma,
PAM	I do believe in miracles.
MARJORIE	Let me tell you about your miracles. 
MARJORIE	My sons and I were with my husband on our way to the grocery store,
MARJORIE	when the tsunami hit miles away.
MARJORIE	We were going to shop that's why I didn't pack no water wings...
MARJORIE	[ crying ] nothing.
MARJORIE	I didn't pack nothing.
MARJORIE	This one can tread water for days, but you know, he's clinging.	
MARJORIE	He was holding me so tight, when I came up to the surface, I couldn't see my husband.
MARJORIE	[ crying ] I couldn't see, Pablito. I couldn't see my baby.
PAM	I'm so sorry.
MARJORIE	[ crying ] Don't touch me. 
PAM	He wanted to hold on to you.He didn't know what to do. 
MARJORIE	I didn't know what to do. They still don't know!
MARJORIE	But I know that I can't keep living like this.
PAM	Wow. That's amazing, Ron. How did you do that?
PHIL	What's up, Josh?
PHIL	Hey remind me, It's bow, aft, port, starboard?
JOSH	You got it. You got it.
PHIL	Right on.
PHIL	What's - what's this thing here?
JOSH	This is a MINS navigation system.
JOSH	Helps us get from point A to point B.
PHIL	Awesome.
PHIL	Does it beep? Does it-- How do you know?
PHIL	What's the--
JOSH	It's a combination gyroscopes and accelerometers
JOSH	that enable's the inertial nav system track our exact location on the planet.
JOSH	Irrespective of GPS signals or the Earth's magnetic field. Yeah.
JOSH	You just pick your next destination. 
JOSH	Then this baby keeps you honest in-between. That's why I upgraded the radar array.
PHIL	That is amazing.
JOSH	Yeah. It wasn't cheap either.
JOSH	That's why they don't come standard on boats and planes.
PHIL	Can we make it that far without refueling?
JOSH	If we can keep the wind to our backs we should have just enough diesel to get there.
JOSH	Just.
SOLDIER	Stand clear.
SOLDIER	[ grunt ]
ROB	Ladies and gentlemen,
ROB	I give you OVER 60 feet of sea wall.
ALL	[ cheering ]
SOLDIER	The utility pole!Stand clear!
SOLDIER	Run!
SOLDIER	We're - we're okay.
SOLDIER	We're okay.
TOM	Marjorie!
TOM	[ gasp ]
TOM	[ grunt ]
EARL	Everybody, get on dry ground, now!
EARL	Cut the power!
ROB	Told you not to mess with another man's power.
EARL	Cut the power now!
EARL	We got 3 down and 7 of us are trapped.
PAM	Stay here. Okay, buddy?
RONALDO	Okay.
PAM	Oh no!
PAM	Marjorie?
PAM	Alright.
PAM	What happened?
EARL	Utility pole for the facility came down.
EARL	Conducted the current perfectly.
TOM	Majorie.
TOM	Majorie!
TOM	Easy!
TOM	No, no, no, no!
EARL	Hey buddy. Take it Easy. It's alright.
PAM	You're okay.
PAM	You're okay.
EARL	You alright?
PAM	You guys should go to the control room.
PAM 	Ron's in there. Just don't tell him what happened. I'll tell him when I get back.
EARL	Hold on. Where are you going?
PAM	Our power is out.
EARL	I know. We turned it off when the lines went down.
PAM	Well evidently, most of the connections were fried from the sea water.
PAM	That was our last straw.
PAM	There's a coal and gas burning station at Hempstead.
PAM	One of their main sub-stations is near by. I'm going to try to power it directly
PAM	to the sub-stations so we don't go down there again.
EARL	You're going to hard wire into the collider?
PAM	Yeah.
EARL	Listen,
EARL	I was an electrician in the navy, okay?
EARL	It's been a long time, just but let me do it. Instead of you.
PAM	Are you sure you want to risk it?
EARL	You have a little boy to look after now. 
EARL	Besides, I promised Joshua I'd make sure you'd stay safe.
JOSH	What's going on here?
JOSH	This isn't right.
JOSH	[ grunts ]
JOSH	We're slowing down.
MEL	It's dark in here.
PHIL	Uh, Joshua... What's happening?
JOSH	[ grunts ]
JOSH	We're taking on water.
MOLLY	What are we gonna do? We're sinking!
NICK	We're not sinking. We're taking on water.
MOLLY	That's what sinking is!
JOSH	We've already taken on too much water. The electrical is down and so is the bilge.
JOSH	[ grunts ] Phil,
JOSH	I'm going to need you to oversee getting the water out of here.
PHIL	Uh-huh. Okay.
JOSH	Greg, I'm going to need you to give Phil a hand.
JOSH	I'm going to try to patch it from this side.
JOSH	Greg, I'll go down, I'll start pumping first. Greg-- Whoa!
JOSH	You gotta just make sure you get in and out again, okay?
GREG	Okay.
GREG	[ grunts ]
JOSH	Okay.[ grunt ]	
JOSH	Yea I think right up there wold be good.
JOSH	Alright. I'm gonna get pumping on this side.
GREG	Pump it! Pump it!
PHIL	Are you okay?
TOM	It's not fair. You're taking all the pieces.
TOM	Hey.
TOM	I'll see you later, little man.
TOM	[ whispers ] I didn't tell him anything.
PAM	Thanks.
PAM	Do you know what that shape is called?
RONALDO	A spiral?
PAM	Yeah. When I was little I liked building things a lot too.
PAM	I thought I was going to be an engineer.
PAM	Then my Daddy bought me a telescope and he took me to go look at the stars.
PAM	Do you like looking at the stars?
PAM	Hey, Ron?
PAM	Your mommy was in an accident.
PAM	She's not going to be okay.
PAM	Do you understand?
PAM	She loved you so much, Ron.
RONALDO	[ crying ]
PAM	and she wanted you to be so happy.
PAM	I know this hurts now, but you're going to make her so proud
PAM	with all the wonderful things you will do in your life.  
PAM	Because no matter where she is and no matter where you are,
PAM	she's going to always be right here in your heart.
RONALDO	[ crying ]
PAM	Okay?
RONALDO	[ crying ]
RONALDO	You're crushing me.
PAM	I'm sorry.
RONALDO	That's okay.
RONALDO	[ crying ]
PAM	I'm sorry.
JOSH	That should fix the leak.
JOSH	Mel!
JOSH	Mel! You okay?
JOSH	Whoa!
MOLLY	Looks drier outside.
JOSH	Look guys, I can try to fix the bilge, but we've already taken on so much water...
JOSH	we've gotta try to lighten our load. 
JOSH 	If we don't get rid of some of this stuff-- We've got to try to
JOSH	clear 700 hundred pounds. We're not going to make it.
JOSH	Computer equipment.
JOSH	Personal items.
NICK	There's got to be another way!
PHIL	You want us to throw the food overboard?
JOSH	No, no, no! Look, we've already made it 3,500 miles.
JOSH	We should be able  get there within a day.
MOLLY	If you even know where we're going.
JOSH	This isn't up for vote.
JOSH	If you want to live, start dumping. Come on!
JOSH	We gotta go. Move!
GREG	Nobody's touching the food.
PHIL	Too late.
GREG	Dude, you don't want to do that.
JOSH	Whoa, whoa, whoa.
GREG	Shut up, man!
GREG	Shut up! I'm not doing anything, okay? Nobody touches the food.
JOSH	Okay. Okay. Look. It's my boat. It's my food.
GREG	[ grunt ]
JOSH	[ screams ]
JOSH	[ screaming ]
JOSH	Okay! Okay!
JOSH	You keep--
JOSH	Okay. Okay. You keep the food. You make the call.
MOLLY	Asshole! He save you, and you shoot him?
JOSH	Stop! Stop! Stop!
JOSH	Okay! Okay!
JOSH	Whoa! Whoa! Whoa!
JOSH	GREG - Greg...
JOSH	Greg's in charge. Do what he says.
NICK	That's crazy! you can't put him in charge!
JOSH	He put himself in charge. I just want to listen to what he says.
JOSH	What do you want to do?
GREG	We're not throwing out the food!	
JOSH	Okay.	
JOSH	I get that. But how do you want to save the boat?
GREG	Alright.[ grunt ]
GREG	Just-- Like what you said.
GREG	Do what you said.
GREG	Alright. Throwing stuff overboard. Just not the food 
JOSH	Okay. Okay.
JOSH	If it isn't-- If it isn't bolted down, pitch it overboard.
JOSH	Take my computer. Take my journals. Everything in this cabin it goes.
MOLLY	Okay this never happened on playground duty.
MOLLY 	We gotta apply pressure or you'll bleed to death.
JOSH	Aah!
JOSH	Everything in this cabin goes! Aah!	
JOSH	Except the food!
GREG	Come on, guys. Let's go.
GREG	Come on guys! Nick, no! Come on!
JOSH	Look, don't wait for me.
JOSH	Go!
JOSH	What's next?
GREG	What about fuel, right?
GREG	We can dump that off.
JOSH	We barely have enough to make there as is.
JOSH	We're caring too much weight.
JOSH	Aah!
PHIL	Here's Pam's things.	You might want that. Excuse me--
JOSH	[ screams ]
GREG	Come on. We gotta do somethingelse. This isn't working.
GREG	MEL!
GREG	Come out of the bathroom, man!
JOSH	Hey! Hey, everybody!
JOSH	Listen. Listen, okay? Listen.
JOSH	We can get through this. But we've got to work together.
JOSH	We need all hands on deck.
JOSH	And I've got only one good arm left.
JOSH	[ scream ]
GREG	What if we just--We keep enough food to make it to dry land.
JOSH	You're in charge.
JOSH	Greg and I are gonna supervise dumping the food.
JOSH	Phil, Nick, you two get gonna have to keep dumping water out of here.
JOSH	Molly, you get whatever's not bolted down overboard.
JOSH	Mel?
JOSH	You just keep doing whatever it is your doing.
GREG	I'm sorry about, you know.
JOSH	Yeah.
EARL	Hey. You got it?
PAM	Alright. It's ready on my end.
PAM	But explain to me how I can hook this up without shorting every circuit in the collider.
EARL	We ran less than 5 miles of Kiwi ASCR, hard-patched into the substation.
EARL	That's over 160 Megawatts with less than 1 OHM of resistance
EARL	coursing through this line right there.
EARL	You've got your juice. [ laughs ]
EARL	Just don't ask me about eminent domain for all the stringing we
EARL	had to do with the flooded backyards, cause I ain't a lawyer.
PAM	[ laughs ] A lawsuit never sounded so good.
EARL	Yeah.
EARL	Hey.
EARL	How's the kid?
PAM	Hey!
PAM	Hey! It's okay.
PAM	Do you want to play with this?
PAM	I probably only have stinky games on there, but--
PAM	Look.
PAM	I don't knowwhat you're feeling or-- I'm useless.
PAM	Maybe if you tell me what's bothering you, I can try to help.
RONALDO	Nobody wants me.
RONALDO	Nobody ever will.
PAM	No.
PAM	No, no, no. That's not true.
PAM	Ron?
PAM	Hey.
PAM	Do you want to come live with me?
PAM	I'd love it if you came to live with me.
PAM	Please?
PAM	[ laughs ]
PAM	Okay?
RONALDO	Okay.
PAM	Okay.
PAM	It's a deal.
RONALDO	Deal.
PAM	[ laughs ]
GREG	Hey! Hey! There's land!
GREG	Hey! Hey, everybody. There's land!
PHIL	Sorry.
MOLLY	Where are we?
JOSH	France?
JOSH	The base of the Alps.
JOSH	Without MINS navigation or a working compass or altimeter,
JOSH	that's all I can say for certain.
GREG	I got this professor.
JOSH	That, and that we're running out of time.
JOSH	Come on.
PHIL	Looks like an old hotel.
MOLLY	Abandoned.
MOLLY	Where do you think Greg went?
JOSH	Beats me.
GREG	We're in a place called La Ravoire.
GREG	I'll drive us once I get this thing started.
GREG	As long as you guys don't mind a little broken glass.
GREG	What's the plan, professor?
JOSH	Get into CERN. No matter what.
JOSH	No matter what?
JOSH	Last time I spoke to CERN's deputy director, Dr. Zicree and I didn't exactly hit it off.
GREG	What? You guys throw-down or something?
JOSH	Or something.
GREG	Well, let's home that the man has a sense of humor.
JOSH	Or amnesia.
MOLLY	How high is 480 meters?
JOSH	That's over 1,600 hundred feet.
JOSH	You should be safe and dry for now.
JOSH	The ground is sinking.
JOSH	When the poles flooded, the sealevel rose by 260 feet.
JOSH	But the fact that, 800 feet of France is out under water means
JOSH	that the Helvetic zone or the eurasian plate is sinking into the mediterranean.
JOSH	Who know when it's going to stop.
JOSH	Or If.
JOSH	We've got to get to CERN.
SOLDIER	[ speaking French ]
GREG	I don't speak French. Does anybody speak French?
SOLDIER	[ speaking French ]
MEL	[ speaking French ]
MEL	[ coughs/sniff ]
GREG	Nice.
MEL	I told them that I don't speak French and that I'm hard of hearing.
JOSH	Excuse me.
JOSH	I'm Doctor Joshua Chamberlain.
SOLDIER	[ guard speaking French ]
JOSH	No no. I'm formerly with the United States
JOSH	Geological Survey I'm here to see Dr. Marc Zicree.
JOSH	The Deputy Director of CERN, Dr.
Marc Zicree.
JOSH	Please. It's urgent.
SOLDIER	You have to leave now.
JOSH	We're not going anywhere until we speak to Deputy Director Zicree. Please.
SOLDIER	[ speaking French ]
JOSH	Doctor Zicree!
GUARD	[ speaking French ]
GREG	They're not playing, professor.
JOSH	I'm not going anywhere until I see the Deputy Director Marc Zicree! Please!
JOSH	Aah!
JOSH	[ screaming ]
SOLDIER	[ speaking French ]
GREG	Easy, Frenchy.
GREG	Easy.
SOLDIER	[ speaking French ]
DR. ZICREE	[ speaking French ]
DR. ZICREE	Dr. Chamberlain.
JOSH	Dr. Zicree, is That you?
DR. ZICREE	[ catching breath ] I'm so sorry.
DR. ZICREE	[ speaking French ]
SOLDIER	[ speaking French ]
JOSH	Serves me right for not learning a second language.
JOSH	Dr. Zicree how did you--?
DR. ZICREE	I was in communications with your-, with Dr. Cushing.
DR. ZICREE	When I saw you on the security screens, thought I should intervene.
JOSH	Just in the nick of time.
DR. ZICREE	Do you need medical attention?
JOSH	No.
DR. ZICREE	Are you alright?
JOSH	Never been better.
SOLDIER	[ speaking French ]
DR. ZICREE	What do you want him todo with your truck?
JOSH	Park it.
DR. ZICREE	[ speaking French ]
DR. ZICREE	Pamela forwarded your settings for increasing the power of ur particle collisions.
DR. ZICREE	Frankly, it's genius, and our theoretical models are predicting at 2,000
DR. ZICREE	to 2 million fold increase in the potentiation of both colliders.
DR. ZICREE	But so far in tests we've been unsuccessful.
JOSH	Have you been assuming a linear collision model?
JOSH	You'll have to use the Fokker--
DR. ZICREE	Planck equation of course.
DR. ZICREE	We're talking about Planck-Energy Level collisions that could
DR. ZICREE	actually reveal super string  theory at the sub-quark level.
DR. ZICREE	Of course.
JOSH	They definitely don't teach that at CSU.
DR. ZICREE	Dr. Chamberlain, I was cavalier and dismissive when you presented your concerns.
DR. ZICREE	I can't apologize those who've lost their lives as a result,
DR. ZICREE	but I can tell you how sorry I am.
JOSH	Thank you, Doctor.
SOLDIER	[ speaking French ]
SOLDIER	[ shouting ]
PAM	Where they explode into each other.
DR. ZICREE	Dr. Cushing. Permission from Dr. Chamberlain.
PAM	I wasn't sure if I was ever going to see you again.
PAM	What happened? Are you okay?
JOSH	You still believe in miracles?
PAM	For once in a blue moon that makes me the genius.
PAM	We lost somebody here,
PAM	but I did find one really special guy.
PAM	Hey Ron, could you say 'hi' to Josh?
PAM	Hey, why don't you go  over by Tom, okay?
PAM	We've secured to a hard-wired 160 Megawatt power source.
PAM	Despite that, we got some difficulty on this end getting the RHIC in working order.
JOSH	It's the non-linear collision operator you need to be assuming.
PAM	That's it.
PAM	You. And then we'll kill the ion cannons to neutralize the singularities.
PAM	It seems almost impossible, doesn't it?
PAM	It's all because of you.
JOSH	Pam, an entire life time wouldn't be enough for me to tell you how much I love you.
DR. ZICREE	And if we hurry we all might getone longer than that. Come.
DR. ZICREE	The magnetosphere at the equator is measuring over 1 microtesla, 
DR. ZICREE	and that reading is falling.
PAM	The Solar Dynamics Observatory feed hasn't been unreliable since the last CME,
PAM 	but the information they have been sending us has been alarming.
DR. ZICREE	Another solar event could decimate our atmosphere.
DR. ZICREE	Maybe now we should initiate the protocol?
JOSH	Dr. Cushing, are you ready?
PAM	Ready, Dr. Chamberlain.
JOSH	Launch the initial proton emissions...
JOSH	Now!
JOSH	When all these numbers go down to zero, all the distance
JOSH	between them is going to collapse in one single point.
JOSH	It's going to be like a crash.
JOSH	Picture to matchbox cars colliding into one another.
JOSH	Only instead of matchbox cars we're using super accelerated protons and instead of just two
JOSH	we're using millions and millions colliding over and over again.
JOSH	But, It's just going to keep happening. You follow me?
PHIL	I always thought matchbox cars were cool.
JOSH	Me too.
DR. ZICREE	Wow.
JOSH	Pam? Pam? Are you seeing this?
PAM	It's a quark-gluon plasma?
DR. ZICREE	We're just witnessing gluons. 
PAM	Oh my--
PAM	[ laughing ]
PAM	We're registering graviton displacement.
EARL / ROB / TOM / RONALDO	[ cheerful laughter ]
PAM	Statistically significant gravity.
PAM	Are you seeing this?
JOSH	Pam. You're already in a singularity.
JOSH	[ laughing ]
JOSH	Okay. We've got one, too. What about the graviton readings?
SCIENTIST	They're increasing. This is astonishing. The two phenomena are feeding
SCIENTIST	each other like magnets. It's the interplanetary gravitational field. 
PAM	I think we've done it.
DR. ZICREE	Look at the screen.
PAM	The magnetic field.
PAM	It's re-engaging.
DR. ZICREE	It's coming back.
JOSH	Okay, Pam.
JOSH	We've got to synchronize and shut-down and neutralize the singularities.
PAM	Understood.
PAM	Can we terminate the ion cannons in parallel with CERN?
BROOKHAVEN SCIENTIST	I believe we can.
SCIENTIST	The gravitational pull is starting to strain our system.
SCIENTIST	The electro-magnetic drain containing our phenomenon
SCIENTIST	has increased over 30% in the last 15 seconds.
SCIENTIST	50% and Climbing!
JOSH	Okay, Pam. In 3. 2. 1.
JOSH	Kill the power.
PAM	Kill the power.
TOM	Whoa.
BROOKHAVEN SCIENTIST	I can't We've overloaded the panel.
PAM	Get everybody out of here.
PAM	Tom, take Ron.
JOSH	The hard wire on the ion cannon. It's fused on?
RONALDO	No!
PAM	Run! Now!
JOSH	Pam?
EARL	Move it! Move it! Go!
JOSH	Pam?
DR. ZICREE	But we've already shut down our electro-magnetic containment.
JOSH	No, no, no, no! Re-engage the containment magnets.
SCIENTIST	It's too late.
DR. ZICREE	Where is it going?
JOSH	Long Island.
JOSH	Only if it hits the outer core first and fuses with the super-heated liquid-iron there.
JOSH	The planet will be destroyed.
PAM	The override!
JOSH	If we're lucky the  two black holes just consume themselves.
DR. ZICREE	If the black hole is still within entropy bounds,
DR. ZICREE	It's theoretical. It could be possible.
PAM	I have to know for sure.
PAM	I know - I know what to do.
JOSH	No, no, no. Pam! Your containment field is not strong enough to hold that singularity.
PAM	 Josh. I love you, Dr. Chamberlain.
JOSH	Run! Now!
JOSH	PAM!
JOSH	[ under breath ] Come on, Pam.
DR. ZICREE	What's the depth now?
SCIENTIST	800 miles but the singularities are increasing in mass, not decreasing.
JOSH	Okay. The mantle there is roughly 1,800 mies thick.
JOSH	That's about how much time we have to stop it.
MOLLY	So, if she can't turn it off?
SCIENTIST	Brookhaven's off-line. Two minutes.
SCIENTIST	1,600 miles.
SCIENTIST	1,650 miles.
PAM	Stand back.
EARL	What the hell are you doing?
PAM	I said stand back!
SCIENTIST	1,700 miles.
SCIENTIST	1,750 miles.
PAM	[ screams ]
RONALDO	Ms. Pam!
SCIENTIST	It's - It's gone.
SCIENTIST	It's gone.
DR. ZICREE	She did it.
DR. ZICREE	Dr. Chamberlain. Your wife saved us.
DR. ZICREE	You saved us!
NICK / PHIL / MEL / MOLLY / GREG	[ cheering ]
SCIENTIST	Yes!
NICK / PHIL / MEL / MOLLY / GREG [ cheering/laughter ]
JOSH	What about- what about, Pam?
JOSH	What about-- What about Brookhaven?
SCIENTIST	There is no signal.
SCIENTIST	It's completely dead.
DR. ZICREE	Ladies and gentlemen, thans to your ingenuity and bravery,
DR. ZICREE	the magnetosphere is once again protecting our planet.
DR. ZICREE	33 microtesla and holding.
DR. ZICREE	Our communications. Our atmosphere.
DR. ZICREE	Our very existence as a species have all been restored.
DR. ZICREE	To Pamela Cushing and Dr. Joshua Chamberlain.
JOSH	Thank you everyone.
DR. ZICREE	To our heroes.
DR. ZICREE	May God protect them.
JOSH	[ sigh ]
JOSH	Pam?
JOSH	Pam, are you alright? Thank God! I couldn't live without you.
JOSH	Pam?
JOSH	Pam, are you crying?
RONALDO	[ crying ]
RONALDO	Mr. Joshua... Ms. Pam, she's.
JOSH	No.
RONALDO	We were supposed to live together, but now...
JOSH	Hey, Ron?
JOSH	She's amazing, isn't she?
JOSH	She told you that.
JOSH	You know,
JOSH	I though she and I were going to live together, too.
JOSH	So since we both thought we'd be with her...
RONALDO	Ms. Pam?
RON	Ms. Pam!
JOSH	What's happening?
EARL	Whoa, whoa, whoa. Easy, easy.
EARL	Easy, easy, easy.
EARL	Oh! It's a miracle you're still alive!
EARL	Relax. Take it easy.
EARL	Breathe.
RONALDO	It's Mr. Joshua.
EARL / ROB / TOM / SOLDIER	[  laughing ]
PAM	Can you stand me now?
JOSH	[ crying ] Absolutely not!
JOSH	And if you ever walked out on me I would never forgive you.
JOSH	Ever! You understand me?
JOSH	Can I come back home?
JOSH	Back to you?
PAM	I'll think my options over. [ laughs ]
JOSH	It's a deal, Dr. Cushing.
JOSH	You got it.


