LILI		Carolina, what would you do differently if you could go back in time?
ROSÂNGELA	Stop.

FLORISVAL	Hm.

ROSÂNGELA	Stop, Florisval, leave.

FLORISVAL	I don't know what is more....

ROSÂNGELA	Out.
		
FLORISVAL	… tasty in this kitchen.

ROSÂNGELA	Leave, Florisval.

FLORISVAL	… if it's the food or the cook, (reaction)

ROSÂNGELA	Let go of me, you player!

FLORISVAL	What are you making? My gosh, I can't resist what you're making.

ROSÂNGELA	Don't touch that!

FLORISVAL		What is this? Is this how you are going to treat your husband?

ROSÂNGELA	Ex!

FLORISVAL		Oh brunette, I've missed you só much. Did you know that? I miss you. (kiss)

ROSÂNGELA		First things first, you are my ex-husband. Second, where's my child support?

FLORISVAL	Uh-oh!

ROSÂNGELA	You are late a whole month.

FLORISVAL		I was in a car accident, did you know that? And my boss is deducting from my salary. She is the opposite of you, she is a good person. (reaction)

ROSÂNGELA	Car crash was it?

FLORISVAL	Yes.

ROSÂNGELA	A car?

FLORISVAL	Car.

ROSÂNGELA	Did you get hurt?

FLORISVAL		Just on the inside, you know? Especially because there was no one to take care of me, put ice on me, help me put a bandaide (kiss). I missed you. (reaction – kiss – wines)
 
ROSÂNGELA	(kiss – moans)

FLORISVAL	My brunette (kiss).

ROSÂNGELA	Oh, Florisval, wait. (Kiss – moans – laughs)

BOLA		(Singing)

JENIFFER E BARBARA	Só de vá, vá, vá
	Tu vai ter que me aturar	
	Vou mandar um quadradinho 
	E vê se olha sem piscar
	Sou a melhor da Curicica
	E esse é seu desastre
	Se tu não me conhece
	Prazer sou de Mauage
	Prazer sou de Mauage
	Prazer sou de Mauage
	[Singing funk]

BOLA	(singing)

JONATAS	Ah, I can't believe it.

ELIZA	What is it?

JONATAS	I recognize this car.

ELIZA	Hm?

JONATAS	This car over here, look.

BOLA		It's Jonatas. He came with someone, hm? (laughs)

JENIFFER	What is this, bro? You're late, hm?

JONATAS	What's up family. Everything cool?

WESLEY	Your girlfriend, brother?

ELIZA	No, no, I'm not a girlfriend.

JONATAS	No, no. She is a friend. Friend.

WESLEY	(laughs)

JONATAS	Tell me, where is the dumb dad of yours?

BOLA	Hm?

JENIFFER	He's upstairs.

JONATAS	Stay here, family issues.

ELIZA	Okay.

JENIFFER	Come here, set here.

ELIZA	I don't know how to dance.

JENIFFER	Ah, let's go.

BOLA	(singing)

JENIFFER E BARBARA	Só de vá, vá, vá
	Tu vai ter que me aturar	
	Vou mandar um quadradinho 
	E vê se olha sem piscar
	Sou a melhor da Curicica
	E esse é seu desastre
	[Singing funk]

ROSÂNGELA E FLORISVAL	(kiss)

ROSÂNGELA	Oh.

FLORISVAL	(kiss)

ROSÂNGELA	Oh, it's hot here, Florisval, oh.

FLORISVAL	You can come in hear cause I am boiling.

ROSÂNGELA	I'm talking about the pan, you pervert.

FLORISVAL	Ah, don't run away.

ROSÂNGELA	Oh.

FLORISVAL	My skinny. (kiss)

ROSÂNGELA	Oh.

FLORISVAL	Don't run away. (kiss)

JONATAS	Hey, don't touch my mom, you pervert.

ROSÂNGELA	You're here?

FLORISVAL	(reaction)

ROSÂNGELA	Wait, was is this?

FLORISVAL	(reaction)

ROSÂNGELA	What is this, son? Did you arrive earlier. Oh. 

JONATAS	No mom, I arrived on time, bless me?

ROSÂNGELA	Oh.

JONATAS	(kiss)

ROSÂNGELA	God bless you, son.

JONATAS	Amen. Come here, did Florisval pay for the child support he was owing you?

FLORISVAL		Good morning to you, too, Jonatas. My pain in the ass step-son.

ROSÂNGELA		No, do you know what happened? Poor Flor, he was in a car accident and he is paying for the damages, right? Hm?

FLORISVAL	I hit the car, yes, yes.

JONTAS	Accident?

FLORISVAL	Yes.

ROSANGELA	Yes.

FLORISVAL	An accident, I hit the car.

JONATAS	I get it. That's funny...

ROSÂNGELA	(reaction)

JONATAS		… Oh but you have money to buy a bouquet of flowers to a random bimbo blonde, right?

FLORISVAL	Hey, hey hey, my...

ROSÂNGELA	What is it?

FLORISVAL		It's not like that. Hey pest, what are you talking about?

ROSÂNGELA	What are you talking about?

FLORISVAL		What are you, what are you talking about, pest?

JONATAS	Don't point your finger at me.

FLORISVAL	What are you talking about?

JONATAS	Don't point your finger at me.

FLORISVAL	You are a liar, pest.

ROSÂNGELA	Who is this blonde, Florisval?

FLORISVAL	There is no blonde>

JONATAS	Tell her, dad!

FLORISVAL	He is a liar.

JONATAS	I saw her.

FLORISVAL	This pest is a liar.

JONATAS	I saw her.

FLORISVAL	What did you see?

JONATAS		I saw him going out with a blonde bimbo, I saw them at Lapa. He is the biggest liar, mom.

FLORISVAL	Shut up, Jonatas.

JONATAS		You are going to allow him to live the good life?

ROSÂNGELA	Oh, I will...

JONATAS	Take advantage of you?

FLORISVAL	You will respect me...

ROSÂNGELA	You are disgrace, I am...

FLORISVAL	… I am your step-son.

ROSÂNGELA	You are a disgrace!

JONATAS	And you will respect my mom.

ROSÂNGELA	You are going to see one thing.

FLORISVAL	One day you'll need me, kid.

JONATAS	And you are going to respect my mom.

ROSÂNGELA	You're a disgrace.

FLORISVAL	No.

ROSÂNGELA	You are a disgrace, nasty, leave...

JENIFFER		Are you really just my brother's friend, or are you a girlfriend?

ELIZA	Friend. We work together, at Givago's Law office.

JENIFFER	But is it jus work?

ELIZA	Uhum.

JENIFFER	It doesn't look like it.

WESLEY	Look at that, she is blushing, bro (laughs)

BOLA	Let her, gee! It matches her hair.

WESLEY	(laughs)

JENIFFER	Are you really a redhead?

ELIZA	Yes.

JENIFFER	Wow. Awesome.

FLORISVAL	Ah, stop, for the love...

ROSÂNGELA	I am going to kill you.

FLORISVAL	Stop that, please. Everyone is watching.

ROSÂNGELA	I am goign to kill you.

FLORISVAL	Are you happy?

ROSÂNGELA	I'm going to kill you!

FLORISVAL	Are you happy, brunette?

ROSÂNGELA	You are a desgrace!

FLORISVAL	She's happy. For the love of God.

ROSÂNGELA	I am going to kill you.

FLORISVAL	Is this what you wanted? Calm down.

ROSÂNGELA	Try coming back here again.

FLORISVAL	Stop!

ROSÂNGELA	Try, so that you can see what happens.

APARECIDA	But what is this?

ROSÂNGELA	I am going to kill you!

APARECIDA	Wait.

ROSÂNGELA	Desgrace. 

APARECIDA	Rosangela! Calm down.

ROSÂNGELA	(reaction)

APARECIDA		Stop that, don't make a scene! Look the whole neighborhood is watching.

ROSÂNGELA		Watch away. Everyone needs to know he is a jerk.

FLORISVAL	Stuff hit the fan you guys. I am leaving. I am leaving. I am leavin.

JONATAS	Take your mom and my sister home.

BOLA	Roll down the window.

APARECIDA	You don't get lucky here.

ROSÂNGELA	… Having a son with this man.

BOLA	Dad, run.

ROSÂNGELA	This liar.

BOLA	Leave, run, dad.

FLORISVAL		My son, I've told you a million times, I am not you dad, get it? Hey, do I know you from somewhere? Do I know you?

ROSÂNGELA	I am going to break your car, hm?

FLORISVAL	(reaction)

ROSÂNGELA	Law?

WESLEY	Let go, mom.

ROSÂNGELA	I am going to break your car.

ROSÂNGELA	Do you need a lawyer?

WESLEY	Stop, mom.

ROSÂNGELA	I am going to break this car, hm?

FLORISVAL	Touch it.

ROSÂNGELA	I am going to break this car.

FLORISVAL	Touch this car then I'll never pay for child support again, okay?

JONATAS	Do you think he recognized you?

ELIZA	No, almost.

APARECIDA		Stop that cause I am going to tell you something.

ROSÂNGELA	(reaction)

APARECIDA	Why don't you put this man behind bars?

ROSÂNGELA		Ah, I know, Cida. That's what I should do. But then I think about the kids, you know? How would they react? And then, I change my mind.

APARECIDA	But this man is a scam artist.

ROSÂNGELA		He is a scam artist, but the children like him, right? So forget Florisval, Cida. Forget him. Want to have lunch with us?

APARECIDA		Oh, no. I can't. I need to work. But have a good lunch. Take care.

JONATAS		Mom, I want to introduce you to someone. This is Eliza.

ROSÂNGELA		Oh my gosh, I'm so embarrassed. I wish you didn't meet me like this. She must think I am crazy, right? Don't pay attention to me.

ELIZA		Ah, I liked what I saw. I wish my mom had the courage to do the same thing to her jerky husband. Men aren't worth anything.

ROSÂNGELA		Let's go upstairs and talk about good things. You are very pretty, hm? (laughs)

JONATAS	Yes. (laughs)

ROSÂNGELA	Show is over, hm?

JONATAS	Mom, forget this.

ROSÂNGELA	Go home.

JONATAS	Foget it.

WESLEY	My sister drinks too.

ROSÂNGELA	Woah.

WESLEY	Oh.

ROSÂNGELA	It's hot, it's hot, it's hot. 

JONATAS	It's hot, it's hot.

ELIZA	Yay!

ROSÂNGELA	Oh. 

JONATAS	Yummy, hm?

JENIFFER	Yeah, dude.

WESLEY	Looks great. Hm.

JENIFFER	Looks yummy, dude.

ROSÂNGELA	Visitors first you guys. Elisabete, right?

ELIZA	Eliza.

ROSÂNGELA	Ah, it's about time for Jonatas to bring home a girlfriend...

WESLEY	Put it here.

BOLA	Thanks.

ROSÂNGELA	… to introduce to us.

JENIFFER	Try it to see if it's good.

WESLEY	He eats quietly, doesn't he mom?

JONATAS	Shut up, bro.

ROSÂNGELA	Respect.

JONATAS	Eliza isn't my girlfriend.

WESLEY	Sure.

JONATAS	Eliza is just a friend.

ROSÂNGELA		But why? You guys make a beautiful couple, hm? Try the food.

JENIFFER	Here.

ELIZA	Hm!

ROSÂNGELA	Is it goo?

JONATAS		Hm. Better than your mom's, tell the truth, redhead.

ELIZA	Ah, tied!

TODOS	(laughs)

JONATAS	And my rice?

ROSÂNGELA	So?

JONATAS	Speak properly, mom.

JENIFFER	Hm. Tastes great. Calm down. Excuse me.

JONATAS	Give her some rice, please.

WESLEY	Come on Jennifer, no joking around.

JENIFFER	No, don't get it here.

JONATAS	Give your brother some rice, please.

ROSÂNGELA	You guys, calm down.

WESLEY	All the time, give me...

ROSÂNGELA	What is Eliza goign to think?

JENIFFER	Get it yourself.

WESLEY	Okay.

ROSÂNGELA	That no one eats in this house, hm?

ELIZA	Hum.

ROSÂNGELA	Eliza...

ARTHUR	Cida, you are taking forever. My gosh I am going crazy in here!

APARECIDA	The traffic is horrible. You know how it is. Weekends. Everybody coming back from the beach.

ARTHUR	I know, I know. Well, I need to finish getting ready because I have something to do, okay?

APARECIDA	You are going out at night, right boss? And leave poor Jojo with me?

ARTHUR	Poor? And this guitar, belongs to you?

APARECIDA	Ah.

ARTHUR	Oh Jojo, please, stop that and come talk to Aparecida? I have a professional meeting  , okay? I am going to the opening of Sandrini's new collection. It's not a party. Look at the invitation.

JOJO	Cida!

APARECIDA	Oh, my dear. (laughs)

JOJO	I'm happy you're here.

APARECIDA		I missed you. I am going to take care of you.

JOJO		I am só hungry my dad only knows how to oder chinese food.

ARTHUR	Thai food, stupid.

APARECIDA		Don't talk to her like that. I am going to make you something very tasty for you.

JOJO	I am glad you exist, Cida.

ARTHUR	I am glad, too.

RAFAEL	Look it would be a great place to network. Too bad that I am not on their list and wasn't invited.

LU	Lu's look, the number shatter's from the moon. A look for a night of work and fun.

MAX		Obviously, two things that don't got well together. And will you see me later? So that I can show you what fun looks like?

LU	It depends on what time Carol let's me go.

MAX	The worst type of slave is the one that likes it's chains. Sorry not sorry.  

MAX	What is this xarades? Is it a thing? An action?

LU	Shh.

MAX	First part of the word?

LU	Hello. Rafael...

MAX	(reaction)

LU		Sandrini's opening? Yes, I'm going. Do you want to go with me? Okay. And you don't drive, right? I can stop by and get you. No don't worry about it. Not a problem at all. It's on the way for me. Okay, I'll let you know. Kisses. Bye.

MAX		Love, is he on your way? What GPS is that? You are going to leave here, to get him all the way over there to come back here? What is this are you his boo or his driver? Tell me, love.

LU		Quiet, Max. You said that he wouldn't call me and he did. And better yet, he called me to go out with him.

MAX		Rafael's the one that practically kicked you out of his studio? I don't know, there is something wrong with him okay? Sorry, not sorry.

LU	Why can't I have a night with a a hot and good looking guy? 

MAX	What am I, hm?

LU		Ah okay, wait, let me explain. A handsome, hot and heterossexual dude. (laughs) Ah Max who said you can't mix business and pleasure?

DORINHA		But the weather report said that we would be able to enjoy the beach today. What's the problem of us spending the night here today, Carolina?

CAROLINA		The problem is that you said you were coming tomorrow. That's what we had agreed on.

DORINHA	But if I come tomorrow, I won't even arrive.

JOÃO E MARIA	Yeah, auntie.

CAROLINA	Poor things.

DORINHA		Look at the little angels. They are dying to go to the beach, build sand castles and ply in the water. Ze Pedro went to buy meat for us to BBQ. We promise we won't break anything, right?

MARIA	We promise.

JOÃO	Yes, we promise.

DORINHA	Okay?

CAROLINA		Yeah, cause it would be too much to ask for you guys not to, right?

DORINHA		Aren't you going to an event Carolina? What's the difference of us sleeping here tonight or arriving tomorrow?

CAROLINA		The difference is that I want to come back to my home not hell. (reaction)

DORINHA	Tell me, is Arthur going to this event?

CAROLINA		Of course he is. Everybody in the fashion world will be there. Even my copetitors.

DORINHA		Ah, okay, just say this to Arthur: “Oh, no, my sister is sleeping at home...”

CAROLINA	Hm?

DORINHA		Get it? “So I am a little homeless, right? No bed, right? “

CAROLINA	Hm.

DORINHA	Look at what I brought you.

CAROLINA	Thank you. Very creative of you.

DORINHA	Look at this. Look.

CAROLINA	You're funny, right?

DORINHA	Oh. Look.

CAROLINA	What is this?

DORINHA	Here. Two small shoes.

CAROLINA	Ah! You're a clown.

DORINHA		I am going to put it behind that plant that symbolizes fertility.

CAROLINA	Why, Dorinha?

DORINHA	It's a superstition that works quickly.

CAROLINA		Dorinha, don't do this. You know I don't believe in that.

DORINHA		Do your part and I'll do mine, Carol. Aren't you ovulating?

CAROLINA	Hm.

DORINHA	So, it's today.

CAROLINA	Oh.

ZÉ PEDRO	Hello, sister-in-law.

CAROLINA	Ah, this makes me super happy.

ZÉ PEDRO	How are you?

CAROLINA	Ah.

ZÉ PEDRO	Are you going to stay for the BBQ?

CAROLINA	I can't believe it.

DORINHA	Leave her, Ze Pedro, she's going to an event.

CAROLINA	Yes.

ZÉ PEDRO	Ah. What is this?

DORINHA	Did you bring my pork chops?

ZÉ PEDRO	(reaction – kiss)

DORINHA	Hm?

ZÉ PEDRO		Of course, sweetheart. What do you ask of me that I don't do, hm?

DORINHA	(reaction) 

CAROLINA	Oh you two are tacky.

ZÉ PEDRO	Hm.

CAROLINA		But you two are cute. Okay, I'm on my way. Be careful with the coal on my white carpet.

DORINHA	Divirta-se. Have fun!

JOÃO E MARIA	(celebration)

ZÉ PEDRO	(celebration)

DORINHA	It's our house for the night!

ZÉ PEDRO	Yay!

PIETRO	Hi, love. (kiss)

CAROLINA	Pietro. (kiss)

PIETRO	Wow! Killing it like always.

CAROLINA	Are you seeing what I am seeing?

PIETRO	Yes, Sandini's collection is impeccable.

CAROLINA	That's not what I'm talking about.

PIETRO	What?

CAROLINA	I am talking about Arthur the player, talking to Lorena Domingos the snake.

PIETRO	Hm. She was a good fashion editor when she worked at TOTAL DREAMER GIRL. Too bad that she wanted to compete with you, right, love?

CAROLINA	(laughs) It was me or her, right love?

PIETRO	(laughs)

CAROLINA	She is too ambitious to keep around.

PIETRO	Hm.

CAROLINA	She is my biggest rival, you know that.

PIETRO		Aham.  And I would say that she is your rival in every sense of the word, because it looks like she is having fun. If you know what I mean.

CAROLINA		Yeah, I understand perfectly. That dog can't see a girl using a skirt. Uch.

PIETRO		Ah, my love, why don't you go have fun, too?

CAROLINA	You mean, play dirty?

PIETRO	(laughs)

LU	Oh, my gosh, my boss arrived before I did.

RAFAEL	Carol?

LU	Yes.

RAFAEL	Why don't you introduce me to her?

LU	Wait a minute.

CAROLINA	Oh, no.

LU	Oh.

PIETRO	Ah.

LU	I'm sorry I'm a littl late, Carol.

CAROLINA	Interesting

LU		I had to stop by the other side of the city, and I was caught in traffic.

CAROLINA	I am not talking about you being late. I am talking about the guy behind you.

LU	Ahh... This is...

RAFAEL	Rafael Guerra. Nice to meet you.

CAROLINA	This name...

PIETRO	He is the famous unknown photographer, that left a bunch of material on your desk. I never forget a name.

RAFAEL	So you saw my material?

CAROLINA	No, I still haven't seen it, but it looks promising.

RAFAEL	And you still haven't seen anything.

CAROLINA	(laughs)

LORENA	(chit chat)

CAROLINA	So, Rafael, this can be the beginning of a beautiful friendship, right? 

FLORISVAL	You're the mom of my children, right? Wesley, Jeniffer and Anthony's mom. Bola isn't my kid, right?

ROSÂNGELA	So why don't you help raise them? You spend money on bimbos.

MARISTELA	Woah, woah, woah.

FLORISVAL	Oh.

MARISTELA		What? Did I hear this correctly? Who here is a bimbo, ugly?

JONATAS	You know that I am the opposite of you step dad, right?

ELIZA	I know. But it isn't easy for me.

JONATAS	That's okay. I'll wait however long it takes.

CAROLINA	(reaction - scream)

JOJO	What are you doing there?

CAROLINA	What are you doing there?


