carlos	antes de marcharte quiero que sepas que borraré tu nombre de la memoria de nuestro hijo...
francisca	¿qué se puede esperar de alguien con ese lúgubre aspecto? ya sabes que la cara es el espejo del alma...

mauricio	¿y qué motivo tenía para atacar a pepa?

francisca	eso ni lo sé ni me importa, pero con ello me ha brindado la oportunidad de deshacerme de él de una vez por todas...

mauricio	a lo mejor quería seducirla y, conociendo a pepa, le enseñó las uñas, ¿no cree?

francisca	¡te he hecho llamar para darte mandados, capataz, no para responder a tus indiscreciones…!

mauricio	usted dirá.

francisca	quiero que cojas a varios hombres y que te apostes con ellos en los lindes de la finca por si aparece.

mauricio	así se hará, señora. en cuanto nos vea se pensará muy mucho lo de regresar a la casona... pondrá pies en polvorosa.

francisca 	no me has entendido... no quiero que le amedrentéis, quiero que disparéis a matar. 

mauricio	¿quiere que acabe con él…?

francisca	¡por lo que se ve hoy estás más despierto de lo habitual, mauricio…! 

mauricio	así se hará, señora...

virtudes	¡sebastián!

sebastián	¿qué hacéis aún aquí? creí haber dejado claro que os denunciaría si no habíais marchado...

gerardo	sólo hemos venido a negociar.

sebastián	no hay negociación posible. 

gerardo	todo se puede hablar, sebastián, y sólo necesitamos que nos des un poquito más de tiempo para organizar una huída con garantías. salir de aquí con lo puesto es meterse en la boca del lobo, y  lo sabes…

sebastián	¡si sé de vosotros más allá de mañana, juro por mi alma que iré personalmente a la guardia civil…!

virtudes	¡¿ibas a hacerlo?!

gerardo	¡no vuelvas a meterte en mis asuntos…!

virtudes	si nos marchamos ahora no nos delatará. le conozco bien y sé que cumplirá su palabra.

gerardo	¡¿a qué tantos melindres, virtudes?! ¡desde siempre has sabido lo que soy…!

virtudes	no permitiré que le mates... se ha portado muy bien con nosotros y no merece ese final.

gerardo	¿y qué final merece? ¿qué a mí me fusilen y él quedarse con mi mujer? ¿es eso?

virtudes	¡por favor, gerardo, no digas más sandeces…! bien sabes que sólo a ti te amo… ya le hemos dañado lo suficiente... deja que viva, te lo suplico...

gerardo	está bien, ah… será como dices… 

gerardo	…esta noche empezaremos a preparar nuestra marcha...

alberto	¿es que no vas a saludar a tu esposo?

pepa	¡alberto, me has asustado…! no sabía que estuvieras ahí...

alberto	ya que mi mujer está tan solicitada, tendré que venir hasta aquí para reclamar sus atenciones...

pepa	¿has bebido? 

alberto	¿qué otra cosa puede hacer un marido que sorprende a su esposa zorreando?

pepa	alberto no te consiento que me hables así...

alberto	¡el que no va a consentir más humillaciones soy yo! 

pepa	no sé de lo que me estás hablando. 

alberto	hablo de que ayer te vi despidiéndote de tristán ahí fuera... ¡y besándolo a la vista de todos…!

pepa	yo… lamento que lo presenciaras, no era nuestra intención...

alberto	¿de dónde veníais…? de retozar como puercos en el bosque, ¿no es cierto?

pepa	no sabes de lo que estás hablando...

alberto	¿no…? ¡pues entonces explícamelo, porque a mi entender la esposa que besa a otro hombre no es más que una furcia…!

pepa	me marcho... ya volveremos a hablar cuando estés más calmado.

alberto	no te marchas de aquí sin darme una explicación... ¿por qué llevas ese pañuelo, eh…? ¿para ocultar las pruebas de tu adulterio…? ¿es eso…?

pepa	no me he acostado con tristán mientras he estado casada contigo…

alberto	¡mentira…! ¡no eres más que una maldita zorra, pepa balmes...!




   



