MAN (VO) 		(on phone) Yup. All right. 
DAVID 	 	Thank you. 

BAR MANAGER	(in Spanish accent) We are closed, puto. (sighs) (sniffles) 

BAR MANAGER 	Mr. Barabas. I, uh, I- I did not know it was you. Could I uh… could I get you a drink?

OSCAR 		Quite a mess, huh? 

BAR MANAGER	Yeah. These two guys, man, they- they busted in from nowhere. 

OSCAR 			Did you see what happened?

BAR MANAGER		(softly) Yes. (normal voice) These two guys, one gringo. 

OSCAR 			Gringo? American? 

BAR MANAGER		Yes.

OSCAR 			Bald head, tall? 

BAR MANAGER		Si. 

OSCAR 			Did you see the other one?

BAR MANAGER	He’s a little shorter, uh, dark hair, uh, just wearin’ a suit. (scoffs) He’s fucking crazy. (chuckles lightly) 

OSCAR 			Have you ever seen him before?

BAR MANAGER		No. No, sir. 

OSCAR 			Next time you see him, you call me.

OSCAR 			Is that… clear?

BAR MANAGER		Yes, Mr. Barabas. 

GABRIEL 			(on phone) Hello? Who’s this?

DAVID				(on phone) Gabriel? 

GABRIEL 			(on phone) Who is this?

DAVID 			(on phone) You know who this is.

GABRIEL	 		(on phone) What do you want?

DAVID 			(on phone) I want what’s mine.

GABRIEL 			(on phone) What’s yours? (scoffs) You got nothing. 

DAVID 	(on phone) Do me a favor, get up, look out the window, tell me what you see. 

GABRIEL 	(on phone) I see your car parked by my property. Maybe I should call the police. (grunts) 

DAVID 			It’s too late for that. 

DETECTIVE ROMERO 		(sighs) (inhales) (sighs) 

OSCAR 			Peaceful, isn’t it?

OSCAR 			Welcome to my house.

OSCAR 	So, you can’t find my daughter or my granddaughter. And now you can’t find my son-in-law. What’s going on? Do you have anything? Any suspect?

DETECTIVE ROMERO 		Possibly. We brought someone in for questioning. 

OSCAR 			You mean the local executive?

DETECTIVE ROMERO 	Yes. But it appears he was in New York at the time, and so far his- his alibi holds up.

OSCAR 			I don’t care what it costs. 

DETECTIVE ROMERO 	Senor Barabas, there’s been no ransom request, no contact. I don’t think this is a kidnapping anymore. 

OSCAR 	I'm gonna let you do your work because I know you’re gonna do your best. But if you don’t find them, because of something that you didn’t do…

DAVID 	You got a broken heart, huh? You and me, this bottle of wine, just the two of us, it doesn’t get better than that, does it? I’d be a bad host, wouldn’t I, if I didn’t share it? 

GABRIEL 			(grunts) Ah! 

GABRIEL 			(gags) (coughs…) 

GABRIEL 			(grunts) (groans) 

DAVID 			Good morning. 

DAVID 	Nice place. You know, see, I’ve been thinkin’ all night. You know- you know the difference, I think, between you and I? See, I think you wanna live more and you wanna see ‘em again. (chews) You know, my wife? My beautiful daughter? See, now, me, I don’t wanna live another day if I don’t. 

DAVID 			That’s funny, huh?


DAVID			 	(softly) Great. 

DAVID 			Funny, huh?

DAVID 	(overlapping) (yells) Where’s my fucking family? Where? (normal voice) Huh?

GABRIEL 			(grunts) 

ISABEL 	(cries softly…) Please. Please, please, baby. God, let me hear her voice. (voice breaks) Just let Mommy know you’re okay. (cries) (speaks Spanish) (voice breaks) Baby, please, let me know you’re okay. (sniffles) (cries…) He won’t hurt you. The bad man won’t hurt you. Just let me know you’re there. Just let me know you’re okay. (sobs) 

SAVANNA 			Mom. 

ISABEL 	(gasps) Savanna? Savanna? (sniffles) Savanna? Mommy’s here. (voice breaks) I'm here, baby. I'm here. Mommy’s gonna-- Ooh. (gasps) 

MR. KORDER			Is he in today?

LILIANA 			Uh- no, he hasn’t arrived yet. 

MR. KORDER			Did, uh, he confirm for Saturday’s event?

LILIANA 			Yes. I already checked in with your secretary. 

MR. KORDER	And I expect you to be there, as well, looking beautiful as always?

LILIANA 			(chuckles) I'm looking forward to it, sir. 

MR. KORDER			(softly) Okay. 

LILIANA 			(on phone) KMI, Mr. Sanchez’ office. How can I help you? 

DAVID 			(sighs deeply) 

GABRIEL 			(screams) 

DAVID 			(unintelligible) 

GABRIEL 			(groans…)

DAVID 	I knew the first time I saw her. I remember it so clearly. It was at a work event, a horse show. She was the guest of honor. I didn’t know anything about horses. The way she rode this powerful, magnificent animal… no fear. Just a smile, confident. She glowed. 

DAVID 	(breath hitches) I spent the rest of the afternoon tryin’ to meet her. (chuckles lightly) I shook her hand. We both knew. We both knew. We got married. 

DAVID 			She gave me a beautiful…

DAVID 			 (inhales) beautiful daughter. 

DAVID 	I held her in my arms. I remember thinking as long as I'm here she’s safe. As long as I'm alive, nothing will ever, ever happen to her. 

GABRIEL 			(inhales) You sad fuck!

DAVID 			I just want to know where my family is. 

DAVID 			(whispers) Please. 

GABRIEL 			You are… pathetic. 

DAVID 			(grunts) 

LILIANA	(on answering machine) Gabriel, it’s Liliana. Just checking in to make sure everything’s okay. Also wanted to remind you about this weekend. I know you wouldn’t miss it. Oh, I had them send you a hard copy invite. Call me back when you get this. I have the details for you. See ya. 

DAVID 			I love this movie. 

GABRIEL 			(groans) 

DAVID 	You awake? Seemed like you needed some sleep, so I thought I’d let you rest. You seen this movie? Shame. Christopher Walken, man, you gotta love that actor. Glad you’re awake, though. Got a surprise for you. 

GABRIEL 			(groans) 

DAVID 			(grunts) 

DAVID 	You know, you never know when a great idea is gonna show up. You know? I was watchin’ a movie, Deer Hunter, boom, came to me. I mean, we all know movies are bullshit, right? But, hey, De Niro, it’s different. He wanted three rounds. (chuckles) Three rounds. You’re wondering what’s inside the box, right? It’s like Christmas, huh? We’re gonna change the rules. 

GABRIEL 			(groans)

DAVID 			We’re gonna use one. 

GABRIEL 			(breathes shakily…) 

DAVID 	You wanna tell me something? Hmm? No? Okay. Ready? One, two, three. 

GABRIEL 			(overlapping) (breathes rapidly) (groans loudly) (grunts) 

DAVID 			What if the neighbors had heard that? Wait there. 

GABRIEL 			I- I…

DAVID 			Where’s my family?

GABRIEL 			(whispers) I don’t wanna die.

DAVID 			So, tell me where they are. 

GABRIEL 	I don’t… want to die. Because if I died, then I can’t look after my Isabel. 

DAVID 			Okay! 

GABRIEL 			(laughs…) (grunts) 

DAVID 			(overlapping) Okay. One, two-- 

GABRIEL 			(inhales sharply) (grunts) (breathes heavily…) 

DAVID 	You know, this game we’re playing… it’s not as much fun as I thought it would be. You know what I mean?

GABRIEL 			(inhales sharply) (groans loudly) (exhales) 

GABRIEL 			(grunts and exhales sharply…)

DETECTIVE ROMERO 		Hello?

DETECTIVE ROMERO 	(on phone) This is, uh, Detective Romero. Uh, there have been some new developments, and I need to ask you a few questions. So, please, call back as soon as possible. 

BELLA 		Hello, ma’am? Ma’am! (exhales sharply) I really need your help. This is really important. I'm looking for a guy who’s staying here. American. Gringo. Tall. Have you seen him at all?

HOTEL RECEPTIONIST 	No honey, I'm here every day. I haven’t seen him. 

BELLA 			(exhales) Wait- may- may I?

HOTEL RECEPTIONIST	Sure.

BELLA 	Here. Take my number. Can you please call me if you see him? Any time? Take this. Thank you. 

GABRIEL 			(coughs) (wheezes) (coughs) 

DAVID 			You got an event tomorrow night to go to. 

DAVID				You’re gonna be late. I want this to stop. 

GABRIEL 			(wheezes) 

DAVID 	Just tell me where they are. My family. (voice breaks) Where are they?

GABRIEL 			(wheezes) 

DAVID 			Where is my fuckin’ family? (yells) Where’s my family?

GABRIEL 			(whispers) You will never see them again. 

DAVID 			Okay. (laughs) 

GABRIEL 			(screams…) 

DETECTIVE ROMERO 	I'm looking for Gabriel Sanchez. When exactly was the last time you spoke with him? 

LILIANA 	Thursday. Right before he headed home. 

DETECTIVE ROMERO 	Is it usual for him to, uh, do a long weekend?

MR. KORDER	No. Gabriel is a workaholic. 

DETECTIVE ROMERO 	Where did he go? 

LILIANA 			New York.

DETECTIVE ROMERO 	And how long was he there?

LILIANA 			A few days.

DETECTIVE ROMERO 	Okay. Excuse me. 

DETECTIVE ROMERO 	(on phone) You said Gabriel Sanchez was in New York? How many days? And the hotel, uh, confirms this?

DETECTIVE ROMERO	(on phone) Look, check with Immigration. I wanna know exactly when he came back. I don’t care it’s three o’clock in the morning. Find out! Get back. 

DAVID 			Look at that. Outta smokes. And all you do is sleep. 

DAVID				Now I gotta buy some more. You need anything?

DETECTIVE ROMERO 	(on phone) What? I want a group of tactical to Sanchez’ house immediately. Now! 

GABRIEL 			(grunts) (grunts loudly) (groans loudly) 

DETECTIVE ROMERO 	(on phone) His name is Gabriel Sanchez. He flew to New York, checked into a hotel, and then turned around the same day and came back. I'm on my way there right now. I’ve got a group of tactical meeting me. 

DETECTIVE ROMERO 	(to himself) (curses in Spanish) (on phone) I want a twenty-five mile radius. Road blocks, air support. Let’s go. 

ISABEL 			(screams) No! (cries…) 

GABRIEL	(overlapping) No more waiting and waiting and waiting and waiting. 

SAVANNA 			(overlapping) Stop! Stop! Please! Stop!

GABRIEL 			Shut the fuck up! 

ISABEL 			(cries…) 

GABRIEL 	(overlapping) No more waiting. No more waiting. No more waiting. I love you. I love you. 

ISABEL 			(cries…) 

GABRIEL 			(grunts) 

ISABEL 			(screams)

GABRIEL 			Say I love you! 

ISABEL 			No. 

GABRIEL 			(yells) (unintelligible) say I love you! 

GABRIEL 			(unintelligible) 

SAVANNA 			(overlapping) Daddy! Daddy! 

ISABEL			(gasps) 

SAVANNA 			(loudly) Daddy…! Daddy…! Daddy…!

GABRIEL 			(grunts)

DAVID 	(grunts) You will never get your filthy hands on them, do you hear me? You hear me?

GABRIEL 			(gags) (grunts) 

DAVID 			(grunts) 

ISABEL			(cries) 

DAVID 			(grunts…) 

SAVANNA 			(voice breaks) Daddy. I miss… (sniffles) 

DAVID 			(breathes heavily) 

GABRIEL 			(breathes heavily…) 

DAVID 			Remember this game we played? It was all about chance. 

GABRIEL 			(breathes heavily) 

DAVID 			Fuck chance. 

GABRIEL 			(groans) 


