
(SCARLETT)



SUPPORT TECH	Multiple hostiles around the perimeter. Heavy concentration of civilians inside.	 Watch your back. Interior has guards on the move.

BAINUM	Of course. That might be difficult to arrange, for those terms. (beat) Let me know. Put it down.
SCARLETT	The vial. This won't look good with the assault charges from earlier this week.

CAL	Don't worry.

SCARLETT	You can't bail me out if they arrest you too.

UNKNOWN MAN	Excuse me. We'll escort them to the hospital.

SCARLETT	You
	
CAL	(to Unknown Man) Good to see you.

SCARLETT	(under her breath) Alive. (to Cal) Your...associates? 

UNKNOWN MAN	Next time, careful what you shoot at.

CAL	Here you go.

SCARLETT	Thanks.

CAL	This looks good.

SCARLETT	How's your leg? 

CAL	Fine. The stitches itch. 

SCARLETT	Don't scratch at it. It'll make it worse. Keep it covered.

CAL	Yes, Nurse Scarlett. The realtor called. She had some decent options this time.

SCARLETT	Remote enough for "Grandma's" new house?

CAL	Off the beaten path, but not too far from the city.

SCARLETT	You could keep the old one. 

CAL	Too risky.  (beat) Want to come see these new ones? 

SCARLETT	I have an exam tomorrow.

CAL	Yeah, of course.

SCARLETT	Can we go this weekend instead?

CAL	Yeah. I'll set it up.  Want to go shooting this weekend too?

SCARLETT	Don't push it. 


(The End.)
