
SINGER)	(music lyrics)
LAURA JANE	You know, actually, I'm really excited, though, I can't wait to move on with Tom.

LAURA JANE	I mean, I'm in it for life.

LAURA JANE	I'm excited.

MAN	I can't wait, either.

MAN	You see, uh, sometimes the unexpected detours in life make the greatest adventure.

LAURA JANE	That's a little low, sir.

MAN	You were booked for the full package.

LAURA JANE	I'm getting married.

MAN	I know.

MAN	Congratulations.

LAURA JANE	This is not what I meant by full package!

MAN	I'm sorry for the bad touch!

LAURA JANE	Well, that got weird quick.

GEORGIA	I know, right?

MAMA MCGURSKY	Get out!

MAN	Okay.

MAMA MCGURSKY	Nobody touches the honey pot but Papa Bear!

MAN	That is one crazy white woman.

SHERRY	Ah, just what the doctor ordered.

SHERRY	What are you looking at?

MAMA MCGURSKY	Yes, yes, yes.

LAURA JANE	Mom?

LAURA JANE	Oh, my God, what kind of a resort is this?

SHERRY	I don't know, but I love it.

LANCE	Hey, where's the ocean?

LANCE	That's what I'm talking about.

LANCE	Yay, get a little pina colada.

LANCE	Pursue pleasure, indeed.

LAURA JANE	A swingers resort, Tom?

LAURA JANE	There is no way this is gonna work.

LAURA JANE	We don't have food, flowers, the little doily things for the table.

GEORGIA	Did you see that guy?

GEORGIA	He was like a dick with teeth!

PAPA MCGURSKY	So, is this what's it like in your big American cities, then?

GEORGIA	No, it's Jamaica, man.

MAMA MCGURSKY	Fortunately, I'm not a prude because everything around here is having sex, especially the birds.

LANCE	Well, this place is paradise!

PAPA MCGURSKY	Lance, my boy. How was your trip in, son?

LANCE	Pretty good. Pretty good.

MAMA MCGURSKY	Hi, Lance.

LANCE	Hi, Mom.

SHERRY	Oh, where are we? This is the… (indistinct

LANCE	Uh, I'm sorry, I'm just a little confused, why is everybody so upset?

LANCE	I mean, what's going on?

LANCE	I mean, how happy are we that we're not up in Manitoba for this wedding, right?

LAURA JANE	I'm getting married at a swingers resort.

LANCE	A swingers resort, like a nudist colony?

LANCE	Well, are you kidding me? All right.

LANCE	This all goes back to Tom, this is Tom's fault.

LANCE	This is a nudist colony?

LANCE	You're sick, buddy!

LANCE	All right.

LANCE	Everybody just calm down, let's figure out a plan B. 

HOWARD	Yup.

LANCE	Hi, there. I'm Lance, are you the manager of this place?

HOWARD	Absolutely.

HOWARD	Make yourself comfortable, take your jacket off.

LANCE	Okay, thank you. Thanks.

HOWARD	Hey, while you're at it, go ahead and take your pants off, too.

LANCE	I'm sorry?

HOWARD	If you want.

LANCE	My pants?

LANCE	Well, I'm okay, thanks.

HOWARD	How can I help you, Larry?

LANCE	It's Lance, but that's okay.

LANCE	Well, I wanted to lodge a com…

HOWARD	Oh, you like that?

HOWARD	It's my ex-wife, former guest.

LANCE	I wanted to lodge a complaint.

HOWARD	Oh, God. You had me worried for a second.

HOWARD	I have a lot of guests come in here wanting to lodge something, usually not complaints.

HOWARD	Upper management, at a beautiful adult swingers resort.

HOWARD	And for the life of me,

HOWARD	I cannot walk out those office doors without a top or bottom.

HOWARD	Can I help you, Larry?

LANCE	Well, uh, first of all, this is a top notch resort, so congratulations to you.

LANCE	Um, I was just… Had a question about the activities.

HOWARD	There's zip line, paragliding, bungee jumping.

LANCE	All nude.

LANCE	Those are all totally nude activities you've mentioned.

HOWARD	That's true.

HOWARD	Actually the bungee jump is closed due to an incident last week, a guy, older fellow, late 's, early 's, jumps, old-timer's got incredible form, his head is at a safe distance, but his balls extend just enough to tap the sand really hard. Put him in the hospital… died the next day.

LANCE	I’m sorry to hear that.

HOWARD	Nothing related to the bungee jump.

LANCE	My condolences.

HOWARD	I think I understand what's happening here.

LANCE	Look, my sister is getting married this weekend, albeit to a total putz, but still I wanna make sure it's special for her and not a sex surge, do you understand?

SFX	(Music Playing)

HOWARD	I got to thank you for your concerns.

HOWARD	I'm taking baby steps to improving the staff tacked around here, you know what I mean?

HOWARD	I think you do.

HOWARD	Here's what I'm gonna do for you, Vance.

HOWARD	To make sure your stay is comfortable,

HOWARD	I'm gonna give you Groupons to our best clothing optional classes.

HOWARD	Try to enjoy yourselves.

HOWARD	Take it slow, too.

HOWARD	And that's my advice to you, Vince, that you do the same.

HOWARD	Oh, look, yoga class, look at that move.

HOWARD	Oh, well, no, that is nude yoga.

HOWARD	She is flexible.

SFX	(Music Playing)

MANFRED	No, Bill, can you hear me?

TOM	Sure you don't wanna come with us?

LANCE	Look, I hate to have to say this, pal, but, uh, we're enemies now.

LANCE	You ought to know something about me, Tom.

LANCE	I have a certain set of skills.

LANCE	Do you know what Krav Maga is?

TOM	No.

LANCE	See this, Tom?

LANCE	It's a fist.

LANCE	And it might be small, delicate even, like a snowflake, but it's not the size that matters, it's what you do with it. If you so much as harm my baby sister in the slightest, not even the splendid Canadian nationalized healthcare system will be able to save you.

LANCE	And by the way, that hat's fucking stupid.

RICKY	Lance, you should come, buddy.

RICKY	We got a bunch of guys, no women, it's a perfect sausage-fest.

LANCE	I like you, Rick, I do, but, uh, I got a meeting.

PAPA MCGURSKY	Lance, son.

PAPA MCGURSKY	That boy… won't swim, won't play hockey, always got an excuse.

SFX	(Music Playing)

TOM	This day has been so good.

IRA	You boys don't got your sea legs, man?

TOM	Yeah, man.

IRA	That's what I'm talking about.

RICKY	Yeah.

RICKY	Canadian beer, looks good.

RICKY	Ow, but it's not.

PAPA MCGURSKY	Moose Knuckle, that's funny.

PAPA MCGURSKY	Tom, Mama says you designed this label.

TOM	Yeah, I did.

MANFRED	Wait, wait. You designed this label, Tom?

PAPA MCGURSKY	Mm-hmm.

MANFRED	Oh, that's pretty cool, pal.

TOM	Thanks, Dad.

IRA	Can I get you boys some weed?

IRA	Home grown, I call it the rasta Jew, man.

IRA	That's what I call it, man.

TOM	No, I… I'd end up on the floor of that boat passed out.

IRA	That's what happened to the captain.

IRA	That's why I'm driving the boat.

PAPA MCGURSKY	Rasta Jew?

IRA	Yeah, man.

PAPA MCGURSKY	I'm in.

IRA	Yeah, man.
 
SFX	(Music Playing)

SFX	(music lyrics)

BIRD	Goddamn.

GEORGIA	This is exactly what my old buns needed.

LAURA JANE	Mine too.

SHERRY	Oh, oh. What do you all know about, you know…

MAMA MCGURSKY	I have shoes older than the both of you.

GEORGIA	I have a present for you.

LAURA JANE	Georgia, where'd you get…

GEORGIA	Nice.

SHERRY	You light that thing up.

SHERRY	Oh, oh, it's been over thirty years since I've had a whiff of them, um…

LAURA JANE	What…

MAMA MCGURSKY	Weed, grass, ganja, gateway drug, yeah.

GEORGIA	You know, it seems like just yesterday, we were at Kappa Delta Pi, doing jello shots off the swim team boys.

GEORGIA	Honestly, we'd start with one up here and then you sort of work your way down.

LAURA JANE	Hey, Georgia?

LAURA JANE	Stop, that's my mother-in-law.

GEORGIA	At the end of the semester, I had no gag reflex.

MAMA MCGURSKY	That's the only thing I got out of college, too.

MAMA MCGURSKY	Honey, I am sure that Sherry and I both have done things we're not necessarily proud of in our past.

MAMA MCGURSKY	I used to be a very dirty girl.

LAURA JANE	Mom, stop it.

GEORGIA	No.

MAMA MCGURSKY	They used to call me Mud Pie.

GEORGIA	No!

SFX	(Music Playing)

LANCE	How you doing?

LANCE	You got anything, uh, kind of healthy for somebody who's trying to get back into shape?

DR. KUSH	I got that weed.

LANCE	Okay. Thank you.

LANCE	Looks great. Appreciate it.

LOLA	I'll have one of those.

LANCE	You know what?

LANCE	It's on me, there you go.

LOLA	It's all inclusive.

LANCE	Okay, well, second one's on me, too.

LOLA	Oh, you're such a gentleman.

LANCE	Where I come from, I believe it's my theory that a woman such as yourself should, you know, be treated like a lady.

LOLA	Where are you from?

LANCE	I'm from Canada by way of, uh, Mississippi.

LOLA	How can you be Canadian from Mississippi?

LANCE	Well, it's, uh, it's a little complicated, you know?

LOLA	I know complicated.

LOLA	I was left at the altar.

LOLA	I woke up yesterday and my fiancé was gone.

LANCE	Uh… you were left at the altar?

LANCE	I'd like to meet the son of a bitch,  excuse my language, that left you at the altar.

LANCE	That was crazy enough to leave you at the altar and teach him a thing or two about chivalry.

DR. KUSH	What, teach him…Teach him about some weed?

LANCE	No, thanks. Not right now, hoss.

LANCE	You know what?

LANCE	Let's not even think about it, all right?

LANCE	Here's to new beginnings.

LANCE	Cheers.

LOLA	Cheers.

LANCE	Mango-carrot fusion.

LANCE	Here's to it.

IRA	Jamaica is my home.

IRA	Oh, Jamaica is my home.

RICKY	Get it?

TOM	Mm-hmm.

IRA	Jamaica is my home.

RICKY	That's a small fish.

TOM	I know, I thought it would be a lot bigger.

IRA	Sounds like you've been enjoying yourself, man.

TOM	Yeah, man.

IRA	You gotta get yourself a nice Jamaican woman to make you some of that good jerk chicken, man.

TOM	Hey, anybody else wanna go up for a swim?

IRA	No, man. Don't do it.

RICKY	The water's beautiful. Why can't we jump in?

IRA	What happens at hedonism stays at hedonism.

IRA	But the sea, she remembers, man.

IRA	Few years back, some of the more adventurous guests would have the hotel ferry them out right to this spot here.

IRA	They'd take the current all the way back in, screwing the whole way.

IRA	Called it riding the dolphin, man.

RICKY	What the hell are you talking about?

IRA	That was before the real dolphins joined in.

IRA	Maybe it was the smell, all them juices percolating in the water.

IRA	First they followed them into the shore, almost like they was protecting them, man.

IRA	Then one sunset, the dolphin jump up, knocked the man right off his woman.

IRA	Empty bikini washed up on shore, man.

IRA	Ever since, no fucking in the lagoon.

IRA	And no swimming in this spot right here.

TOM	I'm not going swimming.

RICKY	I'm not going in.

IRA	I'm fucking with you guys.

SFX	(Music Playing)

LANCE	Why does… Why do people always misinterpret who I actually am?

LANCE	I don't get it. Everybody seems to like this guy.

LANCE	I don't get it.

LANCE	I'm just…

LANCE	Dolphins?

GEORGIA	Sherry, Sherry, tell us some of your wild tales.

LAURA JANE	All right, that's… That's it, stop.

LAURA JANE	I don't think we need to go there.

LAURA JANE	Maybe just another time?

GEORGIA	Chill out.

GEORGIA	Chill out, babe, come on.

TYRONE	Oh.

TYRONE	You ladies mind if I join?

GEORGIA	Yeah… No.

GEORGIA	No. No. Please.

GEORGIA	Please.

GEORGIA	Um, would you like, um, to… To suck… I mean, blow…

GEORGIA	Um, you… Do you want some?

TYRONE	Ladies, ladies.

TYRONE	I don't bite.

GEORGIA	Really?

TYRONE	Unless you want me to.

MANFRED	Fish up.

TOM	Pull, pull it in.

MANFRED	Got it. He's coming up. He's coming up.

PAPA MCGURSKY	Pull it and get the hook, Tom.

MANFRED	He's coming up. He's coming up.

MANFRED	Hang on, hang on. Get the gaff.

MANFRED	Get the hook. There we go. Keep coming.

PAPA MCGURSKY	You got him. You got him.

MANFRED	Coming up, coming up, coming up, he's coming up.

MANFRED	Grab him, somebody grab him.

IRA	Let me get a pole.

MANFRED	Here, hold... Hold my pole.

IRA	That's a bigger fish than you.

MANFRED	Look at that.

MAN	 Woo.

MANFRED	Yeah, baby.

MANFRED	Look at that, Tom.

MANFRED	Oh, he's in the water.

MANFRED	He's in the water.

IRA	Oh, shit, man.

IRA	He's dolphin meat, man.

MANFRED	Look, you got him.

TOM	Oh, dolphin! Dolphin!

MANFRED	You get him!

IRA	Oh, shit. I'll get him, man.

MANFRED	It's your boat.
TOM	Dolphin!

TOM	Something got my leg!

TOM	Something's touching my leg!

ISLAND MAN	Ayo, weary traveler.

ISLAND MAN	You care for some dark Jamaican rum?

LANCE	Don't mind if I do.

LANCE	Take a belt right out of the bottle.

LANCE	Okay. Yeah.

LANCE	Yeah, change my perspective a little.

LANCE	It's good. That's good.

LANCE	I'm Lance.

LANCE	What do you go by?

ISLAND MAN	Island Man.

ISLAND MAN	Ain't got no name.

LANCE	You got this crafty boat here.

ISLAND MAN	Obviously. You can't be no island man if you don't have a ship.

MAMA MCGURSKY	Oh. Oh, I am still thinking about that incredible massage.

SHERRY	Oh, God.

SHERRY	Me too. Oh.

SHERRY	Oh, the face he did.

SHERRY	Can't remember the last time Manfred took me dancing.

SHERRY	Wow. Wow.

SHERRY	Wow. Oh, try this, Georgia. It's really fun!

GEORGIA	You're like a cross between a unicorn and a stork.

SHERRY	A stork. Georgia.

SHERRY	Oh, oh, oh, there you go.

GEORGIA	Are you okay?

SHERRY	Oh, yeah.

SHERRY	Something just popped out.

GEORGIA	Are you sure?

GEORGIA	No, it just popped out.

MAMA MCGURSKY	What's the matter?

SHERRY	I don't know.

LANCE	Then they eventually had their own child, you know, their real kid.

LANCE	Their biological child.

ISLAND MAN	And then they tried to get rid of you?

LANCE	No. She never made me feel less than, she made me feel like her real brother.

LANCE	And you know what I did? I acted like a jerk.

LANCE	I didn't even protect her the way I should have.

ISLAND MAN	So like you were the one abandoning them?

ISLAND MAN	All right. Look.

ISLAND MAN	Let's go and find your destiny.

LANCE	What, right now?

LANCE	All right. Let's do it.

LANCE	Have another old swig of that rum.

ISLAND MAN	Go ahead, son.

ISLAND MAN	Tell your tale to the ocean.

LANCE	They really never stopped loving me.

LANCE	It was more just me.

LANCE	It was what was going on inside of me, and I was just insecure of it.

LANCE	I mean, I've never even did this with my old man.

ISLAND MAN	All right. I'll be your poppy. 

LANCE 	Should I be nervous? I can't quite see the bottom here, Poppy.

WINSTON	Gentlemen, I hope you had a great day at sea.

WINSTON	You ready for a party?

TOM	I need to go to bed. I think I got way too much sun today.

RICKY	What the hell are you talking about, Tom?

RICKY	I've been waiting this whole darn time to get into some nasty trouble.

TOM	All right. Fine. One drink.

RICKY	Let's take some shots and get fucked up.

EMCEE	Welcome to the par-ty.

SHERRY	I think I’ve died and gone to heaven.

LAURA JANE	What have you done to yourself?

SHERRY	I don't know, I pulled something.

LAURA JANE	Oh, God.

GEORGIA	Oh, and how did you pull that, miss?

MAMA MCGURSKY	Well, it's either dancing or looking at that beautiful man.

GEORGIA	Classic.

LAURA JANE	Mud Pie and Cotton Candy are like Thelma and Louise.

SHERRY	Most beautiful Bradwell. This is my stop.

SHERRY	Goodnight, ladies.

LAURA JANE	That was fun.

MAMA MCGURSKY	That was fun.

MAMA MCGURSKY	Your father and I are so happy for you.

MAMA MCGURSKY	Of course, we were very worried about you for a while.

LAURA JANE	I know.

LAURA JANE	You know, I'm so excited, too.

LAURA JANE	He really is the man of my dreams.

MAMA MCGURSKY	Your father's the man of my…

LAURA JANE	Mom?

LAURA JANE	Did you... Did you fall asleep with your eyes…

MAMA MCGURSKY	I'm right here. I'm right here.

LAURA JANE	…open?

LAURA JANE	Again?

MAMA MCGURSKY	I'm right here.

LAURA JANE	I'm worried about you.

LAURA JANE	It looked like you fell asleep with your eyes open.

LAURA JANE	Mom? Are you okay?

MAMA MCGURSKY	I was just…

TOM	I feel like shit.

ANNA	Oh, hey, sexy.

ANNA	You really went all out last night.

TOM	Shit.

ANNA	Don't go.

TOM	Ricky!

TOM	Ricky! Ricky!

TOM	Yo, get up, man. What the fuck happened last night?

TOM	Hey, hey, what happened?

RICKY	- We took some pills.

TOM	We took some pills?

RICKY	Yeah, I'm sorry. We got fucked up, had some bananas.

TOM	Fuck.

RICKY	What happened with the girl?

TOM	I woke up in her room and…

RICKY	Oh, shit. You fucked her.

TOM	No, I didn't fuck her, okay?

RICKY	Nice.

TOM	No, that's not nice.

RICKY	Oh, this is a bachelor party well done.

TOM	No.

RICKY	Yes.

TOM	Well, I had my pants on.

TOM	I have my shoes on. And…

RICKY	Oh, that doesn't mean anything.

TOM	This is all your fault.

TOM	Fuck!

RICKY	It was a good night.

RICKY	Let's do it again.

ISLAND MAN	Remember, every man is an island trying to find his way home.

LANCE	What did I drink?

ISLAND MAN	Time to go home.

ISLAND MAN	Have faith, and always follow the current no matter how rough and tough the seas may be.

ISLAND MAN	Now, go on and find your next adventure.

LANCE	Where the hell am I? I mean, was this guy real?

ISLAND MAN	But not that direction.  Lord God.

ISLAND MAN	You're going the wrong way.

TOM	Gosh, I'm so hung over.

LAURA JANE	You're supposed to look after him, Ricky.

RICKY	I did, I think.

RICKY	What did you guys do last night?

GEORGIA	We just passed out after the hot tub.

RICKY	I would love to pass out in a hot tub with you.

RICKY	 I would, I would, I would.

GEORGIA	Okay. For the last time, Ricky, there is no scenario in which I will ever sleep with you.

GEORGIA	Not even... Not even if there was a nuclear holocaust and we were the last people left on Earth.

GEORGIA	Not even if I thought it would cure cancer, Ebola, and AIDS!

GEORGIA	Not even if it stopped people from voting Republican.

RICKY	I don't wanna get political with you.

RICKY	I just wanna have some sex with you on the beach.

LAURA JANE	Okay. Ignore them.

LAURA JANE	What are we gonna do today?

TOM	Uh, I think we should probably just fall asleep on the beach and just 

HEDO GUEST	Hey, banana boy?

TOM	I think he's talking about us.

RICKY	Yeah. I'm banana boy.

HEDO GUEST	Deep throat!

RICKY	Yeah. That's me.

RICKY	He's... He's talking to me.

TOM	He's talking to Rick.

RICKY	This is one of Ricky's things.

RICKY	I'm sorry.

TOM	He's a banana...

TOM	We... We should just get out of here  and go hiking in the rain or something.

LAURA JANE	Yeah.

GEORGIA	Bye, guys.

RICKY	Love you, bro.

GEORGIA	Bye.

GEORGIA	So?

GEORGIA	That was strange.

GEORGIA	What exactly did you two get up to last night?

RICKY	We acted like true gentlemen last night, if you must know.

GEORGIA	Okay. This was fun.

RICKY	See you soon.

GEORGIA	In hell.

RICKY	Miss you already.

SHERRY	Oh, hello.

SHERRY	We're here. The... The... Oh, the…

MAMA MCGURSKY	What she's trying to say is we are here to see the psychosexual kinesiologist who also happens to be a subdural neuro manipulator.

RECEPTIONIST	She's actually a sex coach.

MAMA MCGURSKY	Okay. Well, I just like to say subdural neurologist because it makes me feel smart.

RECEPTIONIST	Could you go ahead and sign these forms for me, please?

SHERRY	Oh, sure. Sure.

SHERRY	Oh, oh, oh..

MAMA MCGURSKY	I've got it.

MAMA MCGURSKY	You're all right.

MAMA MCGURSKY	Mindful sexuality. Uh-huh.

MAMA MCGURSKY	Water work.

MAMA MCGURSKY	Love your leather.

MAMA MCGURSKY	How to dumb your inner sub, candle play.

MAMA MCGURSKY	Don't get burned.

MAMA MCGURSKY	Sign me up for everything.

SHERRY	Name.

SHERRY	What address?

MAMA MCGURSKY	All right.

SHERRY	Uh, what's the F word?

HOWARD	Whoo. Oh, that's refreshing.

HOWARD	Oh. Howard Freeman, upper management in DODC here at Hedo II.

HOWARD	I've been watching you very, very closely since your arrival here, and I have to say, you really have a nice way about you.

HOWARD	You’re light on your feet, agile, and I notice when you walk into a room, just lights up.

TOM	Thanks.

HOWARD	You ever done any professional dancing?

TOM	No, I... I did a high school, uh, Sound of Music.

HOWARD SINGING	The hills are alive.

HOWAR	I bet you gave old Plumber a run for his money, huh?

HOWARD	Hey, speaking of plumbing, how are your pipes doing, Tom?

TOM	They're good.

HOWARD	The dry cleaning for your wedding, it's gonna be nothing short of perfection and gratis.

TOM	What's, uh, what's gratis?

HOWARD	That means on the house, Tommy boy.

HOWARD	I'll see you at the wedding.

TOM	Who the hell was that?

BLONDE GIRL	Hi.

LANCE	Here’s the double, mate.

GEORGIA	Lance, Lance.

LANCE	Oh, hi.

GEORGIA	Okay. So, something is going on.

GEORGIA	The boys were acting…

LANCE	Yeah.

GEORGIA	…so weird at breakfast this morning.

GEORGIA	Super suspicious.

LANCE	Something's going on.

LANCE	Something very, very odd is happening around here.

GEORGIA	People were walking past and they were shouting things like,

GEORGIA	"Oh, banana blowjob, cock cowboy, and deep throat."

GEORGIA	And I think…

GEORGIA	Ricky gave Tom a blowjob last night.

LANCE	Uh… okay.

LANCE	Well, that's absolutely gonna devastate Laura.

LANCE	Nobody wants to listen to old Lance. No.

LANCE	No one wants to listen to Lance.

GEORGIA	I've had an idea. All right.

GEORGIA	I'm gonna go. I'm gonna fix this. I'm gonna figure it out.

GEORGIA	And then I'm gonna come find you, okay?

LANCE	Okay.

GEORGIA	Okay?

LANCE	Okay. Just call me in my room.

BLONDE GIRL	So, you wanna go check out the nude pool?

LANCE	Ah, there's a nude pool?

BLONDE GIRL	She'll come, too.

LANCE	Strange winds are blowing around here.

SEX COACH	A perfect orgasm is a confluence of all five senses:

SEX COACH	Touch…

SEX COACH	Taste…

SEX COACH	Smell…

SEX COACH	Sound…

SEX COACH	and sight.

SEX COACH	And unroll to reveal your tools.

SEX COACH	We will focus on one sense at a time.

SEX COACH	Placing all of your tools… let your hands and your bodies express your sensations.

SEX COACH	Gentlemen.

SEX COACH	We are ready for you to enter us.

GEORGIA	You can do this. Yeah.

GEORGIA	Yeah, you can.

GEORGIA	No, no, stop it.

GEORGIA	All right. Come on.

GEORGIA	God, I'm a good friend.

GEORGIA	Hey, Mr. Ricky.

GEORGIA	Do you wanna order a cold drink for a thirsty girl?

RICKY	Yeah, I do. A lot of tits and ass everywhere.

GEORGIA	Hi, Ricky.

RICKY	I knew you come around for some of that Ricky dick.

RICKY	Let's go make a Ricky flick. Come on.

SEX COACH	Tantric sexual stimulation, it's about admitting a desire.

SEX COACH	Share a desire.

MANFRED	That's my finger.

SEX COACH	Share a fantasy you've never admitted.

MAMA MCGURSKY	Meow.

SEX COACH	Now, experience your sensations.

LANCE	Huh?

IRA	There's a beautiful girl, man.

LANCE	Oh, yeah. Yeah. She's attractive all right.

LANCE	Something about her.

IRA	You should go talk to her, man.

LANCE	Oh, uh, yeah. Actually, we already met.

LANCE	She's, you know, she's going through kind of a hard time.

LANCE	She got left at the altar.

IRA	Yeah, man.

LANCE	Yeah. Very sad.

IRA	Broken heart, man.

LANCE	Yeah.

IRA	Hmm.

IRA	You should mend that heart with big Janelle right there.

IRA	Getting an orgy going. I can watch.

IRA	You'd take her to the romper room, man, and you tie her up like a goat.

LANCE	No. You're not hearing what I'm saying.

LANCE	She's a nice girl. She just got left at the altar.

LANCE	She's going through kind of a rough time.

LANCE	If I were to say something to her, it'd be like, I don't know.

LANCE	"Would you like to go for a walk on the beach?" Something like that.

IRA	Yeah, man. Yeah, man.

LANCE	You see what I'm saying?

LANCE	Yeah.

LANCE	She is a really pretty woman.

LANCE	It does seem like she's looking over here though.

IRA	She's definitely looking right at you, man.

IRA/	Hold the gaze.

LANCE	Yeah. You think so?

IRA	She's almost as beautiful as my wife.

LANCE	You're married?

IRA	Yeah, man.

LANCE	So, what are you doing in this cabana right beside me?

IRA	I was noticing your pants. They're, uh, really nice.

IRA	What kind of pants are those?

LANCE	Oh, you're not Jamaican? Where are you from?

IRA	I'm actually from Long Island. But, uh, dual citizen, man.

IRA	Uh… Let me, uh... Let me press these pants for you, for real.

LANCE	No, thank you.

IRA	By the way, my wife think you look like Matt Lauer, man.

LANCE	Oh, yeah? Well, I don't know if you heard he got into a little trouble back in the States.

IRA	Oh, no, man. She's gonna be devastated.

IRA	Is he gonna be okay?

LANCE	Have you been here the whole time?

SINGER	(music lyrics)

TOM	I think I hear the waterfall right over here somewhere.

TOM	All right. It's just right over here.

LAURA JANE	Okay.

SINGER	(music lyrics)

LAURA JANE	Come on.

SINGER	(music lyrics)

TOM	So… you wanna just take our clothes off?

LANCE	Are you okay?

LANCE	Georgia, what did you discover about Tom and Ricky?

LANCE	Did Ricky fellate Tom?

GEORGIA	So, uh, Ricky… Ricky is, um, straight, yeah.

RICKY	Straight as an arrow for you, babe.

GEORGIA	And, you know, he's surprisingly… deep and, um, spiritual, philosophical individual.

RICKY	Very philosophical, Shakespeare once said…

LANCE	Did you blow Tom?

LANCE	Why are you looking at her?

LANCE	Simple question, did you go down on him?

RICKY	I'm not sure what happened. It was a big night out.

RICKY	We took some pills and Tom woke up in some chick's room.

RICKY	But it's all my fault.

LANCE	Okay.

LANCE	I'm gonna, uh, go grab a wet wipe.

LANCE	Okay. A guy as dumb as Tom has to leave a few clues here and there.

LANCE	esus Christ.

LANCE	It's just you, Lance.

LANCE	Oh, gee.

LANCE	Shit. Luckily, this is all inclusive.

LAURA JANE	Oh. 

TOM	Oh.

LAURA JANE	Okay.

TOM	Can you get it off?

LAURA JANE	Yup.

LAURA JANE	Oh.

LAURA JANE	Hoo.

TOM	Dude, what the fuck, man? Shit.

LAURA JANE	Tom, don't you have any boundaries?

LANCE	Yeah, I got boundaries.

LANCE	I also got a couple of questions for this guy right here, your fiancé.

LANCE	I just had a little chat with your best man.

TOM	Yeah.

LANCE	Yeah, okay. Yeah.

LAURA JANE	Look, Lance, Tom is a good guy.

LAURA JANE	I love him and we're getting married, and you have to learn how to just deal with it.

LANCE	Oh, you want me to deal with it?

LANCE	Let me tell you something about this so-called "good guy," all right?

LANCE	And this hurts me to tell you this, but he slept with another woman.

TOM	Whoa, whoa, whoa, whoa, no.

LANCE	Sit down! That's right, honey.

LANCE	He fornicated with another girl.

LAURA JANE	What?

LANCE	Yeah. Tell her.

LANCE	Explain it to her.

LAURA JANE	What is he talking about, Tom?

LANCE	Yeah, what am I talking about, Tom?

LANCE	You know what? Let me handle this one.

LANCE	My investigation so far has yielded the information that, uh, there is a woman named Anna.

LANCE	Does that ring a bell, Tom, if that's even your real name?

TOM	I... I... I... I don't... I don't know... I don't... I don't…

TOM	I…

LANCE	What, is English your second language?

LANCE	Speak.

TOM	Okay.

LAURA JANE	Just tell me what happened.

TOM	I... I woke up in another woman's room and I don't...

TOM	I don't think I did anything.

LANCE	Oh, ho, ho.

LANCE	You woke up in another woman's room.

LANCE	Are you hearing this, honey?

TOM	I... Okay.

TOM	I had... I had... I had no shirt on but my shorts were on.

TOM	My shorts were on…

LANCE	His shirt was off

LANCE	but he thinks he had his underoos on. What the fuck are you talking about?

TOM	But my... My shoes was... My shorts were on…

LANCE	She's furious.

TOM	…and my... My shoes were on and... And I don't...

TOM	I wouldn't... I wouldn't do anything. I know myself.

LANCE	He thinks that he had clothes on.

LANCE	Starting to see what I mean here?

TOM	I... dude that's not... I'm... It's not what you think.

TOM	I didn't cheat.

LANCE	Go walk it off, sis. I'm right behind you. You're disgusting.

LANCE	I agree with what she said a hundred percent, and so far as I can tell, you're just one more guy who cheats on his fiancé. And I think that that's just horrible.

LANCE	And this room's a goddamn pigsty.

LAURA JANE	Mom, Dad, I have to tell you something.

LAURA JANE	Oh. What the...

LAURA JANE	What the fuck?

WOMAN	You must be the bride. Congratulations.

SHERRY	Hi, honey.

LAURA JANE	Mom?

LANCE	He had us all fooled.

LANCE	You got to admit, you did seem pretty happy.

LANCE	And I'm sorry that I wasn't more happy for you.

LAURA JANE	Well, I didn't exactly always make it easy for you to be happy for me.

LANCE	You don't have to say that.

LAURA JANE	I'm just sorry that I never really tried to understand you.

LANCE	Hey, to me, you were the only person that never really did understand me, all right?

LANCE	And, well, I'm sorry I didn't treat you like a real brother.

LAURA JANE	Lance, you're better than any real brother I could ever ask for.

LANCE	Yeah?

LAURA JANE	Yeah.

