RADIO ANNOUNCER	Nathan Redding is in hot water.  The singer recently got in an accident, crashing into his ex-girl friend's car, and rumors are that his marriage is down in the rocks as well. More on that when we come back and we'll also be giving away tickets to Nathan's concert next month. 
HENRY 	We need you.

JAMES	Mom doesn't seem to worried about it, with Christina Riley stealing all the guests. Burying her head in the sand. 

HENRY 	She's plenty worried, believe me. She's just got a lot on her plate right now.

HENRY 	Hey, what would you do?

JAMES	Doesn't matter. It doesn't affect me. 

HENRY 	Because you're leaving again.

JAMES	You know, I left for Tom's sake last time. Even though I loved Anna, I left. And this is the thanks I get. He blames me for stealing her, for moving away, for coming back. 

HENRY 	Yeah.

JAMES	Just because Anna ended up moving away doesn't mean that I stole her. I haven't talked to her since I left. 

HENRY 	Anna loved you, you know, not Tom. 

JAMES	It doesn't matter to him.

HENRY 	But it matters to you. 

JAMES	I let it go. I've got my life to get back to. 

HENRY 	Hey, do something for me, will ya?

HENRY 	Don't let his hard feelings affect you. Love him, even if he makes it difficult.

JAMES	You know the whole brotherly love thing works better from afar.

BARBARA	 Henry!

BARBARA	Henry!

TOM	Dad!

LINDSAY	Mom is he breathing?

JAMES	 Lindsay, go call 911, hurry!

TOM	There's no pulse, Mom.

JAMES	Come on, Dad. He's not breathing.

TOM	Stay with us, Dad, come on!

BARBARA	Henry, please!

TOM	We'll be in the car.

CHRISTINA RILEY	Sorry for your loss. He was a good man.

JAMES	I didn't think you actually knew him.

CHRISTINA RILEY	Well, not well, but maybe in time. If we had talked about Reed Mill and all.

JAMES	Do you really think now is the time for this?

CHRISTINA RILEY	What better time? You have some big decisions to make and this is one of them.

JAMES	Yeah.

CHRISTINA RILEY	You don't really want to stay here and run a bed and breakfast, do you?

JAMES	That's my business.

CHRISTINA RILEY	But you need a life.

JAMES	I have a life.

CHRISTINA RILEY	And you want to get back to it, don't you?  You have to do what's right for your family. Itmay be a hard pill to swallow, but it's the right thing.

TOM	Want some juice, Mom?

BARBARA	No, thank you.

TOM	What are you doing?

BARBARA	Trying to see who we can afford to hire.

TOM	Found anyone yet?

BARBARA	I don't even know how we're going to pay them.

TOM	Do we need anyone else?

BARBARA	Jimmy has to go back soon.

TOM	Business is slow right now anyway. I think we can handle it.

BARBARA	But we need more business just to make ends meet.

TOM	It'll pick up.

JAMES	Not with Christina undercutting our rates.

TOM	What do you care?

JAMES	Mom, maybe it makes sense to take her offer seriously.

TOM	Don't listen to him, Mom.

BARBARA	We're not selling, Jimmy.

JAMES	Well, how do you expect to do it without Dad? I mean the offer's not great, but. . .

BARBARA	Jimmy, we're under water on the loans.

TOM	Is it really that bad?

JAMES	Well, isn't Riley's offer enough to. . .

HENRY	It's not. And it doesn't matter. This is our home.

JAMES	Alright, how bad is it really?

JAMES	You're not even turning a profit.

BARBARA	You asked.

JAMES	Mom, how do you expect to turn things around if you can't. . . I can't stay much longer. 

BARBARA	I know.

PAIGE	James, there's a phone call for you.

TOM	I knew we couldn't count on him.

JAMES	This is James. 

DAWSON	Sorry to hear about your father. How are you holding up?

JAMES	I'm okay. 

DAWSON	Good. I talked with Nathan Redding today. Things have calmed down and he sends his thanks. 

JAMES	I'm glad to hear it. 

DAWSON	Look, I don't want to rush you, but when can we expect you back? 

JAMES	I'm trying to figure that out right now. 

DAWSON	I have something better in mind for you here. 

JAMES	Yeah?

DAWSON	Something more along the strategic side. I think you'll like it. 

JAMES	Okay. Thanks.

DAWSON	We'll talk over the particulars when you get back. 

JAMES	Sounds good.

PAIGE	You're smiling.

JAMES	Yeah. 

PAIGE	That doesn't happen that much. 

JAMES	My boss. It looks like I'm getting a promotion.

PAIGE	Congratulations. 

JAMES	Thank you. 

PAIGE	That's great.

JAMES	Reed Mill Bed & Breakfast, how may I help you? Yeah. It's for you.

PAIGE	Hello? 

LINDSAY	Okay. No, I'm sorry. I'm. . . okay. Yeah, I'll be right there. 

JAMES	What's wrong? 

PAIGE	I gotta go. 

JAMES	Paige!

PAIGE	Oh, come on! 

JAMES	Paige.

PAIGE	Give me a break! 

JAMES	I can take you wherever you need to go.

PAIGE	No, it's okay.

JAMES	Please. Come on.

PAIGE	Thank you for calling.  Mom? Hmm.  Time to go home. 

DORA	I am home.

PAIGE	No you're not. You know where you are? 

DORA	Home.

PAIGE	I can handle this. 

JAMES	It's okay. I don't mind helping. 

PAIGE	You might when she throws up in your rental car.

JAMES	Should we get her something to eat? 

PAIGE	Um, not such a good idea.

JAMES	How about you?

PAIGE	Thanks for dinner.

JAMES	My pleasure. 

PAIGE	You didn't - you didn't have to do this.

JAMES	Actually I did. I was starving. 

PAIGE	Not just the food. You didn't have to come out here. 

JAMES	I'm glad I did.

JAMES	So your car, the fender bender. . .

PAIGE	Yeah. 

JAMES	That's why you stayed. Your mom?

PAIGE	I had to. 

JAMES	What about rehab or something?

PAIGE	Can't afford it. Not sure she'd go anyway. 

JAMES	I'm sorry, I don't mean to interfere.

PAIGE	You know, parents are suppose to take care of their children, not so much the other way around.

JAMES	I had no idea that you were. . . 

PAIGE	That's okay, I don't like to broadcast it. My Mom does that enough. 

JAMES	How are things between you two?

PAIGE	Um, she's not sober much. 

JAMES	You, uh, ever regret it?

PAIGE	It, uh, gets lonely sometimes. Your family helps. They give me hope. 

JAMES	Really?

PAIGE	Yeah, that not all families are like mine. 

JAMES	No, sometimes they're worse.

PAIGE	Someday you'll think differently.

JAMES	Morning. 

LINDSAY	Morning. 

JAMES	Going to school soon? 

LINDSAY	After morning chores.

JAMES	Do you ever get tired of them, the chores? 

LINDSAY	Not really.

JAMES	I did. 

LINDSAY	I like meeting the different people. And if we move, I'll miss that. 

JAMES	You'll meet new people anywhere you go.

LINDSAY	I know. I just like it here, though. 

JAMES	That's because you've never been anywhere else.

LINDSAY	Exactly.  I guess I'm just scared.

JAMES	Hey. 

PAIGE	Hey.

PAIGE	I wanted to thank you again for everything. It was really nice not to have to do it alone for a change.

JAMES	You're welcome. 

PAIGE	What are you doing out here?

JAMES	Just, reminiscing. I don't remember what time of year it was, spring, summer, whatever, but the fish actually would try to swim up this waterfall. 

PAIGE	Really?

JAMES	We used to stand over there and would try to catch them. 

PAIGE	Did you actually ever get one?

JAMES	No, but to this day Tom still swears that he caught one, but I don't buy it.

PAIGE	You gonna miss it?

JAMES	Dad once asked me what I would do with the Mill if I were in his shoes. 

TOM	Sell it?

JAMES	No, not anymore. It means too much to the family. But you can't expect to keep it without making a few changes. 

BARBARA	Like what? 	

JAMES	Well, even if we sell 75% of the rooms year round we'd still barely be breaking even with all the cost of maintenance and food and wages.

TOM	Yeah, we can't charge anymore than we already are, especially with Christina undercutting our rates all day long. 

JAMES	No, we can't, but we need to start bringing more people in.

TOM	Are you suggesting we build more rooms?  With what money? 

JAMES	I'm suggesting we start putting this place on the map. 

TOM	Advertising? 

JAMES	More than that. I'm talking events. Public and private.

BARBARA	Weddings? 

JAMES	Yes, uh, company parties, anniversary parties, proms.

TOM	Where would we host all this? 

JAMES	We're sitting on 50 acres of land. If the weather's good, we can find a spot.

BARBARA	You know, Vicky Pearson's daughter just got engaged. 

JAMES	Call he. 

TOM	Is this really enough to make a difference?

JAMES	What about a concert? 

BARBARA	Okay.

JAMES	Jump start things around here, get the community involved. 

TOM	Please tell me you're not singing.

JAMES	We'll let the surround towns know about it, and start selling tickets as soon as we can. If it works out, we do it every year. 

BARBARA	Can we afford to bring in a singer? 

TOM	One who will help sell enough tickets?

JAMES	I can cover the expenses with some savings that I have, but for a singer with mass appeal, maybe I'll call in a favor.

JAMES	Nathan. James Reed here. Good, good. Well, I'm glad it's working out. Hey, I know we haven't known each other very long, but I have huge favor to ask of you. 

BARBARA	Did you all have a restful night? 

BREAKFAST GUEST	Yeah, it's really quite and pretty here. 

BARBARA	Thank you. Oh, just so you know, we do host special events, so if you have anything coming up, think about us.

BREAKFAST GUEST	Bridal shower. Yeah. 

BARBARA	The entire place used to be an old flour mill but it was beautifully renovated. We've got ponds, the water wheel, waterfalls. We also have tents and chairs that we can set up in addition to any decor that you've got.

KATE	Hello, this is Kate. 

JAMES	Hey, I need a favor. 

KATE	Oh, you mean in addition to me covering your work load?

JAMES	Yeah. 

KATE	What? 

JAMES	Contacts in Idaho, Montana, Wyoming, newspapers, TV, radios, bloggers, the works. 

KATE	Why, what are you working on?

JAMES	A little side project. 

KATE	Okay, and when are you coming home?

JAMES	Not sure. 

KATE	You're not sure? 

JAMES	No, I'm not.

KATE	Okay, first it's, oh, maybe it's just a week, and then it's a couple more days,  and then it's more days, and then you're not sure, so what am I . . . 

JAMES	Kate, my Dad's gone. My family needs me.

KATE	For how long? Dawson's not gonna wait forever. 

JAMES	I know.

KATE	And neither will I. 

JAMES	I've got a lot on my mind. I don't need this right now.

KATE	Is that my answer?

JAMES	That's not what I meant. 

KATE	Sure you didn't.

JAMES	What do you want from me, Kate. 

KATE	Well, I know what I don't want. I don't want to waste my time with someone who has no idea how good he's got it. 

JAMES	Then don't. Just send me the list.

KATE	Fine.

PAIGE	This is the perfect room for the brides. 

LINDSAY	For the bouquet?

PAIGE	Sure. 

LINDSAY	Hey, why do wedding dresses have to be white?

PAIGE	I don't know, tradition? 

LINDSAY	Well, I'd want lilac. 

PAIGE	Lilac?

LINDSAY	Why not?

JAMES	Is my little sister getting married? 

LINDSAY	You're closer to that than I am. 

JAMES	Not really.

PAIGE	What about Kate? 

LINDSAY	Doesn't distance make the heart grow fonder?

JAMES	Well, sometimes it just clears you head a little. 

LINDSAY	What's that?

JAMES	Uh, I just gotta hang these up around town.  You guys wanna help? 

LINDSAY/PAIGE	Sure.

CHRISTINA RILEY	Get me the number for Patrick at the bank.

TOM	Need some help? 

PAIGE	Sure, thanks. 

TOM	Sure. 

PAIGE	So, how are ya? 

TOM	Good enough, thanks. 

PAIGE	Really, or are you just saying that?

TOM	At this very moment, things are perfect.

PAIGE	Perfect, huh? Folding laundry? 

TOM	I like helping you.

JAMES	Tom, Tom. Mom needs us.

TOM	Yeah. Coming.

TOM	What? 

BARBARA	The bank's given me a deadline. 

JAMES	What deadline? 

BARBARA	Your father talked to them a while ago about reducing our payments, a temporary help. But they're taking that away and calling in the difference.

TOM	Can they do that? 

JAMES	Yeah, but why now? 

BARBAR	Someone called them, a buyer.

JAMES	Christina Riley. 

BARBARA	They said that if we don't get back on track they'll have to sell Reed Mill to recoup their money.

TOM	Whatever. They just don't want to miss out on her offer. 

BARBARA	We have less than two weeks to make up our payments. 

JAMES	That's just before the concert.

TOM	How do we stop this? 

BARBARA	We don't have enough events booked, and they're not enough money. . . 

TOM	So we move up the concert. 

JAMES	No, we can't do that, we've already announced the dates and we can't do that to Nathan. 

TOM	The great James can't make a phone call? 

BARBARA	Boys. 

TOM	Without this concert we're finished. 

JAMES	You don't think I know that? 

TOM	I don't know!

JAMES	I'll come up with something.

TOM	You gonna run away again? 

JAMES	Get off my back, Tom. 

TOM	I figured you'd run. Somehow everyone still thinks you're the hero. 

JAMES	I'm not trying to be a hero. I wasn't trying to be one then, I'm not trying to be one now.

TOM	Because you're a coward, that's why you left before.

JAMES	I left so you could have your way. I don't know why you can't see that. 

TOM	Don't try to spin this like you do everything else Mr. PR man. 

JAMES	You always try to make yourself out to be a martyr every time.

TOM	All you do is think about yourself.

JAMES	Get over it! 

TOM	I can't! You're always first! You beat me to Anna, you beat me out of this place. 

JAMES	What are you talking about? 

TOM	You think I want to stay here? 

JAMES	You don't? 

TOM	No! Maybe I want a chance to make something of myself too, to make my own life, and not live under the same roof as my parents. I don't know. . . I don't even know if . . . I just wanted the choice, Jimmy, the choice.

JAMES	Then make it.

PAIGE	Your Mom filled me in.

JAMES	A little warning next time? 

PAIGE	You need any help? 

JAMES	I think I've just about got it.

PAIGE	Were those your soaking wet clothes I found in the dryer?

JAMES	Yeah. 

PAIGE	Maybe next time you and your brother decide to fall in the pond, you could squeeze out that excess water for me? 

JAMES	Sorry.

PAIGE	And you could try swimming instead of fighting.

JAMES	Saw us did you?

JAMES	I used to, you know? 

PAIGE	Fight?

JAMES	Swim, in the pond. It was the highlight of summer. We used to come out here after we finished out chores. 

PAIGE	We? 

JAMES	Me, Tom, and Lindsay when she knew how to swim. 

PAIGE	Hmmm. 

JAMES	What?

PAIGE	You do like it here, don't you?  For all your talk about going home, this is home. 

JAMES	It's where I grew up. I have some good memories here, and some bad ones, that's all.

BARBARA	Uhh.

JAMES	Mom? Are you okay? 

BARBARA	Um, yeah.  I was just. . . I should box this stuff up.

JAMES	No, you don't have to. 

BARBARA	We could use the space, but. . .

JAMES	Mom, maybe it's too soon.

BARBARA	The day before he died we talked about selling the Mill.

JAMES	I thought. . . 

BARBARA	Since we'd all be together, we decided we could start over.  It'd be hard, but we'd try.  But without him, if we left. . . I don't want to lose him.

JAMES	We won't lose him.

TOM	Put things back where you got them. 

JAMES	We have to call the bank.

TOM	And tell them what? 

JAMES	Whatever we have to to get them to move the deadline back after the concert. 

TOM	They're not gonna listen to us over Christina Riley. 

JAMES	How do you know that? 

TOM	You think they would?

JAMES	There has to be someone there, someone that knows us. We've lived in this town for as long as I can remember. That's gotta count for something.

TOM	There is Ben Roswell. 

JAMES	Who? 

TOM	Ben Roswell, I went to school with him.

JAMES	Talk to him. 

TOM	We haven't stayed in touch over the years, but when we see each other in town we say hi. 

JAMES	Talk to him, Tom.

TOM	He may not be able to do anything, or want to. 

JAMES	You have to try. You can do this.

TOM	Okay. 

JAMES	Alright.

LINDSAY	Is he back?

JAMES	Not yet. 

LINDSAY	I told everyone at school about the concert. 

JAMES	Let's hope they all come.

LINDSAY	They're way excited. No one can believe that I know Nathan Redding. 

JAMES	You don't.

LINDSAY	But my brother does, so that counts.

TOM	Got us an extra week.

JAMES	You punk. Nice job.

PAIGE	Reed Mill, how can I help you? Yep, yeah, the concert's here. Saturday. Great.  How many tickets can I get you?
JAMES	Looks good. 

TOM	Thanks, Jimmy. Is this what he's used to?

JAMES	No, but I told him it was a more country fair style concert. 

BARBARA	Jimmy, he's here!

JAMES	Let's go.

JAMES	Nathan. 

NATHAN	James.  Good to see you. 

JAMES	Good to see you.  This is my brother Tom. 

NATHAN	Tom, nice to meet you. 

JAMES	Thanks so much for coming out.

NATHAN	It's a great idea. I don't always hit this part of the country on my tours and you should see the blogs about it being a benefit concert. 

JAMES	Yeah?

NATHAN	Eating it up. Part of your plan, I bet. 

JAMES	Well, I figured it wouldn't hurt, but really, you are just helping me out.

NATHAN	No problem. 

JAMES	Come on, I'll show you your room.

JAMES	 I really do appreciate you doing this. 

NATHAN	No problem.

JAMES	Are you ready for this? 

NATHAN	You bet.

JAMES	Thank you, thank you. Thank you guys, thank you for coming to Reed Mill.  And a big thank you to Nathan Redding. I'm excited to hear him play tonight, so please join me in welcoming Nathan.

NATHAN	Hello, hello, thank you. It's so great to be here. I've got a little something for all you here tonight. 

NATHAN	? You've got me wrapped around your finger, I'm not afraid to say it.  Because I know. . . 

JAMES	What happened? 

TOM	I don't know.

TOM	You've got to be kidding me. I'll handle this.  Go.

JAMES	Sorry, man, we're working on it.

NATHAN	This reminds me of when I first started singing. Me on stage, sometimes not even a stage.  Back then, most people didn't care if I sang or not. I got tips sometimes to stop singing.

NATHAN	But you keep going, you know, something every performer learns.  So let's just use this and take it down a little, shall we?


NATHAN	? I hope there's someone listening because I can only scream so loud. 

JAMES	Don't electrocute yourself. 

TOM	It's not that kind of wire. 

JAMES	How can I help you? 

TOM	I got this. And everyone is talking louder about material things that don't matter. Just not to me.  If I, could have just one thing for this year, it'd be to cry a lot less tears from all the pain.  As we look back at our past. . . 

TOM	Okay. 

JAMES	Yeah?

NATHAN	? Just tell me someone's listening. . . 

JAMES	You did it. 

TOM	Yeah.

JAMES	Hero. 

NATHAN	? For every little thing we're giving. To give the world a smile. And everyone is talking louder about material things that don't matter, least not to me.

TOM	You think it's enough? 

JAMES	Listen to the crowd. It sounds like it.

JAMES	I've been thinking about what you said. About wanting to be on your own. 

TOM	Listen, I was angry, and. . . 

JAMES	You meant it. I think if we get things running smoothly around here, you should do what you want.

TOM	You serious? 

JAMES	Well, give it a few months, but yeah.

TOM	Okay.

NATHAN	? So open up your heart and listen,  because it's time for me to change.  Yeah, if there's one thing we've been missing.  But today. I hope there's someone listening.

NATHAN	Thank you so much! Thank you, thank you!

JAMES	What are you doing here?

CHRISTINA RILEY	Well, don't hold your breath for a congratulations. 

JAMES	From you? I wouldn't dream of it. 

CHRISTINA RILEY	You know this won't last. Reed Mill will just go back to the way it was after you leave. 

JAMES	I guess I better stay then. I wouldn't want my family's home to fall into someone else's hands. 

CHRISTINA RILEY	You're making such a big mistake.

JAMES	ctually, I'm doing exactly what you said. Do what's right for your family even if it's hard to swallow? Isn't that it? Maybe not quite what you wanted, but I guess you can't always have it your way.

BARBARA	Alright, this is your last chance. I will raise my offer by 5%.

JAMES	Consider all of your offers rejected. We're keeping Reed Mill. Now, if you don't mind, these are for the guests.

PAIGE	He is really good.

JAMES	Yeah.

JAMES	Have you seen my Mom? 

PAIGE	Yeah, she's, uh, in the kitchen tallying up ticket sales.

JAMES	Not a moment wasted. 

PAIGE	No. From the crowd's attendance and the look on her face, I think you did it. The Mill's safe.

JAMES	For now. But there's always gonna be something.

PAIGE	And then what? 

JAMES	We'll deal with it as it comes. 

PAIGE	We?

JAMES	All of us, assuming you'll stick around.

PAIGE	I always have. 

JAMES	I know. It's what made me realize that I need to be better. Watching you, it changed me.  I want to be here now, not because I have to, but. . .

PAIGE	because you care. 

JAMES	Yeah.

