
on-screen text	Aquadream

Mieke	(hangs up the phone)

Devon	There you go. I vote to let him go and let him fuck.

Jay	And who's next? The bald guy, Rimmer, from downstairs? The fool who designed our website? (chuckles) Your brother?

Jay	They all want to fuck, Wes.

Jay	Here’s another one.

Devon	Who is that?

Jay	Miguel.

Wesley	Who is Miguel?

Jay	A pig.	

Devon	Answer it then.

Jay	Alright.

Jay	Hello.

Jay	Yes. And you are Miguel.

Wesley	Who is that?

Devon	An escort.

Jay	(raises his voice) Because you're an asshole. And because I had a fantastic day with a great lady who told me you ripped her off.

Wesley	Jay, who is that?

Jay	Shhh!

Jay	Of course you don't know what I’m talking about. Because you're a pig. And you can count your lucky stars we're talking on the phone, or you would have no teeth left to stick your filth in. Got it?

Jay	Huh? What? Where?

Jay	Goddammit.

Devon	What?

Jay	He's on the driveway.

Jay	(shouts) That’s great, pal. Count me in! I'm coming down, pal!

Wesley	What are you doing, Jay?

Jay	I’m going to kick that slob's balls back in his belly.

Devon	I'm coming with you, Jay.

Jay	No, Devon. It's between me and him. Man to man. (exhales nervously)

Wesley	What is all this about?

Miguel	(breathes heavily with anger)

Jay	Asshole.

Miguel	(shouts) There you are! Come on, tell me to my face this time!

Jay	(shouts) What do you want to hear? That you're a thief? You're a thief, pal!

Jay	(shouts) That you're a filthy pig? Even now you've got crap stuck in your teeth.

Miguel	(shouts) I have overgrown gums, that’s all! I want to earn some extra cash. Can I? Can I?

Jay	Take it easy, man!

Miguel	Can I?

Jay	Are you on drugs?

Miguel	What?

Jay	Are you on drugs?

Miguel	Drugs? Drugs, drugs, drugs!

Jay	Have you come by car?

Miguel	Yes, and I’m on drugs!

Jay	You're a disgrace!

Miguel	A what?

Jay	A disgrace!

Miguel	A disgrace! I'm a disgrace! A disgrace!

Jay	Say that one more time, pal, and I will break your jaw!

Miguel	Oh, and you seem to need a stick for that!

Jay	I don’t, man! I just brought it in case you were armed!

Miguel	Well, I’m not!

Jay	How was I supposed to know?

Miguel	I just told you!

Jay	Sure, pal! Alright, pal. Let’s do it! Let’s go without! Mano a mano!

Miguel	(chuckles in disbelief)

Miguel	We'll see who the pig is here.

Randy	I wouldn't do that if I were you.

Miguel	Says who?

Randy	Me. Randy Paret.

Miguel	(groans)

Randy	Jay? Jay?

Jay	I'm on the ground?

Randy	You're on the ground, Jay. It's OK.

Wesley	What happened?

Devon	Where did he go?

Randy	He disappeared into the trees.

Devon	Asshole.

Jay	(groans)

Devon	Dammit. (shouts) Don't mess with the Callboys again, you asshole! You won't walk away next time!

Jay	Did he have brass knuckles?

Randy	A stick.

Jay	I knew it.

Jay	Didn't see it coming. Lights out. (sighs)

Jay	Yes.

Jay	Randy, I grant you permission to go and see Maaike.

Randy	Mieke.

Jay	Mieke, yes.

Randy	I've just told her I can't, Jay.

Jay	Even better.

Randy	To each their own job.

Miguel	Hey, Callboys! Bunch of faggots!

Devon	That’s a threat.

all	(sigh)

Devon	Well...

Randy	Oh dear.

Jay	Holy moly.

Miguel	(groans)

Devon	Why did he do that? Straight into the ditch.

Jay	Well, well, well.

Jay	If I ever stoop this low, you should finish me off. Promise me. Promise me.

Devon	Alright.

Wesley	Come on, let's go inside. It's cold out here.

Devon	Filthy rat! (laughs)

Devon	Am I wrong? Rats live in ditches, don’t they?

Jay	Explain that one to me. You are only . meters away from the car, you miss the car and shatter our window instead.

Devon	It was meant for Miguel.

Jay	Unbelievable.

Devon	I didn’t do it on purpose. I threw the stick and it went through the window.

Jay	Take a look. Here, here. Just look at that now. What do you think? Is it bigger than a two euro coin?

Devon	You could just use tinfoil.

Jay	Yes, but....


