

IMPOSTER 2

EPISODE 2




1 (10:00:00:01)

BOMB EXPERT	À neuf mille cent mètres d'altitude, boumm,
EVODIA	Ecoute, les hommes ne changent jamais.

KELEBOGILE	Ouais, tu dois avoir raison.

EVODIA	Tu ne peux pas juste pardonner ce salaud, après ce qu'il t'a fait subir. Ecoute, peut-être qu'il se comporte bien pour l'instant. Mais il se comportait bien quand tu l'as rencontré. Tôt ou tard, il fera tomber son masque pour révéler le même monstre. Comme n'importe quel autre homme.

KELEBOGILE	Ouais.


40 (10:31:05:19)

DALI	D'abord on lui fait boire le champagne, (h) il perd conscience et après ça... [siffle] C'est coucou les ancêtres pour Gary. (ahah)

PABLO	(hm)

DALI	(ah)

PABLO	On verra bien.

DALI	On va bien rire. (ahah) Et voilà notre imbécile heureux.

TEBZA	(ah) Messieurs!

DALI	Neveu!

TEBZA	(ahah) C'est bien vous deux?

DALI	Nous taquine pas!

TEBZA	(ahahahah) Bonjour!

PABLO	Bonjour, Gary.

TEBZA	Frangin.

PABLO	Qu'est-ce que tu fais ici?

TEBZA	On me dit que c'est ici que tout se joue. (ah) J'y crois toujours pas. J'ai une entreprise dans le ciment!

PABLO	Et pourtant.

DALI	Et c'est la meilleure du continent!

TEBZA	On s'est fait tout cet argent, toute la fortune familiale, tout ça, (h) juste en vendant du ciment?

PABLO	C'est exact.

TEBZA	D'accord. Pourquoi tout le monde fait pas pareil?


41 (10:31:55:19)

TEBZA	(hm?)

DALI	(h) (euh) On devrait fêter ça.

TEBZA	Excellente idée! Mais j'avais encore une question. Mon oncle, Pourquoi c'est pas toi le chef?

DALI	Oh, ça m'irait pas. C'est toi le patron. C'est toi qui fait le meilleur patron.

TEBZA	(ahah)

DALI	De nous tous t'es le meilleur, donc t'es le patron! Le super patron! Ouais. (ah)

TEBZA	T'as entendu ça, je suis le patron!

DALI	Allez, fêtons ça dûment! Tu veux bien sortir le champagne? (h)

TEBZA	Oh ouais.

DALI	Motivé?

TEBZA	Oui!

DALI	C'est bien!

TEBZA	Mais si j'ai bien compris, c'est toi qui t'occupe de cette usine?

DALI	(ah?) Ah oui.

TEBZA	Mais comment c'est possible si c'est moi le patron? (ah)


42 (10:32:31:11)

TEBZA	Mais d'ailleurs, (hm) Tu peux m'expliquer comment elle marche, cette usine?

DALI	Euh, oui. C'est une chaîne de production très compliquée. Le matériau de base est extrait de la carrière et envoyé dans un creuset (ah) qu'on chauffe à cent cinquante degrés celsius.

TEBZA	(h) Dis donc, juste d'en entendre parler ça me colle la migraine.

DALI	Bon, est-ce que mon neveu va finir par amener le champagne?,

PABLO	(ahah)

TEBZA	(ah)

PABLO	Hé, Gary. Ça fait du bien de te retrouver.

DALI	(ahah)

PABLO	Tiens, ta coupe. Et ne t'inquiète pas, pour notre entreprise familiale, elle marche parfaitement. Buvons.

TEBZA	Là je te comprends, hé bien, Santé!

PABLO	Santé!

TEBZA	(hm) Merci, à toi aussi.

DALI	A la votre!

TEBZA	(ahahah) (hmhm)

OUT (10:33:12:05)


43 (10:33:22:09)

TEBZA	Il picote un peu!

OUT (10:33:23:23)


44 (10:33:33:03)

TEBZA	(mts) Messieurs, petite question, (mts) je bois souvent du champagne, ou est-ce que je réserve ça, pour les grands moment? (mts) (h)

DALI	C'est rare, tu préfères la bière.

TEBZA	La bière? (ahah) Non, c'est pour les gamins! (ohoh) A vrai dire, en tant que patron, je proclame solennellement (mts) (ahah) (mts) qu'à partir d'aujourd'hui, Quand on fête un truc, on le fête uniquement au champagne. (mts) Ouais.

PABLO	Gary, il t'arrive quoi?

TEBZA	(mts) (mts)

PABLO	Ça va?

TEBZA	(h) (ouh) (hm) Je dois (h) (mts) (h) ouais il faut, que j'aille pisser, vite fait. (h) J'ai pas le temps. (mts) (mts) (mts) (h) Je reviens. (h)

PABLO	C'est à gauche.

TEBZA	(ahah) A gauche? (ahah) Merci!

DALI	Qu'est-ce qui lui prend?

PABLO	J'en sais rien, on dirait que ce fichu poison ne fonctionne pas. Tiens ça.


45 (10:34:23:06)

DALI	Il devrait déjà être mort, là!

PABLO	Bon sang! C'était la mauvaise poudre.

DALI	Tu lui as refilé quoi?

PABLO	De la cocaïne.

DALI	Quoi?! Pourquoi t'as fait ça? (h)

PABLO	Je me suis planté!

DALI	Pourquoi tu as de la cocaïne?

PABLO	C'est pas ce que tu crois, je l'utilise contre la fatigue, c'est tout.

DALI	Non non non, ce truc va te faire péter les plombs. Touche pas à ça!

PABLO	Bon, c'est pas grave, on peut sauver la situation. Il suffit de mettre le poison avant qu'il revienne.

DALI	Attends, quoi?

PABLO	Couvre-moi, je fais ça vite et bien.

DALI	Attention, il revient.

OUT (10:34:58:16)


46 (10:35:04:18)

PABLO	Hé, Gary!

TEBZA	Oui messieurs?

PABLO	Tiens, puisque ça t'a plu, je t'ai versé le reste du champagne dans ta coupe.

TEBZA	Non non non, j'ai eu assez de champagne comme ça. (h) C'est que c'est dangereux ton truc! Ça tape!

DALI	C'est sympa. (hm)

TEBZA	Non, non. Je me sens... (h) j'ai le coeur qui accélère, et j'ai des sueurs froides. (mts) (h) Bref. (mts) Je suis avec Reggie et il m'a dit qu'il me ferait visiter le coin en voiture. Donc je vais vous laisser. (mts) (ah) Profitez bien. (hm) (mts) (hm) (ahah) (ah) (h)

DALI	T'es qu'un imbécile, il devrait être mort à l'heure qu'il est!

PABLO	J'ai un plan.

DALI	C'est à dire?

PABLO	Je connais quelqu'un.

DALI	(h) Ah oui?

PABLO	Quelqu'un qui peut poser une bombe dans sa voiture. Pas de survivants.

DALI	Et le chauffeur?

PABLO	Je m'en cogne du chauffeur. On les laisse faire leur visite, et dès qu'ils ne surveillent plus le véhicule, on planque la bombe. Boum. Affaire réglée.


47 (10:36:09:12)

MMABOSTE	Hé Turbo! Il se passe quoi?

TURBO	Pourquoi t'es là?

MMABOSTE	Je veux savoir pourquoi j'ai vu Tebza dans une voiture de luxe, il avait même un chauffeur qui conduisait pour lui, tu te rends compte?

TURBO	(h) Ma belle-soeur, dis-moi, (h) je t'ai mise enceinte? Ah non, c'était pas moi, c'était Tebza. Alors, mon conseil, c'est d'aller lui demander et me foutre la paix.

MMABOSTE	Fais nous gagner du temps et arrête ton char. Je sais ce que j'ai vu, et je sais que tu vois très bien de quoi je veux parler.

TURBO	Laisse-moi tranquille, tu veux? Laisse-moi manger mon sandwich tranquille. Je me suis retenu de le manger toute la journée pour le savourer au calme.


48 (10:36:44:17)

TURBO	(mts)

MMABOSTE	Je m'en fous de ton sandwich. D'abord je comprends pas pourquoi il répond pas à mes appels. Et en plus il a dit à Lesedi qu'il allait partir travailler loin. Depuis quand il travaille?! Me fais pas perdre mon temps, dis-moi tout, Turbo. Allez allez, on m'explique.

TURBO	Mmaboste, Je suis pas le père de ta fille. Alors casse-toi.

MMABOSTE	Tu me parles pas comme ça, et encore moins sur ce ton. C'est bon, tu m'as compris, Turbo?

TURBO	Je te parle comme je veux et là je veux que tu dégages et plus vite que ça!

MMABOSTE	Non mais tu me parles pas comme ça j'ai dit! Tant pis t'as cherché!

TURBO	Hé là oh!

MMABOSTE	Voilà!

TURBO	Hé! Hé oh!

MMABOSTE	C'est bien fait pour toi.

TURBO	Mon sandwich!

MMABOSTE	Ça t'apprendra à mieux me parler.

TURBO	Espèce de sorcière!

MMABOSTE	Et toi t'es un vieux flemmard!

TURBO	Va-t-en!

MMABOSTE	(hah)


49 (10:37:17:18)

TEBZA	Allez, Reggie. Reggie! Allez!

REGGIE	Arrêtez ça.

TEBZA	Reggie laisse-moi conduire! (h) Reggie, (h) si les flics nous arrêtent, (h) on peut juste les soudoyer comme des riches normaux! (hm?) (oh) Allez, mec s'il te plaît. T'es en train de me dire qu'avant l'accident, je conduisais absolument jamais, genre pas une fois? Dis-moi la vérité.

REGGIE	Ça suffit. Cette charade a assez duré. Qu'est-ce qui se passe? Qui tu es? Hein? T'es qui?

TEBZA	(h) Je suis Gary, Gary Mokoena.

REGGIE	Je suis le chauffeur de monsieur Mokoena depuis dix ans. (mts)Je sais comment il marche, je connais sa famille, je sais tout de lui. Et tu es totalement différent de lui.

TEBZA	Ça y est, j'en ai plein le dos.

REGGIE	Monsieur Mokoena n'a jamais mis les pieds à Kliptown. et il n'a jamais été suivi par des idiotes l'appelant Tebza. T'es qui? Je veux savoir qui tu es, imposteur.

TEBZA	(h) D'accord. (mts) (mts) Partons d'ici. Et je te dirai tout.

OUT (10:38:17:04)


50 (10:38:31:09)

DALI	Ils faut qu'on soit certains. On n'aura pas le droit à l'erreur, faut faire ça bien.

PABLO	Tu n'as pas à t'inquiéter. Ce type est un professionnel. D'un moment à un autre la voiture de Gary va exploser. Boum!

TEBZA	Bon voilà... J'avoue que tu as raison. (h) (mts) Je ne suis pas Gary Mokoena. (mts) Mais, je peux te filer une part du gâteau.

REGGIE	Une part? Une part de rien du tout! Je n'avais rien quand j'ai rencontré monsieur Mokoena. C'est lui qui a fait de moi qui je suis. Je vais rentrer et révéler ton imposture, ça va chauffer pour toi Tebza.


51 (10:39:12:11)

DALI	Little Daddy.

PRISONNIER	[hurle de douleur]

DALI	Little Daddy? C'est toi?

PRISONNIER	[souffre]

LITTLE DADDY	Tu crois que je crierai comme ça, moi? Non. Lui c'est le dernier gars à m'avoir fait faux bond. On lui fait une manucure façon Little Daddy. Bref, écoutez bien. Big Daddy aime votre marchandise. On en veut plus. Mais Big Daddy veut s'occuper de tout ça lui-même.

PABLO	Ce qui veut dire qu'on va enfin rencontrer Big Daddy.

LITTLE DADDY	Non. Big Daddy veut rencontrer Gary face à face. Compris?

DALI	(euhm) Face à face? Non, impossible.

LITTLE DADDY	Je m'en moque que tu trouves ça impossible. Gary fait l'échange demain soir, ou notre accord est nul et non avenu. Au revoir.

OUT (10:39:54:01)


52 (10:39:57:21)

PABLO	Oh non.

DALI	Pablo... Bordel.

OUT (10:40:03:24)
