(INTRIGO)
(SAMARIA)





NARRATOR	The people of the world are more or less the same. Though we may come in different shapes and colors, we all share the same inheritance, and we all have our back stories, and our secrets. Like this man, running along the river Scheldt in Antwerp, what is he running from? What is he trying to escape? Even though evolution might seem to mature us, there are still parts of our brain that belong to our reptile ancestors. Although we've convinced ourselves that hate, revenge, and nemesis belong to the past, our ancient ancestor's blood still runs in our veins, whether we like it or not.
PAULA	I mean, if Emil... doesn't wanna be in the film, he doesn't have to be. I was wrong. That is not what this film supposed to be about.

HENRY	So delete it then.

PAULA	Okay. I'll delete it. I'll do it right now.  So you'll stay?
 
HENRY	You know, to my mind, you should interview yourself. And you knew Vera as well as anyone, didn't you?

PAULA	Well, um, you know, I don't think anyone have known her, apart from possibly Claire.

HENRY	But why can't anyone know her?

PAULA	I guess it's like, like, B said, she was a--well she was the odd one out. To me she was a mystery.

HENRY	Or maybe you're just in love with her.

PAULA	She wasn't my type.

HENRY	You know, a week... before Jacob Kall was arrested, I was called in to see the Head Master...

PAULA	Oh, wait--because I really wanna record you when you tell me. Okay? After dinner?

HENRY	After dinner, all right. Fine.

PAULA	Just gonna stick this on you.

HENRY	Okay. All right.

PAULA	It's a mic.

HENRY	All right. Got it.

PAULA	Okay. Keep on your pockets, so, yeah.

HENRY	Okay. In here.

PAULA	Okay.

HENRY	It's very surreal.

PAULA	Um, I actually might have some little wine. Do you want some?

HENRY	No. No. I'm good. Thanks (Indistinct) my wit about it.

PAULA	I'm recording.

HENRY	Now? While I'm washing. (Laughs) Is this some kind of kitchen sink drama, you know...

PAULA	It was (Indistinct) cat twice.

HENRY	Okay. Here?

PAULA	Yeah.

HENRY	Okay.

PAULA	Okay. So just start talking about what you were talking about this afternoon.

HENRY	Oh, um, well, yeah. Um, two weeks after... Vera disappeared, I was called in to see Neumann-Hansen.

PAULA	The Head Master.

HENRY	Exactly.

ERICH	How are the reports coming along Henry? It can be a bit of a challenge the first time around.

HENRY	Yeah, to say the least. The special assignment, the literature, the essay has been the deciding factor for most of them.

ERICH	It's a grave responsibility.

HENRY	Uh-hmm.

ERICH	Their futures are at stake. But I'm more than happy to help you if you feel unsure about it.

HENRY	Oh, thank you, but--yes. I--I'm not gonna say no to that. I've only been with them at times so...

ERICH	Good. Oh, bring me the results and we'll look over it together.

HENRY	Thank you. Thanks.

ERICH	Vera Kall. Did she have time to hand in her essay?

HENRY	Sadly, no. It didn't work out that way. I regretted it almost immediately, you know? You know, I, I knew very well that Vera has been getting good marks all the way through her time at college. And I should have just said to him, you know, I've given her the same marks that she's been getting during her Autumn term but Neumann-Hansen... insisted, you know, he felt that she must have had time, she'd written something before she disappeared and if it wasn't in the locker at school then it must be at her house. So, I had to go around to see her parents which is absolutely the last thing I wanted to do.

ERICH	Even if... God forbid she's dead, she still deserves a proper school graduation report.

HENRY	Right.

ERICH	And it must be fair. Correct. Just because she's disappeared, it doesn't mean you have to be excessively generous. Just fair. I think you understand what I mean. Erich Neumann-Hansen. Head Master, City College.

MONICA	Hello.

HENRY	Henry Maertens. I'm the one who called.

MONICA	Please.

ERICH	Might we come in?

MONICA	Oh, yes, please. I'm sorry about the food.

ERICH	We are the ones who should apologize, barging in like this during your lunch... But... we have decided... that Vera must have her school reports, despite all. We mustn't loose hope.

HENRY	I like to take a look at the school essay that Vera was working on. I don't know if perhaps you know where Vera keeps.

JACOB	But, of course, we know. I assume you mean her special report on Céline that was due to be turned in on Friday?

HENRY	I was anything but comfortable with the situation... hated it.

JACOB	Top drawer.

HENRY	All right. Thanks.

JACOB	I don't want... anything removed from here.

HENRY	Yeah. Of course not. Of course. Could I get a moment to myself? At first I found it very hard to concentrate, that was largely because I could, I could feel the presence of her father. His eyes just, like, drilling into my back. Even though he wasn't really in the room. But I could feel him. And then I got drawn into what she'd written. She's very good. She'd largely finished the work. And when I got home... I regretted the visit. It just felt like we'd encroached or had butted into that sorrow. What did it really matter, you know, what final grade Vera received?

KUNTZE	Sorry for disturbing, have you seen Thomas? Oh. Come on... (Cat meows) Yes. Yes. Yes. (Laughs) Yes, come on. Come on.

HENRY	Two days later Jacob Kall was arrested.

PAULA	How did that feel?

HENRY	Surreal.

PAULA	In what sense?

HENRY	In the... sense that we'd been allowed to walk around the kitchen where Vera had been beaten to death by her father... (Crickets chirping)
 
PAULA	Look, Samaria. It's for sale.

HENRY	Did you bring your camera?

PAULA	Oh, the house isn't going anywhere.

HENRY	It's very strange coming back here.

PAULA	Really, what I was thinking. She's buried somewhere under your feet.

ESTATE AGENT	Welcome. I must apologize for the state of things here, but the place is sold as seen. Perfect environment for children to grow up in. Great potential for conversion, renovation, or rip it down build your own. Why don't you have a look around?

HENRY	Thanks.

ESTATE AGENT	Contents included.
 
 
HENRY	It's exactly like I remember it.

PAULA	Pieter Vogel.

HENRY	What?

PAULA	I'm just thinking maybe she had a thing with Pieter Vogel.

HENRY	Really? Have you spoken to him about it?

PAULA	No. He wouldn't have been able to keep his mouth shut (Chuckles).

HENRY	Oh.
 
 
ESTATE AGENT	I must apologize for the state of things here—

PAULA	One thing's for certain, anyway, Pieter never slept in this bed, because if he had... Jacob Kall would've knocked him off as well.

HENRY	Uh-hmm.

ESTATE AGENT	Why don't you have a look around?

PAULA	So, when did you meet... Clara?

HENRY	Clara? Why do ask?

PAULA	Just curious.

HENRY	We met a year--about a year or two after this in Antwerp.

PAULA	What about when you're living here... in Kaalbringen?

HENRY	What?

PAULA	Well, did you have... some special... lady friend?

HENRY	No. No, that wasn't--it wasn't in the script, so to speak.

PAULA	Groundhog Day...

HENRY	Exactly.

PAULA	Well, I know a couple of the girls from our class who were more than interested.

HENRY	Taboo.

PAULA	What did you say?


HENRY	Never on the cards.

CLAIRE	I don't think I found Henry incredibly attractive. Um, he was so sweet... and, sort of, cute. And if you made a special effort... and seemed a bit interested he blushed. So, without Henry Maertens that last term would have been bloody boring.

PAULA	Yeah. So, all the girls had a crush on Henry Maertens?

CLAIRE	Uh-hmm.

PAULA	What about the boys? Who did they love?

CLAIRE	You know...

PAULA	Yes. But you say it.

CLAIRE	Vera, of course. (Laughs)

PAULA	I think out of... everyone you really knew her the best.

CLAIRE	Yeah. Vera was... the finest, the best and I still miss her, so terribly still and... I think I told her everything. She was always so wise and thoughtful as if she knew everything.

PAULA	Did she ever tell you anything about herself, her life?

CLAIRE	Oh, no. She didn't. Hardly anything, some things. I know she had a tough time at home... (Phone vibrating) I saw her bruises she... she tried covering them up with makeup.

PAULA	Hi. Yes. Yeah. I, I have it right here. That's, that's why I tried to call you earlier. No, it's in the car.

CLAIRE	Never talked about it ever, she didn't want pity.

PAULA	Do you think maybe she was gay?

CLAIRE	What? (Laughs)

PAULA	Well, just--you know, that--I just said, all the boys were interested, but she was just really didn't seem to care about at all.

CLAIRE	It's not so very surprising, you know. Vera was smart. And she just wanted school to be over so she can start living. She longed to get away from her family.

PAULA	No wonder. Did she--did she have a boyfriend?

CLAIRE	Not that I know of. Maybe Maertens, if so.


PAULA	Henry Maertens?

CLAIRE	Yeah. But she never told me anything.

PAULA	Yeah. Okay, but— Great. Yeah. I'll, I'll speak to you. Yeah. Bye.

CLAIRE	But if you'll ask me, I'll say Henry.

HENRY	When did you meet with Claire Meitens?

PAULA	Before you and I met in Maardam.

HENRY	And when were you gonna tell me that? Or...

PAULA	I--you know, I didn't know what to say, Henry, because I know that you haven't been honest, and I know that you've lied.

HENRY	Lied? Lied, Paula.

HENRY	You're the one who's lied.

PAULA	Yes. Okay.

HENRY	Do you know what I think this is? This is jealousy. That's what this bloody film is. Your jealousy and the fact that Vera wasn't in... love with you.

PAULA	Okay, that's not true.

HENRY	No, that's what this whole bloody film is, isn't it? It's not actually about Vera, it's about your... gigantic narcissistic ego.
 
PAULA	Yeah, I was in love with her but I accepted that it wasn't mutual.

HENRY	You see, I knew it. You've got a fucking weird way of working, you know that? I mean, you and your twisted theories. And whether something is true or not, it... just seems to be fucking irrelevant to you.

PAULA	Yeah, well, if it's not true, Henry, then why don't you... explain this? "Be thou the rainbow and the storms of life. -H" For Henry?

HENRY	Where did you get this?

PAULA	I found it in Samaria about a month ago.

HENRY	You don't know shit.

PAULA	And you do?

HENRY	I loved Vera and she loved me. No camera.

PAULA	No camera.

HENRY	Just give me some time. There's a darkness to it and a sense of foreboding to it.

VERA	But there really is a sense of passion.

HENRY	There really is a sense of passion but let me ask this one question, do you not think there is a pessimism to the whole thing, do you not think that there is death on every single page?

VERA	I would say exactly the opposite. I think the language is so full of life and so incredibly beautiful. I would like to write that Celine's use of language instead.

HENRY	I set aside about 30 minutes, I think, but we must have sat there for about two hours. I would never normally have devoted so much time to just one student but... I didn't want to leave... and I liked her being there--I liked--I liked her laugh, and her thoughts, and her, her everything, I suppose. We agreed to meet again the very next afternoon, I remember, under the pretext of Vera wanted to talk about her idea of, of Celine's use of language but we both knew that wasn't the... reason. I mean, we, we made a various different excuses along the way just to be together.

PAULA	It's getting a bit cold. I'm gonna... run in and get a jumper, okay? Do you--do you want one?

HENRY	No, thanks. The library... obviously had its fixed opening hours... but I had a key. So, we knew we wouldn't be disturbed, well, at least for a little while.
 
PAULA	You must had a fuck load of luck.

HENRY	Well, then, maybe.

PAULA	What would've happened if... someone had found out?

HENRY	Honestly speaking, I don't know. I mean, it's out of the question, of course, it was taboo, like I said.

PAULA	Also... beautiful.

HENRY	The following week I smuggled her back to Mrs. Kuntze's house. I think Vera told her parents... she was staying on the library or something for the next few hours. Maybe it's a bit exaggerated to say that I smuggled her in, I'm sure, Mrs. Kuntze would've been very... accommodating.

VERA	Meow.

HENRY	Sshh. We just--we just had to be very careful.

VERA
(Indistinct) It's just one, one bit—

HENRY	I've got a--crap, oh.

VERA	--that I have to talk to you about.

HENRY	Vera absolutely did not want her parents to find out that.

VERA	It's one bit.

HENRY	I can wait. It wasn't even an option and I understood that. I'd seen the marks on her--on her body, not, not that she talked about it. Maybe it was then that I realized that I was actually exposing her to a risk. And now you're in trouble. I'd say. And when I was alone, and all of this initial rush had, had settled, I knew that our relationship just could never work.

PAULA	What about... at the party, then? In the last night, did you not see each other?

STEPHAN	But of course, from time to time, you might just find yourself needing a bit of actual guidance... from your highly salaried lecturer. And as you look up eagerly seeking his attention, you are met with the sight of your eminently qualified tutor Wasserman sitting bolt upright in his opulent chair behind his imposing desk, taking a nap... (Audience laughing)

WASSERMAN	It's not true. It's all a lie.

STEPHAN	How does he defy the laws of... Physics? We were able to internalize this extraordinary feat... of vertical hibernation with the help of your Jovan's mobile. And, as you know, it was published eventually... in the college magazine.

HENRY	Even though it's very dangerous for her and I to see each other, my body just ached for her.

STEPHAN	Our... only element of regret, looking back on it, is that we didn't manage to record the... accompanying sound effects.

HENRY	Good night, kids. Don't do anything I wouldn't do. Good night.

CLAIRE	Don't go, Henry. Dance with me.

HENRY	All right. Good night, good night. I have to go, I have to go, I have to go. I have to go. All right.

CLAIRE	Don't be such a boring old fart.

HENRY	Okay. Good night. Emil Bachman, I think had stumbled home... and then I went down to our usual meeting place. Far too early as it turned out. I thought it would take 15 minutes to get onto the bridge. I must have walked very quickly because it wouldn't have taken me more than five, I think. And so many thoughts passing through my head as I waited I remembered. Has she snuck at home or she stayed behind to the party? I didn't know what to think, but then she arrived slightly out of breath on a bicycle. And then we went back to the Pampas, to my place. You're right, it is--it is getting cold, isn't it?

PAULA	And then you went back to Mrs. Kuntze's. She never went home, is that what you're saying?

HENRY	I think I'm gonna get a sweater.

PAULA	Well, I'll get it.

HENRY	I'm coming right back.
 
PAULA	Henry, I can--I can explain. I... Stop. Stop. Stop. I can... Come back. No. Stop. No. What the fuck are you doing?

HENRY	You're a sick person, you know that.

PAULA	No, please. No. No. Oh, no.
 
VERA	Are you awake now?

HENRY	Yeah.

VERA	I have to go.

HENRY	We should talk, Vera.

VERA	We're always talking.

HENRY	I don't think what we--I don't think what we're doing is right... at this point in time. I'm sorry.

VERA	What?

HENRY	I think we should maybe take a break, you and I.
 
HENRY	The thing is, Vera, you never tell me anything ever. And I do see what's happening, I do understand. I know this man is your father but you have got to report him to the police. I'm saying this for your best interest.

VERA	And that would be to not be there for me?

HENRY	Of course not.

VERA	How soothing.

HENRY	You can't continue like this. Vera, Vera. Wait, Vera.

POLICE WHINTER	For suspected assault, damage to property, but you are also wanted for questioning for withholding information into the investigation of the murder... of Vera Kall. In other words, Vera Kall did not cycle home at midnight... but three hours later. Now, although you were well aware that the police investigation into her disappearance was not making any progress, you chose not to tell us what you knew.

HENRY	I thought she'd ran away. I thought she was staying away on purpose. I thought she'd get in touch once things have calmed down.

POLICE WHINTER	Or... you're lying and we've got the wrong... bloke locked up in prison.

HENRY	I did... not kill Vera, all right. I would never—

POLICE WHINTER	All right, then. And I happen to think that either.

HENRY	I loved her.

POLICE WHINTER	Hmm. But apparently, not enough to share with us what you knew.

HENRY	Well, that's the last thing she would have wanted for God's sake. She was terrified of her father.

POLICE WHINTER	If we had known then what we know now we probably would have arrested Jacob Kall a few weeks earlier. We might have found the remains or at best... found her still alive.

HENRY	He was hitting her. I saw the bruises on her body if he had found out. I didn't want her to put her through that risk. How many times do I have to tell you?

POLICE WHINTER	Well, either that, or you're just too much of a coward to own up to what you had done.

HENRY	No.

POLICE WHINTER	I mean, a teacher seducing a student. Maybe not illegal... but inappropriate. In no way are you being dropped from this investigation... but we're not gonna hold onto you any longer. As for the assault, you can expect a, a fine and a conditional sentence.
 
PAULA	Should I call the police?

HENRY	That's ten thousand Euros. It should be enough to cover the cost of your equipment, at least.

PAULA	Move. Are you coming?

HENRY	All the things were gone by the time I got back to Antwerp.

PAULA	Was she answering her phone? What did she say? Nothing endearing, then.

HENRY	I miss Clark, I miss my dog.

PAULA	Yeah. You've paid a high price. Me too, in a way. Obviously, I shouldn't have done what I did to you. Definitely crossed the line. It's really made me think--I mean, your reaction was totally justified... and I should--no, I should--I should apologize.

HENRY	No, it's wrong. I'm the one who's at fault and if I had just told the truth... when all this happened all those years ago, and then... I'd never have anything to hide from you. Instead, I just chosen to keep a secret all these years. I loved Vera.

PAULA	My God, you must have hated Jacob Kall. Probably still hate him.

HENRY	Yeah. Yeah. I do. I hate him with every bit of my heart.

PAULA	I've dropped the project. It's not gonna be a film.

HENRY	Good.

PAULA	This is too, too heavy, sad, too private. Sometimes it is just better to let things fly, like you said and, and maybe I just have to accept that she lies buried somewhere, the forest's edge, and that the memory of Vera is more important. Sometimes I like to pretend that the drunk at the station did actually see her.

HENRY	Uh-hmm.

PAULA	That she'd reached an end point that morning and... managed to get away. That in spite of everything, she actually boarded the first train to Altmaar... while the rest of us were lying there, sleeping it off, she packed her bag and left Samaria... for good. Perhaps without even knowing where she was going. And for the first time she felt free, really free. I think... she found better life somewhere else in another town, another country, because she was worth that much. Vera deserved the best of everything.
 
VERA	Who's that?

HENRY	No idea. She said her name was Clara, that... she works at the Brussels's office unless I'm not mistaken. Thank you.

VERA	Thank you. 





