GARY	Say you love me.
DANNI	Do it.  Boy, don't do that!  I'll…you right here on this carpet like a rabbit.  Do you want that?

ZAC	Give me it!

DANNI	In front of these people?

ZAC	I don't know them, but give me the damn key.

DANNI	(clicks tongue) That's not it.  No.  Actually, come on.  Help me out.

ZAC	Danni!

DANNI	See?  See?

ZAC	Are you kidding me?

DANNI	You were gonna do it, weren't you?  It feels good.  Whoo!  (sighs) Was good to myself.  You ain't shit.

ZAC	Thank you.  You just like your friend.  She reminds me every day.  Why these keys so sweaty?

DANNI	I got a warm bosom.

ZAC	They'll short-circuit the cart.  Cart coming through!

ZAC	Cart coming through!  Yo, khakis, I said "cart coming through," bro.  You ain't even paying attention.

WOMAN	Excuse me.

AARON	It ain't all it's cracked up to be.

KAREN	Excuse me?

AARON	Marriage.  Trust me.

KAREN	Oh.  Okay.

AARON	Uh, Aaron carter.

KAREN	Karen.

AARON	How are you?

KAREN	Tired.  Excuse me.

AARON	You see that right there, that attitude, is why you're single.

KAREN	Oh!  First of all, you asshole, I'm not single.  And second of all, watch who the hell you're talking to.

AARON	You do the same with your rude ass.

KAREN	Rude.  Me?

AARON	Yeah.  I'm just saying hi to you.  You can't even say hi back?

KAREN	Whatever.  Okay?  (scoffs)

AARON	See?  That's why I date white women.  You try and give a sister a chance, they got attitude about every damn thing.

KAREN	(chuckles) Oh, wait a minute.  A chance?  What chance?  You ain't never had a chance even when you walked up here.  Okay, so, yes, yes.  Some of us do have an attitude 'cause we are tired of playing weak so sorry-ass…like you could feel strong…

AARON	Now, hold on…

KAREN	No, no, no, no.  Okay?  We are tired of dumbing ourselves down so that your ego can be inflated.  Tired of playing your mama, your daddy, and your damn therapist when all we really want to do is just be.  Hmm?  Be us, be women.  So get the…out of here with that shit, okay?  That way.  Bye…

WOMAN	…with your tired ass.

WOMAN	Next time, bring popcorn.

GARY	Hey, babe.  Been calling you all day.  I just called into Albuquerque, last-minute things.  So I can't see you tomorrow morning.  I love you.  Hope you're kicking ass today.

AARON	(clicks tongue) Hey.

KAREN	Leave me alone.

AARON	Please?

KAREN	You want to get cussed out again?

AARON	I just want to apologize.

KAREN	Okay, good.  Now you can be gone.

AARON	Come on, look.  I'm going through some things, too, all right?  I just found out my wife is screwing around on me.  I'm mad.  I came out here.  I saw you, and I ended up taking it out on you when it's really all my stuff, so I apologize.

KAREN	Was she white?

AARON	I don't know why race really has to come into it.

KAREN	Oh, she was white.

AARON	Look…I got some ice cream, too.  Do you want some company?

KAREN	I don't know you.  (chuckles)

AARON	I mean, you cussed me out like you did.

KAREN	Can you leave me alone, please?

AARON	(clicks tongue) All right.  Well, you got the right idea, so…I'll be over sitting in my truck going into a sugar coma, too.

KAREN	Do that.

AARON	Yeah.

KAREN	Wait, um…kind you got?

AARON	Vanilla?

KAREN	Thanks.

AARON	Really?

KAREN	Get in.

AARON	(chuckles) (sighs) Can we start over?  I'm Aaron.

KAREN	Karen.

AARON	It's nice to meet you, Karen.

KAREN	You, too.  Thanks for the ice cream.

DANNI	Oh, my feet are killing me.  What the…

ANDI	Next on "Sistas"…

CALVIN	Have a seat.

MAURICE	I'm honored to be invited.

CALVIN	What are you having?

MAURICE	Anything black.

KAREN	I'm just mad at every man in the world today.  I wish I could just shoot fire from my boobs and burn 'em all off the planet.

AARON	Damn, that's harsh.

KAREN	You not gonna ask for my number?

JASMIN	I am not gonna let some horrible, miserable wicked person without a soul destroy my marriage.  Anyone who sleeps with another person's husband is clearly the devil.

ANDI	(crying) I am tired of your bullshit!

GARY	Baby…

ANDI	No, get out!

GARY	Baby, please.

ANDI	Get out!
