(THE MYSTERY OF THE DRAGON SEAL)

NARRATOR	Far-far away in the south of The Heavenly Empire…there lived the Great Dragon. His eyelashes went down deep into the ground and came back up… as beautiful plants healing the souls and bodies of those who suffered. People called the leaves of this plant “tea”. The glory of this drink spread far and wide. Soon, the Great Dragon found men to take care of his eyelashes… and preserve the healing properties of tea. They were called "The White Wizards". The Great Dragon made a magical seal and gave it to the wizards he trusted the most: the Master, his daughter and the Princess. Merchants from all over the world traded great riches for this tea. But then, some of the wizards got greedy. They went to the evil side to control the Dragon. These Black Wizards were led by the Two-Faced Witch. She raised an ancient army… and they took the Dragon's cave. To get more tea, they stopped trimming the Great Dragon's eyelashes. His eyes became heavy and he fell into a deep sleep. The White Wizards fought back to free the Great Dragon… but the Black Wizards were too powerful. The evil forces captured The Master and the Princess. They then put them into prisons on opposite sides of the world.
WITCH SERVANT	Today we are blessed on Earth, Our lovely Princess, beautiful as the Moon comes down on Earth to blesses us today with her pearly, glowing countenance! And now you'll be forever so grateful! Behold! This girl has been lazy…and failed to pick her quota of tea leaves. Surely she can work better, and is worth keeping alive! But her fate may only be decided by one will…the Dragon!

JONATHAN GREEN	Sorry!

CHENG LAN	Be careful, you're in mortal danger. We need a map of the palace to save you.

JONATHAN GREEN	As an Englishman grateful to his gracious hosts, I wonder…would the Princess be interested in me making a detailed map of the kingdom?

WITCH	You may commence work at your convenience.

JONATHAN GREEN	Well I suggest we commence immediately!

CHENG LAN	She has everyone fooled! It looks like she's using the ancient magic… but that isn't the real Dragon Seal at all!

GIRL	Oh, Great Dragon! Save my grandfather! Aaah! Grandpa!

JONATHAN GREEN	What's happening? What is this? 

CHENG LAN	How is this possible? How could she force the Dragon to do this?

LI HONG	This place is no different from a prison. Once you come to this village, you can never leave again.We've tried to handle the guards…but the Dark Wizards are helping them, so it’s useless.
 
LI HU	Sister, are you hurt? 

LI HONG	This girls’ grandfather was executed today, her mother was sold into slavery. Here, please, don’t cry. I promise we'll get your mother back.

CHENG LAN	Do you know the Dragon song? Sing it for me...

WITCH SOLDIER	Silence! Enough singing. You'll sing a different song on the plantations tomorrow! And left! 

PETER THE FIRST	Frightening… but quite interesting!

MERCHANT	These are Russian traders here to buy our tea! They want to buy all the tea in the village!

SOLDIER	Let them in!

MERCHANT	Oh thank you! Please come!  This way…

PETER THE FIRST	Oh, finally, the ground!  I'd love to eat something…as long as it's not a seafood.

SELLER	Scorpions! Live scorpions! So delicious! Live scorpions! Try some!

PETER THE FIRST	I'm not really hungry!

SELLER	Try this tea!

MISS DUDLEY	Why are you doing this?

PETER THE FIRST	I’m looking for the Princess.

SELLER	Look! He has the Dragon Seal!

LI HU	Sister! I saw the Dragon seal! Some foreigner has it... He is with the guards!

JONATHAN GREEN	A-mazing! This isn't magic. It’s just science…

MISS DUDLEY	Well, I'm wondering if you have forgotten, that you promised me to search for my husband. Well, I would really appreciated if you could stay focused on that and not let ourselves be distracted! And stop behaving like an idiot and for goodness sakes stop showing this thing to everybody. And... What happened? 

SAILOR	Fellas, where is the Tsar??

SIRKO	Where is the Tsar?

MISS DUDLEY	What happened?

CHENG LAN)	Don't move or I'll break your arm! What did you do to my father? How did you get this seal? Who are you? 

PETER THE FIRST	Cheng Lan?

CHENG LAN	How do you know my name? 

MISS DUDLEY	Hands up!

PETER THE FIRST	Thank you, darling!

MISS DUDLEY	I am not your darling! 

PETER THE FIRST	So I want to hear your story now.

CHENG LAN	We've arrived here from Moscow…A wonderful man saved me from certain death...His name is Jonathan Green. 

MISS DUDLEY	Jonathan! Oh…

PETER THE FIRST	Wait, wait, wait...I suppose it was the best journey of his life! Full of wonderful discoveries! Just two of them. A lot must have happened I would think!

CHENG LAN	Yes, there were different situations. But I must say, I always felt good and safe around him.

MISS DUDLEY	Where is he?

PETER THE FIRST	Miss Dudley, please!  I'm sorry, Princess! This is his fiancé. His wife. Mother of his son. Anyway…

MISS DUDLEY	I don't need any excuses…

JONATHAN GREEN	Aeh... You chops know where the bathroom is?  I'm a servant of the Queen! Unhand me! I'm a British…

WITCH	Do you still not understand where you are? I am the law here, and my power is boundless.

JONATHAN GREEN	What powers?! I have seen your inventions... Spears, arrows… These are bronze toys. From a bygone century!

WITCH	You're a blind man, just exactly like all the others! I didn't resurrect any ancient army. I just put my soldiers in invulnerable armor! We've learned to control lightning and we can control the power of sound…And very soon, when I have the Seal of the Dragon I will rule the world! And you are the perfect bait! When she finds out I’ve decided to execute you…she’ll deliver herself right into my hands. Take him away!

MISS DUDLEY	Where the hell did you bring us?

CHENG LAN	I believe it's my turn to ask questions. So… How did you get my father's seal?

PETER THE FIRST	I am very grateful to your father. Both of us were imprisoned in the Tower of London. All those long British evenings he kept teaching me the secrets of his amazing art! And I learned a lot from him!

CHENG LAN	Should I believe you?

PETER THE FIRST	You don't believe me…Well, watch! What are you laughing at?  I broke the chains and I stopped a storm like this!

CHENG LAN	Give them back their weapons.

MISS DUDLEY	Thank you.

PETER THE FIRST	Now you actually do believe me. I can say that you are the true princess. Take it. This is yours. 

CHENG LAN	I'm very grateful to you!

PETER THE FIRST	Chinese monster?

CHENG LAN	The map! You might not believe this, but this creatures are from Russia.

MISS DUDLEY	This is Jonathan's handwriting!

LI HONG	Do you know what it is? Do you understand?

PETER THE FIRST	I know how to read it. We'll need a…

M DUDLEY/CHENG LAN	Mirror! Mirror!

WITCH SERVANT	Oh my rising Sun... The moon has come down from heaven! I have good news! I have brought them! Here!

ZHONG ZHE	Princess, please forgive us... We were unable to find your father. I swear to serve and protect you for the rest of my life!

WITCH	Is this really all you have to tell me about your long trip?

ZHONG ZHE	We have found the Dragon's seal.

WITCH	You've found it? So give it to me!

ZHONG ZHE	A nobleman has it. The Russian Tsar Peter the Great!

WITCH	Zhong Zhe stay here. And you - bring me the Russian Tsar!

ZHONG HAO	Princess!  But how are you? Who…Who’s in the palace?

LI HONG	She's an evil witch! She uses a mask with the princess' face and rules in her stead!

ZHONG HAO	Our brother just swore to give his life in service of that witch!  She tricked all of us!

ZHONGYI	Princess, he’s only in love with you! He never would have been faithful to her if he knew. 

PETER THE FIRST	The Witch and her servants believe that the Palace is inaccessible. He made a very accurate map. We can get in through the cave under the water. My Cossacks can do a lot of things! They will release Jonathan Green… and you will get to your Dragon.

CHENG LAN	My people can also attack the palace by air.

PETER THE FIRST	What do you mean, by air? 

CHENG LAN	Jonathan Green is not only a great cartographer, he is a great scientist!  He has calculated everything precisely according to the flight of a bird. Please, go gather all the umbrellas in the village.

LI HONG	Yes, tell them!

REBEL	OK.

CHENG LAN	I will get to the Dragon, show him the seal and hope he recognizes that I am the true princess. We also need to come up with new weapons to break through their defenses. I suggest we use pepper! We will answer their spears and arrows with pepper from our crossbows. It remains to be seen how we will deal with the Magicians.

PETER THE FIRST	She thinks that I have the seal, so it will give us some more time!

MISS DUDLEY	I'll go and prepare myself too. I need to change the dress! I can't fight in this… The battle is commencing. Help me with my corset! 

CAPTAIN	I’m not your servant, lady! Alright! Take me with you. You won’t regret it!

MISS DUDLEY	I'll think about it. 

CAPTAIN	Woah, you wanna kill me?! 

MISS DUDLEY	You bastard! Or I'll kill you! Good luck!

CAPTAIN	What about me?

SOLDIER	Hey, stop! What do you need that many umbrellas for?

BOY	It's gonna be hot today. 

SOLDIER	Will it be that sunny? 

WITCH	Your Highness, what brings you to my domain?

PETER THE FIRST	Dear Princess, I have a very important mission to pursue…

WITCH	Perhaps we should talk privately then. Come with me!

PETER THE FIRST	That was fast…There are legends about me in Russia.

MISS DUDLEY	Don't let her break your heart, Your Majesty!

PETER THE FIRST	Stay there. I'll be right back.

WITCH SERVANT	Come with me...

PETER THE FIRST	Beautiful chambers.

JONATHAN GREEN	What in God’s name is happening...

WITCH SERVANT	And now let’s have another fairly judged execution! Let the Dragon decide the fate of the foreign traveler!

MISS DUDLEY	This is my husband!

WITCH SERVANT	Is he your husband?

MISS DUDLEY	Please, have mercy!
 
WITCH SERVANT	If he is your husband than it's a completely different story! Now I see, things differently. Well, then arrest her too! Take their weapons away! 

MISS DUDLEY	Let me go! They are lying to you! She is not the real pri…!

WITCH SERVANT	Tie her up with the other foreigner! The white-skinned woman is a witch!

PETER THE FIRST	Mmm! Delicious! 

JONATHAN GREEN	Who’s there?

CONDUCTOR	Go right! Now, open the mouth at him! Pull back to the rock.

SIRKO	That’s, that's not a real dragon! 

SPIRID	Let’s take it all down, shall we?

JONATHAN GREEN	Who... Who is there? Who is it? I can hear you but I don't understand you. Speak clearly...

CONDUCTOR	Open the mouth wilder! Hehehehe! Wait! What do you want? We were waiting for Chen Lang.  Now we have to fry you up as an appetizer!

WITCH	This one is done! Search him and bring the Seal to me. I'll prepare to meet with the Dragon now.

CONDUCTOR	Pump the bellows!  Get the blower ready! That's it!  Hide it up! And prepare the lightning charge!

SIRKO	Where did you come from?

CAPTAIN	Shh! Everybody swam, so I swam too…

SIRKO	Easy, easy! 

CAPTAIN	Don’t worry!

SPIRID	Cut this one too!

CONDUCTOR	And here comes the surprise!

CAPTAIN	Hello beautiful! Still regret me? Now you’re free!

JONATHAN GREEN	Emma?

SPIRID	Run!

JONATHAN GREEN	Oh, sorry! It is you! It’s really you!

MISS DUDLEY	My father was right! Why didn't I listen?.. 

JONATHAN GREEN	What did you do that for? 

MISS DUDLEY	Now do you understand? 

JONATHAN GREEN	You are upset... I can... I can see that.

MISS DUDLEY	Of course I'm upset! You traveled in the same carriage with this… that…Girl!

JONATHAN GREEN	What girl are you talking about?

MISS DUDLEY	The most beautiful girl in China!

JONATHAN GREEN	I love…you!

MISS DUDLEY	Get away!

JONATHAN GREEN	Not now!

MISS DUDLEY	Come on!

JONATHAN GREEN	Run faster!

SOLDIER	Shields! Spears! Archers ready! Shoot! Get ready! Shoot!

JONATHAN GREEN	Come here! Give me your hand! Come, come on!

REBEL	Pepper!

SOLDIERS	Spears! Pepper! Pepper! I can't see a thing! It's pepper! My eyes!

COSSACS	All together!

CAPTAIN	Hurrah! There are a lot of them, and they're very tall. 

WITCH	Dragon. I command you to obey! I am here to save you now… And now…

MAIDSERVANT	Your Majesty... 

WITCH	What? Where is the seal?

MAIDSERVANT	Your Majesty, this is everything we found.

WITCH	I've got to do everything myself!

KHOMA	You need a rest.

REBEL	Get the sheet ready!

WIZARD’S ASSISTANT	Bring them! Hurry up!

SOLDIER	There's nothing left. They destroyed the laboratory!

WITCH	Where is the Seal?!

PETER THE FIRST	Help me up. For your information, people have been trying poison me right from my birth, so now there is no poison that affects me. Get us up if you don’t want me to kill her.

SPIRID	Sirko, help! A bit more, Sirko!

WITCH SERVANT	Oh my incomparable princess, we are finished! The forces are running out, the rebels will soon take over the palace…and they have defeated the magicians!

ZHONG ZHE	Let her go!

WITCH SERVANT	What should we do, my princess? What should we do?

PETER THE FIRST	I've already actually shaved today.

WITCH SERVANT	I have a plan. As I already said, we should run!

WITCH	You're right. Go gather up all the gold. Kill him now!

ZHONG HAO	Zhong Zhe, no! She is not Cheng Lan! She’s the Witch!

WITCH	What are you waiting for? I said kill him!

ZHONGYI	Zhong Zhe, trust us! We are your brothers!

WITCH SERVANT	Gold, gold! My precious gold!

WITCH	Stand by your oath! What are you waiting for? Kill him now!

ZHONGYI	Don't listen to her! 

ZHONGHAO	You swore your oath to Chen Lang, not this witch!

ZHONG ZHE	Is it true? And are you not the real Chen Lang?

WITCH	Don’t listen to them! I am Cheng Lan!

ZHON YI	Zhong Zhe! Zhong Zhe! No!

WITCH SERVANT	Finally, you’ll be mine, Your Majesty!

WITCH	You're too heavy. The boat can't carry the two of us!

WITCH SERVANT	Noooo!

PETER THE FIRST	Definitely, a witch...

WITCH	So long, fools! 

MAIDSERVANT	Mistress! Mistress!

WITCH SERVANT	My princess, my sun! Our Mistress needs our help! 

CHENG LAN	I’ll take your mask off!

WITCH	And I will take the Dragon Seal away from you!

CHENG LAN	You are not worthy of this seal! It only goes to those chosen by the dragon!

REBELS	The Dragon is free!

MISS DUDLEY	Look!

JONATHAN GREEN	Let’s go! This way! Quickly!

CHENG LAN	Stop it! Spare yourself the humiliation! Maybe people will forgive you! How are you doing this?

WITCH	Take the Seal away from her! I don't need you anymore!

MAIDSERVANT	Your Majesty, why are you doing this?

REBEL	Come!

WITCH	Perfect timing… She is the impostor! Take her away!

PETER THE FIRST	What did she say? This is the true princess! I gave her the seal myself! Then, this is the fraud!

CHENG LAN	That’s an impostor!  She’s not the real princess!

WITCH	Silence her!

MISS DUDLEY	Here is your Cheng!

JONATHAN GREEN	Wait, wait! Don't hurt her. She is Chen Lang. He recognized her! He can't be wrong! She is my friend! She is the real Princess! 

MISS DUDLEY	Please, don’t die Jonathan! Not when I’ve just found you! Please, look, don’t die!

WITCH	You silly foreigners! Now I control the power of the Seal! And I am the Chosen! Dragon! Come to me! I command you to fly to me! I command you! I command you! I have the Se…Nasty creature! Dragon, I command you, I command you to save me! No! No, no!

MISS DUDLEY	Please, don't die, Jonathan! Your son is waiting for you! 

JONATHAN GREEN	My son?

MISS DUDLEY	Yes! You have a son! Please... Please, don't die! No!

DANIEL	Hurrah!

LORD DUDLEY	Hop! Hop! Fight! Hop!

DANIEL	Now you have to defend!

LORD DUDLEY	Fight! Hop! Hop! Fight with me, Daniel! Fight with me! Fight with me, Daniel! Hop! Oh, a pigeon!

MISS DUDLEY	Dear father please forgive the smudged writing…

LORD DUDLEY	I've been crying so much in the last few days. I cry... From happiness… Finally I've found him!

JONATHAN GREEN	You saved my life!

MISS DUDLEY	That’s true.

LORD DUDLEY	The one person who could really help us right now is the Master. The one who is jailed in the Tower. I ask you to employ all of your influence to arrange for his release, so that he can return to China as soon as possible...

JAMES HOOK	By the will of Her Majesty, you are now free. It’s unfortunate to lose you already, because I’ve just started to learn about your art.

MASTER	You are the strongest opponent I've ever had.

JAMES HOOK	Free him! Oh, by the way. Lord Dudley mentioned something about “a dragon is free”?

MASTER	Come with me to China. I will show you everything.

CHENG LAN	Did you really swear you were going to protect her for the entire rest of your life?

ZHONGZHE	Yes, but I thought she was you.

CHENG LAN	It's a pity I did not hear it. If you swore it, protect me!

MASTER	You see, it wasn't the seal that gave power over the Dragon. It was love. He sees our hearts. He knows who is good and he helps people with pure intentions. That's why he gave us the healing tea! So, that’s it for today. Go study!

TRAINER	Get ready…Start! One! Two!

MASTER	I’m so happy you’ve finally got out of your prison.

JAMES HOOK	Well... Where is the Dragon? I left the Tower to come all the way over here to see the Dragon.

MASTER	He’s here, he’s everywhere. He’s always among us.

JAMES HOOK	But where?

MASTER	Look! He’s everywhere. He is in the mountains, the sea… and the sky above us! 





(FINAL)









			

