

IDEAL HOME - PART 1






1 (00:00:25:15)

RADIO POLICE	Code dix- trente et un sur Central avenue.
PAUL	! h Quoi?Tu n'peux pas changer son nom juste parce qu'il veut l' faire.

ERASMUS	Pour... Pourquoi pas?

BILL	Ouais, pourquoi pas?

PAUL	D'a... D'accord. Va pour Bill_. Mais, euh, une question. Pourquoi t'as pas dit qu'tu voulais qu'on t'appelle Bill dès l'début_?

BILL	Parce que j'viens d'y penser. Je cherchais depuis un moment.

ERASMUS	Qu'est- c'que ça change?

PAUL	Ça_... Ça... Ça change que depuis deux semaines on l'appelle Petit_ et qu'on n'l'a pas mis à l'école. C'est pas grave. Mais dorénavant,... communique.

ERASMUS	[voirVO] Ouais, communique.

PAUL	[explose]

BILL	[rit]

PAUL	Nom de dieu. Arrête, arrête!

BILL	h

NOTE D'AUTEUR	-------------------------------------------------

BILL	!

PAUL	Arrête de faire ça! Tout l'temps. Tout l'temps, tu fais ça!

NOTE D'AUTEUR	--------------------------------------------

PAUL	Tu m'fais passer pour un crétin. Devant l'équipe, devant l'petit_!

ERASMUS	Il a un nom. Il s'appel... Pardon, c'est quoi déjà?

PAUL	C'est Bill!

ASSISTANT	Euh, Paul? Paul, attends, on a besoin d'toi.


40 (00:28:10:05)

ERASMUS	Pouvez- vous faire une exception dans mon cas?

NOTE D'AUTEUR	-----------------------------------------

ERASMUS	Cela ferait peut- être une différence si je vous disais que mon nom est Erasmus Brumble. [las] Je présente une émission de cuisine et ... oh, fait chier. Taco bell ne livre pas et j'n'arrive pas à joindre Paul. Bonsoir, Paul,... ... c'est moi. Tu t'es fait comprendre de façon très éloquente. Rentre, s'il te plaît. * h h ! Je t'ai cuisiné un_... ... cochinita pibil avec une tortilla maison. J'ai proposé de te faire_... h n'importe quoi avec les_ ... meilleurs ingrédients connus de l'homme.

BILL	[voirVO] Taco Bell_.

ERASMUS	[agacé] h ! h Bien_. O___kay. Totale capitulation.


41 (00:29:06:05)

BILL	Zut_.

ERASMUS	Merde. C'est du raton laveur.

BILL	C'est près d'un immeuble qu'a une forme carrée_ , qui est marron et... ... et y'a aussi des p'tits rondins sur le toit.

ERASMUS	h Au cas où tu n'l'aurais pas remarqué_,... ... tu viens de décrire tous les putains d'bâtiments de Santa Fe_.

NOTE D'AUTEUR	---------------------------------------------------------------

BILL	Là, c'est là!

ERASMUS	Oh. Super_.

OUT (00:29:29:00)


42 (00:29:36:10)

BILL	[chante] On a enfin trouvé le Taco Bell. Ouais, ouais, ouais. Allez, vite, vite! Rentrons!


43 (00:29:44:05)

LETICIA	Bienvenue chez Taco Bell. Mon nom est Leticia. Vous désirez quoi?

ERASMUS	Bonsoir, Leticia. Mon nom est Erasmus et ici vous avez mon petit- fils_, Bill.

BILL	J'vais prendre un Wrap Suprême bacon et un Nachos Bell grande.

LETICIA	Ça marche.

ERASMUS	* h h

LETICIA	Et pour vous, monsieur?

ERASMUS	Je_... Je suis_ com... complètement hypnotisé par tous les différents concepts culinaires qui sont proposés ici_. Cheesy Gordita Crunch. h Fiery Doritos Locos Tacos Suprême. En fait, c'est un peu comme le Jazz mexicain.

NOTE D'AUTEUR	----------------------------------------------


44 (00:30:18:15)

CHEFFE D'ÉQUIPE	Vous êtes Erasmus Brumble?

ERASMUS	h En effet.

CHEFFE D'ÉQUIPE	On m'a dit qu'vous aviez appelé. h J'adore tous vos livres et votre émission et_... h h h Qu'est- c'que vous faites ici_?

ERASMUS	Si vous aimez mes livres et mon émission, c'est à vous qu'il faut demander ça.

CHEFFE D'ÉQUIPE	[rit] h ! h Oh, euh,... vous désirez quelque chose?

ERASMUS	J'aimerais d'abord voir la carte des vins, s'il vous plaît.

CHEFFE D'ÉQUIPE	h h[rit]- ! h

BILL	Il ne blaguait pas.


45 (00:30:46:05)

BILL	Tu aimes?

ERASMUS	Oh,... ... Bill,... ... j'ai vu la lumière. [voirVO] h

BILL	Quoi?

ERASMUS	Mt. Euhm,... ... réfléchis. Quel est l'meilleur moment qu'tu aies connu?

BILL	Un jour, mon père... ... m'a emmené dans les montagnes tirer des écureuils.

ERASMUS	[voirVO] hm_ . Mt. h Eh bien,... ... pour moi,... être assis ici à_... partager ce... taco avec toi,... ... c'est aussi fort.

BILL	

ERASMUS	h h Mais y'a sûrement une meilleure table que celle- ci.


46 (00:31:33:05)

ERASMUS	Depuis combien d'temps es- tu assis seul dans l'noir?

PAUL	Mt. Euh_. [voirVO] h Dix ans.

ERASMUS	C'est un cauchemar depuis qu'tu es parti_. Bill et moi n'avons pas arrêté d'pleurer.C'est pas vrai, Bill?

BILL	Non. C'était bien. On est allés au Taco Bell.

ERASMUS	Mt! Et si tu allais t'coucher, petit homme?

PAUL	On peut pas avoir de gosse. On est des gosses.

ERASMUS	Mais non, pas du tout.

PAUL	T'en es un encore plus que moi.

ERASMUS	Est- c'que j'ai le sens du jeu_? Oh. Euh. Ouais!

PAUL	[rit]

ERASMUS	[rit]

PAUL	h

ERASMUS	h

PAUL	!

ERASMUS	h . Tu es un homme. Tu es grand et puissant, tu es une... bête sauvage du Paléolitique.

PAUL	[voirVO] h Tu parles de mon cul. [sourit] h .

ERASMUS	Non. Regarde- moi. Tu as le plus grand coeur... ... de tous les hommes que je connaisse.

OUT (00:32:28:05)


47 (00:32:41:15)

ERASMUS	[ baise] h[gémissements plaisir ça et là] - .

BILL	Est- c'que ça va?

ERASMUS	Oui, tout va bien.

BILL	J'peux avoir un Chunky Monkey?

NOTE D'AUTEUR	J'peux avoir un singe glacé?

ERASMUS	h Oui, bien sûr.

BILL	Y sont où?

ERASMUS	Ils sont dans l'congélateur de la cuisine.

BILL	Non, y'en a pas, j'ai regardé.


48 (00:33:20:01)

ERASMUS	h .

PAUL	Non, ils sont dans l'congélateurs du garage_. Dans le garage .Ce..., euh, celui avec tous les aimants de Kevin Costner dessus.

BILL	C'est qui Kevin "Coster"?

ERASMUS	Il était dans ce film... Comment il s'appelait?

PAUL	Oh, qu'est- c'que....

ERASMUS	Peu importe.

PAUL	Peu importe. Peu importe. Peu importe! h C'est l'seul congélateur qu'y a dans l'garage.

BILL	D'accord.

PAUL	h

ERASMUS	Bonne nuit.

PAUL	h h h h h

BILL	Vous en voulez un?

PAUL	h !

ERASMUS	Non, merci.

PAUL	Non, merci.

BILL	Okay.

PAUL	[baise] h

ERASMUS	Oh_! "Danse avec les loups"!

PAUL	h

NOTE D'AUTEUR	-------------------------------------------------------------

PAUL	!

ERASMUS	h


49 (00:34:00:15)

PAUL	On doit l'faire manger. On doit l'faire manger. h * h On doit l'faire manger. [voirVO] h .

BILL	Taco Bell.

PAUL	Pizza pepperoni.

BILL	Non.

PAUL	Arrête, mec. Regarde, il y a_... ... des virelangues, des blagues et plein d'autres surprises rigolotes dedans.

BILL	Non.

PAUL	Oh, bon dieu. Très bien,... ... dernière offre. Un sachet de un kilo_... de Sour Patch pour le déjeuner.

BILL	[las] Ce sont des bonbons.

PAUL	Tu as tous les parfums.

BILL	Tu as tous les goûts.

PAUL	Bleu.

BILL	S'te plaît.

PAUL	[voirVO] h !


50 (00:34:55:20)

LETICIA	Euh. Nous_ ... servons toujours le petit déjeuner.

PAUL	Pour... Pour combien d'temps?

LETICIA	Euh_... Encore_ quarante- cinq minutes.

PAUL	Oh, va t'faire foutre!

OUT (00:35:05:00)


51 (00:35:11:10)

BILL	Est- c'que ça fait quarante- cinq minute?

PAUL	Non, ça fait deux.


52 (00:35:16:15)

PAUL	Je veux vingt Wraps Supême Bacon, s'il vous plaît.

LETICIA	Vingt?

PAUL	Vingt.


53 (00:35:22:05)

BILL	Pourquoi t'en a pris vingt?

PAUL	Parce que j'vais les congeler puis en décongeler un tous les matins.

BILL	Ça_... ... va pas marcher. Et c'est bizarre. Pourquoi j'peux pas l'emporter à l'école dans l'sac Taco Bell?

PAUL	h h ! Mt. h Parce que j'ai écrit des articles pour Saveurs magazine. Tu connais?

BILL	Non.

PAUL	Sors de ma putain d'voiture.

OUT (00:35:48:20)


54 (00:36:09:05)

PAUL	Alors le barman dit_: "Non, tu sais pas?" "Tu l'accompagnes et tu l'balances au rhinocéros."

HOMMES X 2	[rient] h

PAUL	Pourquoi tu portes des jambières au dîner?

TINO	!

ERASMUS	Celles- ci_ ont appartenu à Roy Rogers. h[voirVO]-

HOMMES X 2	[rient]

BILL	h[voirVO]

HOMMES X 2	h

ERASMUS	!

BILL	-

PAUL	Pitié_.

BILL	!

ERASMUS	Même si je ne crois pas en la réincarnation, je suis_ de plus en plus convaincu que dans une vie antérieure,

HOMMES X 2	!

ERASMUS	... j'étais un voleur de bétail.

HOMMES X 2	[rient] h !

PAUL	T'as dit qu'tu croyais pas en la réincarnation.

ERASMUS	Je sais prendre un boeuf au lasso puis l'attacher.

PAUL	T'as pas pu attacher Ethel Merman.

DREW	Bill,... ... tu t'plais ici_?

TINO	Dis- leur à quelle heure tu vas t'coucher.

BILL	Quand j'veux.

DREW	Oh_. Je veux qu'Erasmus et Paul soient mes grands- pères.

MARK	h[sourit] h Tu aimes la cuisine d'Erasmus?

BILL	Non. C'est dégueu.

HOMMES X 2	h[rient/"oh!"]

DREW	[rit]

PAUL	Ha_!

DREW	h

HOMMES X 2	-

PAUL	h[rit] - !

DREW	!

HOMMES X 2	!

MARK	Où est ton père?

BILL	En prison pour avoir battu une pute.

MARK	[rit] h

DREW	h[rit] - ! h D'où est- c'que tu sors ça?

MARK	!

PAUL	Il ne plaisante malheureusement pas.


55 (00:37:04:20)

DREW	Oh. [rire gêné] h . h Euhm. Et, euh... Et où est ta maman?

BILL	C'était une toxico. Un soir, elle a pris trop d'drogue... ... et elle est tombée du balcon... ... du quatrième étage.

PAUL	Où étais- tu quand c'est arrivé?

BILL	Dans le salon.

ERASMUS	* h Mt. Alors,... ... la bonne nouvelle,... h ... c'est qu'j'ai fait une tarte aux poires.

OUT (00:37:52:05)


56 (00:38:19:20)

MELISSA	Bonjour.

PAUL	[voirVO] h .

MELISSA	Euh, Melissa Enright, des services de protection d'l'enfance.

PAUL	Mt. h Oh_!Oui. Bonjour. Euhm... Entrez.

MELISSA	Merci_.

PAUL	Oui.


57 (00:38:38:00)

MELISSA	Il s'agit de la première de plusieurs visites mandatées par_ l'A.S.E du Nouveau Mexique.

NOTE D'AUTEUR	["A.S.E" = Aide Sociale à l'Enfance]

PAUL	Formidable.

MELISSA	Euhm. Lorsqu'un parent seul_ ... est arrêté_, ... euh, une enquête est ouverte par l'A.S.E_.

PAUL	Mm. Il est là depuis deux mois. [renifle] * h !

MELISSA	On est débordés. Alors, il est ici_ ou_...

ERASMUS	h Qui est- ce_?

PAUL	Erasmus,... je te présente... euh_...

MELISSA	Melissa.

PAUL	Melissa... ... des Services de Protection de l'Enfance.

ERASMUS	Oh,... merde.

NOTE D'AUTEUR	Oh,... zut_.

ERASMUS	h h Euh. Bonjour Melissa. Erasmus.


58 (00:39:09:15)

PAUL	h Alors, oui, Bill est ici. Tu l'as... Tino a fait l'ménage hier soir?

NOTE D'AUTEUR	[chuchotte]

ERASMUS	Je n'sais pas, je viens d'me lever.

MELISSA	Un problème?

ERASMUS	Non, Melissa. Euh, bienvenue dans notre humble demeure de campagne. Je vais nous faire du café_.

PAUL	Ouh_,... ... bonne i_dée,... ... du café_.

MELISSA	Ce_ serait aussi une... bonne idée de... euh, de trouver l'enfant.

PAUL	Oh!

ERASMUS	h

PAUL	Le voilà.

ERASMUS	h

PAUL	Juste là où_... ... on l'trouve parfois.

MELISSA	Salut.

PAUL	Oh, oui, au fait,... il aime qu'on l'appelle Bill. h .


59 (00:39:47:20)

BILL	Ils m'emmènent à l'école tous les matins_ et ils viennent me chercher tous les soirs.

MELISSA	Ensemble? Tous les deux?

BILL	C'est... ... généralement Paul. Non, c'est toujours Paul.

MELISSA	Y a- t- il eu quelque chose ici, à la maison... ... qui t'a effrayé ou dérangé?

BILL	Non.

MELISSA	Tu es sûr?

BILL	Comme quoi?

MELISSA	Comme... ... des bruits de coups... ou des cris.

BILL	Ben_,... ... pas vraiment.

MELISSA	Pas vraiment? T'es pas sûr?

BILL	J'veux dire, non.

MELISSA	h As- tu vu quelque chose qui t'a troublé? Des contacts comme... h ... des caresses qui te... ... mettaient... ... mal à l'aise?

BILL	Non.

MELISSA	On dirait qu'il s'est passé quelque chose dont tu ne veux pas me parler. Tu peux tout me dire.

BILL	J'peux juste vous montrer?

MELISSA	Bien sûr.


60 (00:40:48:10)

ERASMUS	Ces chaussures plates. Flap, flap, flap, flap, flap, flap, flap, flap, flap.

PAUL	Elles sont si plates que ça la rend plus p'tite.

ERASMUS	Y'a même pas un centimètre. C'est complètement plat. Tout se passe t- il bien?

MELISSA	Oui, très bien. Quelle pièce spacieuse.

PAUL	Ça veut dire quoi, ça?

ERASMUS	Je la déteste.

MELISSA	Excusez- moi. Pourriez- vous venir tous les deux,... ... s'il vous plaît?

PAUL	[chuchotte] Tu crois qu'elle nous a entendu... ... la traiter de pauv' conne.

ERASMUS	J'espère qu'elle n'a pas trouvé les pornos. h .


61 (00:41:33:15)

MELISSA	Oui, je_... j'veux dire, la plupart des endroits où je vais... sont vraiment sordides.Alors,... quand j'ai vu cette maison, j'me suis dit: "Quel gamin chanceux." Mais... ... on n'doit pas montrer ça à un enfant.

ERASMUS	Oui. Le truc,... ... c'est qu'ils_... sont à Paul.

PAUL	Quoi? Non, c'est faux. Quelques- uns. Vous savez, on... on garde ça sous cadenas.

MELISSA	Avec la clé_ dedans, un cadenas n'a pas d'sens.

PAUL	Conficius, non? h[rit]- Vous avez raison.

ERASMUS	Vous avez raison.

BILL	J'essayais juste de trouver E.T_.

ERASMUS	Hey.

PAUL	Bill!

ERASMUS	E.T__. Un classique de Spielberg.

PAUL	Oh_. h

ERASMUS	Le tisseur de rêves.

PAUL	J'adore quand son doigt s'allume.

ERASMUS	C'est ça qui montre que c'est un alien.

PAUL	Et sa tête.

ERASMUS	Et sa tête.

MELISSA	h Bill, tu nous laisses un moment?

OUT (00:42:15:00)
