LEGENDA	Visky. Ok, obrigado. Eu. Eu que agradeço. Eu. Estou mandando as digitais. Só no seu email, ok?Visky. Ok. Eu. Vou pra aula. A gente se fala depois.
ARLETE (ANGEL)	Nossa eu nem vi, eu, eu entrei correndo, "tava" fora de mim, eu só vim lavar o rosto.

GUILHERME	Olha, é um alívio. Pensei que queria ser homem, tipo, preferência. 

ARLETE (ANGEL)	Quê? 

GUILHERME	Desculpa aí, foi mal. Você é aluna nova? Interior? Pelo “var” é sim, do Interior. 

ARLETE (ANGEL)	Você vai me zuar (caçoar) também? Eu vou embora. 

GUILHERME	Não, não. Os meus pais têm fazenda no interior. Daí eu saco o R de longe. Fizeram piada de você? 

ARLETE (ANGEL)	Me chamaram de piada pronta. 

GUILHERME	Hum. Saquei. Aposto que foi a Gi.

ARLETE (ANGEL)	Essa mesma. 

GUILHERME	É minha prima. 

ARLETE (ANGEL)	Hunf. Não parece. Você "tá" em que ano?

GUILHERME	Eu já terminei. Faço cursinho fora daqui. E aqui eu faço reforço pro vestibular. Medicina. (RISO) Tentei três vezes e bombei (reprovei). 

ARLETE (ANGEL)	(RISO). 

GUILHERME	Faz um favor?

ARLETE (ANGEL)	Se eu puder... 

GUILHERME	Me deixa mijar. 

ARLETE (ANGEL)	(RISOS) Puxa, é claro. É, desculpa. 

GUILHERME	A gente se tromba. "Tô" sempre aqui. Não no banheiro. No colégio. 

ARLETE (ANGEL)	(RISO).

EZIEL	Oi? (RISO). É... Eu ia te avisar que era masculino, mas, você entrou voando. 

ARLETE (ANGEL)	Ah... É... Ainda bem que "tava" vazio. Cadê todo mundo? 

EZIEL	Ah, já subiram pra aula. 

ARLETE (ANGEL)	Ah... 

EZIEL	Eu te esperei. 

ARLETE (ANGEL)	Por quê?

EZIEL	Ah. Quem mais você acha que é massacrado nesse colégio? 

EZIEL	E nós somos da mesma sala. E a gangue da Gi, também.

ARLETE (ANGEL)	Jura?

EZIEL	É. 

ARLETE (ANGEL)	Eu vou ter que encarar isso aqui todo dia?

EZEIL	Vai. 

CAROLINA	Subindo? Vem, filha. Oi? Boa tarde, desculpa. Você pode me dar uma informação?

LOURDECA	Não sou recepcionista, eu cuido da administração. Me puseram aqui só pra atrapalhar o meu serviço. Fala como espetáculo ali, oh. 

VISKY	(GRITO). Você veio. Nossa, que bombom que você é. (RISOS). 

CAROLINA	Oi, tudo bom? Eu sou a mãe dela. 

VISKY	Tudo bem? Olha, não liga pra essa mal humorada. Ela fica na frente porque, se vierem assaltar, o bandido se assusta com a cara dela e foge. Ui, abafa, abafa (deixa quieto). (RISOS).

CAROLINA	Eu "tô", eu "tô" confusa. Ela veio aqui porque marcou...

VISKY	Comigo, mesmo. 

CAROLINA	Com você. 

VISKY	Ai, como é linda. Alta, “magravilinda” (magra + maravilhosa + linda). Poderosa. 

CAROLINA	É que ela teve uns dias difíceis essa semana. 

VISKY	Mas é muda? Tomara que seja muda. 

ARLETE (ANGEL)	(RISOS).

VISKY	A gente lança como modelo muda e é sucesso, marketing, vira notícia. (RISOS).

ARLETE (ANGEL)	Eu não sou muda. Você é o Visky, "né"? "Tô" te reconhecendo da net. 

VISKY	A própria tentação aqui, reunida. Em pouca carne e ossinhos delicados. Larissa? Tudo certo pra depois de amanhã?

LARISSA	Sabe que eu faço evento até de olho fechado. 

VISKY	Stephanie, Mayra? Deixa eu brilhar. Essa aqui é a Arlete. Linda. Descoberta minha. Pela internet. Não de nenhum olheiro, skalter (perseguidor). 

MAYRA	(BEIJO) Tudo bem?
	Oi, tudo bem?

VISKY	Foram os meus olhinhos brilhantes. A gente se fala há séculos e, finalmente, hoje, ela resolveu botar os sapatinhos de cristal aqui na agência. Pá. Vai arrasar.

ARLETE (ANGEL)	É, eu acabei de me mudar pra São Paulo com a minha mãe. 

VISKY	Já percebi que é a mãe. Hum. Genética boa, da mãe. 

ARLETE (ANGEL)	É. Mamãe fez questão de vir, "né", mãe?

VISKY	(RISO IRÔNICO). Atrás de uma modelo, sempre tem uma mãe. (REAC) Abafa, abafa. É que a Larissa e a mãe é um agarro. (RISOS). 

DIVANILDA	(RISO) Eu sou a mãe. Prazer, Divanilda. 

CAROLINA	Como vai?

DIVANILDA	É... 

ARLETE (ANGEL)	Oi, tudo bem?

VISKY	Uma graça, se não fosse esse nome, Divanilda, seria a mãe perfeita. Tem pais que deveriam ser processados pelos nomes que colocam em seus filhos. 

DIVANILDA	Quem chama “Visky” não pode falar mal do nome dos outros, "né"? (REAC).

CAROLINA, ARLETE (ANGEL)	(RISOS). 

VISKY	Visky foi sorte, mamãe do ano. Meu pai queria que fosse uísque. Mas, o escrivão "tava" bêbado e errou, na hora. Minha irmã é Martini. (RISADA).

CAROLINA, ARLETE (ANGEL)	(RISOS).

VISKY	A “espertilda” (esperta) diz que se chama Martina. Martini, Visky, a família é um verdadeiro coquetel molotov (arma química incendiária). 

CAROLINA	Ô, ô, ô, ô Visky? Eu trouxe a minha filha aqui pra conversar com você, também pra, ô, desculpa... Pra ver se o ambiente aqui, a agência...

VISKY	Era familiar?

CAROLINA	Isso. 

VISKY	Larissa que o diga. A mãe dela acompanha ela até nos trabalhos. Quer dizer, fica do lado de fora esperando acabar. Lyris, por exemplo. Lyris "tá" noiva, pra casar. 

LYRIS	Se tudo der certo, ainda esse ano. Bom, meu noivo, Edgar. 

CAROLINA	Oh... 

ARLETE (ANGEL)	Tudo bem?

EDGARD	E aí? 

CAROLINA	Então parabéns, hein? Felicidades. 

ARLETE (ANGEL)	Oi. 

VISKY	(GRITO). 

CAROLINA	Ai. Que susto. 

VISKY	Adoro essa música. 

MAYRA	(MURMÚRIO). 

LARISSA	Me deixa, mãe... Toda vez... Que saco. 

DIVANILDA	Larissa, para com isso, respeita sua mãe. Para com isso, menina. Volta aqui. 

ARLETE (ANGEL)	E aí eu enviei minhas fotos pra ele e eu acho que ele gostou de mim.

LYRIS	Pois é...

ARLETE (ANGEL)	Convenci minha mãe pra vir pra cá. 

RAPAZ	Brigadeiro Luís...

STEPHANIE	Alguém tem outro batom? Esse aqui é horrível. Me dá outro, por favor? 

LOURDECA	Dá pra parar com essa música? Eu "tô" trabalhando. 

VISKY	Ah, cala a boca, sua gorda mal humorada. 

LOURDECA	Barbie do Tatuapé. 

VISKY	Retentora de líquido. 

LOURDECA	Inferno na Terra. 

VISKY	Ponto de referência.

VISKY	Pela internet eu vi que era bonita. Mas é “lindésima” (linda), “magravilhosa”. Já "tô" te vendo nas passarelas. 

ARLETE (ANGEL)	Puxa. Eu achava que eu podia ser modelo, mas, você falando assim, "né"? Quando é que eu começo a trabalhar?

VISKY	Take it easy. Você precisa de um book. 

ARLETE (ANGEL)	Ah, um book, é claro. 

CAROLINA	Book? O book, em inglês, é livro, não é? 

ARLETE (ANGEL)	“Aham”. 

CAROLINA	Mas, mas que livro que ela precisa? 

VISKY	No mundo da moda, são as fotos que a gente faz das modelos, pra apresentar pros clientes. 

CAROLINA	Ah...

VISKY	Produtores de moda, de eventos, donos de grifes. Fotos bem feitas, posadas. 

CAROLINA	“Aham”, “aham”.

VISKY	E também tem o composite, que é isso daqui. É um cartão de visitas com fotos “mara” (maravilhosas). Se o cliente se interessa, a gente mostra o book. Pra ele escolher entre milhões, o seu rosto. O seu perfil, delicinha. Porque eu sinto... Os meus pelinhos se arrepiando, ai... Eu sinto que você será a modelo AAA (top).

CAROLINA	Hum...

ARLETE (ANGEL)	E como é que a gente faz o book?

VISKY	A gente marca. A gente marca fotógrafo, cabeleireiro...

ARLETE (ANGEL)	“Aham”.

VISKY	É... Maquiador, tudo top. 

ARLETE (ANGEL)	"Tá". 

VISKY	Mas, é claro, as despesas são de vocês. 

CAROLINA	Não, não, não, não, oh, espera aí, espera aí. Quanto é que custa isso aqui?

VISKY	Ah, deixa eu dar uma olhadinha. A mesa é uma bagunça, mas a cabeça brilha, viu? Aqui. Mais ou menos isso daqui. 

CAROLINA	Não, mas... Mas espera aí, nós não temos esse dinheiro aqui? E nem chance de ter. 

ARLETE (ANGEL)	Eu posso pedir pro meu pai, mãe...

CAROLINA	Não pode... Fi... Não... Você acha que ele te daria? Filha? Oh aqui, eu te trouxe aqui porque eu prometi, só que não dá. Não dá. Não dá. "Tá"? Eu agradeço ao senhor, só que não dá. Nós agradecemos. 

VISKY	Ai, quase me senti uma velha. O senhor "tá" no céu. Eu não faço milagres. Mas, tento. 

CAROLINA	Ai...

VISKY	Lourdeca? Um café e uma água pra elas, enquanto eu falo com a majestosa?

LOURDECA	Não sou empregada. Não sirvo nada. 

VISKY	Mal humorada. Só falei pra ouvir ela rosnar (RISO) Leo, dá um help? Um café e uma água pra elas, por favor? 

LEO	Já é (é pra já). 

VISKY	Vou ao reino dos céus e volto num instante. 

CAROLINA	Não dá, minha filha. Não tem condições. 

VISKY	Absoluta Fanny, chama... Majestosa? 

FANNY	(REAC) Quantos zilhões de vezes eu tenho que pedir pra bater na porta, ô, libélula desvairada? 

VISKY	Absoluta, tudo que me pede eu executo como capacho de luxo desdobrado aos teus pés, mas, te ver aos beijos com o Anthony é tão óbvio, que nem consigo fingir constrangimento. 

ANTHONY	"Tá" com inveja? Dela?

VISKY	Ui. Eu sei o que está muito além de mim.

FANNY	Já que interrompeu, fala logo, "né"? Eu "tô" aqui nos finalmentes de um evento e o cliente tem um potencial enorme. 

VISKY	Surgiu. 

FANNY	Surgiu o que, libélula?

VISKY	A new face que todas as agências matariam, pra ter. Alta, magra, rosto de anjo, corpo de demônio. Ai, seu eu fosse assim, "tava" rica. 

FANNY	Menos, Visky, muito menos. 

VISKY	Nem posso me expressar?

FANNY	Vai se expressar num show de drag queen. 

VISKY	Absoluta cruela cruel. 

ANTHONY	Fanny? Deixa o Visky falar logo? Se não, essa criatura não vai sair daqui hoje. 

FANNY	Que é que é? Qual é o problema com essa new face, aí?

VISKY	Como sabe que tem um problema? 

FANNY	Pelo tamanho do teu escândalo, "né"? 

VISKY	Descobri nossa nova modelo luxo pela internet. Vou querer royalties. 

FANNY	Fique satisfeito em manter teu emprego, "tá"?

VISKY	Ela "tá" com a mãe. 

ANTHONY	Normal, "né"? Todas têm mãe. Aliás, ô Fanny, você tem mãe?

FANNY	Melhor não ter do que ter a tua, "né"?

ANTHONY	Pegou pesado, hein? Não falo mais. 

VISKY	Ela não pode pagar o book. 

FANNY	Ah, Visky. Regra um: modelo paga book. 

ANTHONY	E a Fanny fatura como book. 

FANNY	Faturo. Se aparecer uma horrorosa aqui e disser que quer ser modelo, eu digo que sim e cobro o book. Ela pode guardar de recordação, ué? Hum, dizer pros netos que foi modelo, viver de uma glória que não teve. Como tantas que vivem de um brilhareco (brilho pequeno), "né"?

VISKY	Mas essa, essa vale a pena, absoluta. Dedique apenas um segundo dos seus olhinhos faiscantes pra ver. 

FANNY	Não vai fazer eu perder tempo, não?

VISKY	Quem te faz perder tempo é esse daí. Pronto, falei. 

ANTHONY	Ô bicha, você ainda vai levar porrada, hein?

VISKY	Hunf. 

FANNY	Traz a menina, ô libélula. 

VISKY	Não gosto que me chame de libélula. 

FANNY	Se eu te chamar do que você merece, você nunca mais fala comigo. 

ANTHONY	(RISO). 

CAROLINA	Esquece esse sonho. 

ARLETE (ANGEL)	Mãe? 

CAROLINA	Eu não tenho condição, Arlete... Isso é perda de tempo, filha. 

ARLETE (ANGEL)	Mãe, por favor, ele pediu um minuto só, ele pediu um minuto só. 

VISKY	Venham de pressa. A absoluta está desvairada pra pousar os olhos em você. (RISOS). 

ARLETE (ANGEL)	Mãe... Mãe, mãe, vem. Vem. 

CAROLINA	Não me apressa.

ARLETE (ANGEL)	Vem, mãe. 

FANNY	(OFF) Um metro e setenta e oito?

FANNY	Altura é perfeita. 

CAROLINA	Meu marido é alto. Meu ex marido é alto. 

FANNY	Hum...

CAROLINA	Mas a Arlete ficou mais alta ainda. Desculpa, não me apresentei pra senhora. 

FANNY	Ah...

VISKY	A última a chamar a Fanny de senhora foi assassinada.

CAROLINA	Hum?

FANNY	Ah, não, não, não, não, não, só fala bobagem. Se ele não fosse bom no que faz, "né"? Muito prazer, de novo (RISOS). 

CAROLINA	(RISOS).

FANNY	Fanny Richard. Eu sou a dona da agência. 

CAROLINA	Carolina Gomes. Carolina Brito. 

FANNY	Ah. 

CAROLINA	Separei. Desculpa. 

FANNY	(RISOS). É, a menina tem perfil de modelo. 

ARLETE (ANGEL)	A senhor... Você acha?

FANNY	Acho. Eu já ajudei muitas como você a começar. Hoje elas desfilam pelo mundo, ganhando milhões. 

ANTHONY	De dólares. Eu sou testemunha. Anthony Mariano. 

CAROLINA	Como vai?

ANTHONY	Eu fui modelo internacional. Já "tô" no Brasil faz um tempinho. 

ARLETE (ANGEL)	Tudo bem?

ANTHONY	Tudo bem?

FANNY	(RISO) As modelos femininas ganham mais do que os homens. Dá uma andadinha, querida. 

ANTHONY	Ela tem potencial, hein?

FANNY	Precisa melhorar o andar, "né"?

VISKY	Disso, eu me encarrego. 

CAROLINA	Mas o tal do book, nós... Nós não temos condições...

ARLETE (ANGEL)	Mãe? 

CAROLINA	Nós não temos condições, minha filha. 

ARLETE (ANGEL)	Mãe?

FANNY	Não... Ca, Caro... Carolina... 

CAROLINA	Minha filha? Não temos condição. 

FANNY	Carolina... Eu fui modelo. Eu conheço o chamado das passarelas. Ah. "Tá" nos olhos da sua filha, é lindo. Eu tenho essa mania de ajudar. Eu patrocino o book. "Tá"? Depois você me paga. 

CAROLINA	Não, mas não é isso... É que eu... Eu, eu fico preocupada aí com o, com o ambiente, entende?

FANNY	Com o ambiente. Você tem razão. Vem cá. O ambiente, ele parece, parece fútil. Ele parece confuso e pouco família, "né"?

CAROLINA	É...

FANNY	Mas olha, senta aqui. Eu te asseguro que o trabalho aqui é sério, é respeitoso. E o sentido de família está presente. 

ANTHONY	Aliás, em tudo que a Fanny faz. Ela não gosta de falar, mas, ela tem uma ONG que cuida de três orfanatos. 

FANNY	Ah... (RISOS). É... 

CAROLINA	Ah é?

FANNY	É, eu capto patrocínio pela internet, aí compro roupa, compro comida e levo pras crianças. Eu gosto de ajudar. 

CAROLINA	Hum. 

FANNY	Eu não tive filhos, Carolina. Então, eu cuido dos filhos dos outros. E das modelos. Que as modelos são como se fossem minhas filhas. Me deixa realizar o sonho da sua filha?

CAROLINA	(REAC). É... "Tá" bom... Em você eu confio. 

FANNY	Ah (RISADA).

CROLINA	Em você, eu confio, Fanny. 

ARLETE (ANGEL)	(REAC). 

VISKY, ANTHONY	(RISOS).

CAROLINA	(REAC).

FANNY	Ah, mas você não vai se arrepender. Olha a alegria dela. Olha que felicidade. "Né"? Ô meu Deus. Que bonitinhas. 

ANTHONY	(RISOS).

ARLETE (ANGEL)	(RISOS). 

FANNY	Ah... (RISOS). Gente, mas olha, tem um problema.

CAROLINA	O que é que foi?

FANNY	Carolina, Arlete, é que no mundo da moda, as pessoas, algumas, costumam usar nomes artísticos, nomes diferentes, exóticos. Não que Arlete seja um nome feio... 

CAROLINA	Imagina, Arlete é lindo...

ARLETE (ANGEL)	Pode falar... Lá na escola todo mundo fala que é nome de pobre. 

CAROLINA	Que é isso, garota? Tua vó não era paupérrima, não. 

FANNY	Não, é que é um nome comum, só isso. E nós precisamos de um nome especial. 

ANTHONY	É, mais fácil de lembrar. 

FANNY	Um nome pra você usar, pra você existir no mundo da moda. Um nome, assim, que diga, que diga quem você é. E você... Você é um anjo. Hum... Angel. De agora em diante, o seu nome é Angel. 

VISKY	Angel...

CAROLINA	Minha filha. 

ANGEL	(RISOS).

CAROLINA	Que é que "tá" acontecendo?

HILDA	Não, nada. Eu... Eu atrasei um pouquinho o condomínio, impostos, eu aluguei o quarto, eu estico daqui, eu estico dali. Mas... (SUSPIRO).

CAROLINA	Quanto tempo "tá" atrasado, mãe?

HILDA	Mais de dois anos, o condomínio. 

GIOVANNA	Arlete. Você veio. Seja bem vinda. (BEIJO). 

GUILHERME	Ei, você. 

ARLETE (ANGEL)	Guilherme. 

GUILHERME	Achei que você não vinha.
