
APRESENTADORA	(Tevê) Na calada da noite, a reserva de Cari, localizada no estado do Amazonas é extinta sem consulta pública. 
NATALIE	Sobe aqui, isso. 

PAYALL	(GEME CONTRAÇÕES) 

NATALIE	Aqui, aqui. 

PAYALL	(GEME CONTRAÇÕES) A médica. (REAC) 

NATALIE	Pode deixar. 

PAYALL	(GEME CONTRAÇÕES - CONTINUA)

BEBÊ	(CHORO) 

PAYALL	(REAC)  

BEBÊ	(CHORO) 

PAYALL	(língua nativa 00:40:37:05) 

RAONI	(RISO)

BEBÊ	(CHORO) 

PAYALL	(RISOS) 

BEBÊ	(RESMUNGA) (CHORO) 

NATALIE	(CHORO)  	

ANDRÉ	O meu irmão é médico, sabia? Depois dele passar uns três meses no plantão no Pronto Socorro, ele se acostumou com todas as barbaridades que ele viu. 

CLARA	(REAC)

ANDRÉ	Então assim, se hoje aparece um paciente lá...

CLARA	(REAC) 

ANDRÉ	Com uma faca enfiada na cabeça, ele lamenta, mas não se emociona. 

CLARA	(REAC) E? 

ANDRÉ	Clarinha, e que com o tempo você também se acostuma, tá? (BEIJO) 

CLARA	(REAC) 

ANDRÉ	Arrasa, arrasa. 

VERÔNICA	Muito obrigada, Meritíssimo.

MERITÍSSIMO	Isso não é um favor, um assunto dessa gravidade não pode ser objeto de um mero decreto presidencial. Eu acho que o congresso deve ser ouvido. 

VERÔNICA	Eu também acho.  

MERITÍSSIMO	Mas a doutora sabe que essa liminar não vai durar muito. 

VERÔNICA	É o tempo suficiente. Muito obrigada mais uma vez. 

JAIME	(off) Eu soube que você esteve hoje (on) conversando com o Deputado Wiliam Corsoi. 

VERÔNICA	O senhor como sempre, muito bem informado. 

JAIME	Pode apostar que sim. E por acaso vocês conversaram alguma coisa sobre o caso do meu irmão? 

VERÔNICA	Conversamos, conversamos sim. O caso do seu irmão, é mais simples do que o senhor imagina. 

JAIME	Você acha mesmo? 

VERÔNICA	E o mais importante, o Wiliam sabe que ele é inocente. 

JAIME	Ele disse isso? 

VERÔNICA	Com todas as letras. Não vai ser difícil conseguir o habeas corpus. 

JAIME	Eu fico inteiramente grato. 

VERÔNICA	Ah, e tem mais uma coisa, o Deputado disse que o verdadeiro criminoso está a um passo de ser preso, parece que surgiram novas provas. 

JAIME	Provas, que provas? 

VERÔNICA	Se entrega, Senador, deixa o pobre do seu irmão voltar "pra" (para) casa. 

ÍCARO	Aqui oh. Depois eu cobro a minha parte viu.  

LUIZA	Eu estou achando que vai ser o melhor negócio da tua vida. 

ÍCARO	É? 

LUIZA	É. 

ÍCARO	Que bom! (RISO) E aí, estamos pronto? Vamos nessa? 

PONTOCOM, ANDRÉ 	(VOZERIO)

PONTOCOM	Ham, você não aguentou uma rodinha de farra...

FALCÃO	(VOZERIO)

PONTOCOM	Ah, para. 

ANDRÉ	Vamos bora, vai. 
PONTOCOM E ANDRÉ	(VOZERIO)

CLARA	Falcão. 

FALCÃO	Hum? 

CLARA	Avisa as meninas que eu vou embora. Eu estou muito cansada. 

FALCÃO	Sério? E eu pensei que a gente ia dançar um forró. 

ANDRÉ	Vem cá, você já jogou “purrinha”?

PONTOCOM	Que “purrinha”? Eu não tenho tempo "pra" (para) “purrinha”.

ANDRÉ	Claro, você só fica na internet. 

PONTOCOM	(RISOS) 

ANDRÉ	No computador, no computador, no computador. 

PONTOCOM	"Pera aí" (espera aí), tu não pode... 

FALCÃO	A Clara foi embora.     

ANDRÉ	Oi? 

FALCÃO	Foi. 

ANDRÉ	O que é isso, como assim? 

FALCÃO	Estava cansada, foi-se embora. 

PONTOCOM	Assim, quem tá cansado sou eu, né? 

ANDRÉ	Palhaçada.  

NATALIE	Não, eu ainda tenho que passar em Cari. 

AMIR	(telefone) Eu te vejo em São Paulo então? 

NATALIE	Sim. 

AMIR	(telefone) Tá. Se cuida, Nati. 

NATALIE	Você também. 

MIGUEL	Aceita? 

NATALIE	Obrigada.  

MIGUEL	Eu posso? 

NATALIE	Por favor. 

MIGUEL	Deu tudo certo com a Payall? 

NATALIE	É, que bom que você apareceu. 

MIGUEL	Você tem noção do que você estava fazendo ali? 

NATALIE	Eu estava fazendo uma matéria. Eu não sei mais se era sobre as centenas de garimpos, se era sobre as toneladas de mercúrio contaminando os rios, ou se era sobre o Massacre dos Uirã. 

MIGUEL	Escuta, segue o meu conselho, essa terra é muito hostil...

GREGORY	Oh, oh. 

MIGUEL	Vai embora de Cari. 

GREGORY	Eu acabei de ouvir no rádio. 

RAONI	(Língua nativa – traduz)

GREGORY	A reserva tá protegida. 

ÍNDIOS	(COMEMORAM) 

NATALIE	O quê que foi?

ÍNDIOS	(COMEMORAM) 

GREGORY	Acabou de sair a liminar, que suspende a extinção da reserva. 

NATALIE	 Ah! (RISO) 

GREGORY	Revogaram a decreto presidencial! 

NATALIE	(RISO)

GREGORY	Derrubaram o decreto! 

ÍNDIOS	(COMEMORAM) 

NATALIE	(RISO) 

GREGORY	 (Burburinho – comemora com os índios)

NATALIE	(RISO)

RAONI	(RISO)  

ANDRÉ	Oiê! (BOCEJO) Eu vim te resgatar. Já tá de dia? 

CLARA	Violência, mercúrio e prostituição infantil, os males do garimpo ilegal. As meninas fazem parte da nossa causa. 

ANDRÉ	Ham? 

CLARA	Eu vou salvar elas. E você vai comigo. 

LUIZA	(RISO) Hmm. 

ÍCARO	Você viu quantas? 

LUIZA	O que? 

ÍCARO	Olha lá. 

LUIZA	É “ra”... 

ÍCARO	Seu presente. Psilocybin, Laís Lobo.  (BEIJO) 

AMIR	Eu conversei com a Nati, ela tá bem. 

VERÔNICA	Que bom. 

AMIR	E você? 

VERÔNICA	Eu perdi o voo. Na verdade eu, eu nem sei o que eu estou fazendo aqui. 

AMIR	Vê. 

VERÔNICA	Eu cansei, eu cansei de fingir que, que eu não me importo, eu cansei de fingir que eu não quero.  

AMIR	Eu também. Eu vou contar tudo "pra" (para) Nati. 

VERÔNICA	(REAC) 

NATALIE	(off) O quê que foi? O quê que tá acontecendo? Você tá estranha comigo já faz um tempo. 

VERÔNICA	(Off) Não é com você não. Nada com você, vai passar. 
	
VERÔNICA	(REAC) 

NATALIE	Eu estou aqui, tá, se precisar. 

AMIR	(off) O quê É que foi? 

VERÔNICA	(off) Desculpa, eu te acordei? 

AMIR 	(off) São quatro da manhã. 

VERÔNICA	Eu preciso ir embora, eu tenho audiência de guarda, do filho da Luiza em São Paulo. É, eu preciso me preparar. 

AMIR	(REAC) Mas você não ia "pra" (para) Cari? 

VERÔNICA	Não, eu vou "pra" (para) Cari, mas é que antes eu tenho que ir "pra" (para) São Paulo. 

AMIR	Hum. Eu vou te levar no aeroporto. 

VERÔNICA	Não precisa não, volta "pra" (para) cama. 

AMIR	Por quê? 

VERÔNICA	Amir, o que a gente sente um pelo outro é de verdade, só que tá errado. 

AMIR	Verônica, o que a gente conversou há algumas horas não valeu de nada? 

VERÔNICA	Eu não posso ficar entre você e a Nati, tá errado. 

AMIR	Verônica, dizer que a, a terra redonda, já foi errado. O que é certo e errado muda o tempo todo, mas amor não, o amor nunca foi um erro. 

VERÔNICA	É um erro, enquanto você estiver casado com a minha amiga. 

AMIR	Mas eu quero ficar com você. 

VERÔNICA	É impossível. 

AMIR	(REAC) Você não quer que eu me separe da Nati, é isso? 

VERÔNICA	Eu quero que a gente pare de sentir o que a gente tá sentindo um pelo outro. 

AMIR	Mas eu vou me separar da Nati. 

VERÔNICA	E eu de você. Você sabe quando um triangulo se desfaz... É quando uma das pontas solta. Tchau.
