CHARACTER	Dialogue: CASTILIAN
IRENE	 -Sí.
	
MADRE	-Voy a llamar a la policía.  

IRENE	 Un espíritu.
	
MADRE	-¿Qué?

LUCÍA	Sí, un fantasma. Yo no lo he visto, pero Vero sí.
	
MADRE	-¿Habéis estado viendo películas de miedo otra vez?  

IRENE	 Un poco.
	
LUCÍA	Tranquila, mamá, que la Vero nos protege del espíritu.
	
MADRE	Venga, vamos a recoger todo y a la habitación. Y tú a tu cuarto.
	
VERÓNICA	-Mamá, pero…

MADRE	 ¡Ni pero ni pera! ¡A tu cuarto!

CHARACTER	Dialogue: CASTILIAN
MADRE	¿Qué ha pasado?
	
MADRE	-Dime.  

VERÓNICA	 -Nada.
	
MADRE	Tus hermanas son muy pequeñas y tienen mucha  imaginación. No les puedes meter esas ideas raras en la cabeza  porque luego les cuesta dormir.
	
VERÓNICA		¿Tú cómo sabes si les cuesta o no les cuesta? Tú  nunca estás en casa, no sabes lo que pasa aquí.
	
MADRE	¿Y qué es lo que pasa aquí?
	
VERÓNICA 	-Quiere hacernos daño.  

MADRE	 Pero ¿quién?
	
VERÓNICA	¡No lo sé! Lo he llamado yo, mamá, con la ouija.
	
MADRE	¿Has estado jugando a la ouija con tus hermanas?
	
VERÓNICA	-¡Con mis hermanas no! Con Rosa.

MADRE	Pero... Pero ¿por qué juegas con esas cosas tan  macabras?
	
VERÓNICA	Quería hablar con papá. Ya sé que a ti te da igual. Tienes sus fotos metidas en una caja para no verlas.
	
MADRE	¡No digas eso!
	
VERÓNICA	-Yo solo quería hablar con él.   -¡Basta ya!

MADRE	Estás leyendo demasiado esas cosas y te están afectando mucho.
	
VERÓNICA	Es la verdad.
	
MADRE		Vero, necesito que crezcas. Necesito poder contar  contigo. Porque estoy sola.
	
VERÓNICA	Yo sí que estoy sola.
	
MADRE	No me lo estás poniendo nada fácil. Estoy muy  cansada.
	
	Mañana seguimos hablando.
	
CANCIÓN	Nueve, ocho, siete, seis, cinco, cuatro, tres, dos, uno!
	
LUCÍA E IRENE	¡Vero, venga, levántate!
	
IRENE	-¡Despierta! ¡Vamos! 

LUCÍA	 ¡Vamos!
	
LUCÍA	-¡Venga!  

IRENE	 ¡Despierta! ¡Vamos!
	
LUCÍA	¡Vamos!
	
VERÓNICA	Iros de aquí, dejadme dormir.
	
LUCÍA	-Tenemos hambre.  

IRENE	 ¡Venga va!
	
IRENE	Que hay muchas cosas que hacer.
	
LUCÍA	Tenemos hambre.

IRENE	Tenemos hambre.
	
VERÓNICA	-¡Ah! Pero ¿qué haces?  

LUCÍA	-¡Ah! Pero ¿qué haces?  

IRENE	Tenemos hambre.
	
VERÓNICA	Iros, dejadme en paz.
	
IRENE	Venga, levántate.  

LUCÍA	¡Vamos!
	
IRENE	¿Quieres jugar a un juego? Te va a gustar. Dame el brazo.
	
VERÓNICA	¿Qué dices? ¿Qué haces? ¡Para! ¡Para, para! ¡Para! ¡Mamá! ¡Mamá! ¡Ayúdame, mamá! ¡Ayúdame, mamá! ¡Mamá!  ¡Mamá!
	
LUCÍA	¡Mamá, mamá!
	
VERÓNICA	¡Mamá!
	
VERÓNICA	¡Mamá, mamá! ¡Dejadme en paz! ¡Mamá! ¡Mamá! ¡Mamá, ayúdame!	Mamá. Ayúdame, mamá. Mamá.

LUCÍA	-No te entiendo nada.

VERÓNICA	 Mamá.
	
MADRE	Necesito que crezcas. ¡Mamá! ¡Mamá! ¡Mamá! ¡Mamá ¡Mamá!
	
Insert	SÁBADO 14 DE JUNIO DE 1991 . 10:40 A.M.
	
VERÓNICA	-¿Habéis hecho el desayuno?  

IRENE	-Espera a que termine “Cajón desastre”.
	
VERÓNICA	Siempre igual, me tenéis harta.
	
IRENE	Espera.
	
VERÓNICA 	¿Qué hace este cuento aquí, si no sabes leer?
	
NENE	Ha venido papá a leérmelo.
	
VERÓNICA	¿Cómo?
	
NENE	Ha venido papá a leérmelo.
	
VERÓNICA	-¿Papá?  

NENE	 Esta noche viene otra vez.
	
VERÓNICA	¿Qué más te ha dicho?
	
NENE	Que me va a llevar donde está él.
	
VERÓNICA	Antoñito, escúchame. Escúchame. Si vuelve a venir, quiero que no le escuches, ¿vale? Que te tapes los oídos. ¿Cómo te tapas los oídos? Muy bien, así. Y que me llames a mí, ¿vale? Que grites muy fuerte mi nombre, ¿vale? ¡Niños, nos vamos!
	
LUCÍA	-Hola, mamá. 

MADRE	 Hola.
	
MADRE	-¿Qué hacéis aquí a estas horas?  

VERÓNICA	-Mamá, tengo que ir a casa de Rosa.
	
MADRE	-¿Ahora?

VERÓNICA	 Es por una cosa de deberes. Pueden quedarse aquí, ¿no?
	
MADRE	-Sí. Pero ¿vienes pronto?  

VERÓNICA	 Sí. Tienen razón. Es usted una vieja loca.
	
SOR NARCISA	-¿Entonces por qué has vuelto?  

VERÓNICA	Porque usted también puede ver las sombras  como yo.
	
SOR NARCISA	A lo mejor estamos igual de locas las dos. Hace mucho tiempo que intenté dejar de verlas. Esto me lo hice yo, ¿sabes? Pero entonces no sabía que no hacen falta los ojos  para ver.
	
VERÓNICA	No sé cómo protegerme de ellos. Los amuletos no  funcionan, no les asustan las cruces.
	
SOR NARCISA	¿La cruz? Dios no tiene nada que ver. No le metas en esto.
	
VERÓNICA	¿Cómo puedo hacer que se vayan?
	
SOR NARCISA	De la misma manera que entraron. Tienen que volver a cruzar la puerta que tú abriste. Tienes que cerrar esa puerta. Y luego  tendrás que destruirla.
	
VERÓNICA	-¿Tengo que destruir la ouija?  

SOR NARCISA	-¡La puerta! Hay que hacer bien lo que se hizo  mal.
	
VERÓNICA	¿Qué pasa?
	
MONJA	Hermana, ¿otra vez? No sé cómo se apaña para bajar  hasta aquí ¿Y tú qué haces aquí el sábado?
	
VERÓNICA	La hermana me está ayudando con un trabajo.
	
MONJA	Está ella para ayudar, sí. Por aquí, hermana.
	
SOR NARCISA	La respuesta está en los libros.
	
MONJA	Mira qué buen consejo te da la hermana.
	
SOR NARCISA	Hay que hacer bien lo que se hizo mal.
	
MONJA	Cuidado, hermana.
	
VERÓNICA	Hay que hacer bien lo que se hizo mal. Hay que hacer bien lo que se hizo mal. Hay que hacer bien lo que se hizo mal. Hay que hacer bien lo que se hizo mal. “Nunca se debe dar por finalizada una sesión sin…”. ¿Sin qué? Hay que hacer bien lo que se hizo mal, hay que hacer bien lo que se hizo mal. Hay que hacer bien lo que se hizo mal. Hay que hacer bien... Hay que hacer bien lo que se hizo mal. Hay que hacer bien lo que se hizo mal.
	
VERÓNICA	”Nunca se debe dar por finalizada una sesión sin  despedirse. Aquello de lo que no te despides se queda contigo. Si no acaba con éxito, inténtalo nuevamente en otra ocasión”. Aquello de lo que no te despides se queda contigo.
	
SOR NARCISA	Hay que hacer bien lo que se hizo mal.
	
VERÓNICA	Hay que hacer bien lo que se hizo mal.
	
SOR NARCISA	La respuesta está en los libros.
	
VERÓNICA	Hay que hacer bien lo que se hizo mal. Aquello de lo que no te despides se queda contigo.
	
SOR NARCISA	Hay que hacer bien lo que se hizo mal.
	
VERÓNICA	Aquello de lo que no te despides se queda contigo.
	
VERÓNICA	Hay que hacer bien lo que se hizo mal. Hay que hacer bien lo que se hizo mal. Aquello de lo que no te despides se queda contigo. Hay que hacer bien lo que se hizo mal.
	
CHICO	Hola.
	
ROSA	Al final has venido.
	
VERÓNICA	Rosa, ya sé lo que hay que hacer.
	
ROS	-¿Por qué has traído eso?  

VERÓNICA	-Tenemos que volver a hacerlo.
	
ROSA	-Pero ¿qué estás diciendo, Verónica?  

VERÓNICA	 No nos despedimos. Y de lo que no te despides, se  queda contigo.
	
ROSA	-Pero ¿de qué estás hablando?  

VERÓNICA	-Lo pone aquí.
	
ROSA	-Deja de decir tonterías.  

VERÓNICA	Rosa, tenemos que volver a hacerlo.
	
ROSA	-Verónica.  

VERÓNICA	 Venga, vamos a tu cuarto. ¿Y Diana?
	
ROSA	Verónica, por favor.   

VERÓNICA	 ¿Y Diana? ¿Dónde está Diana? ¡Diana!
	
VERÓNICA	Vamos a tu cuarto. ¡Diana! ¡Diana!
	
VERÓNICA	¿Habéis visto a Diana? ¿Habéis visto a Diana?
	
ROSA	-¡Veronica!

VERÓNICA	Diana!
	
VERÓNICA	¿Habéis visto a Diana? ¿Habéis visto a Diana?
	
CHICA EN EL BAÑO	Pero, tía, ¿de qué vas?
	
VERÓNICA	¡Diana! ¿No has visto a Diana?
	
AMIGA	No, ¿quién es Diana?
	
VERÓNICA	¡Diana!
	
VERÓNICA	-¡Diana!  

AMIGA	 ¿De qué vas?
	
VERÓNICA	¡ Diana!
	
VERÓNICA	¿Dónde está Diana? ¿Sabes dónde está? ¡Diana! ¡Diana! Diana.
 	Diana, ven aquí.
	
DIANA 	-¿Qué estás haciendo?  

VERÓNICA	-Tenemos que hacerlo.
	
DIANA	-¿El qué?  

VERÓNICA	 Tenemos que estar las tres juntas.
	
DIANA	-Que me sueltes, coño. ¡Estás loca!  

VERÓNICA	 ¡Déjame en paz! ¡Vamos, Diana!
	
VERÓNICA	-¡Venga, Diana, vamos!   

DIANA	 ¡Que me sueltes!
	
CHICO	-A la puta calle.  

VERÓNICA		 ¡Vamos! ¡Diana! ¡Rosa! ¡Rosa! ¡Rosa! Rosa, tenemos que volver a hacerlo.
	
ROSA	-Verónica, no te acuerdas, ¿verdad?  

VERÓNICA	 -¿De qué?
	
ROSA	El otro día me dijiste algo al oído.
	
VERÓNICA	¿Qué te dije? ¡Dímelo, Rosa!
	
ROSA	Me dijiste que ibas a morir hoy.
	
VERÓNICA	-¿Qué?  

ROSA	 Vero, lo siento.
	
VERÓNICA	-¿Qué has dicho?  

ROSA	 Estábamos asustadas, no sa… ¿Qué es eso? ¿Te has mordido tú?
	
VERÓNICA	No, Rosa, no he sido yo.
	
CHICO	Venga, vamos.
	
VERÓNICA	¡Rosa! ¡Rosa! ¡Rosa! Mamá.
	
CLIENTE DEL BAR	Perdona, bonita, pero no eres hija de cristalero.
	
LUCÍA	¿Nos vamos ya a casa?
	
VERÓNICA	Espera...
	
VERÓNICA	Mamá...
	
MADRE	Pero ¿dónde has estado todo el día? A ver, llévate a los niños, no los puedo tener aquí siempre. Dame los táper para los niños. ¡Voy!
	
MADRE	Esto está sucio.
	
MADRE	Siempre está sucio.
	
VERÓNICA	Mamá... ¡Mamá!
	
MADRE	¿Qué?
	
VERÓNICA	Mamá, cierra el bar. Ahora, vámonos todos a algún  sitio.
	
MADRE	Pero ¿qué estás diciendo?
	
VERÓNICA	Mamá, cuando tú estás en casa no viene.
	
MADRE	¿Otra vez con eso? A ver, a mí me encantaría cerrar y  cenar con vosotros, pero no puede ser.
	
CLIENTE	-¡Ana!  

MADRE	¡Voy! A ver, mira. ¿Por qué no nos vamos al Retiro  mañana a pasar el día como hacíamos antes? ¿Qué te parece? Hago unos bocadillos y comemos allí. ¿Quieres?
	
CAMARERA	¡Ana, los tápers!
	
MADRE	Cógelos tú.
	
VERÓNICA	Niños, nos vamos.
	
LUCÍA	Por fin.

VERÓNICA	Vamos.  

NENE	 ¿Nos vamos a casa?
	
VERÓNICA	Nos vamos, mi amor.
	
MADRE	¡Verónica! ¡Veronica!
	
CLIENTES	¡Gol!
	
LOCUTOR	¡Gol! Ha marcado Pedro Riesco. Después del error  de Ribera, el primer gol del partido para el Rayo Vallecano.
	
SOR NARCISA	Hay que hacer bien lo que se hizo mal.
	
VERÓNICA	Vamos a jugar a un juego.  

LUCÍA	 ¿A qué?
	
VERÓNICA	Vamos a jugar a un juego en el que tenéis que hacer lo que yo os diga.
	
IRENE	Pues vaya caca de juego.
	
VERÓNICA	Coged las velas, las que hay en el primer cajón. Antoñito, pinta este dibujo en las paredes del pasillo.

NENE	-Vale.  

VERÓNICA	 Venga.
	
NENE	La pared la pinto yo.
	
LUCÍA		Mamá te va a castigar sin salir hasta que tengas cuarenta años por lo menos.
	
VERÓNICA	Venga, id moviendo los muebles. Necesitamos tener sitio.

CHARACTER	Dialogue: CASTILIAN
Insert	SÁBADO 14 DE JUNIO DE 1991 23:45. SÍMBOLOS DE PROTECCIÓN VIKINGOS. SÍMBOLOS DE INVOCACIÓN
	
VERÓNICA	Tú no, tenemos que ser tres. Siéntate ahí. Vosotras, cerrad los ojos. ¿Hay alguien aquí con nosotras? ¿Hay alguien aquí con nosotras?
	
LUCÍA	¿Quién hay con nosotras?
	
VERÓNICA	¿Estás aquí?
	
LUCÍA	Sí.
	
VERÓNICA	Nos hemos reunido aquí para despedirte. Tienes que irte de aquí.
	
LUCÍA	No.
	
VERÓNICA	Te lo ordenamos. Repetidlo niñas.
	
LUCÍA E IRENE	Te lo ordenamos.
	
VERÓNICA	Esta no es tu casa. ¡Fuera de aquí! ¡Esta no es tu casa! ¡Fuera de aquí! ¡Esta no es tu casa! “Para finalizar correctamente la sesión y despedirse, es conveniente que los participantes entonen un mantra o una canción suave”.
	
VERÓNICA	-Eso tampoco lo hicimos.  

LUCÍA	 ¿Qué es un mantra?
	
VERÓNICA	No lo sé. Pero dice que también vale una canción suave.
	
IRENE	¿Cuál?
	
VERÓNICA	Una que nos sepamos las tres.
	
NENE	Centella.
	
VERÓNICA	Centella me da tiempo para disfrutar. Centella, Centella. Centella me da tiempo para disfrutar…

LUCÍA	Centella me da tiempo para disfrutar. Centella, Centella. Centella me da tiempo para disfrutar…

IRENE	Centella me da tiempo para disfrutar. Centella, Centella. Centella me da tiempo para disfrutar…
	
LUCÍA	¿Qué pasa?
	
VERÓNICA	Centella me da tiempo para disfrutar. Centella, Centella. Centella me da tiempo para disfrutar… Centella

LUCÍA	Centella me da tiempo para disfrutar. Centella, Centella. Centella me da tiempo para disfrutar… Centella

IRENE	Centella me da tiempo para disfrutar. Centella, Centella. Centella me da tiempo para disfrutar… Centella
	
VERÓNICA	Chicos, seguid. No podemos parar.
	
VERÓNICA	Tiempo de vivir...

LUCÍA	Tiempo de vivir...

IRENE	Tiempo de vivir...
	
VERÓNICA	Centella. Centella me da tiempo para disfrutar. Centella, Centella. Tiempo para mí, tiempo de vivir. Centella me da tiempo para disfrutar. Centella, Centella, tiempo para mí.

LUCÍA	Centella. Centella me da tiempo para disfrutar. Centella, Centella. Tiempo para mí, tiempo de vivir. Centella me da tiempo para disfrutar. Centella, Centella, tiempo para mí.

IRENE	Centella. Centella me da tiempo para disfrutar. Centella, Centella. Tiempo para mí, tiempo de vivir. Centella me da tiempo para disfrutar. Centella, Centella, tiempo para mí.
	
VERÓNICA	Vamos, no os paréis, no os paréis. V
	
VERÓNICA 	Centella me da tiempo para disfrutar

LUCÍA	Centella me da tiempo para disfrutar. Centella, Centella.

LUCÍA	Qué asco, huele mal.
	
VERÓNICA	... tiempo para disfrutar. Centella…

LUCÍA 	... tiempo para disfrutar. Centella…

IRENE	... tiempo para disfrutar. Centella…
	
VERÓNICA	Lucía, no pares.
	
VERÓNICA	Centella me da tiempo para disfrutar. Centella, Centella

LUCÍA 	Centella me da tiempo para disfrutar. Centella, Centella

IRENE	Centella me da tiempo para disfrutar. Centella, Centella.
	
VERÓNICA	¡Seguid cantando! ¡Seguid cantando!
	
VERÓNICA	¡No paréis de cantar!	
	
VERÓNICA	Esperadme aquí.
	
IRENE	No te vayas. Está aquí.
	
POLICÍA 	Policía.

VERÓNICA	 Ayuda. Ayuda, por favor.
	
POLICÍA	Intenta tranquilizarte para que pueda entenderte.
	
POLICÍA 	-Qué está pasando?

VERÓNICA	 Por favor, ayúdennos. ¡Ha entrado! ¡Ha entrado!
	
POLICÍA 	¿Hay alguien dentro de la casa?
	
POLICÍA 	Vamos a mandar a alguien, necesito que me des tu dirección.
	
VERÓNICA	Calle Gerardo Núñez, número ocho. Antoñito, quieto, ¿qué haces ¡Antoñito! ¡No! ¡Está en el baño! ¡Antoñito, Antoñito! ¡Antoñito! ¡Antoñito! ¡Antoñito! ¡Antoñito! ¡Antoñito! Niñas, no os mováis, está en el baño. ¡Antoñito! ¡Antoñito! ¡Antoñito! ¿Antoñito? ¿Antoñito? Nene, ¿estás bien? ¿Estás bien? Vámonos. ¡Niñas! ¡Niñas Niñas, ¿dónde estáis? ¡Irene! Irene, ¿dónde está tu hermana? ¡Irene! ¡Irene! ¡Lucía, vámonos! ¡Vámonos! ¡Corred, corred! ¡Corred! ¡Vamos, corred!
	
CLIENTE DEL BAR	Paco, la pasma. Pero ¿qué pasa?
	
VERÓNICA	¡Niñas, corred más rápido, vamos! ¡Daos prisa! ¡Vamos! ¡Corred, chicas, corred! ¡Abrid la puerta!
	
LUCÍA	-¡Vero!

IRENE	-¡Vero! 
	
IRENE	¿Dónde está Antoñito?
	
Insert	DOMINGO 15 DE JUNIO DE 1991 01:50 A.M.
	
LUCÍA 	¡Mamá, mamá!

IRENE	¡Mamá, mamá!
	
MADRE	¿Qué ha pasado? ¿Qué ha pasado? ¿Dónde está Antoñito? ¿Dónde está Vero? ¿Dónde está Vero?
	
VERÓNICA	¡Antoñito! ¿Antoñito? ¿Antoñito?
	
NENE	Vero, Vero, Vero,
	
NENE	Vero, Vero…

VERÓNICA	 Antoñito, ven.
	
NENE	Vero, Vero, Vero, Vero, Vero…

VERÓNICA	 Antoñito, ven.
	
NENE	-Vero, Vero, Vero, Vero, Vero…

VERÓNICA	 Antoñito, soy yo.
	
NENE	No, no, no, no, no, no, no, no…
	
VERÓNICA	Si vuelve a venir, quiero que no le escuches, ¿vale? Que te tapes los oídos. Y que me llames a mí, ¿vale? Y que grites muy fuerte mi nombre.
	
NENE	Vero, Vero, Vero, Vero, Vero, Vero, Vero, Vero, Vero, Vero, Vero, Vero…
	
SOR NARCISA	Tú tienes hermanos, ¿verdad? Pues tendrás que protegerlos.
	
LUCÍA	Tranquila, mamá, que la Vero nos protege del espíritu.
	
MADRE	Estás leyendo demasiado esas cosas y te están afectando mucho.
	
IRENE	¡Vero, Vero!
	
LUCÍA	¿Qué haces?
	
VERÓNICA	No podéis verlo, pero está aquí.
	
LUCÍA	¿Por qué me estabas ahogando?
	
VERÓNICA	Yo no te estaba ahogando, te estaba protegiendo.
	
VERÓNICA	-¿Has tocado el grifo?

NENE	 Yo no he hecho nada.
	
VERÓNICA	¡Antoñito! Nene, siento mucho haberte puesto el agua tan caliente.
	
ROSA	¿Lo has movido tú? ¿Te has mordido tú?
	
NENE	No has sido tú.
	
SOR NARCISA	Alguien respondió a tu llamada. Y ahora camina contigo.
	
VERÓNICA	Y si no es mi padre, ¿quién es? Soy yo. Soy yo. Soy yo. Soy yo.
	
NENE	Vero, Vero, Vero, Vero…
	
POLICÍA		Ven, ven, chiquitín. Ven aquí, ven aquí. Tranquilo. Ven aquí, ven conmigo. Anda, ahí.
	
NENE	-¿Dónde está Vero?

POLICÍA	 ¿Vero? Vero está muy bien.
	
POLICÍA DOS	Pellicer, que suban los sanitarios. Repito, que suban los sanitarios.
	
LUCÍA	¡Vero, Vero…!
	
MADRE	Verónica… Cariño.
	
POLICÍA POR RADIO	Inspector.
	
INSPECTOR	Adelante.
	
POLICÍA POR RADIO	La niña acaba de morir.
	
Insert	DOMINGO 15 DE JUNIO DE 1991 02:00 A.M. EL 15 DE JUNIO DE 1991, EL INSPECTOR JOSÉ RAMÓN ROMERO ACUDIÓ AL DOMICILIO SITUADO EN LA CALL GERARDO NÚÑEZ 8 DE MADRID, RESPONDIENDO A UNA LLAMADA DEL SERVICIO DE EMERGENCIAS. EN SU DECLARACIÓN, LOS FAMILIARES DE LA NIÑA EXPLICARON QUE A PARTIR DE HABER ASISTIDO A UNA SESIÓN DEL JUEGO DE LA OUIJA, LA JOVEN HABÍA EMPEZADO A MANIFESTAR UNA SERIE DE ESTRAÑOS SÍNTOMAS Y QUE FENÓMENOS PARANORMALES TENÍAN LUGAR EN SU DOMICILIO. DOS DE LOS AJENTES QUE INSPECCIONARON EL INMUEBLE TUVIERON QUE ABANDONARLO SÚBITAMENTE TRAS SUFRIR FUERTES NAÚSEAS, MAREOS, TEMBLORES Y PÉRDIDA DE VISIÓN Y PERMANECIERON 2 SEMANAS AUSENTES DEL SERVICIO. AL MES SIGUIENTE DE LOS ACONTECIMIENTOS, EL INSPECTOR ROMERO SOLICITÓ SU TRASLADO A OTRO DISTRITO. EN SU INFORME, EL INSPECTOR ROMERO TESTIFICA LA EXISTENCIA DE FENÓMENOS QUE CALIFICA LITERALMENTE COMO "DE TODO PUNTO INEXPLICABLES". SE TRATA DEL ÚNICO INFORME POLICIAL EN ESPAÑA EN EL QUE UN OFICIAL CERTIFICA HABER SIDO TESTIGO DE ACTIVIDAD PARANORMAL.


30/10/2017

