LA ESCLAVA BLANCA CAP20
16/09/2016

(BOUCLE 1 - 00:00:57:12)
		01

AMBIANCE	(ambiance rue)
VICTORIA	Pas qu'une fois! Mais seulement si je suis certaine que c'est lui qui souffrira!

MILAGRO	(h_/) Morales.

MORALES	Madame la Marquise.

VICTORIA	Bonjour Morales.

MORALES	Je savais que je te trouverais en train de commérer, espèce de paresseuse! J'en ai plus qu'assez de te chercher partout tous les matins! (h_/) Les autres esclaves sont au travail depuis longtemps, alors va les rejoindre!

VICTORIA	Arrêtez!

MILAGRO	Aïe!

VICTORIA	Je n'vous permets pas de traiter mon peuple ainsi!

MORALES	Votre peuple, madame la Marquise?

VICTORIA	Oui! Mes esclaves. On ne traite pas les gens de cette façon sur mes terres.

MORALES	Je vous présente mes excuses, madame la Marquise.

VICTORIA	Ce n'est rien. Mais je suis votre patronne maintenant. Et à partir de ce jour, je vous interdis de manquer de respect à qui que ce soit!

MORALES	D'accord mais elle est en retard à la plantation.

VICTORIA	Non. Je viens de lui donner une nouvelle fonction. Elle restera avec moi à la maison. Elle ne travaille plus dans les cultures. Est-ce que c'est clair?

MORALES	Oui, madame la marquise.

VICTORIA	Bien.

MORALES	Pardonnez-moi, madame la marquise.

(BOUCLE 27 - 00:30:29:01)
		27

INSERT	Honda__

FELIPE	(chuchote) Arrête. (racl.) Julio! Comment comptes-tu entreprendre ce voyage alors que tu n'as pas d'argent?

MIGUEL	Je trouverai une solution, ne vous en faites pas.

FELIPE	Mais pourquoi es-tu si pressé d'aller là-bas?

MIGUEL	Pour retrouver Victoria. Et empêcher son mariage. Je l'ai laissée seule, et Dieu sait ce qu'elle pense de mon évasion.

FELIPE	Ton évasion?

MIGUEL	Il faut que je la voie. Que je lui explique tout. Et que je l'aide à libérer sa famille!

FELIPE	D'accord, mais qui est Victoria?

MIGUEL	La seule femme que j'aime de toute mon âme. Je dois rentrer auprès d'elle.

CATALINA	Allons, Felipe, laisse-le! C'est sa vie et il en fait ce qu'il veut! Arrête un peu de vouloir sauver tout le monde et principalement les personnes qui ne veulent pas du tout que tu les sauves!

MIGUEL	J'ai bien compris que la demoiselle était incommodée par ma présence. Je ferais mieux de vous laisser.

FELIPE	Tu n'as pas confiance en moi, Julio? Après tout ce qui s'est passé? De quelle évasion est-ce que tu parles si ce n'est celle de la prison? Que t'est-il arrivé à Santa Marta? Raconte-le-moi et je pourrai peut-être t'aider.

MIGUEL	Je ne mérite pas votre aide.

FELIPE	Pourquoi dis-tu ça?

MIGUEL	Parce que je n'suis pas celui que vous croyez.

CATALINA	Ca je te l'avais dit, Felipe.

FELIPE	Attends, laisse-le parler!

(BOUCLE 28 - 00:31:49:14)
		28

NICOLAS	De quoi d'autre allons-nous avoir besoin?

DR ARTURO LOPEZ	Tu ferais bien de faire venir l'un de tes esclaves parce qu'on doit faire porter ça à Remedios.

NICOLAS	Va chercher Trinidad.

VICTORIA	Alors dans ce cas il devra toujours rester avec elle pour l'assister.

DR ARTURO LOPEZ	Ca me paraît judicieux.

VICTORIA	Et je veux que Milagro reste avec nous. (h_/) Ses breuvages ont été d'une grande aide pour soulager Remedios.

DR ARTURO LOPEZ	(h___/)

NICOLAS	On fait comme tu le souhaites.

(BOUCLE 29 - 00:32:21:10)
		29

MIGUEL	Je ne m'appelle pas Julio Vallejo mais Miguel. Et ce n'est pas tout. Je ne suis pas un homme libre. J'appartiens à une hacienda appellée l'Eden, près de Santa Marta.

CATALINA	Dont vous avez fui.

MIGUEL	Oui, avec l'aide de mon maître. Qui m'a sauvé d'une mort certaine.

CATALINA	Pourquoi?

MIGUEL	On m'a accusé d'avoir tué un blanc.

CATALINA	Et c'est vrai?

MIGUEL	Sincèrement, je n'en sais rien, mademoiselle. Tout ce que je peux vous dire c'est que c'était de la légitime défense. Ce jeune homme allait me tuer. Il m'a avoué avoir fait la même chose à l'une de mes amies, et à d'autres esclaves qui étaient sur le point d'obtenir leur liberté.

FELIPE	Comment ça?

MIGUEL	Beaucoup d'esclaves sont morts. Les victimes étaient toutes sur le point d'être affranchies selon la loi du ventre libre. L'une d'entre-elles était une soeur pour moi. (Nasal__/) Elle allait avoir dix-huit ans quand on l'a retrouvée pendue.

CATALINA	(h___/) Je reviens.

(BOUCLE 30 - 00:33:24:05)
		30

CANDELA	Comment est-ce que tu as gagné le droit de travailler dans la maison?

ESCLAVES FEMMES	("mmh" interrogatifs)

MILAGRO	J'ai bien servi la Marquise, qu'est-ce que tu crois?

CANDELA	Seulement la Marquise ou tu as servi son mari également?

MILAGRO	Qu'est-ce que tu sous-entends par là, espèce de commère?

CANDELA	Que Don Nicolas apprécie les filles de joie comme toi.

ESCLAVES FEMMES	(réacs choc)

MILAGRO	Fais attention à ce que tu dis, vipère! Tout le monde voit que tu es jalouse!

CANDELA	Qui serait jalouse de toi?

MILAGRO	Je te déconseille de me provoquer, parce que maintenant j'ai le pouvoir de décider et de dire au maître qui travaille correctement, et qui gaspille son temps à critiquer les autres.

ESCLAVES FEMMES	(brouhaha en arrière-plan)

NOHEMI	Mon amie, je suis vraiment heureuse pour toi. Tu vas beaucoup nous manquer. Et n'oublie pas, ramène-nous quelques morceaux de pain, ou mieux, un peu de rhum.

MILAGRO	(rire___) Je le ferai tous les jours.

NOHEMI	(petit rire)

(BOUCLE 31 - 00:34:23:20)
		31

TOMAS	Fais attention à toi là-bas, Milagro.

MILAGRO	De quoi eske tu parles, papa?

TOMAS	Ne te fais pas contaminer. Ne t'égares pas au point de te retrouver sur le mauvais chemin, comme l'a fait Victoria. Ne les laisse pas changer ce que tu es. Ne fais pas comme ta soeur. Je compte sur toi pour lui faire entendre raison. D'accord? Je voudrais qu'elle évite les ennuis. Cette colère restera vaine et elle la ronge depuis bien trop longtemps.

MILAGRO	(smack) La vie est étrange. Il a fallu que Rosita meure pour que je prenne sa place dans la maison.

TOMAS	Laisse Rosita reposer en paix. Ne pense pas à cela.

MILAGRO	Victoria n'est pas la seule à être rongée par la colère, papa.

(BOUCLE 32 - 00:35:33:00)
		32

CATALINA	C'était Antonio! Les soldats cherchent le fugitif et ils fouillent toutes les maisons. Je n'ose imaginer ce qui se passera quand ils le trouveront ici!

MIGUEL	Ne vous en faites pas, je vais m'en aller. Je n'ai absolument pas l'intention de vous attirer des problèmes. Vous avez tant fait pour moi.

FELIPE	Une seconde! De toute manière, nous ne sommes pas en sécurité. Ils sauront rapidement que c'est moi qui l'ai aidé à s'enfuir.

CATALINA	Qu'est-ce qu'on va faire, alors?

FELIPE	On part avec lui.

CATALINA	Je n'aurais pas dû poser la question.

FELIPE	Mais je n'peux pas rester ici les bras croisés maintenant que je sais que des gens subissent des horreurs à Santa Marta! Je veux savoir ce qui est vraiment arrivé! Je trouverai les coupables! Et on les arrêtera!

MIGUEL	Keskon attend, alors?

FELIPE	Il va falloir qu'on soit discrets. Il est inconcevable de voyager le long du fleuve, quant aux routes... eh bien disons qu'il vaudra mieux les éviter.

CATALINA	Quelle bonne idée, oui! Fuyons comme des voleurs sur des sentiers dangereux sous une chaleur écrasante!

FELIPE	Attends.

CATALINA	Dépêchez-vous ou je pars sans vous!

FELIPE	En route.

(BOUCLE 33 - 00:36:43:21)
		33

DR ARTURO LOPEZ	(h___\) Me regarde pas comme ça, toi. Si on t'a fait venir c'est pour m'aider, pas pour profiter du spectacle, alors secoue-toi un peu et soulève-la! Tu commences par ses pieds. Active-toi! Qu'est-ce que tu attends?

TRINIDAD	Permettez que je vous touche, mademoiselle?

REMEDIOS	(souffle__) Aaaaahh_________________

DR ARTURO LOPEZ	Je t'ai dit de les soulever, et tu les laisse retomber!

REMEDIOS	(h_/) (souffle__)

DR ARTURO LOPEZ	Lève-les, bon sang!

REMEDIOS	(souffle__) (h___/) (souffle) Aaaah_______ Pitié arrêtez, on dirait de la torture médiévale!

DR ARTURO LOPEZ	Allez!

REMEDIOS	Aaaahhhh____ (pleure___________)

DR ARTURO LOPEZ	Allez!

VICTORIA	Laissez-moi faire!

REMEDIOS	NON!

DR ARTURO LOPEZ	Tu peux reposer ses pieds!

REMEDIOS	(halète)

DR ARTURO LOPEZ	Madame, je préfèrerais que vous partiez parce que ce que je m'apprête à faire pourrait vous choquer.

VICTORIA	Remedios.

DR ARTURO LOPEZ	Sortez, s'il vous plaît.

MILAGRO	Allons-nous-en.

DR ARTURO LOPEZ	Allez, on y va. Viens m'aider. Lève.

REMEDIOS	(Hurlements et pleurs__________________________________________________________________________________________________________________________________________________________________________________________________________________________)

DR ARTURO LOPEZ	Lève! Allez, un tout petit peu de patience, c'est bientôt terminé! Aide-moi, espèce d'idiot! Soulève-la plus haut de ce côté! Allez, courage, c'est presque fini.

REMEDIOS	(h___/)

(BOUCLE 34 - 00:37:54:03)
		34

CATALINA	Je suis épuisée et complètement affamée.

FELIPE	Je suis d'accord, on devrait trouver un endroit où camper.

MIGUEL	Non non non non! Il vaut mieux qu'on continue pour arriver à temps.

FELIPE	On ne risque pas d'arriver à temps si ce cheval meurt en cours de route.

CATALINA	Et nous, tu y penses? Miguel, arrêtez donc de vous précipiter, et tâchez de réfléchir calmement. Si cette Victoria vous aime un tant soit peu, croyez-moi elle n'épousera personne d'autre. Parole de femme.

(BOUCLE 35 - 00:38:40:14)
		35

VICTORIA	Tu veux bien nous laisser seules? Je sais que tu n'veux pas m'voir, mais je n'ai pas l'intention d'abandonner. Je me traînerai à tes pieds aussi longtemps qu'il le faudra jusqu'à ce que tu me pardonnes.

REMEDIOS	Je peux te pardonner, mais je n'oublierai jamais que c'est ton désir de vengeance qui m'a pris la vie dont j'avais toujours rêvé. (h_/) Je n'pourrai plus fonder de famille.

VICTORIA	Je sais. mais ce n'était pas censé se passer comme ça!

REMEDIOS	Peut-être mais c'est arrivé de cette façon, et c'est bien ta faute! C'est ta main qui m'a fait ça, Victoria. Maintenant je ne pourrai jamais donner d'enfant à l'homme qui me choisira, alors personne ne va vouloir de moi! Je suis bonne à jeter! Et je n'ai jamais été digne d'embrasser une carrière religieuse, il ne me reste rien! Hormis une vie de solitude inutile!

VICTORIA	Non, ne dis pas ça.

REMEDIOS	(pleure__) (snif)

VICTORIA	On se tiendra compagnie l'une l'autre. C'est moi, ta famille, Remedios!

REMEDIOS	Ca n'me suffira pas.

VICTORIA	Et ça, ça ne changera jamais.

REMEDIOS	Ce n'est pas suffisant, Victoria! (h_/) (en pleurant) La seule chose que je veux maintenant, c'est guérir le plus vite possible pour m'en aller et ne plus jamais te voir! (sanglots)

VICTORIA	(h_/)

REMEDIOS	Et estime-toi heureuse que je n'dise pas à tout le monde qui tu es en réalité! (pleure____) (idem__________________________________________________)

VICTORIA	(h_\) (h___/) (h___\) (h___/) (h___\)

NOTE	FIN

VICTORIA	(h___/)
