PIRATE	THE GOLD IS OURS!								

PIRATE	ATTACK!
ARROG	IS THAT THE JOKE?! YOU’RE A SHAMAN, NOT A CLOWN!  WHAT DO WE DO NOW? 

SHAMAN	I DON’T KNOW!

ARROG	YOU SHOULD KNOW! IF YOU DON’T KNOW WHAT GOOD ARE YOU?

SHAMAN	THERE IS ONE TRUSTWORTHY TEST THOUGH! 

ARROG	FIND OUT WHAT HAPPENED AND REPORT BACK TO ME! 

ARROG	YOU HAVE FEW HOURS TILL EVENING! OTHERWISE YOU’LL BE A CLOWN FOR THE REST OF YOUR LIFE!

GERDA	WHERE IS KAI NOW, I WONDER?

ROLLAN	I THINK HE REALIZED HE WAS WRONG, AND CAME BACK.

ALFIDA	HAVE YOU THOUGHT IT OVER? ARE YOU SURE YOU DON’T WANT TO GO BACK AND SAY GOODBYE? 

KAI	YES, IT’S ALL BEEN DECIDED. SHE DOESN’T NEED ME, AND I DON’T NEED HER EITHER! NOW I’M FREE LIKE THE WIND!

ORM	HURRY! EVERY MINUTE COUNTS! TAKE ONLY WHAT’S MOST IMPORTANT!

ROLLAN	GERDA, DON’T TAKE IT TOO MUCH TO HEART. HE HAS NOWHERE TO GO, BUT BACK TO YOU.

KAI	I'LL BE THE FIRST PIRATE PAINTER IN HISTORY! I’LL PAINT ALL THE GREAT SEA BATTLES! 

ORM	LIKE ALWAYS, CAN’T FIND IT WHEN YOU NEED IT! 

KAI	AH, GERDA... IT DOESN’T MEAN A THING TO ME WHAT HAPPENS TO HER NOW.

ROLLAN	CAN’T THIS THING GO ANY FASTER?

HIPPIE	SORRY, DUDE. ONLY THE DOOMSDAY ITSELF COULD MAKE OL’ HONEY RUN ANY FASTER!

ORM	HERE IT IS! FINALLY! LET’S GO! LET’S GO!

GERDA	UHHHH!

KAI	GERDA!!! NO!!!

GERDA	THEY’RE ALIVE! THANK GOODNESS, YOU’RE OKAY! BUT WHERE’S KAI?

ORM	WE’RE OKAY, BUT ONLY FOR A LITTLE WHILE! 

ORM	THERE’S A CANYON UP AHEAD!

HIPPIE	NOTHIN’ FAZES ME, MAN. I’M LIKE, A TOTAL ZEN-MEISTER.

ROLLAN	GERDA!

RIKKI	HOORAY! HOORAY!

GERDA	EVERYONE ALIVE?

GERDA	WHERE’S KAI?

ORM	HE SAILED WITH ALFIDA. I HOPE THEY’RE OKAY.

ORM	GER-R-R-D-DA, ST-T-TOP IT!

GERDA	THANK YOU, ROLLAN.

ORM	CAN ANYBODY TELL ME WHAT’S GOING ON HERE? WHY ARE YOU SO COLD, HE’S SO HOT, AND I’M SO CONFUSED?

GERDA	THAT’S WHAT WE WANT TO KNOW! WAS IT YOU WHO TOLD ROLLAN ABOUT THE WISHING STONE? WAS IT SOME KIND OF A JOKE? WELL, AS YOU CAN SEE, NOBODY’S LAUGHING!

ORM	WHO TOLD HIM WHAT? I’VE NEVER HEARD ABOUT ANY WISHING STONE IN MY LIFE!

GERDA	ROLLAN, GIVE ME THAT PICTURE!

ROLLAN	I LOST IT! OR BURNED IT ACCIDENTLY. I CAN’T REMEMBER WHICH. WELL, ABOUT 80% THAT I LOST IT, AND 20% THAT I BURNED IT.

GERDA	ARGH! THE WISHING STONE! IN THE FORBIDDEN CAVE!

HIPPIE, ORM	AH-H-H-H!!!

GERDA	UNDERNEATH LAKE GAO!

HIPPIE	HUH??! YOU’RE FREAKIN’ ME OUT, MAN!!

GERDA	WE FOUND IT!!!

ORM	A-A-A-AH!!! 

GERDA	EXCEPT, WE DIDN’T GET WHAT WE WISHED FOR. INSTEAD, SPIRITS OF THE SNOW QUEEN AND THE FIRE KING GOT OUT OF THE WISHING STONE AND POSSESSED ROLLAN AND ME! 

HIPPIE, ORM, HORSE	A-A-A-AH!!! 

HIPPIE	A-A-A-AH!!! OH, OL’ HONEY, THE APOCALYPSE IS COMING!!!

ROLLAN	APPARENTLY HE’S NOT AS ZEN- LIKE AS HE THOUGHT.

?R?	WHY DID YOU ENTER THE FORBIDDEN CAVES? DON’T YOU REALIZE THERE’S A GOOD REASON WHY THEY’RE FORBIDDEN?!

GERDA	WE’LL TALK ABOUT THAT LATER! LET’S FOCUS ON WHAT WE’RE GOING TO DO NOW!

?R?	HOW SHOULD I KNOW? WHAT AM I, «WIKI-ORM» ?

GERDA	I WAS SURE YOU'D HELP US.

?R?	MAYBE I COULD, BUT I HAVE NO IDEA WHAT HAPPENED TO YOU!

ORM	WHAT’S WITH YOU? WHAT ON EARTH IS HAPPENING HERE?

ROLLAN	WE’RE WASTING OUR TIME, THAT’S WHAT’S HAPPENING TO US!

ROLLAN	WITH THE RISE OF THE FIRST STAR, OUR TRANSFORMATION WILL BE COMPLETE!

ROLLAN	LOOKS LIKE WE'RE DOOMED...

?R?	ARE YOU SERIOUS? IF YOU KEPT YOUR EYES WIDE OPEN MORE, YOU WOULDN’T BE SO DARN GULLIBLE! YOU BELIEVE ANYTHING YOU HEAR! YOU’RE LIKE A CHILD! YOU SHOULD TRY SPENDING MORE TIME IN THE LIBRARY, RESEARCHING YOUR FACTS!

ROLLAN	I'M TO BLAME!? IT WAS YOU WHO PULLED THE WOOL OVER MY EYES!

GERDA	DID YOU SAY, YOU HAVE A LIBRARY?

?R?	OF COURSE WE DO! WE’RE TROLLS, NOT SOME SORT OF ILLITERATE GOBLINS! 

GERDA	AND YOU HAVE LEGENDS THERE?!

?R?	NO, ONLY SILLY COMICS BOOKS.

?R?	OF COURSE THERE ARE LEGENDS THERE! ALL THE TROLL LEGENDS ARE GATHERED THERE! 

GERDA	HURRY UP THEN! WE NEED TO GET TO YOUR LIBRARY!

ROLLAN	BUT HOW? EVEN IF WE MAKE IT BEFORE SUNSET, WE'LL GET CAUGHT IN NO TIME! WE’RE RIGHT AT THE TOP OF THEIR “MOST WANTED” LIST!

GERDA	DON’T WORRY! WE’LL MAKE IT THROUGH ALRIGHT! IT’S OUR ONLY HOPE!

ROLLAN	LOOK AT THAT! A LOCOMOTIVE MADE OF ICE!

ROLLAN	ALRIGHT! WE’LL SMASH OUR WAY INTO THE CITY! WE’LL KNOCK THEM OUT LEFT AND RIGHT! HUH! HUH! TAKE THAT! WATCH OUT, ROLLAN THE LEGEND!

GERDA	NAH, LET’S USE IT AS A DISTRACTION, AND GET INTO THE LIBRARY INSTEAD!

GERDA	ALL ABOARD! YOUR SEAT NUMBERS ARE ON YOUR TICKETS. 

ARROG	HURRY UP! WE NEED MORE WATER, QUICKLY! 

MARIBEL	HURRY UP! PUT OUT THE FIRE, QUICKLY! 

MARIBEL	I SIMPLY MUST HAVE THOSE TRENDY PINK SHOES!

ARROG	MOVE IT!

ARROG	HAVE THEY FOUND GERDA YET?

SHAMAN	WE’RE LOOKING FOR THEM, BUT WE NEED MORE HELP. HALF THE CITY IS ON FIRE! 

ARROG	IF WE DON’T FIND THEM SOON, THE ENTIRE WORLD WILL BE ON FIRE!

ARROG	THEY’RE GETTING AWAY! SEIZE THEM!

MARIBEL	BUT WHAT ABOUT MY SHOES?!

HIPPIE	ONE, TWO, PULL! ONE, TWO, PULL! 

HIPPIE	PIRATES?! OH NO! THEY HATE REGGAE!

KAI	FOR REAL? DO YOU REALLY HATE REGGAE?

ALFIDA	CAN’T BEAR THE SOUND!

KAI	RAHAT, HAVE YOU SEEN GERDA?

RAHAT	YOU CAN’T EVEN IMAGINE WHAT HAPPENED TO HER!

ROLLAN	ARE YOU SURE THIS IS A LIBRARY? IT LOOKS MORE LIKE SOME KIND OF BAKERY TO ME!

ORM	EXCUSE ME, CAN YOU TELL ME--

ORM	GRANDMA?!

GRANDMA	ORM, SWEETIE?!

ORM	WHAT ARE YOU DOING HERE?!

GRANDMA	NOW THIS LIBRARY IS MINE! I’M TRYING TO PROVE THE SCIENTIFIC THEORY THAT DIGESTING COOKIES HELPS YOU LEARN NEW MATERIAL. 

GRANDMA	WHO’S THAT WITH YOU? IS THAT GERDA?! AND WHO IS THAT? 

GERDA	THIS IS ROLLAN.

GRANDMA	YOUR BOYFRIEND?

GERDA	HEH, NO.

ORM	GRAMS, WHERE IS THE MAGIC STONES AND LEGENDS SECTION?

GRANDMA	YOU NEED THE MAGIC SECTION. 

GRANDMA	BUT BE CAREFUL AND DON’T FORGET TO FASTEN YOUR SEATBELTS!

GRANDMA	THIS ELEVATOR WILL TAKE YOU STRAIGHT TO THE MAGIC SECTION.

GRANDMA	ALL LIKE SOUP AND COOKIES.

TROLL-KIDS	YEAH! WE DO! HOORAY! YAY, GRAMS!

GERDA, ROLLAN, ORM	AAAAAHHHH!!!

GERDA, ROLLAN, ORM	AAAAAHHHH!!!

GERDA	WHERE ARE ALL THOSE BOOKS AND SCROLLS?

ORM	THIS IS THE MAGIC SECTION! WHAT ELSE DO YOU WANT?

GERDA	SUCH MAGIC IN HERE! THERE IT IS! DOUBLE-U, DOUBLE-U, DOUBLE-U, WISHING STONE DOT TROLL. EDITED BY PROFESSOR TROLLOLO. WHAT COULD THAT POSSIBLY MEAN?

ROLLAN	SOME KIND OF NONSENSE!

ORM	YOU’RE “SOME KIND OF NONSENSE.” AND THAT’S A LINK! HELP ME OUT HERE, PLEASE! 

ORM	I’LL FIND THE LINK, AND YOU FIND THE NUMBER!

GERDA	IT’S NUMBER ONE!

ORM	I’M READY!

ROLLAN	SO ARE WE!

ROLLAN	NOW WHAT?

ORM	THAT SHOULD HAVE WORKED!

ROLLAN	WE’RE WASTING OUR TIME!

ORM	DO YOU HAVE ANY OTHER OPTIONS?

ROLLAN	YOU DRAGGED US HERE! THE WORLD IS IN DANGER, THERE’S NO TIME! HEY, LET’S GO TO THE LIBRARY!

GERDA	STOP IT!

ROLLAN	WHAT’S NEXT, GENIUS? THE AQUARIUM? OR THE THEATRE? OH, MAYBE A FASHION SHOW?!

ORM	IT’S NOT MY FAULT THAT YOU STUCK YOUR NOSES WHERE YOU SHOULDN’T HAVE!

ROLLAN	YOUR BIG NOSE SURELY KNOWS WHERE WE SHOULDN’T HAVE STUCK OURS... “SAUSAGE-NOSE!”

ORM	I’LL POKE YOU WITH MY “SAUSAGE-NOSE,” AND IT WON’T BE PRETTY!

GERDA	PLEASE…

ROLLAN	GIVE IT A TRY! HOW DO YOU WANT YOUR SAUSAGE NOSE TO BE COOKED? MEDIUM-RARE OR WELL-DONE? 

GERDA	STOP IT ALREADY! YOU’RE AS BAD AS EACH OTHER!

SNOW QUEEN, FIRE DEMON	IF YOU DESIRE TO AWAKEN THE ELEMENTS AND TO SEE THE WORLD DESCEND INTO CHAOS... THEN YOU MUST HURRY ON! SAY “GLACIEM. VERSUS. IGNIS!”  AND TOUCH THE WISHING STONE! YOU SHALL BE HOT LIKE FIRE, YOU SHALL BE COLD LIKE ICE. THE EVIL FORCE INSIDE YOU WILL LIKE A SLAVE RESIDE. BUT THE MOMENT A STAR APPEARS IN THE VIEW THE EVIL FORCE WILL MAKE A SLAVE OUT OF YOU! IF YOU DESIRE TO FREE THE WORLD FROM THE CHAOS AND RESTRAIN IN THE STONE THE EVIL FORCE OF THE ELEMENTS THEN HURRY! YOU MUST RETURN! SAY “PACEM. BONIS. VENIS!!” AND TOUCH THE WISHING STONE!

GERDA	IT’S THAT SIMPLE? BUT WE MUST HURRY, WE ONLY HAVE ONE HOUR LEFT! 

SHAMAN	YOUR TIME IS UP! SEIZE THEM!

ROLLAN	WE’LL SEE.

SHAMAN	AH! WHAT’S THAT?

ROLLAN	A-A-ACHOO!!

ROLLAN	WHAT’S THAT?

SHAMAN	IT’S JUST OLD-FASHIONED PEPPER. NO MAGIC AT ALL. 

GERDA	LET US GO!  WE’RE IN A BIG HURRY! 

SHAMAN	THERE IS A SIMPLE WAY TO GET THINGS BACK TO NORMAL!

ARROG	STOP! SET THEM FREE IMMEDIATELY!

SHAMAN	YOU DON’T UNDERSTAND! WE WILL ALL DIE BECAUSE OF THESE TWO!

ARROG	IT’S YOU WHO DON’T UNDERSTAND!

ARROG	MY GRANDFATHER USED TO SOLVE ALL HIS PROBLEMS WITH POWER... IT LED TO THE TROLL PEOPLE NEARLY DYING OUT.

ARROG	WHEREAS GERDA SAVED US WHEN OUR POWERS SEEMED USELESS.

ARROG	I’M NOT FOLLOWING IN MY GRANDFATHER’S STEPS. WE WON’T FIGHT EVIL WITH EVIL.

ARROG	INSTEAD LET’S HELP THEM! THIS IS MY WILL!

TROLL GUARDS	HOORAY! LONG LIVE GERDA! LONG LIVE THE KING! HOORAY!

ARROG	GERDA, I BELIEVE IN YOU WITH ALL MY HEART AND I ALSO BELIEVE YOU’LL DO IT!

ARROG	BUT I CAN’T BE THAT SURE IN HIM.

ARROG	UNDERSTOOD... THEN YOU HAVE TO HURRY UP, THE SUN IS SETTING.

ARROG	IF YOU DON’T DO IT BEFORE THE TIME, I’LL HAVE TO GIVE MY FINAL ORDER...

MARIBEL	IT LOOKS SO MARVELOUS THAT I NEARLY FORGOT ABOUT THAT PAIR OF SHOES!

MARIBEL	AH! SOLDIERS! OUR MOTHERLAND IS IN DANGER!

GERDA	I FEEL I’M TURNING INTO THE SNOW QUEEN.

ROLLAN	HOLD ON! I’M WITH YOU!

KAI	GRANDMA ROSA! DO YOU KNOW WHERE GERDA AND ORM ARE?

GRANDMA	I FORGOT! MAYBE A CUP OF CAMOMILE TEA? 

SOLDIER	THAT WAY!

KAI	RUN!

SOLDIERS	RIGHT NOW! THIS WAY! COME ON! HURRY UP! HURRY UP! COME ON! RUN!

GERDA	PACEM. BONIS. VENIS!

GERDA	ROLLAN, IT WORKED! WE DID IT!

GERDA	ROLLAN?

GERDA	OH, ROLLAN! IT DIDN’T WORK?! THE SPELL HAD NO EFFECT ON YOU! WHAT ARE WE GOING TO DO?

ROLLAN	OH, NO! WHAT ARE WE GOING TO DO? THE MAGIC DIDN’T WORK! THE SPELL HAD NO EFFECT ON ME! 

ROLLAN	WELL, WHAT IF I DIDN’T WANT THE SPELL TO HAVE AN EFFECT ON ME? 

GERDA	WHAT?! I DON’T UNDERSTAND YOU...

ROLLAN	WHEN I WAS A CHILD, I WANTED TO BE A SUPERHERO. BUT WHEN I GREW UP, I REALIZED - I JUST WANTED TO BE SUPER! AND I DIDN’T CARE IF I WAS A SUPERHERO OR A SUPERVILLAN!

GERDA	WHAT ARE YOU TALKING ABOUT?! WHAT ABOUT YOUR MOM? YOU SAID THE ONLY REASON YOU STUDIED LEGENDS WAS SO THAT YOU COULD FIND HER!

ROLLAN	THE ONLY REASON I STUDIED LEGENDS WAS TO FIND THE WAY TO OBTAIN SUPERPOWERS! AND I GOT THEM!

ROLLAN	MAMA’S FINE. I LIED ABOUT HER, SIMPLY TO WIN YOUR TRUST!

GERDA	HOW COULD YOU LIE LIKE THAT ABOUT YOUR OWN MOTHER?!

ROLLAN	ACTUALLY IT’S EASY, WHEN YOU KNOW WHAT YOU WANT.

GERDA	YOU DON’T KNOW WHAT YOU’RE DOING! WE HAVE TO STOP THIS!

ROLLAN	“STOP IT”?! HAHA! YOU COULD HAVE STOPPED ME WHILE YOU STILL HAD YOUR MAGIC POWERS! BUT YOU’RE THINKING ONLY ABOUT LOVE! 

GERDA	YOU’RE SUCH A FOOL!

ROLLAN	I’M A FOOL? COULD YOU REMIND ME, WHO OF US TOOK A STRANGER’S ADVICE, INSTEAD OF YOUR BROTHER’S? AND HE WARNED YOU ABOUT ME! IT’S NOT BY ACCIDENT THAT HE RAN AWAY FROM SUCH A SELFISH GIRL!

GERDA	IT’S NOT A GIFT! IT’S A CURSE! YOU’LL LOSE YOURSELF! THIS FORCE WILL DESTROY YOU!

GERDA	OWWWWW!!

ROLLAN	NO, THIS FORCE WILL DESTROY YOU! AND I’LL BECOME ROLLAN THE LEGEND! FOREVER!

KAI	ORM WHERE IS GERDA? 

ORM	SHE MUST BE WITH ROLLAN.

CAPTAIN	HEY! STOP RIGHT THERE!

ROLLAN	MY NAME IS ROLLAN! AND I AM A LEGEND IN THESE PARTS.

SHAMAN	STOP HIM, BEFORE IT’S TOO LATE! 

ROLLAN	IT IS TOO LATE!

SHAMAN	NOOOOO!

ROLLAN	R-R-R-O-O-A-A-R-R-R-R!!!

SOLDIERS	WHAT’S HAPPENING?

SHAMAN	AAAAAHH!!

ARROG	ATTACK!

ARROG	LINE UP THE ARTILLERY!!

ALFIDA	THERE’S NO WAY!

KAI	GERDA!!!

GERDA	HUH?

KAI	GERDA-A-A! GERDA-A-A! GERDA-A-A!

GERDA	KAI?!

KAI	GERDA!

GERDA	GO BACK! YOU WON’T BE ABLE TO HELP ME! IT’S ONLY MY FAULT! GO BACK!

GERDA	SAVE YOURSELF!

ALFIDA	SHE’S RIGHT. YOU WON’T MAKE IT ACROSS! THAT’S THE ROAD TO DEATH! 

GERDA	KAI! YOU CAME TO SAVE ME! 

KAI	YOU’RE MY SISTER! AND I’LL ALWAYS HAVE YOUR BACK, TOO!

ALFIDA	HOLD ON! I’LL GET YOU OUT OF THERE!

ARROG	DIRECT FIRE ON THE FIRE! FIRE!

CROWD	AAAAAAH! MADNESS! NOOOO! GO! WHAT IS THAT? GO BACK! AAAAAAAH!

ALFIDA	ARE YOU OK?

ARROG	FALL BACK! WE’RE RETREATING!

GERDA	BUT YOUR MAJESTY, YOU CAN’T RETREAT!

ARROG	GERDA?!

GERDA	WE HAVE TO STOP HIM! OTHERWISE, THE DESTRUCTION HE’S GOING TO CAUSE WILL MAKE THE SNOW QUEEN LOOK LIKE A SWEET LITTLE SCHOOLGIRL!

ARROG	IDIOTS, SAVE THE QUEEN!

MARIBEL	NOOO! MY PRECIOUS!

KAI	WHAT ELSE CAN WE THROW AT HIM?

ARROG	RIGHT NOW THERE’S NOTHING WE CAN DO!

ARROG	OUR WEAPONS ARE USELESS TO DEFEAT HIM!

BURNING SOLDIER	AAAAAHHH!

BURNING SOLDIER	THANK YOU!

GERDA	YOU DON’T NEED TO DEFEAT HIM! YOU NEED TO PUT HIM OUT!

ARROG	YES, WE’VE BEEN TRYING TO PUT HIM OUT FOR A WHOLE HOUR! IT’S OBVIOUSLY NOT WORKING!

GERDA	I MEAN, YOU NEED TO WATER HIM! 

ARROG	WHAT?

GERDA	OH FOR CRYING OUT LOUD! YOU NEED TO EXTINGUISH HIM!

ARROG		WHAT?! GERDA, YOU’RE A GENIUS! IF THIS WORKS, I’M GOING TO MAKE YOU A GENERAL! YOU’LL BE FAT AND RICH, AND ABLE TO BOSS EVERYBODY AROUND!

WINEMAKER	CAREFUL, YOU! THIS IS 220-YEAR-OLD LOTO TROLLOLO! EVERY DROP OF IT IS PRECIOUS!

ARROG	QUICK! TAKE IT ALL!

ARROG	I HOPE HE CAN FULLY APPRECIATE THE COMPLEX BOUQUET! 

ARROG	LOAD! READY! FIRE!

GERDA	IT WORKED! HE’S DOWN!

ARROG	EXCELLENT SWILL! HEY YOU! I NEED A COUPLE OF BARRELS DELIVERED FOR MY NEXT PARTY!

ARROG	WATER THIS RASCAL DOWN!

GERDA	LOAD!

GERDA	JUST A LITTLE BIT MORE, AND WE’LL KNOCK HIM DOWN INTO THE LAKE!

ARROG	FINISH HIM!

SOLDIER	ANYMORE LEFT?

KAI	WE’RE OUT OF BARRELS!

ARROG	WHAT?!

ARROG	STEP BACK! LET’S GET OUT OF HERE!

GERDA	COME ON! HE’S MOVING FASTER!

KAI	LOOK OUT!

GERDA	AAAAA!

ALFIDA	GERDAAAA!

GERDA	KAI, NO…

ORM	I CAN’T BELIEVE SHE’S GONE! SHE WAS SO BRAVE!

ALFIDA	AYE, THAT SHE WAS! A BRAVER LASS NEVER WALKED THE FACE OF THE EARTH! AND SHE DESERVED A FAR BETTER FATE THAN DAVY JONES’ LOCKER!

ARROG	SHE SAVED US AGAIN! I HEREBY PRONOUNCE HER “GENERALISSIMO GERDA!”

KAI	I NEVER THANKED HER FOR EVERYTHING SHE DID FOR ME. THANK YOU, GERDA. 

GERDA	IT’S BEEN MY PLEASURE, KAI, DON’T MENTION IT. 

KAI	FUNNY, I CAN ALMOST STILL HEAR HER SWEET, KIND, GENTLE VOICE...

ORM	ME TOO! IT’S ALMOST SPOOKY-LIKE.

GERDA	DID ANYONE THINK ABOUT JUMPING IN THERE TO GO LOOK FOR ME?

ORM	NO, BECAUSE THERE’S NO WAY THAT YOU COULD HAVE SURVIVED THAT FALL.

GERDA	ACTUALLY, I MIGHT BEG TO DIFFER...

KAI	SHE’S RIGHT! I’VE GOTTA TRY ANYWAY!

KAI	GERDA! YOU’RE ALIVE!

KAI	I’M SO SORRY I TOLD YOU I DIDN’T NEED YOU.

GERDA	FORGIVE ME, PLEASE! YOU WERE RIGHT! I WAS SO EGOTISTICAL. FROM NOW ON, YOU CAN CALL US HANSEL AND GRETEL!

KAI	IT DOESN’T MATTER NOW! YOU’RE MY FAMILY, ALTHOUGH IT’S ONLY A SMALL ONE, IT’S ALL THAT MATTERS.

GERDA	BROTHER!

ARROG, ORM, SOLDIERS	HOORAY! YES! HAHAHAHA!

ARROG	WHAT MAKES ME REALLY CONFUSED IS THAT HOW THIS FRAGILE GIRL CAN BE SUCH A BRAVE SOLIDER AT HEART!

SHAMAN	YOU ACTED VERY INSIGHTFULLY FROM THE VERY BEGINNING, YOUR MAJESTY... YOUR GRANDFATHER WOULD HAVE BEEN REALLY PROUD OF YOU!

ARROG	YOU THINK SO?

SHAMAN	EVERYONE THINKS SO!

CROWD	FANTASTIC! WE THINK SO! WE THINK SO! WE THINK SO! YAHOO!

OFFICER	WHAT SHOULD WE DO WITH THEM? THROW THEM INTO THE LAKE?

ARROG	WHY THROW THEM INTO THE LAKE? THROW THEM INTO THE FURNACE! WE’LL PUT THEM ALL TO WORK!

EMBERS	YAY! HOORAY! UNION JOBS!

CROWD	HOOORAY! LET IT HAPPEN! YES! YAHOO! YEAAAH! 

CROWD	BYE! BLESS YOU! BLESS YOU! BLESS YOU! BYE!..

ALFIDA	SO THIS IS WHAT YOU ASKED THE WISHING STONE TO GIVE YOU?

ALFIDA	TO MAKE THE TROLLS PRESENT US WITH THIS HUGE PILE OF GOLD?

GERDA	OF COURSE NOT! THAT MUST BE KING ARROG’S GIFT! I THINK HE’S THANKFUL THAT THIS WHOLE STORY ENDED UP WELL... AND NOW WE’RE SAILING AWAY!

KAI	TELL ME HONESTLY, WHAT YOU WISHED FOR WHEN YOU FOUND THE WISHING STONE?

GERDA	I WISHED FOR OUR PARENTS TO RETURN. UNFORTUNATELY, THE LEGEND ABOUT THE WISHING STONE WAS A LIE.


GERDA	FATHER!

UNA	GERDA!

MASTER VEGARD	KAI! 

UNA	KAI!

GERDA	MOTHER!

MASTER VEGARD	GERDA!

UNA	WE MISSED YOU!
