	
	
Helinor		Where does this light chain go?
Little Jane		We're working for Vinnie, of course.

Elias			But you're drilling for norwegium. That's illegal."

Billy Bob		Really?

Little Jane		There must be some misunderstanding."

Stella			But you're in chains.

Billy Bob		These chains are for our own safety."

Little Jane		Vinnie puts our pay in the bank, and ...

Billy Bob		And we even get vacation allowance."

Little Jane		We've been duped!

Billy Bob		There's probably no retirement fund either, is there?"

Elias			You should go ask Vinnie about that.

Little Jane		We can't."

Little Jane		We're chained here.

Elias			I'll get help. I promise!

Stella			We'll be right back."

Stella			What do we do now?

Elias			Now she has to believe us!"

Queen of the Sea	What? Where?"

Queen of the Sea	Oh, I should have known it was you. Have you come back to cause trouble again? I need my afternoon nap. I have to stay on schedule!"

Elias		I'm sorry to wake you up, ma'am, but we need your help. Two boats have been taken prisoner, and …"

Queen of the Sea	"Didn't I say you were no longer welcome here?"

Elias			Please listen! Vinnie and his gang are smuggling norwegium!"
Elias			And you're helping them.

Queen of the Sea	What are you saying? Have you no shame at all?"

Queen of the Sea	Do you think this nonsense will help you get your job back? Yes, I mean no, but …"

Queen of the Sea	Get lost! And take that little rabble-rouser with you."

Queen of the Sea	And if I hear you repeat these absurd accusations again, either here or in Cozy Cove or wherever you might be, -

Queen of the Sea	I'll see to it that you are reduced to splinters!"

Queen of the Sea	Ship ahoy!

Stella			Now what do we do?

Elias			We have one last option."

Dippy			So now we're good enough?

Elias		Can't we forget about that argument and just save those two boats. You can apologize later."

Dippy			You want us to apologize?

Stella			Dippy, can you help us, or not?"

Stella			We have to know now.

Dippy			Can't anyone else help?"

Elias			You, Swifty and Helinor are the only ones I can trust.

Elias		The others might tattle to the Queen of the Sea, and I'll be reduced to splinters!

Dippy			Might be just as well.

Elias			Huh?

Dippy			Whatever. Fine. We're in. But we could use more help."

Stella		Well, you know, Elias isn't the only one with friends he can count on."

Stella			Brenda, initiate Plan B!

Racer			Hey! You old, rusty wreck!"

Vinnie			Out of my way!

Racer			Hey, dude! Out for a cruise?"

Vinnie			Get out of my way!

Vinnie			I need to pass! Hello!"

Vinnie			Can you turn off that ridiculous music?"

Brenda		We can't hear you. Our music's too loud."

Elias			Let's go in!

Billy Bob		You came back!

Elias			And we brought Dippy. She can break your chains." Dippy Later!

Elias			Soon you'll be free!

Speedster		Hey, lay off my brother!

Vinnie			I'm so sorry. I didn't mean to treat you two differently."

Speedster		Hey! That wasn't cool! 

Vinnie			Sure it was!

Vinnie			Get out of my way!

Brenda		Help!"

Elias			Come on! Come on!"

Dippy		This is going to take time. There is norwegium in these chains and it's almost impossible to drill.

Billy Bob		And Vinnie can show up any minute. 

Elias	 		Relax. We have a plan.

Vinnie			No, no, no!

Vinnie			I hate fish!

Vinnie			I hate fish!!

Gill			Fish! Food! Feast!

Gill			No more junk food for us!

Gull			This is the life!

Trigger		Look! A signal from Vinnie. He must be in some kind of trouble."

Vinnie			I really hate fish.

Grabber		Yuck! What happened to you?

Vinnie			These guys are totally crazy."

Helinor		You think we'r crazy? We aren't the ones who have chained two helpless boats in a cave to mine norwegium illegally!

Helinor		"But Elias and Dippy are in there right now, freeing them. Just wait until the Queen hears about this!"

Grabber		What's with you, boss?

Trigger		You could you let yourself be stopped by these tiny tubs?"

Trigger		And some wads of feathers?

Grabber		We have to stop them!"

Helinor		Everyone will know what you have done. Soon Dippy will have freed them from their chains."

Vinnie			What? Are they drilling inside the Black Hole?

Helinor		Yes. So what?"

Vinnie			The entire cave can collapse!

Helinor		Vinnie, you have to do something!

Stella			I hope the cave can withstand all this.

Stella			What was that?

Grabber		Shut your mouth, Black Hole, and swallow our secret forever!"

Vinnie			Hey, what are you doing?

Grabber		Ow! Not on me!

Grabber		You'll wreck my paint job.

Helinor		Vinnie, you have to make them stop!

Trigger		Check this out."

Vinnie			Stop!

Trigger/Grabber	Heh?"

Vinnie		This has gone too far. I don't want a bunch of small boats on my conscience."

Trigger		What's with you, boss? We're having a ball here. You're wrecking all our fun!"

Trigger		What's your problem?

Vinnie			Trigger, Grabber.

Vinnie			Go back to Big Harbor.

Vinnie			Now!

Grabber		Give me a break, old timer.

Vinnie			Use the net, Helinor!

Trigger/Grabber	Yikes! Heeelp!"

Elias			Listen. The booming sound has stopped"

Elias			The cave is collapsing! Swifty, take Stella and get out of here."

Stella			I'm not leaving without you and the others.

Elias			They're almost free. Leave, now!"

Elias			We'll be right behind you!

Elias			Come on. Come on!"

Helinor		Swifty, Stella, where are the others?

Elias			Don't give up! Come on! Come on!"

Elias			Come on! Come on! We can do it!"

Billy Bob		Finally.

Little Jane		We are free!"

Little Jane		We are free!

Elias			Good job!

Billy Bob		Incredible!

Elias			Quick, we have to get out of here!

Gerald			What's going on here?

Helinor		Elias and the others are about to be buried alive!"

Elias			No!

Elias			Oh, no!

Helinor		There you are. Thank goodness!"

Stella			But where is Elias?

Vinnie			No!

Stella			Elias!

Stella			Elias!

Elias			Hello?

Elias			Hello!

Stella			Elias, can you hear me?

Elias			Yes! Hello?"

Stella			Someone has to help him!

Vinnie			He saved me. Now it's my turn to save him!"

Vinnie			Elias, are you there?

Elias			Yes!

Vinnie			Come on, Elias. Before it's too late."

Elias			The opening is too low. I can't get out.

Vinnie			Lay over on your side and slide along my rail."

Vinnie			Do that trick you've been working on.

Elias			But I've never been able to get it right.

Vinnie			Then now would be a good time!

Elias			Ka-boom!

Stella			Elias, you did it!

Stella			Za-boom!

Gerald			Well done, Elias.

Gerald			Get out of here! Away! Away!

Stella			Wow!

Elias			Look! The northern lights!"

Elias			They're back!

Gill			I get so emotional.

Gull			Are you going to eat that herring?"

Queen of the Sea	"I would like to apologize to a little boat  who is not so little anymore.

Queen of the Sea	And not only once, but twice.

Queen of the Sea	First, Elias, I apologize for not believing in you."

Queen of the Sea	And second, I want to apologize for taking you away from Cozy Cove, because this is where you belong."

Queen of the Sea	So starting tomorrow, you are once again -"

Queen of the Sea	Cozy Cove's official rescue boat.

Queen of the Sea	And Gerald, you are needed back in Big Harbor.

Queen of the Sea	You have an entire armada -

Queen of the Sea	of rescue boats to train.

Gerald"		Yes, yes …"
Queen of the Sea	And the next time you visit Cozy Cove, -

Queen of the Sea	you'll find a brand new rescue-boat harbor."

Queen of the Sea	Isn't that right, Vinnie?

Vinnie			Vinnie, at your service!"

Queen of the Sea	And finally I have a very serious question:"

Queen of the Sea	Where's the party?

Brenda		Party!

Cruiser		Say what you will, we sure know how to throw a party in Cozy Cove!"

Elias			Look at those northern lights. They are so beautiful."

Stella			As beautiful as I am?

Stella			Come on, handsome!

Big Blinky		The northern lights -

Big Blinky		are a lot like friendship.

Trolley		Oh, how's that?"

Big Blinky		"It can shine bright and it can shine dimly."

Big Blinky		"Sometimes it can even vanish from view for a while."

Big Blinky		Only to suddenly appear again.

Big Blinky		And shine brighter than ever before.

Big Blinky		And when that happens ...

Big Blinky		It is magical.
	
Trawler		I should have gone to Brazil.
