INTERTITLE	England 1937
RUTH	He had no intention of getting in touch with her, I can assure you.

RUTH	The whole thing was planned in order for him to get material

RUTH	for his new project.

MADAME ARCATI	Am I to understand I was invited in the spirit of mockery?

RUTH	He merely wanted to make some notes of the tricks of the trade.

MADAME ARCATI	Tricks of the trade? I've never been so insulted in my life.

RUTH	I'm sorry if that all came out wrong.

RUTH	I'm rather overwrought with the whole affair.

RUTH	Please, I implore you to help us.

MADAME ARCATI	I will go to the Spiritual Alliance on my way back to Sussex

MADAME ARCATI	and ask them for guidance.

RUTH	Sussex? You can't abandon us in our hour of need.

MADAME ARCATI	Well, due to my recent circumstances, I can no longer afford to stay here,

MADAME ARCATI	but you can contact me.

RUTH	I can cover your hotel bill, and any expenses,

RUTH	till this terrifying ordeal has been resolved.

ELVIRA	Susan Rutherford leans over the foreign secretary.

CHARLES	Don't stop.

ELVIRA	The Soviet Union can wait.'

ELVIRA	Says the foreign secretary. He turns and looks at Susan longingly.

ELVIRA	'This can't,' he whispers urgently.

ELVIRA	And then he starts to slowly

ELVIRA	unbutton her silk blouse,

ELVIRA	as they start to passionately kiss.

ELVIRA	I'm tired, and I'm thirsty,

ELVIRA	and I want go to into town and drink Negronis like we used to.

CHARLES	But it's getting late.

ELVIRA	You really have got a little too comfortable

ELVIRA	in your slippers, Charles.

NARRATIVE TITLE	SAVOY

CHARLES	What do you want, Elvira?

ELVIRA	Want? I don't know what you mean.

CHARLES	I remember whenever you were overwhelmingly demure,

CHARLES	it usually meant that you wanted something.

ELVIRA	It's horrid of you to be so suspicious.

ELVIRA	All I want is to be alone with you.

CHARLES	I can't deny, I do feel rather peculiar seeing you again.

ELVIRA	I've missed you more than life itself.

CHARLES	I've missed you too.

CHARLES	My American dream.

CHARLES	I was utterly heartbroken after the accident.

CHARLES	Truth is, I don't believe I ever really got over losing you.

ELVIRA	Do you love Ruth?

CHARLES	Of course I do.

ELVIRA	As much as you loved me?

CHARLES	Don't be silly.

CHARLES	It's entirely different.

ELVIRA	I'm so glad.

ELVIRA	Nothing could have ever been quite the same, could it?

ELVIRA	Let's go to Soho.

ELVIRA	Swap those slippers for some dancing shoes?

CHARLES	Slow down!

CHARLES	I think I'm gonna be sick. Oh, God…

RUTH	Charles!

ELVIRA	I love being back behind the wheel of a car.

CHARLES	Can't say the feeling's mutual.

RUTH	Charles, where on earth have you been? I've been worried sick.

ELVIRA	It’s too bad it's not terminal.

CHARLES	I wanted to clear my head, so I took a long drive.

RUTH	In the passenger seat?

CHARLES	Look, let's not quarrel when we should be celebrating.

CHARLES	I finished the first act of my screenplay, and it's rather good.

ELVIRA	My screenplay, more like.

RUTH	How did you manage that in a day?

CHARLES	Elvira helped me.

RUTH	Do you mean to tell me

RUTH	that not only has she bullied her way back over the threshold,

RUTH	she's trying to work with you now as well?

ELVIRA	What do you mean, trying? I've written 15 books in your name.

CHARLES	Elvira, this is neither the time nor the place.

RUTH	This is intolerable.

RUTH	Elvira, now, you listen to me.

CHARLES	Darling...

RUTH	I... Yes?

CHARLES	She's over there.

RUTH	Right.

RUTH	Now, listen here, Elvira.

RUTH	I've been to see Madame Arcati and she's going to send you back

RUTH	to wherever it is she regrettably dragged you from.

ELVIRA	Charles?

CHARLES	Don't.

CHARLES	Darling, please don't be upset.

RUTH	Upset? You've just spent the night with your ex-wife.

RUTH	How do you expect me to feel?

CHARLES	Ecstatic.

CHARLES	Our dream of going to Hollywood is finally within our grasp.

CHARLES	As soon as I deliver this screenplay, we'll be crossing the Atlantic

CHARLES	quicker than you can say Sunset Boulevard.

CHARLES	Think of the glitz.

CHARLES	The glamour.

CHARLES	The good times we're gonna share.

CHARLES	You won't be reading about other people's lives any more.

CHARLES	They'll be reading about ours.

RUTH	And you can't do it without her?

CHARLES	Of course I can.

CHARLES	It'll just be a lot quicker this way.

CHARLES	There's really no need for you to be jealous.

CHARLES	You're the one I love.

CHARLES	Forgive me that I don't tell you enough.

CHARLES	Now that the words are flowing, I feel unblocked in other areas too.

RUTH	Promise me you can't touch her.

CHARLES	Darling, she's a ghost.

CHARLES	And, besides, the only woman I want to touch is you.

ELVIRA	Listen here, lady.

ELVIRA	You may have summoned me into this world,

ELVIRA	but there is no way I'm going to let you send me back again.

ELVIRA	I'm here to stay. Is that clear?

ELVIRA	How dare you ignore me, you meddling old crone.

ELVIRA	Either you leave me in peace to live my life,

ELVIRA	or I'll haunt you until the day you die.

MADAME ARCATI	The Tower.

MADAME ARCATI	Symbol of chaos,

MADAME ARCATI	destruction and devastation.

ELVIRA	Wakey-wakey. Rise and shine.

ELVIRA	What was I, Charles? The warm-up act?

ELVIRA	If I was you, I'd keep it there.

EDITH	Good afternoon, ma'am.

RUTH	I'm going to have to correct you, Edith.

RUTH	It's not a good afternoon. It's a glorious one.

EDITH	Shall I prepare lunch?

RUTH	Yes, please. You read my mind.

RUTH	I'm absolutely famished. I'll have a cheese and pickle platter.

RUTH	With extra pickle.

EDITH	Yes, ma'am.

RUTH	What happened to your leg?

EDITH	I slipped down the staircase.

RUTH	You really must refrain from doing everything at the double.

RUTH	You're not in the navy, you know.

EDITH	I wasn't hurrying, ma'am.

EDITH	There was axle grease smeared all over the top step.

HENRY	Yes, her agent loves the pitch,

HENRY	thinks it would be a perfect vehicle for her.

CHARLES	Seriously? Greta Garbo?

HENRY	Yes.

CHARLES	Mata Hari speaking my words would be a dream come true.

HENRY	Charles, are you still on track?

CHARLES	Yes, absolutely still on track.

CHARLES	I'll send the next ream of pages over as soon I reach the second act turn. HENRY - Don't let me down.

CHARLES	Thank you, Henry.

CHARLES	And I appreciate your continued patience and belief.

HENRY	Splendid.

CHARLES	Goodbye.

CHARLES	Elvira, what are you doing?

ELVIRA	Greta Garbo speaking my words?

CHARLES	Darling, what am I supposed say? That I've got a ghost writer?

CHARLES	Stop it. Elvira, that's one of our wedding gifts.

ELVIRA	Not ours, Charles. Hers.

ELVIRA	You care more about breaking china than you do about breaking my heart.

CHARLES	Elvira, I was unwaveringly loyal and faithful to you

CHARLES	in all our years of marriage.

CHARLES	What was I supposed to do after you died?

CHARLES	Become a recluse and wear a black armband for the rest of my life?

EDITH	Ma'am, the garden judges are here.

RUTH	Thank you, Edith.

RUTH	We've been sabotaged.

NARRATIVE TITLE	THE LONDON SPIRITUAL ALLIANCE 

HARRY PRICE	That is an outrageous suggestion.

HARRY PRICE	As the national director of the Spiritual Alliance,

HARRY PRICE	my job is to protect the reputation of genuine psychic practitioners,

HARRY	not undermine them.

CALLER	I see.

HARRY PRICE	And I vow, along with my friend Harry Houdini,

HARRY PRICE	to investigate and expose

HARRY PRICE	every fraudulent spiritualist operating in this country.

CALLER	Very good, sir.

HARRY PRICE	Come in.

MARGOT	Madame Arcati here to see you, sir.

CALLER	Thank you very much for your time.

HARRY	Yes. Thank you.

HARRY PRICE	Always a pleasure to talk to the press.

CALLER	Goodbye, sir.

HARRY PRICE	Well, you've got a cheek, showing your face while you're suspended.

MADAME ARCATI	I'm sorry to turn up unannounced, but I urgently need your guidance.

MADAME ARCATI	I have pulled off a level-ten manifestation.

HARRY PRICE	And was this before or after

HARRY PRICE	you conned 800 people into paying to see you levitate?

MADAME ARCATI	No, really, you must believe me, Harry.

MADAME ARCATI	And it is possible this presence has a physical form.

HARRY PRICE	Margot, where are the scissors?

MARGOT	Drawer.

HARRY PRICE	So you're telling me that the first level-ten manifestation

HARRY PRICE	reported in over three centuries

HARRY PRICE	was the result of an ordinary common-or-garden seance.

MADAME ARCATI	Yes, that is correct.

HARRY PRICE	What did you use as a guide?

MADAME ARCATI	This. The Art of the Seance.

MADAME ARCATI	Can you help me?

HARRY	Yes, Madame Arcati, I think I can.

HARRY PRICE	Do you have your membership card?

MADAME ARCATI	Membership card...

MADAME ARCATI	Yes.

HARRY PRICE	I'm going to start by terminating your membership

HARRY PRICE	with immediate effect.

HARRY PRICE	This is no place for fantasists or frauds.

HARRY PRICE	Margot.

HARRY PRICE	Madame Arcati's leaving now.

MARGOT	Meet me in Temple Square in an hour.

MARGOT	Chapter four, page nine, paragraph six.

MADAME ARCATI	A banishing spell. Oh, Margot, thank you.

MARGOT	We don't have long.

MARGOT	I need to replace it in the safe before Mr Price returns from lunch.

MADAME ARCATI	It's recorded in ancient Druidic text.

MARGOT	I'm a little rusty, but I'll do my best.

MADAME ARCATI	Wait.

MARGOT	Take Ceridwen's brew of Devil's Claw.

MADAME ARCATI	Devil's Claw.

MARGOT	Poisoned root of Aconite.

MADAME ARCATI	Oh, yes.

MARGOT	Elixir of Vervain flowers.

MADAME ARCATI	Yes, of course, that's the enchanter's plant.

MARGOT	The sacrificial offering is at its strongest with a waning moon.

MADAME ARCATI	A waning moon.

MARGOT	Sprinkle black salt on a stone altar.

MADAME ARCATI	Salt.

MARGOT	Then lay the freshly torn bladder of a carnivore.

MADAME ARCATI	The bladder?

MARGOT	Oh, no.

MARGOT	Freshly torn bladderwort

MARGOT	of the carnivorous aquatic Utricularia plant family.

MADAME ARCATI	Thank heaven.

MADAME ARCATI	I thought for a minute I was going to have to get my hands dirty.

MARGOT	Good luck.

MRS BRADMAN	Will you excuse me?

MRS BRADMAN	What about Clark Gable? He'd make a dashing Detective Frank Flowers.

HENRY	Good actor, terrible breath.

HENRY	Very tricky for the leading ladies. I was thinking Cary Grant.

MRS BRADMAN	Now we're talking.

MRS BRADMAN	I look forward to making his acquaintance at the premiere.

HENRY	I'm afraid you're getting ahead of yourself there, Mrs Bradman.

HENRY	Even I can't make a film without a script.

HENRY	Be rather like trying to perform surgery without a patient.

DR BRADMAN	The typewriter can be a cruel and demanding mistress.

HENRY	Yes, well, let's hope that's the only affair Charles is having.

RUTH	Hello, Daddy.

CHARLES	Time for a speech.

CHARLES	Ladies and gentlemen.

CHARLES	As a writer, people are always expecting me

CHARLES	to come up with lots of words.

CHARLES	Well, today I'm sure you'll all be relieved to hear

CHARLES	that I'm going to keep things short and sweet, 

CHARLES	just like my wife.

CHARLES	If I were to create a character as beautiful, as poised,

CHARLES	as perfect as Ruth,

CHARLES	my fans would accuse me of straying into fantasy.

CHARLES	But thankfully we are all here today to celebrate the fact

CHARLES	that Ruth is my reality and has been for five fabulous years.

CHARLES	So, let us be upstanding, upstandingly,

CHARLES	and raise our glasses to true love.

ALL	True love.

RUTH	True love.

CHARLES	True love.

ELVIRA	Never dies.

REVEREND GREEN	Lord Almighty.

CHARLES	Ruth, what on earth are you doing?

RUTH	Cooling off. All that dancing got me hot and sticky!

CHARLES	Everybody's looking.

MRS BRADMAN	I didn't know it was going to be one of those parties.

HENRY	You're as wet as an otter's pocket. What happened to your dress?

RUTH	What happened to yours, Daddy?

RUTH	Everybody!

CHARLES	Yes, that's lovely, darling.

CHARLES	I'm not surethe fish are enjoying this.

CHARLES	Why don't you come upstairs and have a little lie-down?

RUTH	Only if you're going to join me.

RUTH	Make love to me like it was the first time.

RUTH	Does Mr Peasbody want to come out and play?

ELVIRA	Well, I'm not surprised she doesn't like to do it with the lights on.

CHARLES	Don't be so vulgar, Elvira.

RUTH	She's in here?

RUTH	Now, you listen to me, you low-rent hussy.

RUTH	This is my party, my bedroom, my house,

RUTH	and Charles is my husband.

RUTH	What did she say?

CHARLES	She apologised unreservedly and has taken herself back downstairs.

ELVIRA	You should have been an actor, Charles. You really are rather good.

RUTH	I'm sorry, Charles. I'm just... I'm not in the mood any more.

ELVIRA	I am.

RUTH	Morning, darling.

RUTH	You look shattered.

CHARLES	Yes, had a bit of a restless night.

RUTH	Yes, I thought you were thrashing around a bit.

CHARLES	I had Edna prepare Norfolk kippers, your favourite.

RUTH	That's very sweet. I could do with something hearty.

RUTH	I fear I rather overdid it on the bubbles yesterday.

RUTH	The party went by in a bit of a blur.

RUTH	What are you stuck on?

CHARLES	22 down. Greek god of retribution.

CHARLES	Seven letters. Third letter M, seventh letter S.

RUTH	Nemesis.

RUTH	What on earth has happened?

EDITH	She said the place is cursed.

EDNA	Not safe! Not safe at all!

RUTH	Edna?

RUTH	You can't leave us!

EDNA	You can keep your job.

EDNA	I'm getting out of here. Go away!

EDNA	I'm having nothing to do with you. Go away!
RUTH	Stay Edna. Please.

EDNA	You can stick your bleeding job up your bum!

MADAME ARCATI	There you are.

MADAME ARCATI	There you are.

MADAME ARCATI	Now, to work.

MADAME ARCATI	Yes.

MADAME ARCATI	Where are you?

ELVIRA	Detective, I don't see how you can blame a girl

ELVIRA	for falling in love with the right guy for the wrong reasons.

ELVIRA	But what about that poor sap of a husband of yours?

ELVIRA	Guys like him are a dime a dozen.

ELVIRA	What was he, the right guy in the wrong place at the wrong time?

ELVIRA	Detective, just being close to you,

ELVIRA	I feel as if I am completely naked.

ELVIRA	How do you always manage to see right through me?

ELVIRA	I see things just the way they are.

ELVIRA	The rest of the world needs bifocals.

CHARLES	I'm not sure about that last line. It feels too florid.

CHARLES	Need something simple and to the point, like...

CHARLES	'That's my job, sweetie. I just do it.'

ELVIRA	Whatever you prefer. It's your name on the script.

CHARLES	And fade to black.

CHARLES	Well, dare I say, I think the film's gonna be even better than the book.

CHARLES	And we finished ahead of the deadline.

CHARLES	Just wait till I tell Ruth.

ELVIRA	Let's not tell her just yet.

RUTH	For heaven's sake.

RUTH	Fiddlesticks.

RUTH	Damn and blast.

CHARLES	You alright, darling?

RUTH	Knowing you're working your fingers to the bone

RUTH	makes it easier for me to endure a few blisters and burns.

CHARLES	Out of suffering have emerged the strongest souls, my dear.

RUTH	I've nothing to serve for lunch, I'm afraid.

CHARLES	Please don't worry about it. I'm not in the least hungry.

RUTH	Dare I ask how it's going over there?

CHARLES	The finishing line is almost in sight.

RUTH	Thank goodness.

RUTH	I don't like you alone with her one iota,

RUTH	but if it means you're going to be able to deliver the damn script,

RUTH	then I can just about tolerate it.

CHARLES	You and I do make a good team, darling.

RUTH	I'd like us to move our beds back together.

RUTH	Permanently.

RUTH	I think if we're going to be separated during the days,

RUTH	the least we could do is spend our nights together as man and wife.

CHARLES	I should like nothing more.

CHARLES	I'm going to take a walk, try to clear my head.

ELVIRA	Remember when we used to play hide-and-seek along here,

ELVIRA	and your reward when you found me?

ELVIRA	Look. Isn't he handsome?

CHARLES	He's magnificent.

ELVIRA	He can sense me.

ELVIRA	How wonderful not to be frightened of the unknown.

ELVIRA	You're not frightened, are you, Charles?

CHARLES	Of what?

ELVIRA	Falling back in love.

CHARLES	How is that possible when we're existing on two different planes?

CHARLES	I'm alive and you're...

ELVIRA	Don't.

ELVIRA	Don't say it.

CHARLES	I'm so sorry, Elvira. There's no easy way to say this.

CHARLES	But I'm struggling to see a future in us.

ELVIRA	You know, Charles, when you give someone an eternity ring,

ELVIRA	it's supposed to be a love that lasts forever.

ELVIRA	Charles?

RUTH	Charles, watch out!

ELVIRA	Damn.

RUTH	She's dangerous, Charles.

RUTH	Edna was almost scalped.

RUTH	It's blindingly obvious that Elvira came here

RUTH	for one purpose and one purpose only.

RUTH	She came here to have you to herself, forever.

CHARLES	How?

RUTH	By killing you off, of course.

CHARLES	That's absurd.

RUTH	Do you really think the cabinet climbed up onto the roof

RUTH	and jumped off of its own accord?

CHARLES	Elvira may be prone to temper tantrums, but she still loves me.

CHARLES	She'd never wish me any harm.

RUTH	If you were dead, it would be her final triumph over me.

RUTH	She'd have you all to herself on her beastly astral plane

RUTH	and I'd be left high and dry.

RUTH	She's probably planning some sort of spiritual remarriage.

CHARLES	What are we gonna do?

RUTH	Yes, the guest's name is Madame Arcati, room 14.

MAN	One moment.

MAN	I'm sorry, but she left yesterday.

RUTH	I see. Did she leave any messages?

MAN	I'm afraid not.

RUTH	Thank you.

RUTH	She checked out yesterday.

CHARLES	Well, there's nothing for it. I shall have to get myself arrested.

CHARLES	Spend the night locked up in the cells.

RUTH	No. We just have to create our own safe place for the night.

CHARLES	Right.

MADAME ARCATI	Now, gently does it.

MADAME ARCATI	Precious.

MADAME ARCATI	Herba veneris.

MADAME ARCATI	Nature's divine protector.

CHARLES	What are you doing with that?

CHARLES	I've just removed all the heavy and sharp objects for a reason.

RUTH	I thought you could keep going with your script

RUTH	while we're holed up in here.

CHARLES	I've already finished it.

RUTH	Well, I thought you said you were struggling.

CHARLES	On reflection, I think I was overthinking the whole thing.

CHARLES	I'll give the manuscript a quick read 

CHARLES	and drive it over to the studio first thing in the morning.

RUTH	Oh, Charles, what wonderful news.

RUTH	Daddy's gonna be over the moon.

RUTH	As am I.

CHARLES	Thank you, darling.


RUTH	Now we can both focus on banishing Elvira into oblivion

RUTH	once and for all.

CHARLES	Not a moment too soon. Two's company.

CHARLES	Three's a nightmare.

MADAME ARCATI	Nearly there.

MADAME ARCATI	Vervain and dill hinder witches from their will.

RUTH	Charles.

RUTH	Charles.

RUTH	Hello?

MADAME ARCATI	 Mrs Condomine, I have news.

MADAME ARCATI	Doors are opening and change is in the air.

RUTH	This is no time for riddles, Madame Arcati.

RUTH	We've been urgently trying to contact you.

RUTH	Charles's life is in grave danger. Elvira is trying to murder him.

MADAME ARCATI	I feared she might become a malevolent spirit.

RUTH	That's putting it mildly. Where are you?

MADAME ARCATI	In Sussex. I've gathered everything together and now I'm ready.

RUTH	For what?

MADAME ARCATI	Well, to send her back, of course.

RUTH	Stay put, Madame Arcati. I'll come and collect you.

EDITH	The telephone woke me. Apologies if I scared you.

RUTH	When Mr Condomine wakes up,

RUTH	tell him I've gone to fetch Madame Arcati and I shall be back before lunch.

EDITH	Madame Arcati... before...

CHARLES	Don't hurt me, I beg you.

EDITH	Are you alright in there, Mr Condomine?

CHARLES	I've never stopped loving you.

EDITH	I don't know what to say, sir.

ELVIRA	You have a funny way of showing it, Charles.

CHARLES	I was gonna put your name on the manuscript

CHARLES	before I delivered it this morning, I promise.

EDITH	That won't be necessary, sir.

ELVIRA	I'm a woman, Charles.

ELVIRA	We're used to not getting the credit we deserve.

CHARLES	No, I insist. I'll get changed and leave straightaway.

EDITH	Mrs Condomine left in the car a while ago.

EDITH	She said she would be back by lunchtime.

CHARLES	Elvira, what have you done?

ELVIRA	Oops.

MADAME ARCATI	Mr Condomine, I would just like to say that I reproach myself bitterly.

CHARLES	You are not to blame, Madame Arcati.

CHARLES	The fault lies squarely on my shoulders.

CHARLES	It was my ambition and ego that dragged us into this unbearable mess,

CHARLES	and that's something I shall have to live with for the rest of my life.

MADAME ARCATI	The last time I spoke with Mrs Condomine, your life was in danger.

MADAME ARCATI	I urge you to come and see me at your earliest possible convenience.

MADAME ARCATI	Here is my card. I'll be waiting.

CHARLES	You're not going to stayfor refreshments?

MADAME ARCATI	Please, don't think me rude,

MADAME ARCATI	but I prefer to contemplate the passing of a spirit

MADAME ARCATI	in my own private way.

MADAME ARCATI	My sincerest condolences, Mr Condomine.

ELVIRA	Shouldn't that be congratulations?

CHARLES	What the hell are you doing here? Have you no shame?

ELVIRA	It was an accident, Charles. I was trying to kill you.

CHARLES	How can you be so heartless?

ELVIRA	Death does that to you.

ELVIRA	You know, you can always tell how well regarded someone is

ELVIRA	by the attendance at their funeral.

CHARLES	What's that supposed to mean?

ELVIRA	Bit of a poor turnout today if you ask me.

ELVIRA	I barely counted 40 people.

CHARLES	That does it.

CHARLES	Come here!

ELVIRA	Just like old times, Charles! With you chasing me round the garden!

CHARLES	Only today there's going to be a different outcome!

MRS BRADMAN	Will you excuse me?

MRS BRADMAN	I'm sorry for your loss, Mr Mackintosh.

MRS BRADMAN	Ruth was a fine woman, and a good friend.

MRS BRADMAN	I'm going to miss her deeply.

HENRY	Thank you, Mrs Bradman.

HENRY	I know she was fond of you too.

HENRY	I can't quite believe she's gone.

MRS BRADMAN	My mother always said that time is a physician that heals every grief.

ELVIRA	You never were much of an opponent on the croquet lawn, Charles.

CHARLES	You repulse me.

CHARLES	I'm going to kill you.

ELVIRA	Don't be an imbecile. I'm already dead.

HENRY	You'd better fetch your medicinal bag before someone else gets killed.

EDITH	Edna was right. This place is cursed.

CHARLES	I can't bear to see you ever again.

ELVIRA	The feeling's mutual, Charles.

ELVIRA	With age and disappointment, you've become a pompous ass.

DR BRADMAN	Charles.

DR BRADMAN	Everything's gonna be splendid.

CHARLES	Not while she's here, it won't.

DR BRADMAN	Not while who's here?

CHARLES	Elvira!

CHARLES	Where am I?

ELVIRA	In the loony bin.

CHARLES	What?

ELVIRA	There's no point in struggling, Charles.

ELVIRA	The more you thrash around, the longer they'll keep you in.

CHARLES	Why am I here?

ELVIRA	You've been sectioned under the Mental Treatment Act

ELVIRA	and held under mandatory observation for the next 28 days.

CHARLES	I hope you rot in hell.

ELVIRA	It's not wise to be bad-tempered with the only person who can help you.

CHARLES	I'd rather eat my own tongue than ask you for help.

ELVIRA	You might just get to do that.

ELVIRA	Dr McEwan is planning on taking you down the corridor in 15 minutes

ELVIRA	for electric shock treatment.

CHARLES	What?

CHARLES	No! No, come back. Wait.

ELVIRA	Of course, there's usually a way around these things.

CHARLES	What do you want from me?

ELVIRA	I know you're never going to forgive me, Charles,

ELVIRA	and being stuck in purgatory with you grieving over another woman

ELVIRA	is a fate worse than death.

CHARLES	I couldn't agree more.

ELVIRA	Which is why I want a divorce.

CHARLES	With pleasure.

CHARLES	And I know just the person who can execute that.

ELVIRA	Good.

NARRATIVE TITLE	AMBULANCE

CHARLES	Move over. No way I'm putting my life in your hands again.

ELVIRA	Don't flatter yourself, Charles.

ELVIRA	When I think of what might have happened if I'd succeeded

ELVIRA	in getting you to the other side, it makes me shudder.

ELVIRA	Nothing but bickering and squabbling for eternity.

ELVIRA	Drive.

CHARLES	Looking back on our married years, I can see now with horrid clarity

CHARLES	they were nothing but a mockery.

CHARLES	You were feckless, irresponsible,morally unstable.

CHARLES	I think I realised that before we left Budleigh Salterton.

ELVIRA	Nobody but a monumental bore

ELVIRA	would have thought of going to Budleigh Salterton for a honeymoon.

CHARLES	What's the matter with Budleigh Salterton?

ELVIRA	Seven hours a day on a damp golf course

ELVIRA	and a three-piece orchestra playing Merrie England.

CHARLES	I'm surprised you didn't complain at the time.

CHARLES	I remember you being quite good at that.

ELVIRA	I did complain. But you wouldn't listen.

ELVIRA	That's why I took a romantic stroll on the moors

ELVIRA	with Captain Bracegirdle.

CHARLES	What a blind fool I was.

CHARLES	Did he make love to you?

ELVIRA	Only very discreetly.

MADAME ARCATI	Mr Condomine. I'm so relieved you've arrived safely.

MADAME ARCATI	Follow me.

MADAME ARCATI	Tonight the moon is full and we must harness its power.

CHARLES	We're both ready to perform the banishment ceremony immediately.

MADAME ARCATI	She's here?

ELVIRA	Yes.

MADAME ARCATI	Are you sure she's amenable to the process?

CHARLES AND ELVIRA	Yes.


MADAME ARCATI	With this magic smoke I invoke the spirit of moon fire,

MADAME ARCATI	dancer of time,

MADAME ARCATI	mistress of endings and beginnings.

MADAME ARCATI	Return our sacred sister to her rightful sphere.

MADAME ARCATI	Still here?

CHARLES	Yes.

MADAME ARCATI	To you, the spirit of earth.

MADAME ARCATI	To you, the element of air.

MADAME ARCATI	To you, the force of water.

MADAME ARCATI	To you, the power of fire.

MADAME ARCATI	And the gift of enchanters' dew.

MADAME ARCATI	She still here?

ELVIRA	Yes.

CHARLES	Yes.

MADAME ARCATI	Ghostly spectre, ghoul and fiend,

MADAME ARCATI	never more be thou convened.

MADAME ARCATI	Wolfsbane and holy rite

MADAME ARCATI	banish thee into the night.

MADAME ARCATI	Bladderwort.

MADAME ARCATI	Yes. Now, yes.

MADAME ARCATI	And bladderwort.

CHARLES	Ruth.

MADAME ARCATI	Ruth?

CHARLES	Darling, I'm so happy to see you again.

MADAME ARCATI	Blast. How could I have been such a duffer?

MADAME ARCATI	Something must have gone hideously wrong.

CHARLES	Yes, not for the first time.

RUTH	You hussy.

CHARLES	Darling.

ELVIRA	Save yourself the effort.

ELVIRA	I'm already dead, and, more to the point, so are you.

ELVIRA	You popped your clogs last Tuesday.

CHARLES	Don't be so insensitive.

CHARLES	Darling, are you in any pain?

RUTH	Charles, what happened to me?

CHARLES	There was a car accident.

ELVIRA	Which, I have to admit, I had a hand in.

ELVIRA	I'm sorry, Ruth.

RUTH	I'm afraid sorry doesn't quite cut it.

ELVIRA	Well, even so, in the spirit of complete openness,


ELVIRA	I'd also like to apologise for conducting an affair with Charles

ELVIRA	right under your nose.

ELVIRA	Well, technically, we are still married, so...

CHARLES	Stop it, Elvira. Ruth has been through quite enough.

MADAME ARCATI	What are they saying, Mr Condomine?

CHARLES	Not now, Madame Arcati.

CHARLES	Things are becoming quite strained.

MADAME ARCATI	You know, I should have squeezed malum citrea at the crucial point.

MADAME ARCATI	That's lemon juice.

ELVIRA	The only reason he was able

ELVIRA	to get through that screenplay in five days flat

ELVIRA	is because I wrote it.

CHARLES	Yes...

RUTH	Charles, is that true?

CHARLES	Not exactly.

ELVIRA	And Charles didn't want to tell you we'd finished

ELVIRA	because he wanted to spend more time alone with me.

RUTH	Charles.

CHARLES	Let's not fight, darling.

ELVIRA	Which darling are you referring to?

RUTH	But after everything I put up with, how could you do that to me?

CHARLES	It's not that straightforward, darlings.

RUTH	I mean, really, Charles, you never loved Elvira or me.

RUTH	The only person that you loved is yourself.

ELVIRA	Finally, something we do agree on.

RUTH	If you wrote the script, did he write any of those books?

ELVIRA	No, not a word.

RUTH	He took all the glory?

MADAME ARCATI	Aren't you staying for the second act?

CHARLES	I think it's best I leave.

MADAME ARCATI	Hell hath no fury like a woman scorned.

CHARLES	Try two of them.

CHARLES	Good luck with the lemons.

ELVIRA	Where did he go?

RUTH	He can run...

ELVIRA	But he can't hide.

MADAME ARCATI	Ghostly spectre, ghoul or fiend,

MADAME ARCATI	never more be thou convened.

MADAME ARCATI	Bladderwort, wolfsbane and holy rite,

MADAME ARCATI	banish thee into the night.

MADAME ARCATI	Donald?

NARRATIVE TITLE	GABLE GARBO

INTERTITLE	Hollywood - 6 months later

CECIL B DEMILLE	Alright, I'm gonna start with this medium shot here.

CECIL B DEMILLE	Then I'm gonna come a little closer, okay?

CECIL B DEMILLE	Alright, let's have some passion.

CECIL B DEMILLE	Alright, roll camera.

MAN	Quiet, please.

MAN 2	Quiet, please. Sound running.

MAN 3	Scene 84, take one.

CECIL B DEMILLE	And action.

GRETA GARBO	Just being close to you, Frank, I feel as if I'm completely naked.

GRETA GARBO	How do you always manage to see right through me?

CLARK GABLE	That's my job, sweetie. I just do it.

CECIL B DEMILLE	Cut.

CECIL B DEMILLE	Reset.

CECIL B DEMILLE	I'm not feeling the last line. Boy Wonder, what else you got?(boy wonder: reference to charles)

CHARLES	What about...

CHARLES	'I see things just the way they are.'

