FEMALE VOICE #1 TO UNIDENTIFIED CALLER #1	How may I help you?
LION PUPPET	Give me my hair back or I will eat you!

MAGICIAN PUPPET	Okay, okay, don't eat me, Lion.

MAGICIAN PUPPET	Okay, children, do you remember the magic words?

CHILDREN	Abracadabra! Alakazam!

MAGICIAN PUPPET	Ooh, I can't see my hat.I cannot see the top of my head!

MAGICIAN PUPPET	Thank you. Thank you.

SIMON	Sara?

SARA	Oh, my God. Nope, nope, nope, nope.

SARA	No, no, nope.

SIMON	Sara?

SARA	Simon!

SARA	Hi!

SIMON	Is that your bike?

SARA	This bike? 

SARA	No. No. No.

SIMON	Come here, bring in it.

SARA	Okay!

SARA	Hi. Oh, we’re hugging.

SIMON	Oh, okay.

SARA	Yep. Good to see you.

SARA	How are you?

SIMON	Good. Good.

SIMON	God, it’s been a minute. What are you doing?

SARA	I am taking guitar lessons.

SARA	See? I have a guitar.

SIMON	Hey. Your hair, it’s longer.

SARA	It is! Thank you for noticing. It grew, so...

SARA	Every day, it grows.

SIMON	Yeah.

SARA	And, yeah. How are the suburbs? 

SIMON	Not as bad as you think. There’s actually some cool people in the boonies.

SARA	Oh great! I'm sure.

SARA	That’s so wonderful.

SARA	Nice Dockers, by the way.

SIMON	Oh, how dare you?

SIMON	These are Banana Republic.

SIMON	This is my wife, Allegra.

SARA	Allegra! Hi!

ALLEGRA	Hi!

SARA	Look at that! Congratulations to you. 

ALLEGRA	Oh, thank you.

ALLEGRA	Yeah, okay. I’m just going to say it. 

ALLEGRA	Simon told me all about you... 

ALLEGRA	and I love your book...

SARA	Oh!

ALLEGRA	Sext.

SARA	What?

ALLEGRA	Yeah, I mean, I know I’m not exactly the target audience, but...

ALLEGRA	there are some serious feminist undertones in there...

ALLEGRA	and it reminded me of, like, Louisa May Alcott.

SARA	Thank you.

SARA	That is so nice. Thank you.

SIMON	Well, Allegra’s a writer too.

SARA	What?

ALLEGRA	Oh, my God, but nowhere near as good as what you do.

ALLEGRA	I mean, I just write biographies. I don’t invent things.

SIMON	Yeah, but you were just nominated for a PEN.

ALLEGRA	Well, I'm not going to win, so we don't have to talk about that.

SARA	PEN?!

SIMON	Don’t say that. Everyone’s freaking out for it!

SIMON	Look, she just wrote Alexandria Ocasio-Cortez's bio.

SARA	What?!

SIMON	Amazing.

ALLEGRA	Guilty.

SARA	Guilty?

ALLEGRA	Are you okay?

SARA	Yeah. 

SARA	So when are you due?

ALLEGRA	Two weeks to go.

ALLEGRA	I don’t know how I could get any bigger. 

SARA	You’re huge, by the way. 

ALLEGRA	I know! 

ALLEGRA	I’m like a beluga!

ALLEGRA	Yeah, but, I mean, Simon’s been so attentive.

SARA	Aw, look at that!

SARA	That's so great. Really, that’s so amazing.

SARA	I didn’t know you wanted kids! So, that’s news.

SARA	What ever happened to... 

SARA	"I can't in good conscience bring a child into this world?"

SARA	What happened to that guy?

SIMON	Water. 

SARA	Where is he?

ALLEGRA	Oh, I mean, it just happened so fast.

ALLEGRA	I mean, we were dating for like, what, four months? Babe?

SIMON	Five?

SARA	That’s fast!

ALLEGRA	I think it was four months, then we got married.

SARA	Wow!

ALLEGRA	And then, I mean, this just happened. 

ALLEGRA	And, I mean, I don’t even know this guy. 

SARA	Me, either! 

SIMON	Honey, we don’t want to be late.

ALLEGRA	Oh! No, we don’t.

ALLEGRA	We’re taking maternity photos.

SARA	Okay.

SIMON	Well, it was really great seeing you.

SARA	Okay. Yeah, really good to see you.

ALLEGRA	Yeah.

ALLEGRA	Great meeting you.

SARA	To meet you.

SARA	See you, and thank you. Okay. Yep. 

SIMON	All right. Okay.

SARA	Yep. Yep.

ALLEGRA	Okay, bye.

SARA	Okay.

ALLEGRA	I love her.

SIMON	I do want kids.

ALLEGRA	Oh. You know what?

ALLEGRA	We’ll talk about it in the car.

SIMON	Okay, but I

ALLEGRA	We’ll talk about it in the car.

SIMON	Okay.

SARA	Speak.

GODFREY	Hello, is this Sara?

SARA	Who is this?

GODFREY	It is Mateo.

GODFREY	My good friend DJ Katamine suggested I call you.

SARA	Oh! DJ Katamine. Right. 

SARA	Hi... Mateo. Buenos noches.

GODFREY	Como estas?

SARA	No, I don't actually speak Spanish.

GODFREY	So, it was suggested by my friend...

GODFREY	that you might want to try some ballroom dancing.

SARA	Really? Well, did your friend happen to mention...

SARA	that I haven’t ballroom danced in...

SARA	I don’t know, like, never? 

GODFREY	It’s okay. He told me you have the body of a dancer...

GODFREY	and the finesse of a mongoose.

SARA	Oh, well, that's very... 

SARA	flattering?

GODFREY	Then I will pick you up tonight at sbet w thlathwn.

SARA	What?

GODFREY	That’s Arabic for 7:30.

SARA	Oh, right.

SARA	Mateo, I will see you then. 

SARA	Oh, wait. You don’t actually know where I...

SARA	live.

SOUNDTRACK	Suavemente, bésame

SOUNDTRACK	Que yo quiero sentir tus labios

SOUNDTRACK	Besándome otra vez

SOUNDTRACK	Suave bésame, bésame

SOUNDTRACK	Suave bésame otra vez

SOUNDTRACK	Suave que yo quiero sentir tus labios

SOUNDTRACK	Suave besándome otra vez

SOUNDTRACK	Suavebesa, besa

SOUNDTRACK	Suave bésame un poquito

SOUNDTRACK	Suave besa, besa, besa, besa

SOUNDTRACK	Suave bésame otro ratito

SOUNDTRACK	Suave 

SOUNDTRACK	Pequeña, cógelo

SOUNDTRACK	Suave

SARA	Mateo, I don't have any experience with this kind of dancing. 

SARA	I don't think anyone has in 60 years.

GODFREY	Follow me...

GODFREY	and I will lead you to the path of beauty. 

SARA	Oh, okay.

SARA	How'd you learn to dance like this?

GODFREY	It is in my blood.

SARA	Right.

SARA	And where exactly are you from?

GODFREY	I am from everywhere.

GODFREY	I was a young boy, I was a goat herder in Argentina...

GODFREY	and I dream of dancing the waltz after I saw The Sound of Music.

SARA	I love that movie. 

GODFREY	Me too.

GODFREY	And so I searched the country for Maria, and I can't find her.

GODFREY	And so I ended up dancing with my goat, Sophia.

SARA	Okay.

GODFREY	Yeah.

SARA	So you learned to dance with your goat. 

SARA	That sounds normal, right?

GODFREY	Very popular.

GODFREY	Wunderbar!

SARA	What is that, German?

GODFREY	Si. Oui, oui.

GODFREY	Follow me.

SARA	Okay.

GODFREY	Magnifique.

SARA	Thanks.

SARA	Hey. 

SARA	So last night wasn’t a dream.

GODFREY	You are welcome.

SARA	I just realized I haven't had a guy in my apartment in, like, a year.

SARA	So thank you for being such a gentlemen.

GODFREY	It is who I am.

SARA	You know, yesterday I ran into my ex...

SARA	and he was with his wife. And she was pregnant.

SARA	I'm sorry, I don't know why I'm telling you this.

GODFREY	Oh no, well...

SARA	I guess it just kind of upset me, because...

SARA	it made me sad that he's not living his truth.

SARA	But there's nothing I can do about that.

GODFREY	Si.

SARA	I'm so glad you called because I feel like our night...

SARA	together reminded me of who I really am.

SARA	I’m sorry. Blah, blah, blah.

SARA	Why don't you tell me something about you?

GODFREY	Well... 

GODFREY	I am but a poor, young goat herder

SARA	From Argentina. Yeah, I know.

GODFREY	Argentina.

SARA	But see, I just spilled my guts... 

SARA	so maybe you can tell me something honest, something true.

GODFREY	Okay. Well...

GODFREY	I come to the US... 

GODFREY	I'm a stowaway. 

SARA	Wait, is this a real story? Because I know you’re not really from Argentina.

GODFREY	I am.

SARA	Because I just assumed last night we were messing around, so what’s...

SARA	What’s your deal?

GODFREY	I first move here to Miami, I have no job.

GODFREY	And so I start as a dishwasher, and...

GODFREY	I do some things I am not proud of.

SARA	I’m not judging, so...

GODFREY	Okay, so my friend, Manny...

GODFREY	he tells me about a job we can do for money, you know? 

GODFREY	We sell ze yayo. Ze cocaine.

GODFREY	And we get a job.

GODFREY	We go down to South Beach, we have a kilo, and this man and wife...

GODFREY	they take the kilo, they don't give us money, and they take Manny.

GODFREY	And they beat him. And they put him in the shower and they chain him up...

GODFREY	and they get a chainsaw. 

GODFREY	And they’re going to kill him. And I say, no! 

SARA	Wait. Are you fucking with me? What is this?

GODFREY	No, I’m not fucking.

SARA	That’s the plot of Scarface, dude.

GODFREY	I haven’t...never seen such movies.

SARA	No. No. Seriously?

SARA	What is this?What’s happening right now? 

SARA	Are you pranking me?

GODFREY	No! I am telling you a story.

SARA	No, you’re not. You’re not telling a story. 

SARA	You’re making a joke about everything, and I’m believing you.

SARA	God, I don’t know what this is. 

SARA	I don’t know what happened last night. 

SARA	Maybe it’s because I actually like you. 

SARA	Maybe it’s because I saw my ex, but either way...

SARA	I spent the night with you, okay?

SARA	And I’m dressed, but I feel completely naked right now. 

SARA	I need to know who I’m with.

SARA	Nothing?

SARA	Okay, so now I have to ask you to leave.

SARA	I want you to leave.

SARA	You have to go!

SARA	Now!

SARA	Who are you?

GODFREY	Nobody.

KELLY	So I'm downstairs, and I hear this noise.

KELLY	I push open the bathroom door, and there's Dan.

KELLY	And he is standing there wiping off makeup.

KELLY	Makeup! It was my makeup!

KELLY	And I get it, it's modern times right now...

KELLY	and we’re all supposed to be gender fluid or whatever. 

KELLY	But you would think after eight years of marriage...

KELLY	my husband would tell me if he was thinking of...

KELLY	crossdressing or whatever.

SARA	Maybe.

KELLY	Yeah. I guess it doesn’t matter. 

KELLY	It would have been nice if you listen to my story...

KELLY	about my husband using all of my foundation.

SARA	I slept with him.

KELLY	Who, Dan?

SARA	No, with the guy.

KELLY	Nutty? You slept with Nutty?

SARA	I slept with him.

KELLY	Oh, God! 

SARA	I didn’t sleep with him. We just cuddled all night, but...

SARA	and don’t call him Nutty. His name’s Godfrey...

SARA	or Mateo, or, like, whatever.

KELLY	His name is Godfrey?

SARA	Yeah. 

KELLY	Some parent named their kid Godfrey, and then you slept with that guy. 

KELLY	You slept with a Godfrey.

SARA	I was feeling vulnerable.

SARA	And he was charming. He was very charming. 

SARA	He took us out dancing. We danced. 

SARA	Like, we really danced. And then next thing you know...

SARA	we're just, like, spooning in my bed.

KELLY	Is that fun?

SARA	It might have something to do with the fact that I bumped into Simon earlier.

KELLY	What? Oh, dear.

SARA	He’s married. And his PEN Award-nominated wife is pregnant.

KELLY	Shit. I hate it when men upgrade. No offense.

KELLY	Do you think she needs an agent? 

KELLY	I’m kidding! I’m kidding. 

KELLY	Come here. Look, it’s okay. I’m here. 

KELLY	Did you get any good material from this?

SARA	Are you serious?

KELLY	I’m just...

KELLY	Hey! Hey, you! Yeah, you!

STORE EMPLOYEE	You’re the crazy lady.

KELLY	Yeah, you know what?

KELLY	I am crazed. Fucking crazed for some Fromage Madeleine...

KELLY	which you don’t have for the third week in a row, by the way. 

KELLY	Who do I have to blow to get some decent cheese around here?

KELLY	Is it you? Is that what you want?You want me to embarrass you... 

KELLY	in front of all your clerk friends?

STORE EMPLOYEE	No. No.

STORE EMPLOYEE	I will go check with my manager.

KELLY	Yeah. Do that, because this threat extends to him, too! 

KELLY	It’s fine.

SARA	I’m just...

SARA	I’m so confused. Like, who have I been hanging out with this whole time?

SARA	Why is he doing this?

KELLY	He’s crazy, so just stay away.

SARA	He’s not crazy. He’s choosing his personalities. 

SARA	Trust me. I did some Googling. 

KELLY	Oh, boy. Sara?

SARA	What?

KELLY	I was wrong. Okay?

SARA	Whoa.

KELLY	I was wrong... I said it...to ask you to come out of your shell.

KELLY	All right? So just stuff yourself back in there and finish your book...

KELLY	because so far, the material is pretty good...

KELLY	and all you need is some distance and objectivity, right? 

KELLY	Do not shit where you eat.

SARA	Okay.

KELLY	You don’t think I have plenty of clients that I would love to bang...

KELLY	but I don’t, and you know why?

KELLY	Commission. 

KELLY	You thought I was going to say morals.

SARA	I did.

KELLY	It’s commission.

MRS. MILLER	Class, guess who’s back!

MRS. MILLER	It’s our volunteer, Mr. G! 

MRS. MILLER AND CHILDREN	Yay!

GODFREY	Whoa! 

GODFREY	You guys look so much older. 

GODFREY	How are you?

GODFREY	Are you good? Good. 

GODFREY	You guys want to read a book?

CHILDREN	Yeah!

GODFREY	Yeah?

BOY #1	You will read the book.

GODFREY	You know what? I’ll read a book for you. 

GODFREY	“How to Be A Friend.” That sounds like a good book, doesn’t it?

CHILDREN	Yeah!

GODFREY	Yeah.

GODFREY READING	“There are times when it feels good to be by yourself. 

GODFREY READING	And enjoying your own company. 

GODFREY READING	But there are also times when you may feel lonely or bored...


GODFREY READING	when you want to have someone to play with. 

GODFREY READING	Anyone who is nice to you...

GODFREY READING	and who likes to play with you...

GODFREY READING	can become your friend.

GODFREY READING	The best thing about having a friend is...

GODFREY READING	sharing."

GIRL #1	Do you need to go to the potty, Mr. G?

GODFREY	I’m fine. I’m fine. Thank you. 

GODFREY READING	“We want somebody to share with. 

GODFREY READING	Mr. Frog wants to share.” 

GODFREY	Who wants to share with Mr. Frog?

SINGER SINGING	You got a lover's rock and roll 

SINGER SINGING	The next day, a man he lived next door

SINGER SINGING	He kept me up all night made trouble, boy 

SINGER SINGING	Trouble

SHAD	Hey, what up?

SARA	What, are you stalking me again?

SHAD	Hell, no. This is my office.

SARA	Your office?

SHAD	Yeah.

SARA	What is that, weed? I thought weed was legal.

SHAD	People still like the drama of buying it on the street.

SARA	 Okay, what do you want?

SHAD	He's sorry.

SARA	Oh, you talked to him.

SHAD	Look, I don't know what he did, but he feels bad about it.

SARA	All right, sit down. Let's talk.

SARA	Here. Take that. You can have it.

SHAD	What the hell is this?

SARA	It’s tofu.

SHAD	Tofu?

SARA	Yeah.

SHAD	I thought it was turkey. 

SHAD	You don’t just hand someone a tofu sandwich and not say anything. 

SHAD	What’s wrong with you?

SARA	I’m sorry, man. Jeez.

SARA	So what’s up with your brother?

SHAD	It’s complicated.

SARA	Yeah, no shit.

SARA	I mean, is he ever himself? 

SARA	Have I actually even met the guy?

SHAD	Yeah, but...
 
SHAD	it’s all versions of him.You know what I mean?

SARA	No, I don’t.

SHAD	Well, all the “hims,” they’re still him...

SHAD	but he doesn’t want to be completely himself.

SHAD	You don’t want to know.

SARA	I do want to know.

SARA	I care about your brother.

SARA	I know I don’t know him, clearly...

SARA	but I feel like...

SARA	inside, there’s a special, sweet person.

SHAD	Man, the only reason I’m telling you this is because Godfrey likes you, okay...

SHAD	and because you need to understand where he’s coming from.

SHAD	Godfrey's parents were worthless.

SHAD	Okay, they took in foster kids to make money.

SHAD	When we were growing up, Godfrey was...

SHAD	more than a brother to me and my sister, Didi.

SHAD	He was like our dad.

SHAD	He took care of us. 

SHAD	Cooked, cleaned, made us go to school. 

SHAD	My sister...
 
SHAD	she wasn’t but five years old at the time...

SHAD	and one day while Godfrey was getting me ready for school...

SHAD	Di was playing by the window in the living room. 

SHAD	And my fosters was in there, but they was drunk...

GODFREY READING	passed out or some shit. 

SHAD	Next thing you know...

SHAD	she fell out. 

SHAD	And we ran downstairs, and...

SHAD	Godfrey took her in his arms, but...

SHAD	she was gone.

SARA	Oh, my God.

SHAD	My fosters blamed it all on Godfrey.

SARA	Oh, come on. That’s not fair.

SHAD	It doesn’t matter. 

SHAD	Since then, he’s just been blocking out the world.

SHAD	That’s why he does them characters.He don’t like being himself.

SHAD	He can’t deal with the guilt.

SHAD	I haven’t really seen the real Godfrey since she died.

SARA	I’m so sorry. 

SARA	Is he getting any help?

SHAD	He’s working and making a living and functioning... 

SHAD	so that’s all I care about.

SARA	What can I do?

SHAD	Well, best thing you could’ve done was leave him be...

SHAD	but now that you messed that up, just...

SHAD	I don’t know, be a good friend to him.

SARA	I mean, I would like to, but I can’t even get ahold of him.

SHAD	He's going to be at this tonight.

SARA	What is this? Like stand-up comedy?

SHAD	No clue. He’s always doing something to keep his mind...

SHAD	focused on anything but himself.

SARA	Does he even enjoy it?

SHAD	He kind of relaxes around kids. That’s the only time he feels really calm.

SARA	Where are you going?

SHAD	I’ve got to pick up a new mixer.

SHAD	I’m just short on a little paper right now.

SARA	Oh. Well, do you want some money?

SARA	I have some.

SHAD	Hey, don’t try to buy me off.

SHAD	You just be you.
SARA	Just be me. Okay.

FEMALE POET	I am ready on my own.

FEMALE POET	As the Earth readies my surroundings...

FEMALE POET	I sit deep in silence as I meditate on my opulence.

FEMALE POET	Thank you.

EMCEE #2	Give it up once again there for Lesa.

EMCEE #2	Coming up next we have a guy that says he's going to do something.

EMCEE #2	Please welcome to the stage, for the very first time, Tim Dimmitt.

GODFREY	Thanks.

GODFREY	I wrote...

GODFREY	I wrote something.

GODFREY READING	“She...”
 
GODFREY READING	“She flutters through the house...

GODFREY READING	a splash of sunshine...

GODFREY READING	sprinkling her magic in the air with laughter. 

GODFREY READING	Each syllable of sound echoes in my soul.

GODFREY READING	But as I walk in a space of a world left behind...

GODFREY READING	I see the ghost of her...

GODFREY READING	and I search and search, but all in vain... 

GODFREY READING	I hear a...

GODFREY READING	an echo of nothing.

GODFREY READING	So upon these streets I...”

GODFREY	I’m sorry. 

GODFREY READING	“So upon these streets I walk alone.

GODFREY READING	But now a new sound fills the air. 

GODFREY READIING	The laughter of a woman who has walked beside me.

GODFREY READING	She's helped fill the void through music...

GODFREY READING	through her words... 

GODFREY READING	art, rhyme...

GODFREY READING	and eases the pain of the simple sound... 

GODFREY READING	of a child who's long gone.”

SARA	So, Tim Dimmitt. 

SARA	You always wear your sunglasses at night?

GODFREY	My eyes are sensitive to light.

SARA	Oh.

GODFREY	So I use my other senses, like my hands...

GODFREY	nose, and ears in low-light situations.

GODFREY	I can tell that you're wearing a moisturizer...

GODFREY	that has a strong scent of gardenia...

GODFREY	a hint of jasmine, and a refined honeysuckle finish.

SARA	That's amazing.

GODFREY	Heard that. Thank you.

SARA	I can tell you're a very sensitive man.

SARA	The poem you recited was very moving. 

SARA	It must have taken a lot of courage to say it out loud like that. 

GODFREY	I’m just trying to sort things out. The world is a messy place.

SARA	Hey, how are you doing?

GODFREY	I'm all right. Just killing time.

SARA	Before we met... 

SARA	I was kind of in a funk. 

SARA	I was depressed, to be honest.

SARA	I couldn't access y creativity, and then...

SARA	I met you, and that all went away. So... 

SARA	I guess that's the opposite of killing time.

SARA	Hey, why don't you tell me something about the girl in the poem?

GODFREY	I don't like talking about it. 

GODFREY	It's too hard.

SARA	I understand. It is hard.

SARA	It's hard to talk about the most painful things in our lives... 

SARA	but sometimes...

SARA	when we look inside and deal with those most painful things...

SARA	it can turn into something really beautiful. 

SARA	So, if you want to talk about her... 

SARA	I'm here.

GODFREY	It's been a long time since I let someone in.

GODFREY	Her name was Didi. 

GODFREY	She had a beautiful soul.

GODFREY	She loved country music...

GODFREY	so I'd sing "Achy-Breaky Heart" to her every morning...

SARA	Oh, my God! Oh!

SARA	I’m so sorry. I am so sorry. Oh...

SARA	Ew. Oh. It’s soaked. 

SARA	Oh, my God. Yeah, can I get a napkin, please?

WAITER	Yeah.

SARA	Oh, my dress. You know what? 

SARA	I’m going to go to the bathroom.

SARA	I’m sorry. Excuse me.

SARA	Shit.

SARA	Okay, we’ve got to stop meeting like this.

SHAD	So, this was all about a book? Yeah, I was right about you.

SARA	That's not fair. I care about your brother.

SHAD	No, you don’t care about shit.

SHAD	You're just one more person with their hand out...

SHAD	taking out what you want from him. 

SHAD	You're just like our fosters.

SARA	I have been looking for him.Where is he?

SHAD	No, I told you not to get involved with him, okay?

SHAD	Now he's got to put his pieces back together because of you.

SARA	What do you expect me to do? 

SARA	I can't help someone who won't even admit...

SARA	that they have a problem.

SHAD	A problem?

SHAD	No, you're the one with a problem. Now stay the fuck away from us.

SHAD	I won't ask again.

SARA	Where is he?

SARA	Well, what’s his address? I’ll find him myself. 

SARA	A last name, maybe?

SARA	Gee, thanks, Shad. Very helpful.

KELLY	It's finished?

SARA	Yeah.

KELLY	Oh, that was fast. I'm actually excited to see how this thing ends.

KELLY	So what's up with you and Godfrey?

SARA	I still haven't seen him.

KELLY	Sara, you need to find him and make things right.

KELLY	If he was pissed about your personal diary... 

KELLY	he's going to be even more upset...

KELLY	when your book is in every Barnes and Noble, knock on wood.

SARA	Well, his brother told me to stay away.

KELLY	So what? Who cares?

SARA	So, I’m staying away.

KELLY	I love you, but this manic pixie Dreamgirl...

KELLY	“I don’t know what’s going on” thing is really starting to piss me off.

KELLY	You forced your way into that man's life, and...

KELLY	you made a mess of it, and now that it doesn't suit your needs anymore...

KELLY	you're just going to walk away.

SARA	You were the one who told me to keep hanging out with him.

KELLY	Yeah, for inspiration, not to ruin his life.

KELLY	And honestly, the truth is this is your M.O.

KELLY	This is what you do. You bail when things get hard.

SARA	That is not true.

KELLY	No? You didn’t bail on Simon?

SARA	He broke up with me.

KELLY	You pushed him away because he didn’t fit your version...

KELLY	of what an artist should be, whatever that means...

KELLY	after you made him become an artist.

SARA	That is such bullshit, Kelly.

KELLY	Yeah, and there’s more, Sara, okay? You think everyone is a phony.

KELLY	Simon’s a phony, Ben and his friends are phony.

KELLY	Somehow no one but you is living their authentic life...

KELLY	and yet you are writing a book that you think is beneath you.

SARA	Because you wanted me to.

KELLY	I was perfectly happy representing you when you were writing...

KELLY	feminist allegories about the mermaid myth that sold five copies...

KELLY	but when I told you that you could make money writing garbage...

KELLY	you jumped at the chance.

KELLY	I am telling you this because I’m your friend.

SARA	Well, it doesn’t feel like you’re my friend.

KELLY	Well, friendship doesn’t always feel good...

KELLY	and I know you think I’m an asshole, but you know...

KELLY	I am a good friend, and I am a loyal friend...

KELLY	and friends tell each other the truth, even when it sucks.

SARA	Yeah, well this lunch sucks!

SARA	The food is very good, but the...

KELLY	The food is very good.

SARA	This sucks.

KELLY	Sara, do you see the guy over my shoulder?

SARA	Who, the bartender?

KELLY	No. The Buddha. 

SARA	Yeah. What about him?

KELLY	Do you know what he would say if he were to join this conversation?

SARA	No, I do not.

KELLY	He would say, “You need to follow the Eightfold Path.”

KELLY	It is the path that teaches us the importance...

KELLY	of actively helping others to free them from their suffering.

SARA	Okay. What do you know about Buddhism? 

KELLY	A lot, because I am a Buddhist, so...
 
SARA	You’re a Buddhist? 

SARA	You’re a Buddhist?

SARA	This whole time?

SARA	You... 

SARA	You’re a Buddhist?

SARA	You’re a Buddhist? 

SARA	She’s a Buddhist!

SARA	You’ve got to be the worst Buddhist I’ve ever seen! 

KELLY	If you reduce the world down to atoms and molecules...

KELLY	you see that we’re all just one big organism, and that...

KELLY	what we do as individuals has an effect on others.

KELLY	You have an obligation to help that man because in a way, you are that man.

SARA	Okay, I didn’t come here to get confused and lectured at.

KELLY	Who would go anywhere to be confused? 

KELLY	Like, why would you pay for that?

SARA	You know what? You have my book, so just leave me alone.

SARA	Ow. 

SARA	You should make sure there’s more space between the tables.

SARA SINGING	There are two of us on the run 

SARA SINGING	Going so fast, every doubt we had 

SARA SINGING	is coming undone 

SARA SINGING	And falling behind with everything we left there

SARA SINGING	We held on for far too long 

SARA SINGING	And now we pass so many people on the road 

SARA SINGING	They could come along 

SARA SINGING	I wish they'd been told 

SARA SINGING	They may call it a shot in the dark

SARA SINGING	From what we know

SARA SINGING	It's not unheard of 

SARA SINGING	And we'll one day 

SARA SINGING	tell our

SARA SINGING	story 

SARA SINGING	of how

SARA SINGING	we made 

SARA SINGING	something 

SARA SINGING	of ourselves now 

SARA SINGING)	Ooh Ooh 

SARA	Oh, my God. Hey! Hey! I know you! 

SARA	Hey! Hi! I know you! 

SARA	Can I... No, please. Can I just ask you a question? 

SARA	Please? Please? Please? Please?

GEKE	Well, if it isn't the DJ wannabe. 

GEKE	DJ Meow-na Lisa, right?

SARA	No, Sara. But, yeah. Hi.

SARA	I'm not really a DJ hype cat.

GEKE	No shit? What do you want?

SARA	I haven’t been able to find Godfrey. DJ Katamine.

SARA	Have you guys seen him?

GEKE	Not for a few weeks. 

GEKE	It’s like he dropped off the face of the planet of something.

SARA	What about Shad?

GEKE	Shad’s in jail.

GEKE	Got caught boosting mixers.

SARA	Shit! Seriously? 

GEKE	He’s going to be in there for a minute.

SARA	There’s got to be something I can do to help.

SARA	You should’ve taken the money.

SHAD	What are you doing down here?

SARA	Bailing your ass out of jail.

SHAD	Oh, yeah, right.

SARA	If you take me to him.

SHAD	I’ll take you up on that.

SHAD	Just to get away from that crazy mo-fo. 

SHAD	He’s a baby-faced serial killer.

SARA	But he looks so normal.

BOB	Maintain the integrity of the pitch.

OFFICE SUPERVISOR	Mr. Glasser?

BOB	But put it in your own words.

BOB	What?

OFFICE SUPERVISOR	I think there's something wrong with G-Money.

BOB	He looks fine to me.

OFFICE SUPERVISOR	He’s in his bathrobe, sir.

BOB	Does it turn you on?

OFFICE SUPERVISOR	Sir?

BOB	Chicken Little? “The sky is falling.” 

GODFREY	To begin again, press eight after you hear the beep. 

GODFREY	Beep!

UNIDENTIFIED CALLER #9	I'd like to change my order, please.

UNIDENTIFIED CALLER #9	Is this a real person I'm talking to?

GODFREY	I am a new BETA version of an...

GODFREY	automated voice system called Cray-bot. 

GODFREY	My name is John. 

UNIDENTIFIED CALLER #9	Yes, I'd like to cancel my web builder package, please.

GODFREY	Your credit card has been charged $125.60.

UNIDENTIFIED CALLER #9	Yes, as I just said, I’d like to cancel that order.

GODFREY	Your credit card has been charged $125.60. 

BOB	That man is a goddamn genius. 

MRS. MILLER	Hey, everyone, guess who's back?

MRS. MILLER	Mr. G’s back, and he’s going to play...

MRS. MILLER	some really fun music for you all.

GODFREY	Two volunteers, I guess.

MRS. MILLER	Okay, you heard Mr. G. Two volunteers. 

MRS. MILLER	Great. You guys are doing great.

MRS. MILLER	All right. Great job. Here you go.

MRS. MILLER	Hey, Mr. G, you all right?

SHAD	It's weird.

SHAD	He's here every day, but he ain't no character. Just like some sort of robot talking all monotone and shit.

SHAD	It's bad.

SARA	I really messed up, but I’m going to go talk to him.

SARA	Hey, Godfrey.

SARA	I know you’re mad at me, and I don’t blame you...

SARA	but I’m really worried about you. 

SARA	Do you need anything?

GODFREY	I have to go.

SARA	Oh, do you want to, like, DJ tonight or... 

SARA	I mean, Shad’s back. 

SARA	Me and him are going to break out his new mixer. 

SARA	DJ Meow-na Lisa in the house. You know?

SARA	Look, I know what happened to your sister, and I’m so sorry. 

SARA	Those fosters, they were supposed to protect all of you.

SARA	You have to forgive yourself. 

KELLY	Are you sitting down?

SARA	No.

KELLY	Doesn’t matter, because I am. 

KELLY	Guess what? Axi loves the book. Yeah. 

KELLY	They want to get together right away. 

KELLY	They want to talk film rights.

SARA	I can’t right now, Kelly.

KELLY	What do you mean, not now? You are such a bummer sometimes.

KELLY	Meet me at Axi tomorrow at 11:00.

KELLY	You sell this movie, the rest of them will follow, I promise you.

SARA	I got to go.

KELLY	What the hell, Sara?

AXI EXEC	Fantastic stuff, Sara, really.

